QId,RespondUserId,PostUserId,Time,days
1,10.0,74.0,2011-08-09 23:46:32.143,0
3,12.0,92.0,2011-08-10 06:46:01.173,0
5,30.0,94.0,2011-08-11 11:22:02.790,1
9,22.0,79.0,2011-08-10 01:13:29.333,0
11,27.0,27.0,2011-08-09 19:41:39.820,0
17,7.0,124.0,2011-09-16 04:53:59.623,37
22,30.0,32.0,2011-08-09 20:48:59.663,0
24,46.0,13.0,2011-08-10 03:26:06.640,0
32,26.0,93.0,2011-08-10 07:04:16.043,0
38,60.0,70.0,2011-08-09 21:39:41.893,0
59,68.0,94.0,2011-08-10 07:55:16.307,0
77,77.0,60.0,2011-08-10 00:44:44.793,0
98,40.0,94.0,2011-08-10 09:52:52.510,0
103,94.0,73.0,2011-08-10 19:58:07.647,1
106,16.0,124.0,2011-08-13 04:22:31.930,3
112,77.0,48.0,2011-08-10 14:42:05.337,0
118,30.0,73.0,2011-08-10 16:21:49.590,0
120,30.0,64.0,2011-08-10 15:53:43.497,0
125,38.0,7.0,2011-08-10 16:21:43.950,0
135,44.0,77.0,2011-08-10 18:26:17.477,0
142,30.0,27.0,2011-08-10 20:04:59.057,1
149,32.0,38.0,2011-08-10 21:23:25.557,1
157,27.0,7.0,2011-08-11 20:46:37.770,2
159,111.0,72.0,2011-08-11 16:11:47.570,1
164,32.0,6.0,2011-08-16 01:22:48.203,6
171,26.0,94.0,2011-08-11 07:34:43.650,1
173,96.0,94.0,2011-08-11 08:13:21.310,1
175,32.0,72.0,2011-08-11 15:33:45.560,1
176,32.0,73.0,2011-08-11 20:02:30.683,2
182,81.0,32.0,2011-08-11 18:39:34.710,1
192,30.0,32.0,2011-08-11 17:44:27.357,1
193,64.0,32.0,2011-08-11 17:35:34.830,1
196,40.0,72.0,2011-08-11 19:18:23.747,1
198,10.0,24.0,2011-08-11 20:36:31.073,2
200,38.0,10.0,2011-08-11 19:09:26.673,1
214,64.0,32.0,2011-08-11 21:59:15.110,2
220,32.0,94.0,2011-08-12 07:49:58.407,2
222,97.0,32.0,2011-08-12 09:56:45.997,2
235,101.0,27.0,2011-08-12 19:24:53.410,3
247,127.0,72.0,2011-08-13 21:55:55.930,4
255,86.0,94.0,2011-08-13 11:31:16.573,3
261,124.0,72.0,2011-08-13 21:10:41.787,4
272,60.0,124.0,2011-08-13 19:39:18.827,4
283,32.0,296.0,2011-09-01 22:01:36.523,23
285,32.0,75.0,2011-08-14 13:36:14.973,4
287,65.0,143.0,2011-08-14 14:12:06.293,4
288,65.0,99.0,2011-08-14 15:39:47.907,4
301,144.0,124.0,2011-08-14 18:45:46.183,4
307,124.0,528.0,2011-10-04 03:30:19.967,55
319,149.0,124.0,2011-08-15 21:53:14.473,6
362,124.0,186.0,2011-08-19 04:38:50.240,9
365,186.0,64.0,2011-08-17 15:41:57.420,7
366,155.0,154.0,2011-08-17 07:06:14.153,7
374,46.0,81.0,2011-08-17 11:27:23.923,7
395,155.0,92.0,2011-08-18 13:17:59.380,8
404,60.0,232.0,2011-08-20 14:17:59.097,10
408,227.0,32.0,2011-09-14 01:18:19.280,35
410,227.0,82.0,2011-08-19 15:25:53.290,9
419,227.0,303.0,2011-08-24 19:55:11.387,15
425,190.0,192.0,2011-08-20 10:47:15.123,10
436,32.0,27.0,2011-08-22 10:38:21.917,12
443,230.0,7.0,2011-08-22 13:17:18.780,12
444,81.0,32.0,2011-09-14 01:22:57.087,35
450,81.0,216.0,2011-08-22 13:54:01.623,12
477,94.0,124.0,2011-08-24 13:24:16.447,14
487,101.0,10.0,2011-08-23 19:46:31.100,14
492,101.0,32.0,2011-08-24 00:39:28.597,14
493,124.0,32.0,2011-08-25 23:05:48.087,16
536,168.0,249.0,2011-08-25 13:56:59.320,15
543,303.0,241.0,2012-01-21 15:51:38.603,164
545,217.0,32.0,2011-08-26 03:46:56.660,16
547,30.0,116.0,2011-08-25 22:37:01.487,16
560,336.0,94.0,2011-08-26 09:54:36.190,16
568,65.0,190.0,2011-08-26 16:41:40.800,16
571,212.0,241.0,2011-09-14 01:39:04.163,35
576,112.0,7.0,2011-09-06 22:33:57.707,28
579,342.0,24.0,2011-08-29 23:04:59.080,20
581,227.0,345.0,2011-08-27 11:35:02.520,17
610,101.0,345.0,2011-08-28 17:32:47.740,18
611,159.0,32.0,2011-08-28 18:18:36.493,18
634,355.0,124.0,2011-09-18 06:07:40.883,39
657,30.0,296.0,2011-09-01 22:13:58.717,23
662,101.0,692.0,2011-12-15 04:28:12.127,127
680,30.0,7.0,2011-09-06 22:24:30.093,28
682,409.0,124.0,2011-09-20 04:26:15.920,41
696,81.0,32.0,2011-09-07 07:09:54.243,28
699,227.0,81.0,2011-09-07 10:35:08.540,28
711,10.0,32.0,2011-09-09 09:36:40.343,30
726,358.0,38.0,2011-09-12 02:00:35.343,33
732,72.0,411.0,2011-09-14 18:51:24.443,35
743,433.0,409.0,2011-09-12 13:50:31.393,33
749,30.0,32.0,2011-09-12 18:52:35.480,33
765,38.0,133.0,2011-09-14 02:17:22.273,35
768,450.0,32.0,2011-09-14 01:07:02.043,35
778,44.0,468.0,2011-09-16 03:01:54.353,37
780,450.0,133.0,2011-09-16 00:24:44.437,37
786,81.0,81.0,2011-09-23 06:28:43.190,44
792,467.0,32.0,2011-09-16 07:24:55.843,37
803,64.0,249.0,2011-09-17 12:26:29.320,38
811,409.0,475.0,2011-09-18 03:08:26.490,39
837,186.0,40.0,2011-09-21 13:36:49.717,42
844,450.0,528.0,2011-10-03 13:23:04.093,54
855,30.0,124.0,2011-09-23 19:12:13.297,44
862,514.0,32.0,2011-09-26 05:32:17.957,47
868,30.0,149.0,2011-09-27 18:58:03.407,48
871,30.0,190.0,2011-09-28 07:55:08.007,49
872,30.0,81.0,2011-09-28 08:05:43.643,49
880,56.0,190.0,2011-09-30 08:00:53.783,51
891,111.0,531.0,2011-10-05 00:15:23.577,56
901,132.0,217.0,2011-10-07 16:31:02.897,58
903,217.0,552.0,2011-10-13 13:45:40.870,64
908,56.0,528.0,2011-10-10 03:36:31.143,61
923,391.0,248.0,2011-10-12 13:14:37.990,63
928,248.0,248.0,2011-10-26 08:15:57.803,77
933,556.0,411.0,2011-10-16 10:26:28.577,67
963,570.0,27.0,2011-10-24 14:12:00.430,75
964,536.0,573.0,2011-10-23 06:34:03.703,74
998,44.0,32.0,2011-11-17 18:25:02.557,99
1027,44.0,528.0,2011-11-03 20:37:27.423,86
1030,536.0,528.0,2011-11-04 15:13:24.147,86
1036,36.0,13.0,2011-11-06 22:44:50.793,89
1053,44.0,528.0,2011-11-10 19:51:01.087,93
1056,77.0,528.0,2011-12-16 04:45:34.953,128
1060,204.0,72.0,2011-11-26 20:03:14.553,109
1061,111.0,72.0,2011-11-26 19:51:03.533,109
1062,12.0,598.0,2011-11-16 11:55:39.587,98
1072,620.0,190.0,2011-11-17 17:03:32.553,99
1074,592.0,411.0,2011-11-28 17:23:09.540,110
