PostUserId,RespondUserId,QId,Time,days
27.0,9.0,11,2011-08-09 19:55:25.390,0
27.0,27.0,11,2011-08-09 19:57:15.207,0
27.0,9.0,11,2011-08-09 19:58:58.040,0
32.0,30.0,22,2011-08-09 20:50:50.533,0
32.0,32.0,22,2011-08-09 20:56:05.473,0
32.0,73.0,1,2011-08-09 22:20:19.180,0
73.0,32.0,60,2011-08-09 22:39:42.660,0
73.0,73.0,60,2011-08-09 22:47:30.507,0
73.0,92.0,60,2011-08-10 11:59:58.550,0
77.0,10.0,72,2011-08-10 01:03:07.080,0
97.0,94.0,91,2011-08-10 09:45:33.693,0
97.0,48.0,91,2011-08-10 14:52:38.880,0
97.0,381.0,91,2011-11-04 12:49:34.817,86
94.0,40.0,98,2011-08-10 09:58:40.940,0
94.0,94.0,98,2011-08-10 09:59:18.880,0
75.0,94.0,91,2011-08-10 10:34:27.533,0
75.0,30.0,91,2011-09-01 03:29:42.463,22
73.0,30.0,118,2011-08-10 16:26:38.867,0
48.0,24.0,112,2011-08-10 18:17:05.930,0
24.0,77.0,112,2011-08-10 19:03:48.350,0
48.0,190.0,112,2011-09-14 08:14:24.683,35
48.0,77.0,112,2011-10-24 13:58:25.780,75
48.0,190.0,112,2011-10-24 14:54:53.790,75
27.0,77.0,135,2011-08-10 18:26:40.080,0
27.0,27.0,135,2011-08-10 18:27:55.360,0
7.0,38.0,125,2011-08-10 18:35:43.833,0
7.0,7.0,125,2011-08-10 18:40:59.203,0
7.0,7.0,125,2011-08-10 18:44:34.287,0
7.0,38.0,125,2011-08-10 19:44:20.190,1
40.0,60.0,138,2011-08-10 19:34:32.633,1
60.0,40.0,138,2011-08-10 19:51:29.863,1
40.0,106.0,138,2011-08-10 21:39:14.080,1
60.0,241.0,138,2011-09-13 12:08:51.347,34
40.0,27.0,142,2011-08-10 20:12:45.173,1
38.0,32.0,50,2011-08-10 20:16:37.727,1
27.0,32.0,60,2011-08-10 20:19:07.223,1
27.0,27.0,60,2011-08-10 20:21:10.183,1
74.0,32.0,1,2011-08-10 20:43:33.500,1
74.0,136.0,1,2011-08-16 14:18:06.283,6
94.0,27.0,91,2011-08-10 21:16:56.113,1
94.0,30.0,91,2011-09-01 03:30:43.897,22
38.0,32.0,149,2011-08-10 21:27:09.407,1
38.0,38.0,149,2011-08-10 21:30:13.460,1
38.0,32.0,149,2011-08-10 21:41:25.123,1
32.0,77.0,61,2011-08-11 02:26:00.047,1
32.0,32.0,61,2011-08-11 05:50:38.717,1
32.0,77.0,61,2011-08-11 11:36:29.457,1
77.0,82.0,135,2011-08-11 02:46:26.683,1
94.0,26.0,171,2011-08-11 07:36:14.550,1
94.0,94.0,171,2011-08-11 07:43:30.550,1
94.0,111.0,171,2011-08-11 13:03:44.557,1
94.0,111.0,171,2011-08-11 13:05:41.573,1
94.0,216.0,171,2011-08-22 17:47:05.567,12
94.0,96.0,173,2011-08-11 08:29:13.630,1
94.0,15.0,173,2011-08-12 17:44:34.197,2
32.0,10.0,193,2011-08-11 18:07:06.457,1
32.0,38.0,193,2011-08-11 19:00:07.513,1
32.0,32.0,193,2011-08-11 19:19:32.407,1
32.0,32.0,193,2011-08-11 19:19:39.240,1
32.0,32.0,193,2011-08-11 19:36:45.967,2
82.0,10.0,175,2011-08-11 18:10:31.070,1
82.0,32.0,175,2011-08-12 00:56:48.487,2
82.0,124.0,175,2011-08-13 17:35:48.650,3
82.0,528.0,175,2011-10-08 03:11:19.320,59
72.0,10.0,175,2011-08-11 18:10:52.333,1
72.0,124.0,175,2011-08-13 17:33:36.840,3
72.0,475.0,175,2011-09-20 05:41:13.103,41
72.0,203.0,175,2011-10-24 10:03:29.177,75
79.0,10.0,9,2011-08-11 18:38:02.300,1
58.0,10.0,9,2011-08-11 18:38:07.773,1
10.0,38.0,200,2011-08-11 19:16:06.993,1
26.0,32.0,193,2011-08-11 19:35:17.497,2
26.0,32.0,193,2011-08-11 19:35:47.950,2
26.0,26.0,193,2011-08-11 20:13:45.050,2
73.0,32.0,176,2011-08-11 20:49:34.523,2
32.0,73.0,176,2011-08-11 20:55:52.033,2
24.0,10.0,198,2011-08-11 21:32:31.690,2
24.0,27.0,198,2011-08-17 09:48:01.700,7
72.0,75.0,196,2011-08-12 00:09:36.697,2
32.0,32.0,182,2011-08-12 01:37:50.013,2
27.0,101.0,235,2011-08-12 21:14:34.030,3
124.0,94.0,244,2011-08-13 05:21:43.730,3
94.0,32.0,255,2011-08-14 04:14:35.880,4
124.0,16.0,106,2011-08-14 15:05:45.587,4
143.0,65.0,287,2011-08-14 17:54:36.733,4
124.0,60.0,272,2011-08-14 17:55:58.473,4
44.0,144.0,50,2011-08-14 18:32:16.450,4
124.0,32.0,284,2011-08-14 19:41:11.227,5
75.0,32.0,285,2011-08-14 20:34:41.463,5
75.0,75.0,285,2011-08-14 21:03:30.083,5
124.0,144.0,301,2011-08-15 03:42:39.770,5
124.0,124.0,301,2011-08-15 21:45:00.977,6
99.0,65.0,288,2011-08-15 07:33:56.450,5
94.0,48.0,225,2011-08-15 20:42:28.417,6
111.0,48.0,225,2011-08-15 20:42:53.080,6
111.0,241.0,225,2011-09-12 23:13:22.233,34
104.0,32.0,284,2011-08-15 21:02:55.960,6
104.0,32.0,284,2011-08-26 04:12:50.487,16
124.0,82.0,319,2011-08-16 13:56:08.283,6
124.0,73.0,319,2011-08-17 11:51:00.650,7
124.0,27.0,319,2011-08-17 15:04:13.753,7
124.0,13.0,319,2011-09-11 13:52:07.793,32
32.0,136.0,82,2011-08-16 14:13:44.217,6
32.0,32.0,82,2011-08-31 23:08:40.847,22
32.0,149.0,222,2011-08-16 19:26:01.527,7
93.0,149.0,32,2011-08-16 19:38:15.823,7
32.0,149.0,32,2011-08-16 19:40:00.313,7
32.0,528.0,32,2011-10-05 02:55:26.703,56
136.0,74.0,82,2011-08-16 20:33:40.477,7
136.0,136.0,82,2011-08-17 04:49:19.757,7
136.0,227.0,82,2011-08-19 11:32:25.797,9
136.0,227.0,82,2011-08-30 14:58:36.327,20
136.0,136.0,82,2011-08-30 16:51:57.890,20
154.0,10.0,198,2011-08-16 22:18:56.627,7
177.0,44.0,91,2011-08-16 23:15:09.173,7
177.0,92.0,91,2011-08-19 06:50:18.963,9
72.0,46.0,247,2011-08-17 08:14:38.020,7
7.0,27.0,157,2011-08-17 15:08:19.210,7
104.0,7.0,374,2011-08-17 20:37:20.097,8
94.0,68.0,59,2011-08-18 00:04:57.157,8
94.0,50.0,59,2011-08-24 14:52:57.367,14
50.0,355.0,59,2011-11-26 19:42:59.257,109
44.0,97.0,222,2011-08-18 08:46:21.363,8
211.0,155.0,395,2011-08-18 11:13:29.613,8
211.0,211.0,395,2011-08-18 11:46:32.757,8
47.0,212.0,3,2011-08-18 11:46:01.363,8
47.0,47.0,3,2011-08-23 20:42:22.023,14
81.0,65.0,288,2011-08-18 13:15:12.223,8
12.0,92.0,91,2011-08-18 13:21:23.133,8
722.0,12.0,91,2011-08-18 15:20:26.470,8
12.0,256.0,91,2011-11-01 02:12:49.273,83
27.0,221.0,142,2011-08-18 18:57:14.477,8
27.0,241.0,142,2011-09-13 12:33:40.760,34
208.0,32.0,362,2011-08-18 20:04:09.990,9
64.0,186.0,365,2011-08-19 04:21:01.783,9
64.0,64.0,365,2011-08-19 16:06:13.130,9
64.0,186.0,365,2011-09-21 06:06:58.860,42
186.0,32.0,362,2011-08-19 05:53:26.050,9
91.0,192.0,405,2011-08-19 10:42:56.380,9
91.0,91.0,405,2011-08-19 10:44:23.550,9
91.0,192.0,405,2011-08-19 10:51:09.253,9
91.0,65.0,405,2011-08-22 18:26:43.257,12
223.0,65.0,288,2011-08-19 11:18:31.983,9
82.0,227.0,410,2011-08-19 19:28:47.080,10
9.0,227.0,418,2011-08-20 08:14:10.423,10
72.0,99.0,407,2011-08-20 17:06:46.167,10
72.0,192.0,405,2011-08-21 10:05:13.077,11
72.0,154.0,405,2011-08-21 13:41:34.513,11
7.0,192.0,405,2011-08-21 10:06:33.047,11
191.0,74.0,91,2011-08-21 21:30:55.143,12
191.0,30.0,91,2011-09-01 03:31:42.617,22
30.0,191.0,91,2011-09-01 06:04:37.843,22
191.0,781.0,91,2012-01-17 13:32:29.757,160
32.0,124.0,441,2011-08-21 22:10:19.370,12
32.0,32.0,441,2011-08-21 22:12:37.993,12
192.0,227.0,425,2011-08-22 04:56:00.433,12
227.0,122.0,421,2011-08-22 10:30:09.733,12
122.0,227.0,421,2011-08-23 10:47:37.950,13
249.0,124.0,437,2011-08-22 13:22:20.000,12
249.0,531.0,437,2012-01-23 01:16:04.987,166
252.0,56.0,439,2011-08-22 17:10:32.630,12
252.0,252.0,439,2011-08-22 23:55:20.363,13
6.0,230.0,50,2011-08-23 10:15:10.230,13
6.0,47.0,50,2011-08-23 21:12:54.820,14
27.0,27.0,493,2011-08-24 15:33:12.133,14
27.0,124.0,493,2011-08-24 16:40:32.263,14
27.0,27.0,493,2011-08-24 17:26:13.780,14
311.0,311.0,419,2011-08-24 23:15:33.210,15
311.0,241.0,419,2011-09-13 12:18:13.143,34
190.0,81.0,526,2011-08-25 08:56:09.687,15
154.0,80.0,530,2011-08-26 01:40:11.980,16
80.0,321.0,530,2011-08-31 02:38:33.240,21
154.0,321.0,530,2011-08-31 02:50:42.317,21
154.0,80.0,530,2011-08-31 03:00:30.073,21
80.0,321.0,530,2011-08-31 07:46:50.063,21
321.0,80.0,530,2011-08-31 08:23:14.560,21
321.0,80.0,530,2012-01-30 06:38:25.397,173
31.0,217.0,545,2011-08-26 03:27:18.873,16
124.0,80.0,530,2011-08-26 03:31:48.490,16
124.0,80.0,530,2011-08-26 03:38:32.863,16
124.0,154.0,530,2011-08-26 07:00:12.460,16
80.0,124.0,530,2011-08-26 13:18:39.837,16
154.0,124.0,530,2011-08-26 13:19:56.560,16
124.0,101.0,530,2011-08-27 21:21:42.520,18
124.0,321.0,530,2011-08-31 02:29:32.773,21
94.0,32.0,509,2011-08-26 04:01:23.827,16
190.0,336.0,560,2011-08-26 10:26:23.793,16
190.0,190.0,560,2011-08-26 11:32:19.533,16
32.0,217.0,545,2011-08-26 14:51:49.257,16
190.0,65.0,568,2011-08-26 21:49:25.210,17
190.0,30.0,568,2011-09-08 17:15:30.710,29
7.0,303.0,1,2011-08-27 09:49:09.203,17
7.0,528.0,1,2011-10-04 02:10:19.643,55
345.0,227.0,581,2011-08-27 17:45:51.663,17
345.0,227.0,581,2011-08-28 14:33:10.953,18
345.0,345.0,581,2011-08-28 17:23:53.153,18
