QId,PostUserId,Time,days
1,10.0,2011-08-09 19:23:32.753,0
2,9.0,2011-08-09 19:28:14.910,0
3,12.0,2011-08-09 19:29:51.680,0
5,30.0,2011-08-09 19:34:12.267,0
9,22.0,2011-08-09 19:40:20.423,0
11,27.0,2011-08-09 19:40:36.263,0
17,7.0,2011-08-09 19:50:45.263,0
18,22.0,2011-08-09 19:51:08.740,0
22,30.0,2011-08-09 19:54:33.137,0
24,46.0,2011-08-09 19:57:06.393,0
25,7.0,2011-08-09 20:00:53.503,0
32,26.0,2011-08-09 20:12:57.053,0
38,60.0,2011-08-09 20:35:16.797,0
39,30.0,2011-08-09 20:39:02.940,0
42,7.0,2011-08-09 20:46:12.940,0
50,32.0,2011-08-09 21:09:00.837,0
57,32.0,2011-08-09 21:44:26.363,0
59,68.0,2011-08-09 21:51:25.590,0
60,32.0,2011-08-09 22:05:26.663,0
61,72.0,2011-08-09 22:10:23.567,0
72,73.0,2011-08-09 23:52:29.277,0
77,77.0,2011-08-10 00:24:03.393,0
82,74.0,2011-08-10 02:20:29.363,0
84,79.0,2011-08-10 03:00:50.717,0
91,95.0,2011-08-10 07:47:08.067,0
98,40.0,2011-08-10 09:25:10.590,0
103,94.0,2011-08-10 11:01:03.863,0
106,16.0,2011-08-10 13:00:08.283,0
112,77.0,2011-08-10 13:41:58.843,0
118,30.0,2011-08-10 14:59:07.363,0
120,30.0,2011-08-10 15:05:42.780,0
125,38.0,2011-08-10 16:14:10.007,0
135,44.0,2011-08-10 18:12:13.733,0
138,106.0,2011-08-10 18:24:49.317,0
142,30.0,2011-08-10 19:24:40.057,1
149,32.0,2011-08-10 20:50:18.157,1
152,30.0,2011-08-10 21:23:17.977,1
157,27.0,2011-08-10 21:43:47.617,1
159,111.0,2011-08-10 23:24:29.247,1
164,32.0,2011-08-11 00:12:21.150,1
171,26.0,2011-08-11 07:32:37.503,1
173,96.0,2011-08-11 08:07:40.257,1
175,32.0,2011-08-11 10:38:25.513,1
176,32.0,2011-08-11 10:52:27.010,1
182,81.0,2011-08-11 14:16:57.900,1
192,30.0,2011-08-11 16:43:37.143,1
193,64.0,2011-08-11 17:13:16.020,1
196,40.0,2011-08-11 18:12:32.970,1
198,10.0,2011-08-11 18:32:36.783,1
200,38.0,2011-08-11 18:56:27.003,1
202,72.0,2011-08-11 19:11:07.253,1
214,64.0,2011-08-11 21:51:17.403,2
219,26.0,2011-08-12 04:38:23.430,2
220,32.0,2011-08-12 04:49:22.843,2
222,97.0,2011-08-12 08:30:30.043,2
225,48.0,2011-08-12 12:11:51.500,2
235,101.0,2011-08-12 18:43:05.607,2
244,127.0,2011-08-13 03:17:48.287,3
246,127.0,2011-08-13 03:30:19.687,3
247,127.0,2011-08-13 03:45:54.357,3
254,86.0,2011-08-13 09:08:37.753,3
255,86.0,2011-08-13 09:27:07.687,3
261,124.0,2011-08-13 14:21:50.340,3
272,60.0,2011-08-13 19:03:13.197,3
282,32.0,2011-08-14 08:35:31.783,4
283,32.0,2011-08-14 08:41:45.617,4
284,32.0,2011-08-14 08:51:23.023,4
285,32.0,2011-08-14 09:06:22.647,4
287,65.0,2011-08-14 10:22:07.420,4
288,65.0,2011-08-14 10:28:47.113,4
295,99.0,2011-08-14 15:06:24.643,4
301,144.0,2011-08-14 17:09:12.717,4
302,124.0,2011-08-14 17:25:41.817,4
307,124.0,2011-08-14 20:23:39.163,5
