QId,PostUserId,RespondUserId,Time,days
1,10.0,7.0,2011-08-09 20:06:53.230,0
1,10.0,32.0,2011-08-09 21:31:59.280,0
1,10.0,74.0,2011-08-09 23:46:32.143,0
3,12.0,30.0,2011-08-09 19:41:09.727,0
3,12.0,24.0,2011-08-09 19:42:39.603,0
3,12.0,92.0,2011-08-10 06:46:01.173,0
3,12.0,47.0,2011-08-10 14:16:33.710,0
5,30.0,94.0,2011-08-11 11:22:02.790,1
5,30.0,72.0,2011-08-11 15:38:32.307,1
5,30.0,511.0,2011-09-24 15:53:30.047,45
5,30.0,218.0,2011-09-25 14:48:39.153,46
9,22.0,58.0,2011-08-09 20:24:42.840,0
9,22.0,79.0,2011-08-10 01:13:29.333,0
11,27.0,27.0,2011-08-09 19:41:39.820,0
11,27.0,24.0,2011-08-09 19:44:27.277,0
11,27.0,57.0,2011-08-09 20:29:46.113,0
11,27.0,72.0,2011-08-11 16:15:07.643,1
11,27.0,149.0,2011-08-15 22:07:52.787,6
17,7.0,252.0,2011-08-22 16:53:08.640,12
17,7.0,124.0,2011-09-16 04:53:59.623,37
18,22.0,68.0,2011-08-09 23:53:40.247,0
22,30.0,32.0,2011-08-09 20:48:59.663,0
22,30.0,653.0,2011-12-03 06:00:33.917,115
24,46.0,13.0,2011-08-10 03:26:06.640,0
25,7.0,7.0,2011-08-15 03:37:45.887,5
32,26.0,93.0,2011-08-10 07:04:16.043,0
32,26.0,32.0,2011-08-10 20:28:27.737,1
32,26.0,234.0,2011-08-20 16:21:17.173,10
32,26.0,528.0,2011-10-05 03:07:48.313,56
32,26.0,281.0,2011-10-06 01:15:05.197,57
32,26.0,533.0,2011-10-06 23:22:26.583,58
38,60.0,70.0,2011-08-09 21:39:41.893,0
42,7.0,64.0,2011-08-12 15:31:54.460,2
50,32.0,6.0,2011-08-09 21:46:32.440,0
50,32.0,72.0,2011-08-09 22:33:54.037,0
50,32.0,44.0,2011-08-10 18:22:01.443,0
50,32.0,27.0,2011-08-10 18:26:58.793,0
50,32.0,38.0,2011-08-10 20:06:37.387,1
50,32.0,169.0,2011-09-02 01:34:01.470,23
50,32.0,571.0,2011-10-24 21:07:54.017,76
50,32.0,296.0,2011-10-25 17:11:52.280,76
50,32.0,571.0,2011-10-26 04:05:30.900,77
59,68.0,94.0,2011-08-10 07:55:16.307,0
59,68.0,791.0,2012-01-20 15:16:32.797,163
60,32.0,73.0,2011-08-09 22:37:13.440,0
60,32.0,77.0,2011-08-09 23:49:27.880,0
60,32.0,7.0,2011-08-10 13:31:44.533,0
60,32.0,27.0,2011-08-10 13:57:30.457,0
60,32.0,107.0,2011-08-10 18:11:37.227,0
60,32.0,149.0,2011-08-15 22:01:23.323,6
60,32.0,50.0,2011-08-15 22:48:52.487,6
60,32.0,190.0,2011-08-17 08:08:52.043,7
60,32.0,192.0,2011-08-17 10:08:01.003,7
60,32.0,764.0,2012-01-10 22:19:57.303,154
60,32.0,775.0,2012-01-14 00:27:23.510,157
60,32.0,411.0,2012-01-15 20:42:37.457,159
60,32.0,779.0,2012-01-15 23:46:26.803,159
61,72.0,32.0,2011-08-09 22:22:40.277,0
72,73.0,77.0,2011-08-10 00:15:38.257,0
72,73.0,256.0,2011-11-02 00:22:16.173,84
77,77.0,60.0,2011-08-10 00:44:44.793,0
77,77.0,475.0,2011-09-18 02:47:10.190,39
82,74.0,32.0,2011-08-10 02:35:38.343,0
82,74.0,7.0,2011-08-10 15:20:48.330,0
82,74.0,136.0,2011-08-16 14:15:23.293,6
82,74.0,230.0,2011-08-19 20:42:18.830,10
