QId,PostUserId,Vote,Time,days
1.0,10.0,2,2011-08-09,0
1.0,10.0,2,2011-08-09,0
1.0,10.0,2,2011-08-09,0
2.0,9.0,2,2011-08-09,0
3.0,12.0,2,2011-08-09,0
1.0,10.0,2,2011-08-09,0
2.0,9.0,2,2011-08-09,0
2.0,9.0,2,2011-08-09,0
3.0,12.0,2,2011-08-09,0
5.0,30.0,2,2011-08-09,0
11.0,27.0,2,2011-08-09,0
3.0,12.0,3,2011-08-09,0
11.0,27.0,2,2011-08-09,0
9.0,22.0,2,2011-08-09,0
3.0,12.0,2,2011-08-09,0
22.0,30.0,2,2011-08-09,0
32.0,26.0,2,2011-08-09,0
3.0,12.0,2,2011-08-09,0
2.0,9.0,2,2011-08-09,0
11.0,27.0,2,2011-08-09,0
38.0,60.0,2,2011-08-09,0
42.0,7.0,3,2011-08-09,0
39.0,30.0,2,2011-08-09,0
2.0,9.0,2,2011-08-09,0
42.0,7.0,2,2011-08-09,0
11.0,27.0,3,2011-08-09,0
22.0,30.0,2,2011-08-09,0
9.0,22.0,2,2011-08-09,0
50.0,32.0,2,2011-08-09,0
24.0,46.0,2,2011-08-09,0
5.0,30.0,2,2011-08-09,0
60.0,32.0,2,2011-08-09,0
61.0,72.0,2,2011-08-09,0
60.0,32.0,2,2011-08-09,0
11.0,27.0,2,2011-08-09,0
57.0,32.0,2,2011-08-09,0
57.0,32.0,2,2011-08-09,0
61.0,72.0,2,2011-08-09,0
17.0,7.0,2,2011-08-09,0
60.0,32.0,2,2011-08-09,0
61.0,72.0,2,2011-08-09,0
72.0,73.0,2,2011-08-09,0
38.0,60.0,2,2011-08-10,1
50.0,32.0,2,2011-08-10,1
17.0,7.0,2,2011-08-10,1
38.0,60.0,2,2011-08-10,1
77.0,77.0,2,2011-08-10,1
82.0,74.0,2,2011-08-10,1
72.0,73.0,2,2011-08-10,1
38.0,60.0,2,2011-08-10,1
5.0,30.0,2,2011-08-10,1
32.0,26.0,2,2011-08-10,1
84.0,79.0,2,2011-08-10,1
84.0,79.0,2,2011-08-10,1
11.0,27.0,2,2011-08-10,1
60.0,32.0,2,2011-08-10,1
24.0,46.0,2,2011-08-10,1
82.0,74.0,2,2011-08-10,1
5.0,30.0,2,2011-08-10,1
82.0,74.0,2,2011-08-10,1
17.0,7.0,2,2011-08-10,1
82.0,74.0,2,2011-08-10,1
91.0,95.0,2,2011-08-10,1
5.0,30.0,2,2011-08-10,1
91.0,95.0,2,2011-08-10,1
24.0,46.0,2,2011-08-10,1
59.0,68.0,2,2011-08-10,1
82.0,74.0,2,2011-08-10,1
32.0,26.0,2,2011-08-10,1
82.0,74.0,2,2011-08-10,1
98.0,40.0,2,2011-08-10,1
91.0,95.0,2,2011-08-10,1
82.0,74.0,2,2011-08-10,1
