QId,RespondUserId,PostUserId,Time,days
1,22.0,121.0,2011-09-15 19:32:06.103,0
2,40.0,107.0,2011-09-15 10:43:19.383,0
3,48.0,27.0,2011-09-15 02:06:24.657,0
4,22.0,93.0,2011-09-15 18:02:32.020,0
6,43.0,205.0,2011-09-21 21:13:49.790,6
8,60.0,93.0,2011-09-15 05:04:51.117,0
9,6.0,97.0,2011-09-15 05:56:21.960,0
13,19.0,109.0,2011-09-15 12:05:24.463,0
14,114.0,48.0,2011-09-15 11:42:43.440,0
23,132.0,93.0,2011-09-15 16:29:44.153,0
28,123.0,109.0,2011-09-15 23:37:31.150,1
30,40.0,96.0,2011-09-16 03:54:43.543,1
37,128.0,93.0,2011-09-16 13:41:00.930,1
40,150.0,28.0,2011-09-16 18:59:37.197,1
42,43.0,28.0,2011-09-17 14:51:41.230,2
46,87.0,93.0,2011-09-17 16:48:22.580,2
54,43.0,120.0,2011-09-18 21:30:37.650,3
63,172.0,172.0,2011-11-02 01:00:04.533,48
65,11.0,49.0,2011-10-03 10:17:42.493,18
67,6.0,93.0,2011-09-20 13:32:25.937,5
68,121.0,93.0,2011-09-20 13:48:48.350,5
75,132.0,93.0,2011-09-20 15:39:29.060,5
82,43.0,15.0,2011-09-22 12:53:53.797,7
89,42.0,8.0,2011-09-22 12:42:48.377,7
93,93.0,216.0,2011-09-23 17:52:23.613,8
102,43.0,12.0,2011-09-24 04:14:55.873,9
105,12.0,558.0,2011-11-03 20:24:31.527,49
114,43.0,169.0,2011-09-26 17:51:07.410,11
127,121.0,274.0,2011-10-05 15:28:19.700,20
133,,216.0,2011-10-01 19:22:51.563,16
134,66.0,47.0,2011-10-03 14:54:16.733,18
137,194.0,93.0,2011-10-02 10:55:08.963,17
138,168.0,274.0,2011-10-05 10:41:34.640,20
143,229.0,216.0,2011-10-03 11:11:01.063,18
153,224.0,105.0,2011-10-05 16:53:14.833,20
161,97.0,97.0,2011-10-31 08:10:00.047,46
162,259.0,299.0,2011-10-05 14:18:47.107,20
168,304.0,418.0,2011-10-09 13:43:55.730,24
176,330.0,216.0,2011-10-06 05:19:37.613,21
177,224.0,93.0,2011-10-11 06:18:23.990,26
181,298.0,274.0,2011-10-06 10:36:56.067,21
192,358.0,318.0,2011-10-07 04:17:56.093,22
197,259.0,216.0,2011-10-07 19:35:44.857,22
203,395.0,28.0,2011-10-08 15:44:23.073,23
217,416.0,259.0,2011-10-09 15:27:46.677,24
234,399.0,43.0,2011-10-10 19:35:49.757,25
256,372.0,109.0,2011-10-12 12:26:09.557,27
261,168.0,109.0,2011-10-12 21:08:13.863,27
263,318.0,501.0,2011-10-22 04:01:48.090,37
278,457.0,109.0,2011-10-14 12:53:51.593,29
282,406.0,259.0,2011-10-15 05:42:34.430,30
283,299.0,553.0,2011-11-03 04:02:23.923,49
288,374.0,399.0,2011-10-15 17:00:58.283,30
291,150.0,216.0,2011-10-16 07:48:54.233,31
294,457.0,249.0,2011-10-16 06:43:33.937,31
299,43.0,216.0,2011-10-16 08:06:01.163,31
306,262.0,259.0,2011-10-17 04:56:47.197,32
316,150.0,453.0,2011-10-17 22:15:21.690,33
327,302.0,109.0,2011-10-18 08:01:39.957,33
344,330.0,216.0,2011-10-20 10:35:00.343,35
347,358.0,28.0,2011-10-20 15:50:29.967,35
353,150.0,109.0,2011-10-21 01:35:09.367,36
355,70.0,531.0,2011-10-28 01:51:34.480,43
363,298.0,274.0,2011-10-24 13:12:17.403,39
365,504.0,121.0,2011-10-24 17:59:10.847,39
367,168.0,70.0,2011-10-24 00:25:56.237,39
370,505.0,510.0,2011-10-25 17:47:58.497,40
378,49.0,229.0,2011-10-27 18:30:02.393,42
379,453.0,,2011-10-26 00:34:59.910,41
391,521.0,169.0,2011-10-26 19:01:19.043,41
392,8.0,8.0,2011-10-28 17:28:16.287,43
394,150.0,531.0,2011-11-02 19:09:10.543,48
395,150.0,211.0,2011-10-27 00:31:42.353,42
397,150.0,43.0,2011-10-27 01:51:09.660,42
410,96.0,96.0,2012-02-17 04:36:43.597,155
414,134.0,64.0,2011-10-30 19:48:01.003,45
420,542.0,399.0,2011-10-30 21:16:00.703,45
426,26.0,64.0,2011-11-01 23:07:57.123,48
437,93.0,527.0,2011-11-02 18:33:32.357,48
444,43.0,28.0,2011-11-03 00:34:44.820,49
462,563.0,531.0,2011-11-07 03:32:16.897,53
465,150.0,216.0,2011-11-05 15:33:31.650,51
467,150.0,562.0,2011-11-05 16:00:13.413,51
477,246.0,446.0,2011-11-06 22:13:09.167,53
481,49.0,93.0,2011-11-09 06:47:24.410,55
485,274.0,399.0,2011-11-08 19:50:06.013,54
486,460.0,49.0,2011-11-08 17:45:26.720,54
497,572.0,216.0,2011-11-10 08:59:06.117,56
499,262.0,211.0,2011-11-11 02:26:57.193,57
501,168.0,578.0,2011-11-14 09:12:57.960,60
505,569.0,604.0,2011-11-16 09:46:39.793,62
519,493.0,93.0,2011-11-14 15:23:30.220,60
526,229.0,121.0,2011-11-15 17:51:45.123,61
538,229.0,121.0,2011-11-21 16:51:27.493,67
540,,578.0,2011-11-25 19:45:25.213,71
542,141.0,399.0,2011-11-19 19:35:22.023,65
543,150.0,399.0,2011-11-19 21:17:00.273,65
551,246.0,274.0,2011-11-21 17:20:52.440,67
559,460.0,590.0,2011-11-23 06:32:09.610,69
564,381.0,274.0,2011-11-24 08:22:14.907,70
588,567.0,650.0,2011-11-26 04:28:18.860,72
594,150.0,617.0,2011-11-27 00:21:11.380,73
595,150.0,352.0,2011-12-05 15:15:37.300,81
605,510.0,578.0,2011-11-30 12:01:49.853,76
608,358.0,661.0,2011-12-01 09:46:51.507,77
618,665.0,172.0,2011-12-21 19:47:18.803,97
622,150.0,205.0,2011-12-03 20:28:30.073,79
625,43.0,123.0,2011-12-03 22:19:07.500,80
643,285.0,399.0,2011-12-10 01:10:49.650,86
644,682.0,93.0,2011-12-06 14:40:49.150,82
649,687.0,,2011-12-07 20:52:00.350,83
662,150.0,216.0,2011-12-09 21:22:12.880,85
668,87.0,381.0,2012-01-16 18:48:05.803,123
672,21.0,43.0,2011-12-11 19:48:10.990,87
674,150.0,216.0,2011-12-12 07:50:01.760,88
675,150.0,216.0,2011-12-12 08:23:33.130,88
678,211.0,531.0,2011-12-13 23:53:16.657,90
679,143.0,211.0,2011-12-12 23:37:58.763,89
697,150.0,216.0,2011-12-15 14:20:34.207,91
701,711.0,169.0,2011-12-19 03:29:54.397,95
710,21.0,578.0,2011-12-18 09:52:29.793,94
715,168.0,12.0,2011-12-20 22:20:52.303,97
720,475.0,216.0,2011-12-22 06:59:27.903,98
742,737.0,617.0,2011-12-27 18:51:08.713,103
747,168.0,259.0,2011-12-28 13:23:32.400,104
755,737.0,399.0,2011-12-30 19:57:28.753,106
758,707.0,399.0,2011-12-30 18:32:13.370,106
768,753.0,216.0,2012-01-01 20:36:05.417,108
771,753.0,216.0,2012-01-02 09:05:02.597,109
803,229.0,93.0,2012-01-17 09:00:46.463,124
822,168.0,118.0,2012-01-16 09:17:57.797,123
830,298.0,216.0,2012-01-18 07:14:10.573,125
849,521.0,617.0,2012-01-21 20:41:01.563,128
853,89.0,216.0,2012-01-23 06:23:22.537,130
854,168.0,399.0,2012-01-26 02:07:26.410,133
862,450.0,93.0,2012-01-26 07:48:26.950,133
863,493.0,134.0,2012-01-25 17:29:58.977,132
870,811.0,274.0,2012-01-26 09:52:13.993,133
877,711.0,104.0,2012-01-27 01:01:01.850,134
885,730.0,578.0,2012-02-01 17:39:09.223,139
889,521.0,334.0,2012-02-03 04:34:08.270,141
902,766.0,150.0,2012-02-07 08:34:00.027,145
906,493.0,134.0,2012-02-09 17:39:42.313,147
918,727.0,150.0,2012-02-14 19:03:44.767,152
922,450.0,208.0,2012-02-14 16:30:30.457,152
944,121.0,93.0,2012-02-18 06:22:08.907,156
954,885.0,169.0,2012-02-21 12:26:21.217,159
959,664.0,37.0,2012-02-23 12:02:07.137,161
960,711.0,37.0,2012-02-23 10:29:51.543,161
961,730.0,274.0,2012-02-23 16:30:35.567,161
975,682.0,189.0,2012-02-26 15:52:14.263,164
990,730.0,12.0,2012-03-08 15:22:19.423,175
997,617.0,47.0,2012-03-06 16:04:58.297,173
1005,97.0,97.0,2012-03-08 13:40:59.507,175
1016,285.0,927.0,2012-03-10 05:47:33.133,177
