PostUserId,RespondUserId,QId,Time,days
97.0,6.0,9,2011-09-15 11:44:04.920,0
97.0,97.0,9,2011-09-15 12:58:32.443,0
97.0,6.0,9,2011-09-15 15:30:42.680,0
97.0,97.0,9,2011-09-15 16:05:48.883,0
97.0,6.0,9,2011-09-15 16:07:20.097,0
28.0,65.0,5,2011-09-15 12:09:52.940,0
27.0,48.0,3,2011-09-15 12:44:08.750,0
27.0,363.0,3,2011-10-13 06:51:40.727,28
27.0,48.0,3,2011-10-13 20:26:26.733,28
107.0,97.0,2,2011-09-15 13:18:42.723,0
107.0,40.0,2,2011-09-15 14:23:03.940,0
107.0,40.0,2,2011-09-16 02:02:10.153,1
107.0,107.0,2,2011-09-16 07:37:03.127,1
107.0,107.0,2,2011-09-16 07:39:03.730,1
107.0,107.0,2,2011-09-16 07:39:25.853,1
93.0,132.0,23,2011-09-15 16:45:32.710,0
211.0,93.0,23,2011-09-15 16:54:55.347,0
93.0,26.0,23,2011-09-15 17:19:49.370,0
93.0,26.0,23,2011-09-15 17:25:32.607,0
90.0,132.0,23,2011-09-15 17:32:13.187,0
93.0,26.0,23,2011-09-15 17:56:46.313,0
93.0,93.0,23,2011-09-15 18:19:25.863,0
26.0,93.0,23,2011-09-15 18:30:33.237,0
93.0,26.0,23,2011-09-15 20:30:41.303,0
239.0,26.0,23,2011-09-15 20:36:27.850,0
26.0,132.0,23,2011-09-15 21:31:39.573,0
211.0,26.0,23,2011-09-15 21:49:24.097,0
26.0,93.0,23,2011-09-16 03:11:03.630,1
93.0,26.0,23,2011-09-16 04:20:54.537,1
96.0,40.0,30,2011-09-16 04:07:31.277,1
96.0,73.0,30,2011-09-16 05:26:53.513,1
73.0,96.0,30,2011-09-16 05:41:41.680,1
48.0,114.0,14,2011-09-16 07:28:43.747,1
48.0,114.0,14,2011-09-16 07:29:05.697,1
48.0,48.0,14,2011-09-16 11:47:08.770,1
48.0,48.0,14,2011-09-17 00:21:56.033,2
118.0,93.0,18,2011-09-16 09:00:45.687,1
118.0,118.0,18,2011-09-16 10:53:04.833,1
,109.0,28,2011-09-16 11:14:05.923,1
,,28,2011-09-16 11:35:21.120,1
,123.0,28,2011-09-16 19:23:32.593,1
93.0,128.0,37,2011-09-16 14:14:49.823,1
93.0,93.0,37,2011-09-16 14:30:35.937,1
93.0,208.0,37,2011-09-29 07:20:37.613,14
109.0,43.0,42,2011-09-17 07:24:41.930,2
109.0,28.0,42,2011-09-17 14:29:59.730,2
109.0,109.0,42,2011-09-17 19:12:27.867,2
28.0,43.0,42,2011-09-17 16:19:10.453,2
28.0,109.0,42,2011-09-17 17:43:51.933,2
28.0,150.0,40,2011-09-17 18:07:57.860,2
28.0,28.0,40,2011-09-17 18:26:36.580,2
