QId,PostUserId,Time,days
1,22.0,2011-09-14 22:08:57.500,0
2,40.0,2011-09-14 22:23:13.703,0
3,48.0,2011-09-14 22:34:28.207,0
4,22.0,2011-09-14 22:52:49.067,0
5,65.0,2011-09-14 23:10:28.697,0
6,43.0,2011-09-14 23:23:40.583,0
8,60.0,2011-09-15 00:00:48.993,0
9,6.0,2011-09-15 01:33:53.970,0
13,19.0,2011-09-15 07:15:46.933,0
14,114.0,2011-09-15 07:43:35.717,0
18,118.0,2011-09-15 10:32:46.953,0
22,97.0,2011-09-15 13:06:56.893,0
23,132.0,2011-09-15 14:10:16.087,0
28,123.0,2011-09-15 19:47:34.950,0
30,40.0,2011-09-16 01:52:44.817,1
36,109.0,2011-09-16 11:01:28.700,1
37,128.0,2011-09-16 11:53:06.593,1
40,150.0,2011-09-16 17:30:01.787,1
42,43.0,2011-09-17 02:33:56.330,2
46,87.0,2011-09-17 15:04:26.677,2
49,97.0,2011-09-17 19:15:07.933,2
51,121.0,2011-09-18 09:59:20.807,3
52,57.0,2011-09-18 15:42:32.413,3
54,43.0,2011-09-18 18:03:29.453,3
57,123.0,2011-09-19 06:05:25.950,4
61,105.0,2011-09-19 15:19:02.860,4
62,,2011-09-19 16:04:13.673,4
63,172.0,2011-09-19 17:15:50.320,4
65,11.0,2011-09-19 22:17:54.513,5
67,6.0,2011-09-20 12:57:57.830,5
68,121.0,2011-09-20 13:21:08.197,5
75,132.0,2011-09-20 14:20:27.693,5
78,200.0,2011-09-20 15:08:30.273,5
80,113.0,2011-09-20 20:08:10.107,5
82,43.0,2011-09-20 20:37:39.943,5
87,118.0,2011-09-21 20:47:02.200,6
89,42.0,2011-09-22 11:34:44.337,7
93,93.0,2011-09-23 05:52:30.097,8
94,114.0,2011-09-23 07:37:03.140,8
97,6.0,2011-09-23 17:41:36.267,8
102,43.0,2011-09-24 02:42:06.797,9
105,12.0,2011-09-24 05:43:45.123,9
107,113.0,2011-09-24 17:46:05.783,9
114,43.0,2011-09-25 21:08:13.100,10
118,113.0,2011-09-26 19:09:51.167,11
120,114.0,2011-09-27 09:46:58.050,12
123,93.0,2011-09-29 06:27:03.573,14
125,121.0,2011-09-29 13:38:54.957,14
126,105.0,2011-09-30 10:34:07.010,15
127,121.0,2011-09-30 12:49:17.147,15
131,,2011-10-01 13:55:57.020,16
133,,2011-10-01 17:53:41.637,16
134,66.0,2011-10-01 18:44:45.410,16
135,,2011-10-01 19:00:46.890,16
137,194.0,2011-10-01 20:44:12.910,16
138,168.0,2011-10-02 01:50:20.173,17
143,229.0,2011-10-03 09:16:14.853,18
149,223.0,2011-10-04 20:18:47.950,19
151,21.0,2011-10-04 22:00:27.313,19
153,224.0,2011-10-04 22:02:40.290,19
155,78.0,2011-10-05 02:32:00.747,20
161,97.0,2011-10-05 13:12:15.457,20
162,259.0,2011-10-05 13:34:13.877,20
166,301.0,2011-10-05 15:30:52.650,20
167,301.0,2011-10-05 15:36:15.077,20
168,304.0,2011-10-05 16:00:32.020,20
175,324.0,2011-10-06 03:22:13.210,21
176,330.0,2011-10-06 04:19:05.577,21
177,224.0,2011-10-06 04:35:18.800,21
181,298.0,2011-10-06 09:48:06.830,21
183,337.0,2011-10-06 10:25:43.870,21
192,358.0,2011-10-07 02:53:29.100,22
194,363.0,2011-10-07 04:34:00.420,22
195,363.0,2011-10-07 04:44:23.543,22
197,259.0,2011-10-07 16:56:01.720,22
198,105.0,2011-10-07 17:23:51.807,22
203,395.0,2011-10-08 13:14:29.233,23
205,372.0,2011-10-08 17:57:59.370,23
206,262.0,2011-10-08 19:39:15.383,23
207,141.0,2011-10-08 19:49:56.397,23
208,78.0,2011-10-08 19:56:19.440,23
216,274.0,2011-10-09 10:25:55.423,24
217,416.0,2011-10-09 10:46:32.830,24
218,198.0,2011-10-09 13:03:38.567,24
222,425.0,2011-10-09 18:37:04.007,24
234,399.0,2011-10-10 18:54:16.437,25
237,445.0,2011-10-11 02:41:50.627,26
245,121.0,2011-10-11 13:31:50.643,26
254,259.0,2011-10-12 03:46:58.643,27
256,372.0,2011-10-12 11:10:32.823,27
261,168.0,2011-10-12 20:20:27.757,27
263,318.0,2011-10-12 23:34:51.160,28
267,318.0,2011-10-13 03:59:45.233,28
278,457.0,2011-10-14 08:27:58.023,29
282,406.0,2011-10-14 21:18:23.807,29
283,299.0,2011-10-15 01:21:37.783,30
288,374.0,2011-10-15 15:21:11.003,30
290,168.0,2011-10-15 18:43:42.427,30
291,150.0,2011-10-15 19:20:21.223,30
294,457.0,2011-10-15 20:39:26.637,30
299,43.0,2011-10-16 02:12:20.357,31
303,474.0,2011-10-16 12:48:28.440,31
306,262.0,2011-10-16 18:53:02.023,31
308,150.0,2011-10-17 06:50:31.617,32
309,416.0,2011-10-17 07:49:25.740,32
314,481.0,2011-10-17 21:13:27.133,32
316,150.0,2011-10-17 21:20:24.190,32
317,150.0,2011-10-17 21:26:52.930,32
319,334.0,2011-10-18 02:10:58.723,33
321,321.0,2011-10-18 03:33:38.870,33
327,302.0,2011-10-18 06:25:51.720,33
329,28.0,2011-10-18 11:01:54.993,33
332,485.0,2011-10-18 19:24:09.987,33
334,487.0,2011-10-19 00:36:15.937,34
344,330.0,2011-10-20 04:40:10.820,35
346,109.0,2011-10-20 12:33:13.370,35
347,358.0,2011-10-20 14:36:42.570,35
353,150.0,2011-10-21 00:06:05.180,36
355,70.0,2011-10-21 10:57:38.750,36
359,358.0,2011-10-22 22:26:58.740,38
362,366.0,2011-10-23 14:41:05.713,38
363,298.0,2011-10-23 16:38:15.580,38
365,504.0,2011-10-23 19:56:44.620,38
367,168.0,2011-10-23 22:26:47.377,39
370,505.0,2011-10-24 12:49:49.657,39
378,49.0,2011-10-24 23:28:33.980,40
379,453.0,2011-10-25 00:39:53.033,40
383,259.0,2011-10-25 16:54:24.127,40
390,11.0,2011-10-26 17:21:40.843,41
391,521.0,2011-10-26 18:19:43.320,41
392,8.0,2011-10-26 18:38:55.007,41
394,150.0,2011-10-26 19:55:52.797,41
395,150.0,2011-10-26 19:59:12.403,41
396,150.0,2011-10-26 20:05:04.300,41
397,150.0,2011-10-26 20:19:32.657,41
410,96.0,2011-10-29 11:38:41.307,44
411,536.0,2011-10-29 12:31:15.293,44
414,134.0,2011-10-29 19:17:54.020,44
417,493.0,2011-10-30 01:41:22.527,45
418,121.0,2011-10-30 11:27:13.697,45
420,542.0,2011-10-30 15:51:59.393,45
424,493.0,2011-10-31 23:05:18.477,47
426,26.0,2011-11-01 16:04:11.700,47
427,43.0,2011-11-01 16:25:08.750,47
