QId,PostUserId,RespondUserId,Time,days
1,22.0,121.0,2011-09-15 19:32:06.103,0
2,40.0,107.0,2011-09-15 10:43:19.383,0
2,40.0,105.0,2011-09-16 06:50:37.187,1
2,40.0,260.0,2011-10-05 02:46:25.593,20
2,40.0,727.0,2012-02-14 05:24:55.833,152
3,48.0,27.0,2011-09-15 02:06:24.657,0
3,48.0,128.0,2011-09-15 10:09:39.377,0
3,48.0,463.0,2011-10-13 19:22:46.457,28
4,22.0,93.0,2011-09-15 18:02:32.020,0
5,65.0,28.0,2011-09-14 23:37:42.287,0
6,43.0,205.0,2011-09-21 21:13:49.790,6
8,60.0,93.0,2011-09-15 05:04:51.117,0
8,60.0,121.0,2011-09-18 08:31:17.863,3
8,60.0,463.0,2011-10-13 19:12:33.847,28
9,6.0,97.0,2011-09-15 05:56:21.960,0
13,19.0,96.0,2011-09-15 09:54:22.897,0
13,19.0,109.0,2011-09-15 12:05:24.463,0
14,114.0,48.0,2011-09-15 11:42:43.440,0
14,114.0,281.0,2011-10-26 22:30:18.940,42
18,118.0,118.0,2011-09-16 08:48:23.617,1
22,97.0,216.0,2011-09-23 18:46:49.213,8
23,132.0,93.0,2011-09-15 16:29:44.153,0
23,132.0,60.0,2011-09-16 03:18:51.050,1
23,132.0,54.0,2011-09-17 09:03:16.587,2
28,123.0,109.0,2011-09-15 23:37:31.150,1
28,123.0,,2011-09-16 10:54:24.667,1
30,40.0,96.0,2011-09-16 03:54:43.543,1
36,109.0,109.0,2011-10-12 19:02:56.997,27
37,128.0,93.0,2011-09-16 13:41:00.930,1
37,128.0,297.0,2011-10-05 14:16:07.467,20
37,128.0,246.0,2011-10-05 16:43:55.410,20
40,150.0,28.0,2011-09-16 18:59:37.197,1
40,150.0,205.0,2011-09-25 16:04:09.837,10
42,43.0,109.0,2011-09-17 07:20:00.880,2
42,43.0,28.0,2011-09-17 14:51:41.230,2
46,87.0,93.0,2011-09-17 16:48:22.580,2
46,87.0,12.0,2011-09-17 17:20:39.607,2
49,97.0,491.0,2011-11-09 15:31:10.023,55
54,43.0,120.0,2011-09-18 21:30:37.650,3
57,123.0,43.0,2011-09-19 06:42:00.663,4
57,123.0,118.0,2011-09-19 08:37:33.483,4
57,123.0,66.0,2011-09-19 20:33:24.060,4
57,123.0,114.0,2011-09-20 13:57:31.787,5
57,123.0,123.0,2011-11-02 22:27:17.817,49
61,105.0,363.0,2011-10-07 07:36:18.977,22
62,,216.0,2011-09-23 18:16:34.700,8
63,172.0,93.0,2011-09-20 07:36:46.857,5
63,172.0,198.0,2011-09-20 13:46:01.790,5
63,172.0,172.0,2011-11-02 01:00:04.533,48
63,172.0,297.0,2011-11-05 16:26:14.173,51
65,11.0,93.0,2011-09-23 05:04:22.027,8
65,11.0,49.0,2011-10-03 10:17:42.493,18
67,6.0,48.0,2011-09-20 13:29:01.360,5
67,6.0,93.0,2011-09-20 13:32:25.937,5
68,121.0,93.0,2011-09-20 13:48:48.350,5
68,121.0,6.0,2011-09-20 13:53:28.613,5
68,121.0,255.0,2011-10-05 12:54:18.117,20
75,132.0,40.0,2011-09-20 14:59:20.267,5
75,132.0,93.0,2011-09-20 15:39:29.060,5
75,132.0,428.0,2011-10-09 21:56:52.033,24
75,132.0,302.0,2011-10-13 19:08:24.063,28
75,132.0,797.0,2012-01-20 17:42:36.503,127
78,200.0,85.0,2011-09-21 03:25:08.097,6
80,113.0,43.0,2011-09-20 20:28:43.853,5
80,113.0,85.0,2011-09-21 02:35:05.873,6
80,113.0,105.0,2011-09-21 07:23:33.257,6
80,113.0,113.0,2011-09-24 17:22:45.553,9
80,113.0,250.0,2011-10-04 22:39:20.953,20
82,43.0,97.0,2011-09-21 19:11:23.650,6
82,43.0,15.0,2011-09-22 12:53:53.797,7
89,42.0,8.0,2011-09-22 12:42:48.377,7
93,93.0,216.0,2011-09-23 17:52:23.613,8
93,93.0,12.0,2011-09-24 04:45:21.920,9
93,93.0,356.0,2011-10-07 00:18:34.163,22
93,93.0,302.0,2011-10-07 23:52:30.783,23
93,93.0,826.0,2012-01-31 04:57:54.167,138
94,114.0,120.0,2011-09-23 08:22:35.627,8
94,114.0,109.0,2011-09-24 01:15:04.337,9
94,114.0,217.0,2011-09-25 13:15:38.113,10
102,43.0,12.0,2011-09-24 04:14:55.873,9
105,12.0,558.0,2011-11-03 20:24:31.527,49
107,113.0,93.0,2011-09-25 05:02:38.940,10
107,113.0,105.0,2011-09-25 09:38:42.560,10
107,113.0,109.0,2011-09-27 23:23:28.987,13
114,43.0,37.0,2011-09-25 22:06:06.230,10
114,43.0,93.0,2011-09-26 05:00:36.250,11
114,43.0,169.0,2011-09-26 17:51:07.410,11
118,113.0,246.0,2011-10-04 21:46:15.880,19
120,114.0,217.0,2011-09-27 15:05:26.397,12
120,114.0,111.0,2011-10-04 19:50:55.393,19
123,93.0,208.0,2011-09-29 07:15:39.537,14
123,93.0,255.0,2011-10-05 07:16:35.620,20
123,93.0,352.0,2011-10-07 18:08:35.500,22
125,121.0,229.0,2011-10-01 11:00:23.480,16
125,121.0,336.0,2011-10-06 09:50:47.957,21
126,105.0,113.0,2011-10-02 06:16:32.710,17
126,105.0,97.0,2011-10-02 07:21:22.410,17
127,121.0,93.0,2011-09-30 15:22:15.473,15
127,121.0,64.0,2011-10-01 03:25:40.117,16
127,121.0,93.0,2011-10-03 16:20:13.210,18
127,121.0,194.0,2011-10-04 22:01:15.510,19
127,121.0,274.0,2011-10-05 15:28:19.700,20
131,,216.0,2011-10-01 14:52:58.693,16
133,,216.0,2011-10-01 19:22:51.563,16
134,66.0,47.0,2011-10-03 14:54:16.733,18
137,194.0,93.0,2011-10-02 10:55:08.963,17
138,168.0,28.0,2011-10-02 13:37:15.750,17
138,168.0,274.0,2011-10-05 10:41:34.640,20
143,229.0,216.0,2011-10-03 11:11:01.063,18
153,224.0,105.0,2011-10-05 16:53:14.833,20
155,78.0,314.0,2011-10-05 20:34:31.330,20
155,78.0,255.0,2011-10-06 08:35:38.490,21
161,97.0,97.0,2011-10-31 08:10:00.047,46
162,259.0,299.0,2011-10-05 14:18:47.107,20
162,259.0,216.0,2011-10-05 17:14:49.950,20
166,301.0,260.0,2011-10-05 17:31:29.707,20
166,301.0,315.0,2011-10-05 20:52:52.390,20
166,301.0,323.0,2011-10-06 14:38:20.610,21
166,301.0,347.0,2011-10-06 16:46:36.367,21
166,301.0,,2011-10-07 17:57:04.003,22
168,304.0,418.0,2011-10-09 13:43:55.730,24
175,324.0,97.0,2011-10-06 06:19:42.570,21
175,324.0,314.0,2011-10-06 21:42:39.517,21
175,324.0,15.0,2011-10-11 16:39:18.283,26
175,324.0,85.0,2011-10-11 22:15:41.133,27
175,324.0,463.0,2011-10-13 18:50:00.327,28
176,330.0,216.0,2011-10-06 05:19:37.613,21
177,224.0,93.0,2011-10-11 06:18:23.990,26
177,224.0,363.0,2011-10-12 08:29:49.503,27
181,298.0,274.0,2011-10-06 10:36:56.067,21
181,298.0,216.0,2011-10-06 12:20:22.010,21
183,337.0,150.0,2011-12-24 19:37:54.153,100
192,358.0,318.0,2011-10-07 04:17:56.093,22
194,363.0,12.0,2011-10-09 04:31:57.773,24
197,259.0,216.0,2011-10-07 19:35:44.857,22
203,395.0,28.0,2011-10-08 15:44:23.073,23
205,372.0,260.0,2011-10-09 00:11:09.553,24
205,372.0,11.0,2011-10-09 00:56:25.767,24
205,372.0,105.0,2011-10-09 16:13:56.733,24
206,262.0,43.0,2011-10-08 20:11:46.843,23
206,262.0,28.0,2011-10-08 20:17:37.247,23
207,141.0,93.0,2011-10-10 09:42:22.263,25
207,141.0,40.0,2011-10-11 01:39:50.057,26
208,78.0,93.0,2011-10-10 08:41:50.333,25
217,416.0,259.0,2011-10-09 15:27:46.677,24
218,198.0,352.0,2011-10-23 17:06:43.813,38
218,198.0,453.0,2011-10-23 20:54:46.743,38
222,425.0,43.0,2011-10-09 18:59:07.320,24
222,425.0,48.0,2011-10-09 19:55:13.067,24
222,425.0,318.0,2011-10-09 20:23:07.547,24
222,425.0,109.0,2011-10-09 21:29:31.113,24
222,425.0,28.0,2011-10-09 21:38:18.030,24
222,425.0,435.0,2011-10-10 13:10:03.847,25
222,425.0,262.0,2011-10-11 08:21:20.500,26
222,425.0,35.0,2011-10-11 10:35:12.440,26
222,425.0,94.0,2011-10-12 19:27:13.870,27
222,425.0,406.0,2011-10-13 00:58:40.597,28
222,425.0,453.0,2011-10-13 03:45:14.663,28
222,425.0,463.0,2011-10-13 18:27:15.913,28
222,425.0,424.0,2011-10-15 12:32:39.560,30
222,425.0,302.0,2011-10-17 13:26:42.797,32
222,425.0,482.0,2011-10-18 22:49:20.123,34
222,425.0,514.0,2011-10-25 17:02:48.143,40
222,425.0,424.0,2011-11-23 13:36:18.637,69
222,425.0,424.0,2011-11-26 11:44:49.440,72
234,399.0,43.0,2011-10-10 19:35:49.757,25
237,445.0,259.0,2011-10-11 04:01:31.300,26
237,445.0,61.0,2011-10-11 07:41:23.353,26
237,445.0,198.0,2011-10-11 13:11:24.590,26
237,445.0,314.0,2011-10-11 20:09:09.873,26
245,121.0,198.0,2011-10-11 15:06:24.090,26
245,121.0,49.0,2011-10-11 15:28:56.533,26
245,121.0,352.0,2011-10-11 17:30:28.200,26
245,121.0,493.0,2011-10-19 17:28:37.963,34
245,121.0,424.0,2011-10-22 14:57:00.707,37
254,259.0,50.0,2011-10-12 12:40:43.337,27
254,259.0,168.0,2011-10-20 22:22:23.947,36
254,259.0,109.0,2011-10-21 00:02:29.600,36
256,372.0,109.0,2011-10-12 12:26:09.557,27
261,168.0,109.0,2011-10-12 21:08:13.863,27
261,168.0,12.0,2011-10-12 23:49:44.050,28
