QId,PostUserId,Vote,Time,days
2.0,40.0,2,2011-09-14,0
2.0,40.0,2,2011-09-14,0
2.0,40.0,2,2011-09-14,0
1.0,22.0,2,2011-09-14,0
1.0,22.0,2,2011-09-14,0
2.0,40.0,2,2011-09-14,0
2.0,40.0,2,2011-09-14,0
1.0,22.0,2,2011-09-14,0
2.0,40.0,2,2011-09-14,0
3.0,48.0,2,2011-09-14,0
3.0,48.0,2,2011-09-14,0
2.0,40.0,2,2011-09-14,0
1.0,22.0,2,2011-09-14,0
2.0,40.0,2,2011-09-14,0
2.0,40.0,2,2011-09-14,0
3.0,48.0,2,2011-09-14,0
5.0,65.0,2,2011-09-14,0
1.0,22.0,2,2011-09-14,0
5.0,65.0,2,2011-09-14,0
5.0,65.0,2,2011-09-14,0
6.0,43.0,2,2011-09-14,0
6.0,43.0,2,2011-09-14,0
5.0,65.0,2,2011-09-14,0
6.0,43.0,2,2011-09-14,0
6.0,43.0,2,2011-09-14,0
4.0,22.0,2,2011-09-14,0
1.0,22.0,2,2011-09-14,0
3.0,48.0,2,2011-09-14,0
6.0,43.0,2,2011-09-15,1
8.0,60.0,2,2011-09-15,1
4.0,22.0,2,2011-09-15,1
5.0,65.0,2,2011-09-15,1
8.0,60.0,2,2011-09-15,1
2.0,40.0,2,2011-09-15,1
2.0,40.0,2,2011-09-15,1
1.0,22.0,2,2011-09-15,1
2.0,40.0,2,2011-09-15,1
3.0,48.0,2,2011-09-15,1
4.0,22.0,2,2011-09-15,1
5.0,65.0,2,2011-09-15,1
6.0,43.0,2,2011-09-15,1
8.0,60.0,2,2011-09-15,1
6.0,43.0,2,2011-09-15,1
9.0,6.0,2,2011-09-15,1
8.0,60.0,2,2011-09-15,1
5.0,65.0,2,2011-09-15,1
1.0,22.0,2,2011-09-15,1
1.0,22.0,2,2011-09-15,1
3.0,48.0,2,2011-09-15,1
3.0,48.0,2,2011-09-15,1
1.0,22.0,2,2011-09-15,1
8.0,60.0,2,2011-09-15,1
6.0,43.0,2,2011-09-15,1
5.0,65.0,2,2011-09-15,1
4.0,22.0,2,2011-09-15,1
5.0,65.0,2,2011-09-15,1
3.0,48.0,2,2011-09-15,1
8.0,60.0,3,2011-09-15,1
1.0,22.0,2,2011-09-15,1
3.0,48.0,2,2011-09-15,1
2.0,40.0,2,2011-09-15,1
1.0,22.0,2,2011-09-15,1
4.0,22.0,2,2011-09-15,1
5.0,65.0,2,2011-09-15,1
6.0,43.0,2,2011-09-15,1
9.0,6.0,2,2011-09-15,1
8.0,60.0,2,2011-09-15,1
3.0,48.0,2,2011-09-15,1
2.0,40.0,2,2011-09-15,1
6.0,43.0,2,2011-09-15,1
5.0,65.0,2,2011-09-15,1
5.0,65.0,2,2011-09-15,1
8.0,60.0,2,2011-09-15,1
5.0,65.0,2,2011-09-15,1
6.0,43.0,2,2011-09-15,1
3.0,48.0,2,2011-09-15,1
6.0,43.0,2,2011-09-15,1
9.0,6.0,2,2011-09-15,1
