QId,RespondUserId,PostUserId,Time,days
2,4.0,46.0,2011-06-01 21:19:41.090,0
4,13.0,17.0,2011-06-01 19:52:39.400,0
6,12.0,160.0,2011-06-09 20:58:33.233,8
7,9.0,12.0,2011-06-01 19:50:19.463,0
8,19.0,23.0,2011-06-01 19:48:16.970,0
10,16.0,218.0,2011-06-29 16:28:09.697,27
12,19.0,23.0,2011-06-01 21:07:24.013,0
14,16.0,22.0,2011-06-01 20:05:29.270,0
15,9.0,4.0,2011-06-01 20:00:34.993,0
18,28.0,33.0,2011-06-01 20:12:43.977,0
25,30.0,23.0,2011-06-01 20:07:18.223,0
28,26.0,23.0,2011-06-01 20:14:55.637,0
39,16.0,51.0,2011-06-01 21:26:49.697,0
43,19.0,33.0,2011-06-01 20:27:21.693,0
46,16.0,4.0,2011-06-01 20:37:14.713,0
50,8.0,118.0,2011-06-03 04:19:01.320,1
63,23.0,46.0,2011-06-01 21:24:22.273,0
74,4.0,23.0,2011-06-02 02:55:44.010,0
78,53.0,22.0,2011-06-01 23:29:44.273,0
80,64.0,22.0,2011-06-01 23:58:06.920,0
81,4.0,57.0,2011-06-02 00:00:46.443,0
88,71.0,20.0,2011-06-02 14:10:00.360,0
89,18.0,57.0,2011-06-02 00:59:19.520,0
93,71.0,4.0,2011-06-02 01:58:57.687,0
94,71.0,81.0,2011-06-02 04:25:28.223,0
98,12.0,4.0,2011-06-02 03:12:00.670,0
99,12.0,22.0,2011-06-02 03:32:21.027,0
114,62.0,23.0,2011-06-02 05:20:30.027,0
116,98.0,23.0,2011-06-02 13:49:59.280,0
117,98.0,102.0,2011-06-02 09:06:24.897,0
119,101.0,326.0,2011-06-22 18:29:11.420,20
120,93.0,99.0,2011-06-02 09:04:44.147,0
123,19.0,68.0,2011-06-02 14:32:38.770,0
124,19.0,22.0,2011-06-02 14:24:26.950,0
125,106.0,81.0,2011-06-02 18:21:06.130,0
126,106.0,33.0,2011-06-02 15:23:50.980,0
127,106.0,46.0,2011-06-02 17:45:33.377,0
138,98.0,68.0,2011-06-02 14:40:52.613,0
152,61.0,23.0,2011-06-17 19:35:11.537,16
154,86.0,64.0,2011-06-03 01:29:49.217,1
155,63.0,22.0,2011-06-03 15:23:53.620,1
157,52.0,53.0,2011-06-02 17:49:19.630,0
169,117.0,73.0,2011-06-02 21:09:55.050,1
171,19.0,22.0,2011-06-03 20:54:31.563,2
177,8.0,57.0,2011-06-02 23:04:13.677,1
180,75.0,57.0,2011-06-03 22:19:23.567,2
186,52.0,23.0,2011-06-03 12:50:33.880,1
188,120.0,118.0,2011-06-03 04:59:49.007,1
