PostUserId,RespondUserId,QId,Time,days
9.0,13.0,1,2011-06-01 19:41:26.173,0
28.0,31.0,18,2011-06-01 19:55:34.430,0
28.0,336.0,18,2011-06-29 03:55:41.517,27
13.0,19.0,4,2011-06-01 20:08:20.223,0
13.0,13.0,4,2011-06-01 20:11:52.517,0
64.0,53.0,80,2011-06-01 23:58:23.923,0
53.0,64.0,80,2011-06-02 01:56:46.777,0
64.0,159.0,80,2011-07-19 17:14:51.410,47
71.0,4.0,93,2011-06-02 01:34:18.320,0
4.0,84.0,81,2011-06-02 04:07:14.763,0
84.0,4.0,81,2011-06-02 04:15:43.557,0
60.0,90.0,107,2011-06-02 04:33:28.057,0
30.0,98.0,25,2011-06-02 07:28:42.840,0
4.0,104.0,2,2011-06-02 09:43:34.253,0
4.0,515.0,2,2011-07-29 16:40:37.000,57
93.0,19.0,118,2011-06-02 09:54:46.367,0
93.0,62.0,118,2011-06-02 15:16:18.590,0
23.0,9.0,113,2011-06-02 10:11:02.133,0
23.0,23.0,113,2011-06-02 13:39:37.063,0
23.0,,113,2011-06-16 06:26:34.563,14
98.0,110.0,116,2011-06-02 12:37:57.887,0
93.0,33.0,120,2011-06-02 15:03:15.373,0
93.0,46.0,120,2011-06-02 17:49:58.633,0
93.0,143.0,120,2011-06-13 19:43:25.647,12
34.0,76.0,70,2011-06-02 17:05:20.350,0
19.0,71.0,123,2011-06-02 22:33:16.583,1
86.0,50.0,154,2011-06-03 00:15:11.703,1
86.0,22.0,154,2011-06-18 00:19:53.583,16
74.0,75.0,183,2011-06-03 02:37:17.687,1
74.0,74.0,183,2011-06-03 02:47:00.523,1
74.0,347.0,183,2011-06-26 06:28:52.457,24
120.0,33.0,188,2011-06-03 06:00:45.087,1
19.0,73.0,171,2011-06-03 16:17:37.653,1
19.0,73.0,171,2011-06-03 16:31:12.907,1
19.0,19.0,171,2011-06-03 16:34:31.597,1
19.0,73.0,171,2011-06-03 16:35:58.130,1
19.0,19.0,171,2011-06-03 16:38:10.567,1
19.0,19.0,171,2011-06-03 16:38:54.653,1
19.0,73.0,171,2011-06-03 16:53:54.017,1
19.0,57.0,171,2011-06-05 00:30:39.780,3
61.0,13.0,152,2011-06-03 22:51:04.750,2
61.0,61.0,152,2011-06-04 16:20:37.440,2
61.0,13.0,152,2011-06-05 10:38:31.757,3
61.0,218.0,152,2011-06-17 14:25:37.683,15
126.0,9.0,208,2011-06-05 07:55:55.743,3
22.0,51.0,240,2011-06-05 21:23:00.337,4
22.0,22.0,240,2011-06-05 21:25:20.867,4
22.0,13.0,240,2011-06-05 21:26:26.777,4
22.0,51.0,240,2011-06-05 21:28:51.393,4
22.0,51.0,240,2011-06-05 21:45:56.083,4
22.0,13.0,240,2011-06-05 21:50:21.383,4
26.0,26.0,247,2011-06-06 07:21:14.490,4
40.0,51.0,251,2011-06-06 16:13:26.343,4
53.0,73.0,276,2011-06-08 12:44:25.430,6
53.0,23.0,276,2011-06-08 13:32:11.537,6
53.0,86.0,276,2011-06-08 14:05:52.603,6
53.0,53.0,276,2011-06-08 14:41:03.443,6
53.0,53.0,276,2011-06-08 14:45:12.440,6
53.0,86.0,276,2011-06-08 14:59:05.150,6
53.0,23.0,276,2011-06-08 15:22:34.163,6
57.0,86.0,273,2011-06-08 13:58:05.320,6
57.0,57.0,273,2011-06-08 15:56:26.157,6
57.0,164.0,245,2011-06-08 21:38:23.160,7
57.0,,245,2011-07-04 08:52:16.107,32
126.0,166.0,210,2011-06-08 21:42:41.697,7
166.0,4.0,210,2011-07-12 06:08:50.993,40
166.0,126.0,210,2011-07-12 07:29:05.417,40
96.0,4.0,317,2011-06-09 08:34:23.653,7
96.0,96.0,317,2011-06-09 09:03:54.423,7
96.0,4.0,317,2011-06-09 09:59:39.957,7
96.0,96.0,317,2011-06-09 17:47:49.470,7
96.0,4.0,317,2011-06-09 22:55:53.393,8
25.0,86.0,289,2011-06-10 19:40:52.750,9
120.0,228.0,348,2011-06-11 12:45:22.280,9
231.0,57.0,365,2011-06-12 16:14:28.477,10
231.0,515.0,365,2011-07-29 23:50:14.433,58
240.0,143.0,390,2011-06-12 19:16:41.943,10
100.0,4.0,393,2011-06-13 07:36:02.230,11
248.0,75.0,403,2011-06-13 18:51:23.453,11
4.0,57.0,413,2011-06-14 06:33:02.080,12
29.0,57.0,427,2011-06-14 23:52:10.857,13
19.0,218.0,211,2011-06-15 21:02:05.080,14
19.0,279.0,211,2011-06-17 06:30:57.510,15
19.0,248.0,211,2011-06-17 12:21:08.897,15
19.0,112.0,211,2011-09-07 15:01:23.727,97
207.0,96.0,407,2011-06-16 12:03:43.157,14
207.0,8.0,407,2011-06-28 17:34:20.927,26
201.0,9.0,455,2011-06-17 17:07:32.680,15
201.0,153.0,455,2011-06-17 18:06:45.803,15
283.0,73.0,470,2011-06-17 21:31:11.790,16
283.0,73.0,470,2011-06-17 21:31:19.887,16
283.0,63.0,467,2011-06-19 12:18:15.510,17
283.0,300.0,467,2011-06-19 17:40:21.427,17
96.0,23.0,490,2011-06-19 15:52:33.637,17
96.0,89.0,490,2011-06-20 15:29:59.010,18
190.0,13.0,488,2011-06-19 17:06:12.927,17
190.0,13.0,488,2011-06-19 17:09:05.827,17
13.0,190.0,488,2011-06-20 06:21:51.393,18
190.0,14.0,488,2011-06-25 05:14:54.607,23
50.0,50.0,496,2011-06-20 22:49:09.337,19
50.0,80.0,496,2011-06-21 01:46:14.963,19
50.0,50.0,496,2011-06-22 06:40:02.250,20
50.0,80.0,496,2011-06-22 06:58:16.387,20
80.0,50.0,496,2011-06-22 17:57:26.107,20
57.0,57.0,423,2011-06-21 21:42:18.653,20
313.0,33.0,523,2011-06-22 00:41:39.930,20
312.0,312.0,520,2011-06-22 13:06:42.797,20
320.0,23.0,541,2011-06-22 13:10:38.963,20
320.0,218.0,541,2011-06-22 13:58:17.067,20
320.0,206.0,541,2011-06-22 21:26:45.363,21
320.0,218.0,541,2011-06-22 23:36:58.443,21
96.0,45.0,559,2011-06-23 19:17:44.463,21
96.0,96.0,559,2011-06-24 07:25:02.097,22
96.0,45.0,559,2011-06-24 15:21:17.827,22
337.0,64.0,571,2011-06-25 02:47:53.423,23
60.0,4.0,611,2011-06-28 02:18:24.620,26
159.0,4.0,495,2011-06-28 02:31:16.250,26
330.0,218.0,614,2011-06-28 21:29:37.983,27
353.0,4.0,602,2011-06-30 00:31:05.093,28
338.0,51.0,631,2011-06-30 20:11:48.527,29
358.0,23.0,650,2011-07-02 01:05:52.643,30
358.0,218.0,650,2011-07-02 01:13:17.653,30
358.0,218.0,650,2011-07-02 15:33:48.607,30
358.0,358.0,650,2011-07-03 04:12:34.770,31
358.0,53.0,650,2011-07-03 08:01:00.437,31
379.0,8.0,655,2011-07-02 21:12:48.527,31
379.0,379.0,655,2011-07-03 01:16:52.153,31
53.0,22.0,441,2011-07-03 21:21:10.523,32
53.0,53.0,441,2011-07-21 14:17:05.730,49
53.0,53.0,441,2011-07-21 21:28:16.910,50
423.0,23.0,679,2011-07-04 01:45:05.027,32
423.0,396.0,679,2011-07-04 12:04:23.690,32
423.0,218.0,679,2011-07-04 21:19:14.803,33
423.0,692.0,679,2011-11-25 11:42:30.897,176
425.0,23.0,680,2011-07-04 03:00:04.627,32
425.0,8.0,680,2011-07-04 19:34:08.753,33
28.0,73.0,32,2011-07-04 17:16:01.950,32
420.0,218.0,696,2011-07-04 19:55:45.030,33
335.0,448.0,566,2011-07-05 11:22:32.763,33
449.0,225.0,709,2011-07-05 16:26:40.653,33
449.0,449.0,709,2011-07-05 16:41:52.273,33
454.0,8.0,720,2011-07-06 07:14:35.267,34
459.0,45.0,725,2011-07-06 19:31:19.587,34
338.0,23.0,732,2011-07-07 04:36:32.430,35
23.0,8.0,733,2011-07-07 07:48:07.130,35
73.0,195.0,668,2011-07-07 07:52:17.703,35
475.0,8.0,738,2011-07-07 22:38:05.570,36
475.0,33.0,738,2011-07-09 00:57:22.033,37
475.0,398.0,738,2011-07-13 00:43:19.643,41
398.0,33.0,738,2011-07-13 23:51:44.167,42
477.0,218.0,743,2011-07-08 14:42:27.293,36
13.0,13.0,746,2011-07-09 13:00:07.270,37
487.0,394.0,749,2011-07-10 02:34:10.473,38
487.0,398.0,749,2011-07-17 06:15:49.220,45
489.0,218.0,750,2011-07-10 23:33:46.937,39
475.0,4.0,763,2011-07-12 05:53:05.157,40
475.0,218.0,763,2011-07-12 11:58:24.920,40
359.0,53.0,770,2011-07-13 21:09:00.947,42
359.0,398.0,770,2011-07-13 22:10:29.770,42
359.0,8.0,770,2011-07-14 13:06:04.540,42
359.0,33.0,770,2011-07-14 17:04:34.587,42
359.0,218.0,770,2011-07-21 13:57:24.483,49
504.0,89.0,775,2011-07-14 15:05:21.877,42
504.0,504.0,775,2011-07-18 12:53:12.853,46
504.0,89.0,775,2011-07-18 14:54:12.213,46
504.0,330.0,775,2011-07-19 13:14:16.530,47
199.0,218.0,786,2011-07-15 11:33:58.577,43
511.0,45.0,789,2011-07-15 16:57:43.607,43
513.0,398.0,800,2011-07-15 19:57:39.310,44
505.0,22.0,780,2011-07-15 22:20:33.513,44
307.0,61.0,804,2011-07-17 00:22:13.190,45
307.0,13.0,804,2011-07-17 16:42:06.277,45
511.0,13.0,799,2011-07-17 16:32:33.953,45
511.0,110.0,799,2011-07-17 19:20:01.210,45
511.0,13.0,799,2011-07-17 19:55:18.050,46
511.0,110.0,799,2011-07-17 23:04:37.467,46
511.0,13.0,799,2011-07-18 05:59:11.300,46
511.0,13.0,799,2011-07-18 06:05:32.047,46
512.0,8.0,791,2011-07-17 18:29:48.013,45
486.0,13.0,813,2011-07-17 18:48:10.477,45
486.0,486.0,813,2011-07-17 19:01:04.247,45
515.0,8.0,818,2011-07-18 15:29:11.080,46
515.0,515.0,818,2011-07-18 15:40:42.623,46
515.0,22.0,818,2011-07-20 05:35:06.740,48
515.0,22.0,818,2011-07-20 05:36:09.610,48
22.0,8.0,818,2011-07-20 23:08:20.373,49
515.0,8.0,818,2011-07-21 00:05:50.317,49
515.0,218.0,818,2011-07-21 13:39:37.223,49
520.0,398.0,822,2011-07-19 07:29:22.803,47
520.0,53.0,822,2011-07-19 13:09:05.340,47
520.0,524.0,822,2011-07-20 04:18:20.823,48
406.0,218.0,820,2011-07-20 13:12:45.337,48
528.0,307.0,840,2011-07-20 19:30:19.633,48
528.0,528.0,840,2011-07-20 19:54:25.800,49
523.0,29.0,831,2011-07-20 22:20:39.673,49
533.0,50.0,853,2011-07-21 18:52:10.587,49
454.0,13.0,855,2011-07-21 19:12:49.810,49
454.0,454.0,855,2011-07-21 19:14:13.493,49
454.0,454.0,855,2011-07-21 19:14:43.587,49
454.0,13.0,855,2011-07-21 19:16:27.063,49
475.0,,771,2011-07-22 10:59:30.423,50
475.0,29.0,771,2011-09-05 23:41:02.267,96
315.0,218.0,865,2011-07-22 20:54:27.077,51
315.0,315.0,865,2011-07-23 15:39:43.843,51
313.0,398.0,878,2011-07-23 18:27:40.487,51
313.0,313.0,878,2011-07-23 18:44:05.417,51
313.0,61.0,878,2011-07-24 18:00:58.277,52
533.0,53.0,866,2011-07-23 20:16:25.087,52
454.0,8.0,884,2011-07-24 10:05:05.757,52
454.0,218.0,884,2011-08-10 19:19:14.523,69
454.0,61.0,887,2011-07-24 17:58:55.253,52
560.0,533.0,915,2011-07-26 17:03:07.613,54
560.0,110.0,915,2011-07-26 18:51:04.350,54
322.0,8.0,915,2011-07-28 12:30:23.217,56
560.0,515.0,915,2011-07-29 16:46:28.180,57
160.0,33.0,916,2011-07-26 17:31:45.323,54
160.0,160.0,916,2011-07-26 17:39:56.910,54
505.0,394.0,914,2011-07-26 18:10:33.323,54
505.0,394.0,914,2011-07-26 19:46:33.027,55
505.0,505.0,914,2011-07-26 20:16:37.753,55
505.0,218.0,914,2011-07-27 18:44:22.223,55
505.0,394.0,914,2011-07-28 14:25:11.337,56
454.0,211.0,927,2011-07-28 14:31:18.397,56
454.0,254.0,928,2011-07-28 18:53:23.323,56
454.0,454.0,928,2011-07-29 01:40:00.640,57
454.0,218.0,928,2011-08-10 18:40:39.063,69
454.0,33.0,891,2011-07-29 14:13:24.233,57
454.0,454.0,891,2011-07-29 15:17:26.660,57
515.0,218.0,942,2011-07-29 17:14:32.183,57
560.0,398.0,940,2011-07-30 05:46:32.480,58
505.0,13.0,957,2011-07-31 23:30:35.517,60
454.0,218.0,960,2011-08-01 11:39:34.280,60
454.0,45.0,960,2011-08-02 05:06:16.653,61
560.0,394.0,967,2011-08-01 16:28:28.183,60
560.0,560.0,967,2011-08-01 23:53:07.160,61
560.0,33.0,967,2011-08-02 02:34:33.380,61
560.0,336.0,967,2011-08-03 02:25:28.833,62
170.0,170.0,969,2011-08-01 23:08:02.387,61
29.0,562.0,286,2011-08-02 16:52:33.680,61
29.0,566.0,933,2011-07-29 17:26:13.383,57
454.0,398.0,989,2011-08-03 02:42:38.523,62
515.0,394.0,1006,2011-08-05 21:52:24.047,65
237.0,61.0,376,2011-08-09 00:19:15.307,68
586.0,8.0,1009,2011-08-09 12:36:51.050,68
595.0,218.0,1027,2011-08-10 11:42:17.463,69
454.0,394.0,1042,2011-08-11 10:24:53.220,70
454.0,218.0,1042,2011-08-11 12:37:25.257,70
454.0,8.0,1042,2011-08-20 18:20:12.757,79
490.0,218.0,1039,2011-08-11 11:58:16.130,70
490.0,490.0,1039,2011-08-11 19:42:59.393,71
490.0,218.0,1039,2011-08-11 19:54:26.353,71
61.0,61.0,1052,2011-08-12 19:06:24.347,71
61.0,61.0,1052,2011-08-12 19:11:22.990,71
61.0,13.0,1052,2011-08-12 22:28:42.533,72
603.0,61.0,1054,2011-08-13 04:25:46.430,72
454.0,8.0,1066,2011-08-17 22:22:03.980,77
454.0,394.0,1066,2011-08-17 23:57:14.297,77
454.0,540.0,1066,2011-08-18 18:35:33.847,77
454.0,454.0,1066,2011-08-18 19:44:14.950,78
