QId,PostUserId,Time,days
1,9.0,2011-06-01 19:32:44.970,0
2,4.0,2011-06-01 19:36:05.133,0
3,9.0,2011-06-01 19:36:12.333,0
4,13.0,2011-06-01 19:37:49.340,0
5,9.0,2011-06-01 19:38:01.693,0
6,12.0,2011-06-01 19:39:11.620,0
7,9.0,2011-06-01 19:40:09.247,0
8,19.0,2011-06-01 19:41:13.507,0
9,9.0,2011-06-01 19:42:15.223,0
10,16.0,2011-06-01 19:45:34.053,0
12,19.0,2011-06-01 19:46:08.903,0
14,16.0,2011-06-01 19:48:51.853,0
15,9.0,2011-06-01 19:49:01.277,0
18,28.0,2011-06-01 19:51:56.577,0
21,9.0,2011-06-01 19:52:57.660,0
25,30.0,2011-06-01 19:57:09.407,0
28,26.0,2011-06-01 19:58:29.693,0
32,28.0,2011-06-01 20:02:00.377,0
39,16.0,2011-06-01 20:11:44.013,0
43,19.0,2011-06-01 20:15:31.720,0
45,9.0,2011-06-01 20:22:09.617,0
46,16.0,2011-06-01 20:25:18.620,0
50,8.0,2011-06-01 20:29:01.070,0
63,23.0,2011-06-01 21:19:43.440,0
64,23.0,2011-06-01 21:23:56.327,0
70,34.0,2011-06-01 21:55:52.620,0
74,4.0,2011-06-01 22:20:38.050,0
78,53.0,2011-06-01 22:34:34.930,0
80,64.0,2011-06-01 23:30:51.370,0
81,4.0,2011-06-01 23:32:54.683,0
86,8.0,2011-06-02 00:13:41.277,0
88,71.0,2011-06-02 00:27:05.457,0
89,18.0,2011-06-02 00:44:44.290,0
93,71.0,2011-06-02 01:21:15.527,0
94,71.0,2011-06-02 01:58:04.210,0
98,12.0,2011-06-02 02:45:32.570,0
99,12.0,2011-06-02 02:50:17.487,0
107,60.0,2011-06-02 04:03:16.820,0
113,23.0,2011-06-02 05:07:59.697,0
114,62.0,2011-06-02 05:11:46.763,0
116,98.0,2011-06-02 07:16:09.420,0
117,98.0,2011-06-02 07:21:01.730,0
118,93.0,2011-06-02 07:46:43.297,0
119,101.0,2011-06-02 08:06:33.410,0
120,93.0,2011-06-02 08:35:58.560,0
123,19.0,2011-06-02 09:52:16.110,0
124,19.0,2011-06-02 09:59:52.603,0
125,106.0,2011-06-02 11:03:15.353,0
126,106.0,2011-06-02 11:10:14.197,0
127,106.0,2011-06-02 11:21:14.893,0
135,68.0,2011-06-02 13:58:17.113,0
138,98.0,2011-06-02 14:14:11.317,0
152,61.0,2011-06-02 16:17:30.720,0
154,86.0,2011-06-02 17:23:49.050,0
155,63.0,2011-06-02 17:24:37.987,0
156,51.0,2011-06-02 17:30:27.457,0
157,52.0,2011-06-02 17:33:46.517,0
169,117.0,2011-06-02 19:19:18.420,0
171,19.0,2011-06-02 20:24:55.880,1
177,8.0,2011-06-02 22:54:31.570,1
180,75.0,2011-06-03 00:37:48.573,1
183,74.0,2011-06-03 02:32:34.663,1
186,52.0,2011-06-03 03:52:08.090,1
188,120.0,2011-06-03 04:31:13.343,1
195,61.0,2011-06-03 13:13:35.137,1
202,16.0,2011-06-03 21:07:32.173,2
206,64.0,2011-06-04 02:46:39.133,2
208,126.0,2011-06-04 03:26:57.013,2
210,126.0,2011-06-04 05:36:24.337,2
211,19.0,2011-06-04 12:44:47.437,2
213,19.0,2011-06-04 13:03:27.630,2
217,60.0,2011-06-04 16:06:50.863,2
222,64.0,2011-06-05 01:37:10.357,3
223,89.0,2011-06-05 03:21:04.057,3
224,57.0,2011-06-05 05:31:18.273,3
225,57.0,2011-06-05 06:38:25.073,3
232,23.0,2011-06-05 16:14:41.837,3
237,98.0,2011-06-05 18:20:48.410,3
238,13.0,2011-06-05 21:01:06.253,4
240,22.0,2011-06-05 21:14:32.533,4
244,57.0,2011-06-06 06:35:35.677,4
245,57.0,2011-06-06 06:44:56.453,4
246,40.0,2011-06-06 07:18:25.880,4
247,26.0,2011-06-06 07:20:49.890,4
248,40.0,2011-06-06 07:22:04.253,4
251,40.0,2011-06-06 07:28:13.783,4
258,20.0,2011-06-06 15:35:53.473,4
266,23.0,2011-06-07 02:42:43.727,5
271,61.0,2011-06-07 11:47:55.317,5
273,57.0,2011-06-07 22:52:49.873,6
276,53.0,2011-06-08 04:34:11.340,6
280,57.0,2011-06-08 15:55:59.700,6
