QId,PostUserId,RespondUserId,Time,days
1,9.0,22.0,2011-06-01 21:14:36.887,0
2,4.0,28.0,2011-06-01 19:55:07.777,0
2,4.0,46.0,2011-06-01 21:19:41.090,0
2,4.0,218.0,2011-06-12 17:55:20.797,10
3,9.0,4.0,2011-06-01 19:45:55.637,0
3,9.0,22.0,2011-06-02 00:05:42.257,0
3,9.0,82.0,2011-06-02 03:16:34.970,0
3,9.0,68.0,2011-06-02 13:47:56.780,0
4,13.0,17.0,2011-06-01 19:52:39.400,0
4,13.0,23.0,2011-06-01 19:52:41.637,0
4,13.0,20.0,2011-06-01 19:55:15.267,0
4,13.0,61.0,2011-06-05 00:07:25.377,3
5,9.0,4.0,2011-06-01 20:15:34.273,0
5,9.0,79.0,2011-06-02 02:57:21.610,0
5,9.0,82.0,2011-06-02 03:40:31.010,0
5,9.0,,2011-06-02 15:37:22.330,0
5,9.0,22.0,2011-06-18 00:34:27.790,16
6,12.0,4.0,2011-06-01 20:43:13.583,0
6,12.0,68.0,2011-06-02 15:03:21.633,0
6,12.0,160.0,2011-06-09 20:58:33.233,8
7,9.0,22.0,2011-06-01 19:49:13.197,0
7,9.0,12.0,2011-06-01 19:50:19.463,0
8,19.0,23.0,2011-06-01 19:48:16.970,0
8,19.0,4.0,2011-06-01 19:53:48.450,0
8,19.0,46.0,2011-06-01 21:01:04.563,0
8,19.0,203.0,2011-06-09 16:14:39.867,7
9,9.0,12.0,2011-06-01 20:25:45.407,0
10,16.0,4.0,2011-06-02 04:14:11.357,0
10,16.0,218.0,2011-06-29 16:28:09.697,27
12,19.0,23.0,2011-06-01 21:07:24.013,0
12,19.0,57.0,2011-06-01 22:21:01.027,0
12,19.0,22.0,2011-06-02 14:22:00.023,0
14,16.0,22.0,2011-06-01 20:05:29.270,0
15,9.0,12.0,2011-06-01 19:58:02.703,0
15,9.0,4.0,2011-06-01 20:00:34.993,0
15,9.0,22.0,2011-06-02 04:22:17.920,0
18,28.0,16.0,2011-06-01 19:57:15.777,0
18,28.0,4.0,2011-06-01 20:10:57.087,0
18,28.0,33.0,2011-06-01 20:12:43.977,0
18,28.0,46.0,2011-06-01 21:14:56.990,0
18,28.0,304.0,2011-06-27 15:19:45.500,25
21,9.0,20.0,2011-06-01 20:00:45.663,0
21,9.0,23.0,2011-06-01 20:03:30.983,0
21,9.0,51.0,2011-06-01 21:55:23.727,0
25,30.0,23.0,2011-06-01 20:07:18.223,0
25,30.0,63.0,2011-06-02 16:57:41.380,0
28,26.0,28.0,2011-06-01 20:06:28.147,0
28,26.0,20.0,2011-06-01 20:10:49.507,0
28,26.0,23.0,2011-06-01 20:14:55.637,0
28,26.0,46.0,2011-06-01 21:03:40.707,0
28,26.0,60.0,2011-06-02 03:53:58.773,0
28,26.0,850.0,2011-11-22 10:12:10.300,173
32,28.0,22.0,2011-06-01 20:14:28.663,0
32,28.0,68.0,2011-06-02 14:12:23.380,0
32,28.0,199.0,2011-07-05 14:51:09.973,33
39,16.0,22.0,2011-06-01 20:59:54.200,0
39,16.0,51.0,2011-06-01 21:26:49.697,0
43,19.0,13.0,2011-06-01 20:27:02.723,0
43,19.0,33.0,2011-06-01 20:27:21.693,0
43,19.0,102.0,2011-06-02 12:12:06.567,0
43,19.0,110.0,2011-06-02 12:48:49.607,0
45,9.0,22.0,2011-06-01 20:50:08.673,0
46,16.0,4.0,2011-06-01 20:37:14.713,0
46,16.0,23.0,2011-06-01 20:41:14.757,0
46,16.0,46.0,2011-06-01 20:46:05.350,0
50,8.0,4.0,2011-06-01 21:43:26.957,0
50,8.0,118.0,2011-06-03 04:19:01.320,1
63,23.0,46.0,2011-06-01 21:24:22.273,0
64,23.0,4.0,2011-06-01 21:53:03.060,0
64,23.0,13.0,2011-06-01 21:56:09.677,0
64,23.0,46.0,2011-06-10 19:50:15.273,9
70,34.0,34.0,2011-06-01 21:59:38.793,0
70,34.0,57.0,2011-06-01 22:08:17.067,0
70,34.0,12.0,2011-06-01 23:57:55.640,0
74,4.0,60.0,2011-06-01 22:30:34.003,0
74,4.0,13.0,2011-06-01 22:30:53.803,0
74,4.0,23.0,2011-06-02 02:55:44.010,0
78,53.0,22.0,2011-06-01 23:29:44.273,0
78,53.0,46.0,2011-06-10 19:46:48.880,9
80,64.0,22.0,2011-06-01 23:58:06.920,0
81,4.0,57.0,2011-06-02 00:00:46.443,0
81,4.0,394.0,2011-07-03 15:37:53.713,31
86,8.0,71.0,2011-06-02 00:23:19.237,0
86,8.0,304.0,2011-06-20 08:29:38.627,18
86,8.0,749.0,2011-10-07 20:07:01.873,128
88,71.0,8.0,2011-06-02 00:55:32.697,0
88,71.0,71.0,2011-06-02 01:04:32.463,0
88,71.0,20.0,2011-06-02 14:10:00.360,0
89,18.0,57.0,2011-06-02 00:59:19.520,0
93,71.0,4.0,2011-06-02 01:58:57.687,0
94,71.0,4.0,2011-06-02 02:08:05.197,0
94,71.0,64.0,2011-06-02 02:23:15.813,0
94,71.0,81.0,2011-06-02 04:25:28.223,0
98,12.0,4.0,2011-06-02 03:12:00.670,0
99,12.0,22.0,2011-06-02 03:32:21.027,0
107,60.0,22.0,2011-06-02 04:10:27.057,0
107,60.0,71.0,2011-06-02 04:31:27.453,0
113,23.0,73.0,2011-06-03 15:06:03.780,1
113,23.0,218.0,2011-06-15 22:38:06.940,14
114,62.0,23.0,2011-06-02 05:20:30.027,0
116,98.0,23.0,2011-06-02 13:49:59.280,0
117,98.0,102.0,2011-06-02 09:06:24.897,0
117,98.0,46.0,2011-06-02 17:55:58.583,0
117,98.0,81.0,2011-06-02 18:11:28.217,0
118,93.0,22.0,2011-06-02 14:34:14.690,0
119,101.0,81.0,2011-06-02 18:38:20.243,0
119,101.0,326.0,2011-06-22 18:29:11.420,20
120,93.0,99.0,2011-06-02 09:04:44.147,0
120,93.0,22.0,2011-06-02 14:31:50.523,0
120,93.0,253.0,2011-06-13 19:35:11.823,12
120,93.0,304.0,2011-06-21 14:38:46.820,19
123,19.0,68.0,2011-06-02 14:32:38.770,0
123,19.0,71.0,2011-06-02 14:38:20.660,0
124,19.0,22.0,2011-06-02 14:24:26.950,0
124,19.0,326.0,2011-06-23 01:55:00.917,21
125,106.0,23.0,2011-06-02 13:38:02.100,0
125,106.0,81.0,2011-06-02 18:21:06.130,0
125,106.0,33.0,2011-06-02 18:37:37.050,0
126,106.0,23.0,2011-06-02 13:35:59.947,0
126,106.0,33.0,2011-06-02 15:23:50.980,0
127,106.0,52.0,2011-06-02 12:05:15.223,0
127,106.0,113.0,2011-06-02 16:03:05.767,0
127,106.0,46.0,2011-06-02 17:45:33.377,0
127,106.0,81.0,2011-06-02 17:50:39.397,0
127,106.0,204.0,2011-06-09 16:38:17.420,7
127,106.0,219.0,2011-06-10 13:30:51.977,8
135,68.0,22.0,2011-06-02 14:18:11.567,0
