QId,PostUserId,Vote,Time,days
1.0,9.0,2,2011-06-01,0
1.0,9.0,2,2011-06-01,0
3.0,9.0,2,2011-06-01,0
1.0,9.0,2,2011-06-01,0
8.0,19.0,2,2011-06-01,0
2.0,4.0,2,2011-06-01,0
21.0,9.0,2,2011-06-01,0
12.0,19.0,2,2011-06-01,0
9.0,9.0,2,2011-06-01,0
21.0,9.0,2,2011-06-01,0
4.0,13.0,2,2011-06-01,0
28.0,26.0,2,2011-06-01,0
28.0,26.0,2,2011-06-01,0
7.0,9.0,2,2011-06-01,0
32.0,28.0,2,2011-06-01,0
6.0,12.0,2,2011-06-01,0
45.0,9.0,2,2011-06-01,0
25.0,30.0,2,2011-06-01,0
39.0,16.0,2,2011-06-01,0
18.0,28.0,2,2011-06-01,0
43.0,19.0,2,2011-06-01,0
46.0,16.0,2,2011-06-01,0
8.0,19.0,2,2011-06-01,0
2.0,4.0,2,2011-06-01,0
3.0,9.0,2,2011-06-01,0
10.0,16.0,2,2011-06-01,0
5.0,9.0,2,2011-06-01,0
14.0,16.0,2,2011-06-01,0
43.0,19.0,2,2011-06-01,0
46.0,16.0,2,2011-06-01,0
18.0,28.0,2,2011-06-01,0
2.0,4.0,2,2011-06-01,0
28.0,26.0,2,2011-06-01,0
21.0,9.0,2,2011-06-01,0
15.0,9.0,2,2011-06-01,0
9.0,9.0,2,2011-06-01,0
1.0,9.0,2,2011-06-01,0
50.0,8.0,2,2011-06-01,0
10.0,16.0,2,2011-06-01,0
64.0,23.0,2,2011-06-01,0
63.0,23.0,2,2011-06-01,0
28.0,26.0,2,2011-06-01,0
12.0,19.0,2,2011-06-01,0
18.0,28.0,2,2011-06-01,0
32.0,28.0,2,2011-06-01,0
15.0,9.0,2,2011-06-01,0
18.0,28.0,2,2011-06-01,0
64.0,23.0,2,2011-06-01,0
64.0,23.0,2,2011-06-01,0
64.0,23.0,2,2011-06-01,0
64.0,23.0,2,2011-06-01,0
50.0,8.0,2,2011-06-01,0
28.0,26.0,2,2011-06-01,0
74.0,4.0,2,2011-06-01,0
78.0,53.0,2,2011-06-01,0
74.0,4.0,2,2011-06-01,0
12.0,19.0,2,2011-06-01,0
50.0,8.0,2,2011-06-01,0
21.0,9.0,2,2011-06-01,0
8.0,19.0,2,2011-06-01,0
6.0,12.0,2,2011-06-01,0
9.0,9.0,2,2011-06-01,0
5.0,9.0,2,2011-06-01,0
14.0,16.0,2,2011-06-01,0
15.0,9.0,2,2011-06-01,0
10.0,16.0,2,2011-06-01,0
45.0,9.0,2,2011-06-01,0
39.0,16.0,2,2011-06-01,0
18.0,28.0,2,2011-06-01,0
9.0,9.0,2,2011-06-01,0
12.0,19.0,2,2011-06-01,0
80.0,64.0,2,2011-06-01,0
78.0,53.0,2,2011-06-01,0
18.0,28.0,2,2011-06-01,0
6.0,12.0,2,2011-06-01,0
3.0,9.0,2,2011-06-01,0
7.0,9.0,2,2011-06-01,0
63.0,23.0,2,2011-06-01,0
70.0,34.0,2,2011-06-01,0
12.0,19.0,2,2011-06-01,0
28.0,26.0,2,2011-06-01,0
43.0,19.0,2,2011-06-01,0
15.0,9.0,2,2011-06-01,0
25.0,30.0,2,2011-06-01,0
9.0,9.0,2,2011-06-01,0
5.0,9.0,2,2011-06-01,0
81.0,4.0,2,2011-06-02,1
