QId,PostUserId,RespondUserId,Time,days
1,8,5.0,2011-10-11 19:35:17.553,0
3,5,31.0,2011-10-11 19:45:01.370,0
3,5,104.0,2011-10-12 10:12:51.280,0
3,5,446.0,2011-11-29 18:33:11.323,48
4,14,23.0,2011-10-11 19:45:35.817,0
4,14,57.0,2011-10-11 21:17:19.927,0
4,14,178.0,2011-10-26 16:46:35.990,14
6,15,26.0,2011-10-11 20:00:20.467,0
6,15,11.0,2011-10-11 21:32:15.290,0
7,8,44.0,2011-10-11 20:17:40.273,0
7,8,165.0,2011-12-03 15:58:57.520,52
9,20,45.0,2011-10-11 20:12:31.960,0
9,20,26.0,2011-10-11 20:31:22.390,0
9,20,10.0,2011-10-12 21:20:43.523,1
13,1,41.0,2011-10-11 19:57:59.390,0
13,1,119.0,2011-10-13 20:20:31.573,2
14,8,26.0,2011-10-11 21:38:02.423,0
14,8,10.0,2011-10-12 05:37:47.927,0
14,8,89.0,2011-10-19 15:25:58.810,7
14,8,178.0,2011-10-25 20:25:14.417,14
17,1,41.0,2011-10-11 20:18:49.730,0
18,47,45.0,2011-10-11 20:18:33.090,0
18,47,50.0,2011-10-11 20:33:15.910,0
18,47,10.0,2011-10-12 03:11:40.590,0
18,47,104.0,2011-10-12 11:02:09.630,0
22,8,40.0,2011-10-11 20:22:36.413,0
22,8,100.0,2011-10-12 06:35:35.600,0
31,43,48.0,2011-10-11 21:00:35.797,0
36,30,10.0,2011-10-12 02:21:25.440,0
38,68,124.0,2011-10-13 19:36:00.253,2
43,65,50.0,2011-10-11 22:47:26.197,0
43,65,68.0,2011-10-12 05:14:56.723,0
49,45,68.0,2011-10-12 04:00:07.753,0
50,65,48.0,2011-10-12 11:46:23.023,0
50,65,82.0,2011-10-12 16:04:06.680,0
57,10,68.0,2011-10-12 04:55:32.753,0
57,10,50.0,2011-10-12 11:56:31.317,0
64,104,104.0,2011-11-28 13:14:40.923,47
65,110,115.0,2011-10-12 12:33:32.783,0
65,110,104.0,2011-10-12 16:55:34.610,0
74,111,10.0,2011-10-12 14:18:23.080,0
74,111,57.0,2011-10-12 16:45:26.990,0
84,62,68.0,2011-10-12 22:20:06.927,1
84,62,104.0,2011-10-15 09:36:28.050,3
87,501,50.0,2011-10-12 15:45:49.373,0
87,501,104.0,2011-10-12 17:43:11.153,0
87,501,178.0,2011-10-25 20:19:17.223,14
94,501,11.0,2011-10-12 19:19:33.163,0
97,114,48.0,2011-10-12 19:10:45.823,0
98,22,50.0,2011-10-13 01:03:46.170,1
101,89,44.0,2011-10-30 13:02:45.877,18
103,89,11.0,2011-10-12 20:02:08.110,1
103,89,104.0,2011-10-12 20:58:17.107,1
103,89,68.0,2011-10-12 21:19:27.827,1
104,32,68.0,2011-10-12 21:35:35.233,1
104,32,26.0,2011-10-12 22:27:33.730,1
108,114,8.0,2011-10-12 20:26:30.530,1
108,114,632.0,2012-01-31 22:38:48.163,112
120,103,50.0,2011-10-12 23:15:17.700,1
121,103,40.0,2011-10-13 01:32:20.043,1
126,501,178.0,2011-10-26 19:35:53.913,15
127,95,48.0,2011-10-13 10:23:26.670,1
127,95,68.0,2011-11-12 10:47:24.063,31
127,95,81.0,2011-11-12 11:57:47.787,31
129,126,103.0,2011-10-13 09:07:41.853,1
129,126,104.0,2011-10-17 12:46:25.970,5
129,126,10.0,2011-10-18 21:41:39.717,7
134,103,50.0,2011-10-15 04:09:15.933,3
138,103,50.0,2011-10-13 17:35:59.297,1
138,103,104.0,2011-10-15 13:45:45.630,3
143,119,594.0,2012-01-17 23:14:31.767,98
146,104,68.0,2011-12-07 18:21:18.347,56
150,131,82.0,2011-10-13 23:26:33.600,2
150,131,68.0,2011-10-14 00:29:46.470,2
150,131,152.0,2011-10-15 21:53:22.067,4
156,71,26.0,2011-10-18 19:49:35.920,7
163,65,48.0,2011-10-15 11:31:28.837,3
164,65,89.0,2011-10-18 22:41:33.993,7
164,65,121.0,2011-10-29 10:53:22.563,17
178,115,89.0,2011-10-18 22:49:11.277,7
178,115,178.0,2011-10-25 20:31:05.420,14
203,15,71.0,2011-10-16 04:18:12.097,4
203,15,26.0,2011-10-17 23:47:02.843,6
203,15,178.0,2011-10-25 20:15:51.363,14
246,149,11.0,2011-10-17 10:05:17.353,5
246,149,26.0,2011-10-17 13:27:58.993,5
246,149,119.0,2011-10-17 21:55:43.247,6
252,103,133.0,2011-10-17 10:45:53.737,5
252,103,104.0,2011-10-17 17:38:10.070,5
265,97,26.0,2011-10-18 03:18:28.113,6
265,97,48.0,2011-10-18 05:37:58.247,6
265,97,31.0,2011-10-18 06:38:34.333,6
265,97,50.0,2011-10-18 13:38:56.007,6
265,97,100.0,2011-10-18 14:44:51.597,6
265,97,178.0,2011-10-25 20:39:32.347,14
283,71,48.0,2011-10-19 06:14:18.393,7
288,50,68.0,2011-10-21 05:52:35.160,9
289,48,45.0,2011-10-27 11:44:10.280,15
289,48,674.0,2012-02-14 10:46:00.860,125
290,47,114.0,2011-10-20 17:13:50.843,8
292,149,48.0,2011-10-21 07:39:46.167,9
292,149,50.0,2011-10-23 18:54:56.543,11
292,149,169.0,2011-10-24 14:56:48.187,12
292,149,27.0,2011-10-24 21:18:05.860,13
300,149,50.0,2011-10-21 16:12:34.477,9
306,114,103.0,2011-10-25 22:23:58.433,14
306,114,219.0,2011-10-28 13:16:04.700,16
306,114,221.0,2011-10-29 19:41:49.247,18
307,14,149.0,2011-10-23 22:20:05.140,12
307,14,104.0,2011-10-24 08:46:09.997,12
315,171,26.0,2011-10-25 13:51:13.220,13
317,44,68.0,2011-10-27 06:40:25.327,15
317,44,121.0,2011-10-28 13:43:58.570,16
317,44,119.0,2011-10-31 18:52:52.987,19
318,14,26.0,2011-10-25 19:52:35.430,14
327,181,171.0,2011-10-25 23:25:10.390,14
329,501,178.0,2011-10-26 20:46:34.927,15
337,206,178.0,2011-10-27 00:02:00.130,15
337,206,121.0,2011-10-28 13:05:17.480,16
337,206,28.0,2011-11-23 23:26:22.167,43
340,209,178.0,2011-10-27 13:17:25.610,15
353,212,26.0,2011-10-27 22:01:39.957,16
353,212,68.0,2011-10-28 03:47:25.537,16
353,212,215.0,2011-10-28 05:08:29.430,16
362,133,44.0,2011-10-31 22:52:16.233,20
362,133,752.0,2012-03-11 02:41:01.583,151
364,121,44.0,2011-10-29 13:12:06.527,17
364,121,50.0,2011-10-29 15:11:52.087,17
364,121,68.0,2011-10-29 16:54:22.800,17
364,121,221.0,2011-10-29 19:29:02.680,18
365,30,44.0,2011-10-30 13:15:57.997,18
367,21,50.0,2011-10-29 14:58:11.650,17
374,224,133.0,2011-10-31 16:40:22.217,19
374,224,165.0,2011-11-21 18:08:10.430,40
380,114,26.0,2011-10-30 23:20:34.513,19
380,114,133.0,2011-11-02 13:42:44.720,21
382,71,104.0,2011-11-23 12:17:44.787,42
383,65,104.0,2011-10-31 07:22:04.240,19
384,65,103.0,2011-10-31 10:52:35.233,19
385,71,103.0,2011-10-31 10:34:30.093,19
389,114,65.0,2011-10-31 13:53:40.180,19
389,114,26.0,2011-10-31 13:56:06.950,19
401,238,48.0,2011-10-31 22:01:08.587,20
401,238,133.0,2011-11-01 17:23:40.183,20
405,242,104.0,2011-11-01 11:53:28.810,20
405,242,247.0,2011-11-02 16:17:51.653,21
408,187,133.0,2011-11-02 13:24:11.107,21
411,114,48.0,2011-11-02 15:50:38.287,21
423,181,119.0,2011-11-03 21:06:07.793,23
424,501,255.0,2011-11-03 19:10:22.117,22
425,183,26.0,2011-11-03 19:03:18.010,22
426,254,104.0,2011-11-03 19:27:16.587,22
432,501,397.0,2011-12-01 20:45:46.073,51
433,501,104.0,2011-11-04 10:43:54.467,23
435,262,501.0,2011-11-04 18:26:23.423,23
435,262,262.0,2011-11-07 14:08:36.723,26
444,60,104.0,2011-11-05 08:47:43.477,24
444,60,257.0,2011-11-06 21:59:51.783,26
455,204,501.0,2011-11-08 23:47:44.830,28
456,501,,2011-11-05 14:05:38.297,24
456,501,249.0,2011-11-09 20:34:10.390,29
456,501,397.0,2011-11-17 14:58:35.110,36
473,334,242.0,2011-11-06 18:42:23.920,25
474,335,322.0,2011-11-06 09:37:27.797,25
476,115,257.0,2011-11-06 21:42:34.553,26
476,115,133.0,2011-11-07 15:59:26.830,26
494,71,249.0,2011-11-10 03:15:17.503,29
496,354,48.0,2011-11-10 10:39:23.433,29
496,354,81.0,2011-11-10 12:39:12.643,29
501,21,133.0,2011-11-09 14:15:27.577,28
501,21,48.0,2011-11-09 15:53:16.137,28
502,365,367.0,2011-11-09 03:27:25.100,28
502,365,48.0,2011-11-09 20:10:52.247,29
502,365,104.0,2011-11-10 08:00:55.243,29
502,365,81.0,2011-11-10 08:47:02.310,29
502,365,133.0,2011-11-13 00:49:23.897,32
517,71,26.0,2011-11-10 18:14:10.397,29
517,71,255.0,2011-11-10 20:08:21.270,30
520,381,68.0,2011-11-12 03:03:00.867,31
524,242,104.0,2011-11-13 11:02:01.630,32
526,152,104.0,2011-12-13 15:48:13.437,62
527,133,104.0,2011-11-13 10:59:03.820,32
534,65,104.0,2011-11-15 13:49:52.430,34
539,160,165.0,2011-11-21 18:27:50.747,40
543,44,68.0,2011-11-15 19:08:20.943,34
545,71,178.0,2011-11-17 22:21:09.013,37
547,68,119.0,2011-11-15 21:43:36.437,35
547,68,397.0,2011-11-17 14:36:39.540,36
548,68,119.0,2011-11-15 21:25:53.640,35
553,149,68.0,2011-11-16 20:17:12.243,36
556,111,104.0,2011-11-17 10:33:27.143,36
565,114,400.0,2011-11-17 23:23:44.337,37
567,403,104.0,2011-11-18 13:15:23.683,37
569,404,104.0,2011-11-18 14:12:32.783,37
569,404,178.0,2011-11-18 15:23:24.963,37
569,404,133.0,2011-11-18 15:46:08.520,37
569,404,31.0,2011-11-19 18:27:03.563,38
569,404,459.0,2011-12-03 21:10:47.553,53
570,403,104.0,2011-11-18 14:35:40.960,37
570,403,178.0,2011-11-18 15:18:10.120,37
572,104,501.0,2011-11-19 03:43:54.060,38
572,104,48.0,2011-11-19 21:06:04.837,39
577,133,178.0,2011-11-18 21:06:17.030,38
577,133,633.0,2012-01-29 14:29:36.343,109
577,133,632.0,2012-01-29 16:21:08.047,109
577,133,637.0,2012-01-29 22:20:11.777,110
578,406,178.0,2011-11-18 20:57:32.913,38
578,406,82.0,2011-11-19 10:28:34.837,38
584,410,31.0,2011-11-19 11:39:51.340,38
593,403,26.0,2011-11-19 23:28:41.620,39
593,403,21.0,2011-11-21 07:47:19.290,40
596,410,197.0,2011-11-26 08:19:15.323,45
596,410,441.0,2011-11-28 03:33:14.580,47
596,410,462.0,2011-12-05 23:21:58.327,55
596,410,165.0,2011-12-06 14:24:08.240,55
609,421,104.0,2011-11-23 12:30:15.043,42
612,422,165.0,2011-12-03 04:15:52.737,52
613,423,104.0,2011-11-23 17:42:30.757,42
613,423,178.0,2011-11-23 19:07:54.267,42
623,501,130.0,2011-11-25 00:14:34.760,44
629,30,81.0,2011-11-27 15:47:15.170,46
629,30,133.0,2011-11-28 22:17:03.350,48
634,178,104.0,2011-11-28 15:01:48.440,47
634,178,501.0,2011-11-28 22:36:30.313,48
634,178,48.0,2011-11-28 22:37:15.007,48
641,444,48.0,2011-11-29 08:22:06.647,48
641,444,26.0,2011-11-29 17:47:51.667,48
641,444,649.0,2012-02-03 10:01:52.430,114
650,432,68.0,2011-11-30 06:52:30.847,49
650,432,133.0,2011-11-30 15:13:16.310,49
651,432,68.0,2011-11-30 06:34:41.690,49
652,432,133.0,2011-11-30 14:40:18.190,49
652,432,178.0,2011-11-30 15:23:40.767,49
652,432,68.0,2011-11-30 19:46:24.033,50
652,432,501.0,2011-12-01 14:23:56.963,50
656,97,48.0,2011-11-30 15:06:16.353,49
671,114,82.0,2011-12-03 07:42:58.460,52
671,114,28.0,2011-12-03 13:29:36.023,52
672,457,48.0,2011-12-02 19:46:19.953,52
678,441,501.0,2011-12-03 17:56:49.040,52
678,441,104.0,2011-12-03 20:42:47.637,53
685,14,68.0,2011-12-04 19:47:01.180,54
689,329,104.0,2011-12-05 13:19:23.483,54
695,464,68.0,2011-12-06 08:47:45.970,55
695,464,104.0,2011-12-06 11:07:30.720,55
695,464,178.0,2011-12-06 14:08:51.817,55
700,181,397.0,2011-12-07 11:15:26.380,56
701,204,165.0,2011-12-08 18:28:02.600,57
703,204,776.0,2012-03-17 09:54:34.640,157
708,470,405.0,2011-12-08 20:27:49.900,58
708,470,473.0,2011-12-09 14:37:41.070,58
711,114,178.0,2011-12-09 00:15:27.733,58
711,114,104.0,2011-12-09 08:09:29.013,58
716,479,48.0,2011-12-11 23:45:14.410,61
716,479,494.0,2011-12-16 12:26:10.113,65
718,485,26.0,2011-12-12 23:23:51.047,62
725,488,104.0,2011-12-15 11:53:44.787,64
725,488,114.0,2011-12-15 13:33:02.260,64
725,488,494.0,2011-12-17 13:05:49.337,66
725,488,89.0,2012-01-03 21:12:26.673,84
725,488,178.0,2012-01-04 16:36:16.737,84
727,489,104.0,2011-12-15 06:54:43.417,64
728,489,104.0,2011-12-17 08:30:57.597,66
728,489,165.0,2011-12-17 17:15:46.577,66
728,489,501.0,2011-12-21 00:31:36.397,70
729,475,26.0,2011-12-15 16:07:26.883,64
730,465,489.0,2011-12-15 06:27:01.443,64
730,465,104.0,2011-12-15 09:02:12.743,64
734,14,104.0,2011-12-15 11:49:53.187,64
739,465,104.0,2011-12-16 12:53:12.037,65
740,405,501.0,2011-12-16 16:25:49.633,65
740,405,165.0,2011-12-16 18:31:56.007,65
741,30,82.0,2011-12-16 19:34:05.410,66
741,30,776.0,2012-03-17 09:37:10.323,157
754,485,48.0,2011-12-17 18:10:04.090,66
754,485,26.0,2011-12-17 18:22:10.703,66
754,485,552.0,2012-01-03 14:53:27.953,83
763,506,133.0,2011-12-29 16:17:17.187,78
763,506,571.0,2012-01-10 04:52:21.300,90
764,432,178.0,2011-12-20 21:48:05.090,70
771,489,529.0,2011-12-27 16:42:49.977,76
772,522,529.0,2011-12-27 00:39:12.610,76
772,522,104.0,2011-12-31 09:45:48.620,80
772,522,89.0,2012-01-03 21:01:45.583,84
778,21,71.0,2011-12-24 20:27:12.390,74
778,21,133.0,2011-12-28 17:53:28.980,77
778,21,89.0,2012-01-03 21:18:18.550,84
780,71,564.0,2012-01-16 06:21:54.173,96
781,524,26.0,2011-12-29 06:52:07.683,78
782,342,97.0,2011-12-26 19:06:24.540,75
792,449,104.0,2011-12-31 09:38:32.573,80
792,449,48.0,2012-01-02 15:16:57.017,82
792,449,89.0,2012-01-03 21:29:26.677,84
792,449,178.0,2012-01-04 15:51:15.970,84
792,449,489.0,2012-01-11 20:48:01.813,92
793,538,104.0,2011-12-31 09:20:14.480,80
793,538,542.0,2012-01-01 01:50:07.823,81
793,538,48.0,2012-01-02 15:30:19.913,82
793,538,133.0,2012-01-03 19:44:09.053,84
793,538,752.0,2012-03-11 02:27:52.553,151
812,28,529.0,2012-01-05 21:13:53.297,86
812,28,11.0,2012-02-04 23:03:19.730,116
813,28,564.0,2012-01-16 06:09:49.247,96
818,566,567.0,2012-01-07 21:36:26.183,88
821,50,133.0,2012-01-09 19:16:43.877,89
826,329,31.0,2012-01-10 09:26:13.740,90
826,329,104.0,2012-01-10 12:54:50.593,90
826,329,569.0,2012-01-11 05:13:18.460,91
831,573,557.0,2012-01-11 13:28:50.987,91
831,573,489.0,2012-01-11 20:41:49.093,92
831,573,133.0,2012-01-13 17:56:17.477,93
835,489,104.0,2012-01-12 10:44:31.553,92
840,557,48.0,2012-01-14 09:57:12.850,94
846,346,567.0,2012-02-04 01:19:19.757,115
851,588,20.0,2012-02-19 18:09:58.753,130
851,588,721.0,2012-02-23 21:46:03.363,135
852,47,133.0,2012-01-20 14:59:19.247,100
855,47,31.0,2012-01-18 12:19:50.303,98
855,47,133.0,2012-01-18 14:05:15.800,98
855,47,104.0,2012-01-18 18:19:17.300,98
859,114,104.0,2012-01-18 18:28:35.330,98
862,599,400.0,2012-01-21 12:25:15.870,101
862,599,612.0,2012-01-22 18:51:49.273,102
863,414,178.0,2012-01-19 15:31:50.890,99
864,47,31.0,2012-01-19 11:43:56.973,99
871,603,504.0,2012-01-20 15:48:49.200,100
879,618,104.0,2012-01-24 07:52:09.380,104
885,630,133.0,2012-01-30 19:58:04.107,111
885,630,81.0,2012-02-03 09:49:52.503,114
887,632,48.0,2012-01-30 09:24:16.440,110
888,632,104.0,2012-01-29 19:59:05.990,110
897,342,114.0,2012-01-31 14:37:36.343,111
897,342,26.0,2012-01-31 15:13:16.140,111
897,342,642.0,2012-01-31 16:56:11.987,111
898,640,632.0,2012-02-01 10:25:23.273,112
898,640,644.0,2012-02-13 02:24:55.793,124
898,640,221.0,2012-02-13 16:46:37.140,124
898,640,831.0,2012-04-03 09:38:13.837,174
898,640,197.0,2012-04-07 06:11:35.167,178
903,643,642.0,2012-02-01 01:52:48.240,112
903,643,165.0,2012-02-01 02:43:17.497,112
903,643,632.0,2012-02-01 10:14:13.310,112
912,650,632.0,2012-02-03 15:50:47.030,114
912,650,11.0,2012-02-04 01:09:43.840,115
915,632,165.0,2012-02-03 18:42:33.830,114
915,632,567.0,2012-02-03 21:15:46.797,115
915,632,583.0,2012-02-07 22:08:19.043,119
924,640,632.0,2012-02-06 13:50:18.343,117
924,640,473.0,2012-02-09 12:45:30.300,120
924,640,219.0,2012-02-12 18:48:49.093,123
925,446,632.0,2012-02-06 08:13:24.410,117
928,630,473.0,2012-02-10 10:15:22.687,121
928,630,698.0,2012-02-15 23:46:15.987,127
932,666,26.0,2012-02-08 18:46:24.153,119
939,672,219.0,2012-02-12 23:27:08.850,124
941,403,400.0,2012-02-09 12:34:39.140,120
941,403,612.0,2012-02-09 19:28:17.750,120
941,403,686.0,2012-02-13 18:43:34.130,124
948,308,11.0,2012-02-11 02:02:49.017,122
948,308,669.0,2012-02-11 05:48:12.420,122
948,308,612.0,2012-02-11 19:02:04.997,122
955,462,708.0,2012-03-14 13:16:24.590,154
957,683,400.0,2012-02-13 19:09:57.923,124
958,684,219.0,2012-02-13 14:51:42.737,124
958,684,684.0,2012-02-13 23:45:03.737,125
963,632,708.0,2012-02-18 11:42:24.183,129
963,632,708.0,2012-02-22 09:36:14.673,133
963,632,50.0,2012-02-22 17:00:40.597,133
964,451,632.0,2012-02-13 22:42:51.680,125
964,451,219.0,2012-02-14 10:32:09.683,125
976,700,50.0,2012-02-17 02:48:36.703,128
976,700,704.0,2012-02-17 09:39:25.127,128
976,700,642.0,2012-02-19 02:55:39.233,130
976,700,708.0,2012-02-22 09:56:04.930,133
976,700,352.0,2012-02-25 02:11:07.237,136
979,701,669.0,2012-02-16 19:11:01.227,127
979,701,719.0,2012-02-24 15:08:00.730,135
981,644,20.0,2012-02-19 18:07:01.627,130
981,644,104.0,2012-02-20 08:24:13.213,131
998,491,722.0,2012-02-27 02:01:55.957,138
1000,71,71.0,2012-02-23 17:01:05.313,134
1005,724,81.0,2012-02-24 10:43:58.143,135
1010,47,632.0,2012-02-25 10:36:39.337,136
1010,47,491.0,2012-02-25 17:22:12.760,136
1013,729,721.0,2012-02-26 16:23:27.953,137
1013,729,644.0,2012-02-27 02:00:01.573,138
1013,729,133.0,2012-02-27 15:01:20.020,138
1013,729,165.0,2012-03-07 18:06:18.740,147
1013,729,119.0,2012-03-09 05:23:44.837,149
1015,730,721.0,2012-02-26 22:35:00.437,138
1019,719,104.0,2012-03-02 12:44:41.437,142
1025,730,219.0,2012-02-29 12:50:36.810,140
