QId,PostUserId,Vote,Time,days
1.0,8.0,2,2011-10-11,0
7.0,8.0,2,2011-10-11,0
4.0,14.0,2,2011-10-11,0
1.0,8.0,2,2011-10-11,0
1.0,8.0,2,2011-10-11,0
2.0,1.0,2,2011-10-11,0
12.0,8.0,2,2011-10-11,0
12.0,8.0,2,2011-10-11,0
13.0,1.0,2,2011-10-11,0
2.0,1.0,2,2011-10-11,0
3.0,5.0,3,2011-10-11,0
4.0,14.0,2,2011-10-11,0
6.0,15.0,2,2011-10-11,0
7.0,8.0,2,2011-10-11,0
9.0,20.0,2,2011-10-11,0
12.0,8.0,2,2011-10-11,0
3.0,5.0,2,2011-10-11,0
13.0,1.0,3,2011-10-11,0
17.0,1.0,2,2011-10-11,0
18.0,47.0,2,2011-10-11,0
18.0,47.0,2,2011-10-11,0
13.0,1.0,2,2011-10-11,0
18.0,47.0,2,2011-10-11,0
17.0,1.0,2,2011-10-11,0
1.0,8.0,2,2011-10-11,0
22.0,8.0,2,2011-10-11,0
22.0,8.0,2,2011-10-11,0
1.0,8.0,2,2011-10-11,0
2.0,1.0,2,2011-10-11,0
19.0,1.0,2,2011-10-11,0
17.0,1.0,2,2011-10-11,0
9.0,20.0,2,2011-10-11,0
12.0,8.0,2,2011-10-11,0
28.0,9.0,2,2011-10-11,0
28.0,9.0,2,2011-10-11,0
31.0,43.0,2,2011-10-11,0
9.0,20.0,2,2011-10-11,0
13.0,1.0,2,2011-10-11,0
17.0,1.0,2,2011-10-11,0
31.0,43.0,2,2011-10-11,0
6.0,15.0,2,2011-10-11,0
28.0,9.0,2,2011-10-11,0
27.0,43.0,2,2011-10-11,0
6.0,15.0,2,2011-10-11,0
12.0,8.0,2,2011-10-11,0
14.0,8.0,2,2011-10-11,0
40.0,47.0,2,2011-10-11,0
2.0,1.0,3,2011-10-11,0
40.0,47.0,2,2011-10-11,0
43.0,65.0,2,2011-10-11,0
38.0,68.0,2,2011-10-11,0
14.0,8.0,2,2011-10-11,0
43.0,65.0,2,2011-10-11,0
36.0,30.0,2,2011-10-11,0
19.0,1.0,2,2011-10-11,0
3.0,5.0,2,2011-10-11,0
36.0,30.0,3,2011-10-11,0
12.0,8.0,2,2011-10-11,0
1.0,8.0,2,2011-10-11,0
38.0,68.0,3,2011-10-11,0
18.0,47.0,2,2011-10-11,0
3.0,5.0,2,2011-10-11,0
2.0,1.0,2,2011-10-11,0
19.0,1.0,2,2011-10-12,1
36.0,30.0,3,2011-10-12,1
19.0,1.0,2,2011-10-12,1
14.0,8.0,3,2011-10-12,1
49.0,45.0,2,2011-10-12,1
36.0,30.0,2,2011-10-12,1
28.0,9.0,2,2011-10-12,1
19.0,1.0,2,2011-10-12,1
40.0,47.0,2,2011-10-12,1
36.0,30.0,3,2011-10-12,1
49.0,45.0,2,2011-10-12,1
40.0,47.0,3,2011-10-12,1
22.0,8.0,3,2011-10-12,1
9.0,20.0,2,2011-10-12,1
49.0,45.0,2,2011-10-12,1
49.0,45.0,2,2011-10-12,1
57.0,10.0,2,2011-10-12,1
43.0,65.0,2,2011-10-12,1
57.0,10.0,2,2011-10-12,1
12.0,8.0,2,2011-10-12,1
13.0,1.0,2,2011-10-12,1
22.0,8.0,2,2011-10-12,1
18.0,47.0,2,2011-10-12,1
12.0,8.0,2,2011-10-12,1
7.0,8.0,2,2011-10-12,1
49.0,45.0,2,2011-10-12,1
6.0,15.0,2,2011-10-12,1
36.0,30.0,3,2011-10-12,1
18.0,47.0,2,2011-10-12,1
18.0,47.0,2,2011-10-12,1
