QId,RespondUserId,PostUserId,Time,days
1,2.0,11.0,2009-10-09T21:16:41.670,2
18,15.0,294.0,2009-10-10T13:21:30.683,2
45,32.0,4.0,2009-10-10T00:54:03.653,2
48,24.0,238.0,2009-10-10T23:57:55.457,3
57,42.0,4.0,2009-10-10T01:18:19.607,2
70,43.0,4335.0,2009-10-10T02:43:33.507,2
85,58.0,23.0,2009-10-10T06:39:49.767,2
91,42.0,2.0,2009-10-10T02:08:16.620,2
141,42.0,105.0,2009-10-10T03:20:58.677,2
156,121.0,2.0,2009-10-10T03:49:56.120,2
166,2.0,19.0,2009-10-10T17:55:14.597,2
177,121.0,4.0,2009-10-10T04:16:58.220,2
178,132.0,23.0,2009-10-10T04:39:46.063,2
219,121.0,127.0,2009-10-10T05:45:58.633,2
229,123.0,12.0,2009-10-10T22:01:50.030,3
239,163.0,482.0,2009-10-11T21:22:10.867,4
246,123.0,210.0,2009-10-10T08:08:32.073,2
260,123.0,11.0,2009-10-10T06:47:35.400,2
280,23.0,353.0,2009-10-10T16:58:07.633,2
305,223.0,226.0,2009-10-10T09:02:58.503,2
314,205.0,671.0,2009-10-13T17:26:54.583,5
329,238.0,164.0,2009-10-10T10:49:45.930,2
357,259.0,54.0,2009-10-10T12:58:18.057,2
379,287.0,24.0,2009-10-10T17:59:06.493,2
392,297.0,310.0,2009-10-10T14:16:25.593,2
448,326.0,357.0,2009-10-10T16:54:09.240,2
457,123.0,210.0,2009-10-11T07:51:12.880,3
468,356.0,2.0,2009-10-10T16:51:41.563,2
477,58.0,383.0,2009-10-10T18:36:34.687,2
496,105.0,4.0,2009-10-11T20:26:11.020,4
528,79.0,88.0,2009-10-11T04:25:01.960,3
530,23.0,2.0,2009-10-11T00:18:28.567,3
535,326.0,4.0,2009-10-10T22:32:01.043,3
546,392.0,11.0,2009-10-10T22:55:37.410,3
552,23.0,482.0,2009-10-11T18:57:40.900,3
570,373.0,88.0,2009-10-11T00:12:14.493,3
571,286.0,373.0,2009-10-10T21:56:37.910,3
621,238.0,574.0,2009-10-12T17:55:47.223,4
626,238.0,238.0,2009-10-15T08:51:12.263,7
650,11.0,2.0,2009-10-11T03:52:33.643,3
669,218.0,11.0,2009-10-11T07:48:35.157,3
687,392.0,359.0,2009-10-11T12:16:03.250,3
699,42.0,482.0,2009-10-11T18:41:44.340,3
702,23.0,2.0,2009-10-11T16:45:57.413,3
713,475.0,373.0,2009-10-11T21:16:52.810,4
731,392.0,527.0,2009-10-12T07:51:55.850,4
742,96.0,32.0,2009-10-11T22:43:59.370,4
747,482.0,392.0,2009-10-11T19:58:41.627,3
795,475.0,502.0,2009-10-12T00:07:25.837,4
796,436.0,11.0,2009-10-12T00:41:03.370,4
802,88.0,475.0,2009-10-12T01:09:35.627,4
830,506.0,502.0,2009-10-12T02:42:21.583,4
843,520.0,117.0,2009-10-12T04:33:04.350,4
844,105.0,2.0,2009-10-12T04:42:38.937,4
874,530.0,392.0,2009-10-12T09:06:14.190,4
895,164.0,392.0,2009-10-12T12:46:42.033,4
898,475.0,392.0,2009-10-12T12:58:37.863,4
914,530.0,475.0,2009-10-12T14:15:16.647,4
926,551.0,123.0,2009-10-12T15:14:24.070,4
959,569.0,123.0,2009-10-12T16:40:14.480,4
1001,475.0,502.0,2009-10-12T19:32:48.300,4
1002,583.0,404.0,2009-10-12T20:02:10.450,4
1020,441.0,423.0,2009-10-12T21:54:35.333,5
1044,329.0,644.0,2009-10-13T15:08:31.570,5
1047,594.0,2.0,2009-10-12T21:40:43.593,5
1049,123.0,608.0,2009-10-13T01:20:02.320,5
1064,546.0,521.0,2009-10-13T17:33:43.383,5
1068,594.0,605.0,2009-10-13T00:44:27.953,5
1071,604.0,123.0,2009-10-13T02:46:49.657,5
1094,475.0,482.0,2009-10-13T03:20:42.497,5
1099,123.0,282.0,2009-10-13T17:57:09.197,5
1102,24.0,692.0,2009-10-13T22:45:26.390,6
1114,482.0,11.0,2009-10-13T22:26:06.680,6
1123,625.0,627.0,2009-10-13T12:36:31.903,5
1135,475.0,309.0,2009-10-13T12:51:51.610,5
1150,638.0,24.0,2009-10-13T15:13:26.607,5
