QId,PostUserId,Time,days
1,2.0,2009-10-07T20:05:28.217,0
3,4.0,2009-10-09T18:29:37.857,1
16,13.0,2009-10-09T21:48:35.377,2
18,15.0,2009-10-09T21:52:50.567,2
19,14.0,2009-10-09T21:54:36.943,2
20,16.0,2009-10-09T21:56:34.910,2
27,20.0,2009-10-09T22:49:16.280,2
35,31.0,2009-10-09T23:39:53.713,2
45,32.0,2009-10-10T00:38:59.593,2
48,24.0,2009-10-10T00:48:43.740,2
57,42.0,2009-10-10T01:14:33.717,2
70,43.0,2009-10-10T01:29:50.430,2
85,58.0,2009-10-10T01:51:08.313,2
88,53.0,2009-10-10T01:55:44.677,2
91,42.0,2009-10-10T01:58:32.273,2
93,43.0,2009-10-10T01:59:36.043,2
113,84.0,2009-10-10T02:27:35.443,2
118,53.0,2009-10-10T02:37:38.667,2
141,42.0,2009-10-10T03:14:47.510,2
156,121.0,2009-10-10T03:40:45.547,2
157,127.0,2009-10-10T03:41:09.917,2
159,129.0,2009-10-10T03:42:32.333,2
166,2.0,2009-10-10T03:53:03.857,2
177,121.0,2009-10-10T04:03:07.477,2
178,132.0,2009-10-10T04:03:24.330,2
219,121.0,2009-10-10T04:50:05.553,2
221,150.0,2009-10-10T04:50:51.780,2
229,123.0,2009-10-10T05:05:46.550,2
232,160.0,2009-10-10T05:08:14.517,2
239,163.0,2009-10-10T05:17:11.953,2
246,123.0,2009-10-10T05:40:27.150,2
260,123.0,2009-10-10T06:09:29.660,2
270,150.0,2009-10-10T06:52:24.037,2
280,23.0,2009-10-10T07:35:21.657,2
305,223.0,2009-10-10T08:19:13.800,2
314,205.0,2009-10-10T08:32:25.667,2
328,237.0,2009-10-10T09:08:00.253,2
329,238.0,2009-10-10T09:09:06.023,2
350,251.0,2009-10-10T10:17:22.720,2
357,259.0,2009-10-10T10:38:05.577,2
377,282.0,2009-10-10T12:25:22.000,2
379,287.0,2009-10-10T12:32:59.173,2
392,297.0,2009-10-10T13:24:07.443,2
395,299.0,2009-10-10T13:31:14.133,2
420,312.0,2009-10-10T14:25:55.343,2
448,326.0,2009-10-10T15:44:44.873,2
456,344.0,2009-10-10T16:22:36.807,2
457,123.0,2009-10-10T16:22:43.030,2
466,326.0,2009-10-10T16:45:54.517,2
468,356.0,2009-10-10T16:48:00.260,2
477,58.0,2009-10-10T17:03:47.817,2
493,169.0,2009-10-10T17:25:07.703,2
496,105.0,2009-10-10T17:29:34.047,2
528,79.0,2009-10-10T19:33:15.483,2
530,23.0,2009-10-10T19:45:43.357,2
533,393.0,2009-10-10T19:54:19.747,2
535,326.0,2009-10-10T19:56:09.590,2
546,392.0,2009-10-10T20:20:49.843,3
552,23.0,2009-10-10T20:39:32.643,3
566,387.0,2009-10-10T21:31:13.570,3
570,373.0,2009-10-10T21:38:12.897,3
571,286.0,2009-10-10T21:38:38.403,3
590,418.0,2009-10-10T23:26:37.123,3
594,286.0,2009-10-10T23:48:33.737,3
621,238.0,2009-10-11T00:54:11.123,3
626,238.0,2009-10-11T01:18:04.760,3
637,431.0,2009-10-11T02:22:44.497,3
639,160.0,2009-10-11T02:36:48.827,3
650,11.0,2009-10-11T03:48:09.933,3
669,218.0,2009-10-11T06:15:17.973,3
678,446.0,2009-10-11T07:53:59.443,3
687,392.0,2009-10-11T10:51:46.863,3
699,42.0,2009-10-11T13:38:47.643,3
702,23.0,2009-10-11T13:57:35.747,3
713,475.0,2009-10-11T16:04:20.923,3
716,323.0,2009-10-11T16:33:48.513,3
720,359.0,2009-10-11T17:03:02.647,3
731,392.0,2009-10-11T18:41:19.367,3
742,96.0,2009-10-11T19:28:10.260,3
747,482.0,2009-10-11T19:45:14.860,3
756,261.0,2009-10-11T20:11:32.237,4
777,311.0,2009-10-11T21:55:31.873,4
780,451.0,2009-10-11T22:06:42.837,4
788,497.0,2009-10-11T22:37:02.990,4
793,497.0,2009-10-11T22:57:47.013,4
795,475.0,2009-10-11T23:06:28.277,4
796,436.0,2009-10-11T23:31:49.233,4
802,88.0,2009-10-11T23:56:40.130,4
809,504.0,2009-10-12T00:11:42.290,4
830,506.0,2009-10-12T01:37:32.713,4
831,512.0,2009-10-12T01:56:49.743,4
843,520.0,2009-10-12T03:53:36.490,4
844,105.0,2009-10-12T03:56:00.547,4
845,519.0,2009-10-12T03:57:31.583,4
857,424.0,2009-10-12T07:47:23.767,4
858,528.0,2009-10-12T07:47:41.810,4
871,527.0,2009-10-12T08:15:36.630,4
874,530.0,2009-10-12T08:23:57.220,4
895,164.0,2009-10-12T11:38:37.823,4
898,475.0,2009-10-12T12:39:05.120,4
908,506.0,2009-10-12T13:37:17.583,4
914,530.0,2009-10-12T13:57:21.563,4
920,506.0,2009-10-12T14:17:53.197,4
926,551.0,2009-10-12T14:31:50.210,4
946,359.0,2009-10-12T15:12:59.437,4
947,330.0,2009-10-12T15:14:02.573,4
959,569.0,2009-10-12T16:02:16.683,4
960,561.0,2009-10-12T16:02:52.360,4
963,105.0,2009-10-12T16:34:34.997,4
975,573.0,2009-10-12T17:12:33.503,4
996,23.0,2009-10-12T18:28:14.533,4
1001,475.0,2009-10-12T19:12:15.517,4
1002,583.0,2009-10-12T19:13:27.247,4
1003,393.0,2009-10-12T19:16:12.067,4
1020,441.0,2009-10-12T20:23:34.483,5
1025,506.0,2009-10-12T20:42:03.607,5
1033,359.0,2009-10-12T21:06:32.190,5
1044,329.0,2009-10-12T21:21:35.120,5
1047,594.0,2009-10-12T21:29:55.780,5
1049,123.0,2009-10-12T21:37:38.293,5
1064,546.0,2009-10-12T23:13:20.760,5
1068,594.0,2009-10-13T00:12:38.493,5
1071,604.0,2009-10-13T00:39:47.870,5
1074,226.0,2009-10-13T00:53:18.323,5
1092,123.0,2009-10-13T02:40:25.837,5
1094,475.0,2009-10-13T02:41:50.560,5
1099,123.0,2009-10-13T03:02:47.217,5
1102,24.0,2009-10-13T03:17:23.090,5
1106,226.0,2009-10-13T03:30:36.297,5
1114,482.0,2009-10-13T04:22:12.280,5
1123,625.0,2009-10-13T08:53:45.343,5
1135,475.0,2009-10-13T12:06:57.093,5
1143,633.0,2009-10-13T13:07:42.413,5
1149,548.0,2009-10-13T14:36:31.630,5
1150,638.0,2009-10-13T14:51:36.787,5
1152,652.0,2009-10-13T15:03:32.540,5
1196,676.0,2009-10-13T17:42:00.733,5
1203,17.0,2009-10-13T18:28:41.907,5
1215,688.0,2009-10-13T19:39:15.293,5
1216,78.0,2009-10-13T19:45:49.660,5
1238,697.0,2009-10-13T20:47:38.670,6
1241,611.0,2009-10-13T20:57:31.607,6
1260,223.0,2009-10-13T22:00:45.633,6
1283,758.0,2009-10-13T23:43:44.087,6
1285,760.0,2009-10-14T00:04:33.097,6
1299,759.0,2009-10-14T00:56:59.110,6
1304,759.0,2009-10-14T01:20:38.650,6
1309,762.0,2009-10-14T01:36:33.213,6
1313,482.0,2009-10-14T02:19:08.027,6
1314,482.0,2009-10-14T02:28:39.710,6
1319,23.0,2009-10-14T03:47:34.110,6
1325,770.0,2009-10-14T04:39:10.513,6
1330,777.0,2009-10-14T04:53:50.613,6
1331,772.0,2009-10-14T04:55:44.327,6
1333,393.0,2009-10-14T05:07:47.583,6
1342,779.0,2009-10-14T05:44:21.293,6
1352,218.0,2009-10-14T06:40:27.617,6
1368,786.0,2009-10-14T07:53:53.587,6
1372,789.0,2009-10-14T08:39:46.443,6
1391,475.0,2009-10-14T12:18:26.683,6
1395,436.0,2009-10-14T12:47:54.097,6
1396,326.0,2009-10-14T12:54:56.377,6
1398,506.0,2009-10-14T13:26:38.697,6
1402,733.0,2009-10-14T14:14:39.247,6
1407,401.0,2009-10-14T15:04:25.747,6
1431,813.0,2009-10-14T17:09:52.957,6
1437,814.0,2009-10-14T17:35:52.010,6
1448,759.0,2009-10-14T18:59:03.877,6
1453,473.0,2009-10-14T20:34:37.043,7
1462,629.0,2009-10-14T20:59:59.530,7
1478,814.0,2009-10-14T22:29:51.467,7
1485,42.0,2009-10-14T23:25:12.070,7
1488,42.0,2009-10-14T23:36:16.420,7
1496,123.0,2009-10-15T02:38:11.237,7
1498,123.0,2009-10-15T02:50:57.963,7
1511,837.0,2009-10-15T04:13:59.283,7
