QId,PostUserId,RespondUserId,Time,days
1,2.0,2.0,2009-10-07T20:11:47.707,0
1,2.0,11.0,2009-10-09T21:16:41.670,2
1,2.0,41.0,2009-10-10T01:12:06.230,2
1,2.0,42.0,2009-10-10T03:56:51.157,2
1,2.0,392.0,2009-10-11T10:37:51.410,3
1,2.0,96.0,2009-10-11T19:09:55.043,3
3,4.0,1333.0,2009-10-09T19:42:38.303,1
3,4.0,2.0,2009-10-09T20:46:58.227,2
3,4.0,105.0,2009-10-10T04:21:46.233,2
3,4.0,121.0,2009-10-10T04:26:28.637,2
3,4.0,145.0,2009-10-10T04:37:00.303,2
3,4.0,917.0,2009-10-16T12:02:24.423,8
3,4.0,394.0,2009-11-04T18:48:43.110,27
16,13.0,2.0,2009-10-09T21:51:35.357,2
16,13.0,121.0,2009-10-10T03:53:41.877,2
16,13.0,88.0,2009-10-10T03:57:21.563,2
16,13.0,88.0,2009-10-14T00:20:29.983,6
18,15.0,24.0,2009-10-09T22:51:57.650,2
18,15.0,27.0,2009-10-09T23:46:33.967,2
18,15.0,32.0,2009-10-10T01:24:47.567,2
18,15.0,46.0,2009-10-10T01:34:10.523,2
18,15.0,11.0,2009-10-10T04:44:42.573,2
18,15.0,127.0,2009-10-10T04:50:49.220,2
18,15.0,294.0,2009-10-10T13:21:30.683,2
18,15.0,392.0,2009-10-10T20:58:13.010,3
19,14.0,2.0,2009-10-09T22:00:20.500,2
19,14.0,27.0,2009-10-10T00:27:10.533,2
19,14.0,11.0,2009-10-10T04:52:06.230,2
19,14.0,160.0,2009-10-10T07:44:12.257,2
19,14.0,238.0,2009-10-10T09:12:26.007,2
19,14.0,226.0,2009-10-10T09:28:12.767,2
20,16.0,1343.0,2009-11-07T19:38:58.493,30
20,16.0,60.0,2009-11-07T20:11:44.193,31
20,16.0,2002.0,2009-12-22T16:54:13.833,75
27,20.0,13.0,2009-10-09T22:57:06.170,2
27,20.0,2.0,2009-10-09T23:59:19.100,2
27,20.0,44.0,2009-10-10T01:20:06.263,2
27,20.0,46.0,2009-10-10T01:23:03.227,2
35,31.0,13.0,2009-10-10T00:23:17.760,2
35,31.0,33.0,2009-10-10T00:30:05.487,2
35,31.0,4.0,2009-10-10T01:22:39.567,2
35,31.0,34.0,2009-10-10T01:23:39.893,2
35,31.0,121.0,2009-10-10T05:04:28.637,2
35,31.0,772.0,2009-10-17T19:18:49.897,9
35,31.0,973.0,2009-10-20T18:03:16.217,12
35,31.0,1281.0,2010-02-08T11:13:59.067,123
