QId,PostUserId,Vote,Time,days
3.0,4.0,2,2009-10-09,2
16.0,13.0,2,2009-10-09,2
16.0,13.0,2,2009-10-09,2
19.0,14.0,2,2009-10-09,2
27.0,20.0,2,2009-10-09,2
35.0,31.0,2,2009-10-10,3
45.0,32.0,2,2009-10-10,3
57.0,42.0,2,2009-10-10,3
93.0,43.0,2,2009-10-10,3
91.0,42.0,2,2009-10-10,3
88.0,53.0,2,2009-10-10,3
93.0,43.0,2,2009-10-10,3
70.0,43.0,2,2009-10-10,3
85.0,58.0,2,2009-10-10,3
70.0,43.0,2,2009-10-10,3
1.0,2.0,2,2009-10-10,3
113.0,84.0,2,2009-10-10,3
118.0,53.0,2,2009-10-10,3
141.0,42.0,2,2009-10-10,3
157.0,127.0,2,2009-10-10,3
156.0,121.0,2,2009-10-10,3
16.0,13.0,2,2009-10-10,3
3.0,4.0,2,2009-10-10,3
395.0,299.0,2,2009-10-10,3
85.0,58.0,2,2009-10-10,3
392.0,297.0,2,2009-10-10,3
141.0,42.0,2,2009-10-10,3
448.0,326.0,2,2009-10-10,3
280.0,23.0,2,2009-10-10,3
457.0,123.0,2,2009-10-10,3
305.0,223.0,2,2009-10-10,3
280.0,23.0,2,2009-10-10,3
229.0,123.0,2,2009-10-10,3
305.0,223.0,2,2009-10-10,3
493.0,169.0,2,2009-10-10,3
377.0,282.0,2,2009-10-10,3
395.0,299.0,2,2009-10-10,3
546.0,392.0,2,2009-10-10,3
57.0,42.0,2,2009-10-10,3
280.0,23.0,2,2009-10-10,3
496.0,105.0,2,2009-10-10,3
566.0,387.0,2,2009-10-10,3
570.0,373.0,2,2009-10-10,3
546.0,392.0,2,2009-10-10,3
571.0,286.0,2,2009-10-11,4
566.0,387.0,2,2009-10-11,4
590.0,418.0,2,2009-10-11,4
552.0,23.0,2,2009-10-11,4
535.0,326.0,2,2009-10-11,4
533.0,393.0,2,2009-10-11,4
493.0,169.0,2,2009-10-11,4
626.0,238.0,2,2009-10-11,4
621.0,238.0,2,2009-10-11,4
639.0,160.0,2,2009-10-11,4
377.0,282.0,2,2009-10-11,4
590.0,418.0,2,2009-10-11,4
530.0,23.0,2,2009-10-11,4
571.0,286.0,2,2009-10-11,4
270.0,150.0,2,2009-10-11,4
637.0,431.0,2,2009-10-11,4
350.0,251.0,2,2009-10-11,4
493.0,169.0,2,2009-10-11,4
669.0,218.0,2,2009-10-11,4
687.0,392.0,2,2009-10-11,4
702.0,23.0,2,2009-10-11,4
379.0,287.0,2,2009-10-11,4
747.0,482.0,2,2009-10-11,4
496.0,105.0,2,2009-10-11,4
466.0,326.0,2,2009-10-11,4
350.0,251.0,2,2009-10-11,4
747.0,482.0,2,2009-10-11,4
756.0,261.0,2,2009-10-11,4
713.0,475.0,2,2009-10-11,4
18.0,15.0,2,2009-10-11,4
219.0,121.0,2,2009-10-11,4
552.0,23.0,2,2009-10-11,4
1.0,2.0,2,2009-10-11,4
702.0,23.0,2,2009-10-11,4
731.0,392.0,2,2009-10-11,4
788.0,497.0,2,2009-10-11,4
699.0,42.0,2,2009-10-11,4
793.0,497.0,2,2009-10-11,4
777.0,311.0,2,2009-10-11,4
48.0,24.0,2,2009-10-11,4
466.0,326.0,2,2009-10-11,4
796.0,436.0,2,2009-10-11,4
793.0,497.0,2,2009-10-11,4
720.0,359.0,2,2009-10-11,4
793.0,497.0,2,2009-10-12,5
780.0,451.0,2,2009-10-12,5
796.0,436.0,2,2009-10-12,5
795.0,475.0,2,2009-10-12,5
795.0,475.0,2,2009-10-12,5
166.0,2.0,2,2009-10-12,5
713.0,475.0,2,2009-10-12,5
796.0,436.0,2,2009-10-12,5
802.0,88.0,2,2009-10-12,5
687.0,392.0,2,2009-10-12,5
720.0,359.0,2,2009-10-12,5
831.0,512.0,2,2009-10-12,5
809.0,504.0,2,2009-10-12,5
831.0,512.0,2,2009-10-12,5
830.0,506.0,2,2009-10-12,5
843.0,520.0,2,2009-10-12,5
830.0,506.0,2,2009-10-12,5
843.0,520.0,2,2009-10-12,5
844.0,105.0,2,2009-10-12,5
566.0,387.0,2,2009-10-12,5
845.0,519.0,2,2009-10-12,5
844.0,105.0,2,2009-10-12,5
845.0,519.0,2,2009-10-12,5
844.0,105.0,2,2009-10-12,5
844.0,105.0,2,2009-10-12,5
844.0,105.0,2,2009-10-12,5
844.0,105.0,2,2009-10-12,5
621.0,238.0,2,2009-10-12,5
857.0,424.0,2,2009-10-12,5
874.0,530.0,2,2009-10-12,5
898.0,475.0,2,2009-10-12,5
858.0,528.0,2,2009-10-12,5
777.0,311.0,2,2009-10-12,5
908.0,506.0,2,2009-10-12,5
914.0,530.0,2,2009-10-12,5
898.0,475.0,2,2009-10-12,5
858.0,528.0,2,2009-10-12,5
166.0,2.0,2,2009-10-12,5
914.0,530.0,2,2009-10-12,5
920.0,506.0,2,2009-10-12,5
920.0,506.0,2,2009-10-12,5
874.0,530.0,2,2009-10-12,5
898.0,475.0,2,2009-10-12,5
874.0,530.0,2,2009-10-12,5
908.0,506.0,3,2009-10-12,5
920.0,506.0,2,2009-10-12,5
270.0,150.0,2,2009-10-12,5
947.0,330.0,2,2009-10-12,5
590.0,418.0,2,2009-10-12,5
947.0,330.0,2,2009-10-12,5
975.0,573.0,2,2009-10-12,5
1001.0,475.0,2,2009-10-12,5
959.0,569.0,2,2009-10-12,5
946.0,359.0,2,2009-10-12,5
477.0,58.0,2,2009-10-12,5
1002.0,583.0,2,2009-10-12,5
1044.0,329.0,2,2009-10-12,5
1049.0,123.0,2,2009-10-12,5
678.0,446.0,2,2009-10-12,5
1064.0,546.0,2,2009-10-12,5
1064.0,546.0,2,2009-10-12,5
1025.0,506.0,2,2009-10-12,5
963.0,105.0,2,2009-10-13,6
57.0,42.0,2,2009-10-13,6
1092.0,123.0,2,2009-10-13,6
1020.0,441.0,2,2009-10-13,6
963.0,105.0,2,2009-10-13,6
1074.0,226.0,2,2009-10-13,6
1099.0,123.0,2,2009-10-13,6
669.0,218.0,2,2009-10-13,6
19.0,14.0,2,2009-10-13,6
1092.0,123.0,2,2009-10-13,6
1047.0,594.0,2,2009-10-13,6
996.0,23.0,2,2009-10-13,6
1114.0,482.0,2,2009-10-13,6
85.0,58.0,2,2009-10-13,6
1123.0,625.0,2,2009-10-13,6
1092.0,123.0,2,2009-10-13,6
793.0,497.0,2,2009-10-13,6
1150.0,638.0,2,2009-10-13,6
1149.0,548.0,2,2009-10-13,6
1152.0,652.0,2,2009-10-13,6
1152.0,652.0,2,2009-10-13,6
920.0,506.0,2,2009-10-13,6
947.0,330.0,2,2009-10-13,6
1152.0,652.0,2,2009-10-13,6
1152.0,652.0,2,2009-10-13,6
1094.0,475.0,2,2009-10-13,6
1150.0,638.0,2,2009-10-13,6
1196.0,676.0,2,2009-10-13,6
1203.0,17.0,2,2009-10-13,6
1203.0,17.0,2,2009-10-13,6
1215.0,688.0,2,2009-10-13,6
1215.0,688.0,2,2009-10-13,6
809.0,504.0,2,2009-10-13,6
1215.0,688.0,2,2009-10-13,6
959.0,569.0,2,2009-10-13,6
960.0,561.0,2,2009-10-13,6
1241.0,611.0,2,2009-10-13,6
1020.0,441.0,2,2009-10-13,6
1102.0,24.0,2,2009-10-13,6
1241.0,611.0,2,2009-10-13,6
1241.0,611.0,2,2009-10-13,6
1241.0,611.0,2,2009-10-14,7
546.0,392.0,2,2009-10-14,7
639.0,160.0,2,2009-10-14,7
1304.0,759.0,2,2009-10-14,7
229.0,123.0,2,2009-10-14,7
1003.0,393.0,2,2009-10-14,7
1313.0,482.0,2,2009-10-14,7
1309.0,762.0,2,2009-10-14,7
1314.0,482.0,2,2009-10-14,7
1314.0,482.0,2,2009-10-14,7
1313.0,482.0,2,2009-10-14,7
1325.0,770.0,2,2009-10-14,7
1283.0,758.0,2,2009-10-14,7
1285.0,760.0,2,2009-10-14,7
1314.0,482.0,2,2009-10-14,7
1342.0,779.0,2,2009-10-14,7
1391.0,475.0,2,2009-10-14,7
1396.0,326.0,2,2009-10-14,7
1402.0,733.0,2,2009-10-14,7
1342.0,779.0,2,2009-10-14,7
1391.0,475.0,2,2009-10-14,7
1314.0,482.0,2,2009-10-14,7
1330.0,777.0,2,2009-10-14,7
1431.0,813.0,2,2009-10-14,7
1402.0,733.0,2,2009-10-14,7
1437.0,814.0,2,2009-10-14,7
1372.0,789.0,2,2009-10-14,7
1074.0,226.0,2,2009-10-14,7
1106.0,226.0,2,2009-10-14,7
1453.0,473.0,2,2009-10-14,7
1462.0,629.0,2,2009-10-14,7
70.0,43.0,2,2009-10-14,7
457.0,123.0,2,2009-10-14,7
1368.0,786.0,2,2009-10-14,7
1453.0,473.0,2,2009-10-14,7
1478.0,814.0,2,2009-10-14,7
1152.0,652.0,2,2009-10-14,7
1488.0,42.0,2,2009-10-15,8
1485.0,42.0,2,2009-10-15,8
1496.0,123.0,2,2009-10-15,8
1496.0,123.0,2,2009-10-15,8
1498.0,123.0,2,2009-10-15,8
1448.0,759.0,2,2009-10-15,8
1496.0,123.0,2,2009-10-15,8
1431.0,813.0,2,2009-10-15,8
1498.0,123.0,2,2009-10-15,8
1396.0,326.0,2,2009-10-15,8
1521.0,123.0,2,2009-10-15,8
1514.0,96.0,2,2009-10-15,8
1514.0,96.0,2,2009-10-15,8
1531.0,849.0,2,2009-10-15,8
1525.0,858.0,2,2009-10-15,8
70.0,43.0,2,2009-10-15,8
1498.0,123.0,2,2009-10-15,8
1462.0,629.0,2,2009-10-15,8
1514.0,96.0,2,2009-10-15,8
1485.0,42.0,2,2009-10-15,8
1498.0,123.0,2,2009-10-15,8
1565.0,692.0,2,2009-10-15,8
1574.0,880.0,2,2009-10-15,8
1570.0,881.0,2,2009-10-15,8
1368.0,786.0,2,2009-10-15,8
1498.0,123.0,2,2009-10-15,8
1596.0,813.0,2,2009-10-15,8
1585.0,594.0,2,2009-10-15,8
1580.0,698.0,2,2009-10-15,8
1601.0,58.0,2,2009-10-15,8
1521.0,123.0,3,2009-10-15,8
1572.0,875.0,2,2009-10-15,8
1570.0,881.0,2,2009-10-15,8
1525.0,858.0,2,2009-10-15,8
1585.0,594.0,2,2009-10-15,8
1574.0,880.0,2,2009-10-15,8
1570.0,881.0,2,2009-10-15,8
1580.0,698.0,2,2009-10-15,8
1437.0,814.0,2,2009-10-15,8
1462.0,629.0,2,2009-10-15,8
1216.0,78.0,2,2009-10-15,8
1498.0,123.0,2,2009-10-15,8
1618.0,891.0,2,2009-10-15,8
1618.0,891.0,2,2009-10-15,8
1616.0,123.0,2,2009-10-15,8
1601.0,58.0,2,2009-10-15,8
1645.0,900.0,2,2009-10-16,9
1572.0,875.0,2,2009-10-16,9
1661.0,741.0,2,2009-10-16,9
1616.0,123.0,2,2009-10-16,9
858.0,528.0,2,2009-10-16,9
1661.0,741.0,2,2009-10-16,9
1448.0,759.0,2,2009-10-16,9
1585.0,594.0,2,2009-10-16,9
1645.0,900.0,2,2009-10-16,9
3.0,4.0,2,2009-10-16,9
858.0,528.0,2,2009-10-16,9
1283.0,758.0,2,2009-10-16,9
1283.0,758.0,2,2009-10-16,9
1651.0,24.0,2,2009-10-16,9
1651.0,24.0,2,2009-10-16,9
1521.0,123.0,2,2009-10-16,9
1661.0,741.0,2,2009-10-16,9
1521.0,123.0,2,2009-10-16,9
1.0,2.0,2,2009-10-16,9
1714.0,759.0,2,2009-10-16,9
1514.0,96.0,2,2009-10-16,9
1574.0,880.0,2,2009-10-17,10
1601.0,58.0,2,2009-10-17,10
1618.0,891.0,2,2009-10-17,10
1498.0,123.0,2,2009-10-17,10
1714.0,759.0,2,2009-10-17,10
1368.0,786.0,2,2009-10-17,10
1488.0,42.0,2,2009-10-17,10
1693.0,911.0,2,2009-10-17,10
1661.0,741.0,2,2009-10-17,10
1485.0,42.0,2,2009-10-17,10
1448.0,759.0,2,2009-10-17,10
1570.0,881.0,2,2009-10-17,10
1728.0,2.0,2,2009-10-17,10
1728.0,2.0,2,2009-10-17,10
1585.0,594.0,2,2009-10-17,10
