QId,RespondUserId,PostUserId,Time,days
1,6.0,281.0,2013-11-05 23:46:37.250,42
2,,6.0,2013-09-24 20:44:49.320,0
4,19.0,19.0,2013-09-24 18:57:01.680,0
7,19.0,19.0,2013-09-24 19:14:05.603,0
9,28.0,7.0,2013-09-24 20:02:18.120,0
14,36.0,28.0,2013-09-24 19:36:35.913,0
15,36.0,53.0,2013-09-24 20:21:31.950,0
16,41.0,13.0,2013-09-24 19:42:15.507,0
24,19.0,,2013-09-24 20:13:56.917,0
26,,43.0,2013-09-24 22:22:59.173,0
27,44.0,28.0,2013-09-24 19:59:45.683,0
33,39.0,31.0,2013-09-24 20:02:37.830,0
38,,69.0,2013-09-24 23:47:16.007,0
39,42.0,45.0,2013-09-26 13:11:23.363,1
42,39.0,45.0,2013-09-24 20:25:36.830,0
58,62.0,63.0,2013-09-24 22:55:19.680,0
63,69.0,19.0,2013-09-24 23:50:42.790,0
75,73.0,45.0,2013-09-26 14:18:49.667,1
79,,2.0,2013-09-25 04:26:03.407,0
80,,96.0,2013-09-25 13:13:33.133,0
81,19.0,,2013-09-25 02:19:55.517,0
87,39.0,,2013-09-25 03:16:58.277,0
89,19.0,,2013-09-27 01:21:42.783,2
94,,45.0,2013-09-26 02:54:02.650,1
96,80.0,,2013-09-25 06:58:41.663,0
98,82.0,2.0,2013-09-25 14:56:39.043,0
104,82.0,86.0,2013-09-25 08:22:07.337,0
107,,88.0,2013-09-25 08:33:36.823,0
114,95.0,67.0,2013-09-25 11:43:02.043,0
115,69.0,88.0,2013-09-26 13:21:25.700,1
122,99.0,73.0,2013-09-25 12:59:54.703,0
125,96.0,,2013-09-26 00:14:11.867,1
130,96.0,28.0,2013-09-25 15:45:40.130,0
131,96.0,19.0,2013-09-25 15:11:46.327,0
133,19.0,96.0,2013-09-25 16:06:15.777,0
134,96.0,,2013-09-25 15:28:06.260,0
138,96.0,28.0,2013-09-25 16:04:10.447,0
145,104.0,45.0,2013-09-25 17:28:34.007,0
150,106.0,13.0,2013-09-27 02:09:31.453,2
158,69.0,19.0,2013-09-26 00:00:18.580,1
166,114.0,114.0,2013-09-26 02:04:38.347,1
168,114.0,114.0,2013-09-26 02:09:35.223,1
170,114.0,114.0,2013-09-26 02:16:21.673,1
172,,63.0,2013-09-26 03:03:32.727,1
173,114.0,114.0,2013-09-26 02:19:43.550,1
182,19.0,28.0,2013-09-26 07:20:45.653,1
212,,96.0,2013-09-26 08:42:06.133,1
213,96.0,88.0,2013-09-26 08:23:19.013,1
214,115.0,2.0,2013-09-26 21:44:37.527,2
219,96.0,73.0,2013-09-26 11:04:23.963,1
220,96.0,43.0,2013-09-26 13:11:58.027,1
222,96.0,88.0,2013-09-26 10:24:31.897,1
225,69.0,25.0,2013-09-26 17:08:38.093,1
226,69.0,96.0,2013-09-26 11:11:44.967,1
237,83.0,63.0,2013-09-26 14:24:00.253,1
240,83.0,286.0,2013-10-20 12:00:52.737,25
241,83.0,88.0,2013-09-26 14:39:28.353,1
247,117.0,88.0,2013-09-26 16:05:34.500,1
249,62.0,43.0,2013-09-27 06:47:33.487,2
251,118.0,,2013-09-26 23:23:25.370,2
252,13.0,121.0,2013-09-26 20:20:36.090,2
253,62.0,45.0,2013-09-27 01:04:35.140,2
256,43.0,,2013-09-26 22:02:15.930,2
261,69.0,88.0,2013-09-27 12:18:38.793,2
266,69.0,158.0,2013-09-30 18:25:38.650,5
270,96.0,48.0,2013-09-27 00:36:38.000,2
271,96.0,114.0,2013-09-27 02:57:34.707,2
272,,114.0,2013-09-27 02:39:29.797,2
273,96.0,38.0,2013-09-27 03:48:08.737,2
296,96.0,111.0,2013-09-27 07:59:03.663,2
298,,96.0,2013-09-27 10:00:00.053,2
300,,88.0,2013-09-27 10:17:28.033,2
304,83.0,,2013-09-27 11:52:11.427,2
305,83.0,28.0,2013-09-27 12:10:03.853,2
307,83.0,28.0,2013-09-27 12:26:45.243,2
310,83.0,121.0,2013-09-27 17:19:49.973,2
321,19.0,83.0,2013-09-27 14:22:37.710,2
328,19.0,42.0,2013-09-27 19:18:55.347,3
331,13.0,88.0,2013-09-30 09:06:08.357,5
332,13.0,63.0,2013-09-28 02:03:24.347,3
334,42.0,2.0,2013-09-30 06:51:09.050,5
348,19.0,,2013-09-28 02:02:11.713,3
349,19.0,25.0,2013-09-28 01:23:23.217,3
362,,2.0,2013-09-30 05:57:41.223,5
366,45.0,,2013-09-28 21:00:23.273,4
370,62.0,,2013-09-29 01:50:50.433,4
373,148.0,13.0,2013-09-29 02:47:04.443,4
381,150.0,28.0,2013-09-29 08:00:19.183,4
385,82.0,,2013-09-29 09:37:01.980,4
387,150.0,13.0,2013-09-29 13:48:23.480,4
400,62.0,115.0,2013-10-05 23:53:06.743,11
401,,2.0,2013-09-30 14:33:10.630,5
408,19.0,13.0,2013-09-30 05:19:47.287,5
418,,43.0,2013-09-30 19:39:26.300,6
423,62.0,28.0,2013-09-30 19:47:36.920,6
424,62.0,2.0,2013-09-30 19:39:52.553,6
