PostUserId,RespondUserId,QId,Time,days
31.0,39.0,33,2013-09-24 20:07:26.887,0
31.0,31.0,33,2013-09-24 20:09:07.953,0
53.0,43.0,15,2013-09-24 22:11:15.403,0
53.0,2.0,15,2013-09-25 04:11:20.873,0
2.0,,15,2013-09-27 10:56:23.450,2
2.0,53.0,15,2013-11-10 05:30:05.327,46
19.0,69.0,70,2013-09-25 00:10:51.900,0
69.0,19.0,70,2013-09-25 00:11:48.653,0
19.0,19.0,70,2013-09-25 00:15:06.677,0
69.0,63.0,70,2013-09-25 00:23:20.633,0
69.0,67.0,70,2013-09-25 00:43:02.640,0
67.0,19.0,70,2013-09-25 00:56:23.030,0
19.0,67.0,70,2013-09-25 01:53:16.407,0
19.0,83.0,70,2013-09-25 06:52:58.353,0
19.0,69.0,70,2013-09-25 11:04:38.117,0
2.0,,79,2013-09-25 04:29:28.173,0
2.0,38.0,79,2013-09-25 14:30:13.410,0
2.0,2.0,79,2013-09-25 16:21:04.367,0
2.0,45.0,79,2013-09-30 23:39:47.723,6
79.0,82.0,98,2013-09-25 07:33:15.393,0
79.0,79.0,98,2013-09-25 07:34:51.850,0
63.0,50.0,3,2013-09-25 08:43:04.423,0
88.0,,107,2013-09-25 08:47:13.487,0
88.0,88.0,107,2013-09-25 09:21:20.220,0
88.0,,107,2013-09-25 09:49:01.997,0
67.0,67.0,114,2013-09-25 11:46:26.590,0
67.0,95.0,114,2013-09-25 17:46:51.920,0
67.0,67.0,114,2013-09-26 11:23:12.957,1
86.0,67.0,101,2013-09-25 11:48:58.443,0
86.0,86.0,101,2013-09-25 12:24:18.947,0
73.0,99.0,122,2013-09-25 13:05:31.397,0
99.0,73.0,122,2013-09-25 13:14:35.643,0
19.0,96.0,131,2013-09-25 15:21:25.107,0
96.0,53.0,131,2013-09-25 18:29:44.077,0
2.0,53.0,131,2013-09-25 18:34:09.223,0
19.0,749.0,131,2014-01-09 21:14:50.793,107
749.0,19.0,131,2014-01-09 21:22:25.823,107
19.0,749.0,131,2014-01-09 21:29:41.310,107
749.0,38.0,131,2014-01-09 21:47:13.953,107
749.0,6.0,131,2014-01-09 21:59:33.850,107
38.0,749.0,131,2014-01-09 22:08:31.010,107
6.0,749.0,131,2014-01-09 22:12:49.343,107
749.0,6.0,131,2014-01-09 22:14:00.770,107
749.0,38.0,131,2014-01-09 22:16:56.693,107
38.0,749.0,131,2014-01-09 22:21:06.790,107
749.0,6.0,131,2014-01-09 22:24:22.160,107
6.0,749.0,131,2014-01-09 22:31:59.847,107
749.0,6.0,131,2014-01-09 22:38:26.040,107
6.0,749.0,131,2014-01-09 22:40:06.793,107
,69.0,134,2013-09-26 00:09:47.140,1
63.0,25.0,114,2013-09-26 00:50:58.160,1
63.0,63.0,114,2013-09-26 01:53:18.863,1
63.0,25.0,114,2013-09-26 02:03:05.757,1
,114.0,94,2013-09-26 01:16:34.340,1
67.0,67.0,39,2013-09-26 11:07:41.900,1
67.0,96.0,225,2013-09-26 11:14:29.543,1
67.0,43.0,225,2013-09-26 12:55:36.583,1
96.0,25.0,225,2013-09-26 14:41:27.140,1
96.0,25.0,225,2013-09-26 14:51:33.597,1
96.0,,226,2013-09-26 11:48:21.963,1
96.0,88.0,115,2013-09-26 13:24:44.230,1
96.0,88.0,115,2013-09-26 13:33:39.957,1
96.0,88.0,115,2013-09-26 14:48:24.213,1
88.0,96.0,115,2013-09-26 14:50:13.900,1
19.0,6.0,158,2013-09-26 13:44:23.937,1
111.0,2.0,246,2013-09-26 20:39:22.363,2
96.0,6.0,212,2013-09-26 21:46:39.990,2
73.0,6.0,219,2013-09-26 22:00:29.907,2
6.0,73.0,219,2013-09-26 23:04:17.843,2
2.0,115.0,214,2013-09-26 22:38:27.053,2
115.0,2.0,214,2013-09-26 22:50:14.780,2
2.0,115.0,214,2013-11-07 21:50:58.390,44
114.0,86.0,272,2013-09-27 08:41:20.807,2
111.0,43.0,296,2013-09-27 09:41:08.500,2
96.0,88.0,300,2013-09-27 11:37:43.480,2
88.0,45.0,300,2013-09-27 12:57:17.450,2
96.0,1092.0,300,2014-02-28 20:45:39.073,157
25.0,88.0,225,2013-09-27 13:20:58.750,2
88.0,25.0,225,2013-09-27 14:20:21.070,2
25.0,88.0,225,2013-09-27 14:30:29.183,2
28.0,45.0,322,2013-09-27 15:53:38.600,2
28.0,45.0,322,2013-09-27 15:57:39.630,2
45.0,28.0,322,2013-09-27 18:49:56.553,2
28.0,45.0,322,2013-09-27 18:59:02.940,3
45.0,28.0,322,2013-09-27 19:01:29.977,3
28.0,45.0,322,2013-09-27 19:04:52.440,3
45.0,28.0,322,2013-09-27 19:16:51.427,3
28.0,45.0,322,2013-09-27 20:36:15.860,3
28.0,302.0,322,2013-10-31 14:26:54.970,36
302.0,45.0,322,2014-02-01 16:06:06.297,129
83.0,48.0,241,2013-09-27 18:41:52.773,2
88.0,48.0,241,2013-09-27 18:44:20.693,2
88.0,45.0,241,2013-12-23 19:29:44.687,90
28.0,45.0,381,2013-09-29 12:58:52.907,4
45.0,28.0,381,2013-09-29 13:07:16.767,4
47.0,83.0,310,2013-09-29 23:17:31.013,5
2.0,,401,2013-09-30 16:10:25.680,5
2.0,42.0,334,2013-09-30 18:29:18.023,5
111.0,43.0,420,2013-09-30 19:10:30.620,6
111.0,42.0,420,2013-09-30 19:30:52.717,6
111.0,2.0,420,2013-09-30 19:43:41.507,6
111.0,43.0,420,2013-09-30 19:52:03.370,6
111.0,42.0,420,2013-09-30 20:55:33.040,6
111.0,473.0,420,2013-12-03 23:44:47.340,70
2.0,6.0,424,2013-09-30 20:30:06.453,6
