PostUserId,RespondUserId,QId,Time,days
,6.0,2,2013-09-24 19:14:10.353,0
7.0,17.0,3,2013-09-24 19:16:21.230,0
7.0,25.0,3,2013-09-24 19:21:05.587,0
7.0,50.0,3,2013-09-25 08:42:00.623,0
7.0,7.0,3,2013-09-25 12:02:40.227,0
7.0,45.0,3,2013-11-01 03:52:19.013,37
7.0,7.0,3,2013-11-01 10:03:03.893,37
36.0,6.0,15,2013-09-24 19:49:31.800,0
19.0,46.0,7,2013-09-24 20:00:28.083,0
39.0,19.0,33,2013-09-24 20:04:47.120,0
39.0,79.0,33,2013-11-07 15:54:30.030,43
44.0,48.0,27,2013-09-24 20:05:59.277,0
42.0,45.0,39,2013-09-24 21:17:43.130,0
62.0,19.0,58,2013-09-24 22:30:25.583,0
19.0,63.0,58,2013-09-24 22:31:59.100,0
63.0,62.0,58,2013-09-24 22:33:03.863,0
62.0,63.0,58,2013-09-24 22:35:45.527,0
69.0,71.0,63,2013-09-24 23:51:33.290,0
69.0,67.0,70,2013-09-25 00:41:55.900,0
19.0,28.0,81,2013-09-25 04:28:59.730,0
12.0,2.0,92,2013-09-25 04:39:27.530,0
2.0,,92,2013-09-25 05:07:33.113,0
95.0,69.0,114,2013-09-25 10:59:52.097,0
69.0,,115,2013-09-25 11:05:10.897,0
99.0,96.0,122,2013-09-25 13:52:07.217,0
96.0,,219,2013-09-26 09:17:02.223,1
117.0,63.0,247,2013-09-26 16:09:05.713,1
2.0,53.0,246,2013-09-26 20:28:24.040,2
2.0,53.0,246,2013-09-26 20:28:53.760,2
53.0,2.0,246,2013-09-26 20:36:49.023,2
69.0,53.0,226,2013-09-26 20:35:20.587,2
2.0,115.0,214,2013-09-26 21:28:29.787,2
2.0,115.0,214,2013-09-26 21:29:51.920,2
115.0,2.0,214,2013-09-26 21:33:53.360,2
83.0,111.0,304,2013-09-27 11:25:47.300,2
111.0,83.0,304,2013-09-27 11:28:50.357,2
83.0,111.0,304,2013-09-27 11:30:00.790,2
83.0,28.0,304,2013-09-27 19:28:06.677,3
