QId,PostUserId,Time,days
1,6.0,2013-09-24 18:51:54.593,0
2,,2013-09-24 18:53:25.647,0
3,7.0,2013-09-24 18:54:53.473,0
4,19.0,2013-09-24 18:57:01.680,0
7,19.0,2013-09-24 19:14:05.603,0
9,28.0,2013-09-24 19:15:40.250,0
14,36.0,2013-09-24 19:28:29.673,0
15,36.0,2013-09-24 19:30:09.823,0
16,41.0,2013-09-24 19:31:17.000,0
24,19.0,2013-09-24 19:46:14.980,0
26,,2013-09-24 19:50:44.980,0
27,44.0,2013-09-24 19:52:05.020,0
33,39.0,2013-09-24 20:00:00.203,0
34,42.0,2013-09-24 20:02:14.600,0
38,,2013-09-24 20:06:13.763,0
39,42.0,2013-09-24 20:10:36.683,0
42,39.0,2013-09-24 20:19:24.813,0
47,42.0,2013-09-24 21:10:06.683,0
52,,2013-09-24 21:56:20.273,0
58,62.0,2013-09-24 22:29:45.553,0
63,69.0,2013-09-24 23:39:50.153,0
66,69.0,2013-09-24 23:50:13.957,0
70,69.0,2013-09-25 00:04:26.417,0
71,69.0,2013-09-25 00:08:29.413,0
75,73.0,2013-09-25 00:26:24.657,0
79,,2013-09-25 00:48:51.853,0
80,,2013-09-25 01:09:44.843,0
81,19.0,2013-09-25 01:59:59.087,0
87,39.0,2013-09-25 02:38:17.540,0
89,19.0,2013-09-25 04:15:11.797,0
92,12.0,2013-09-25 04:35:43.950,0
94,,2013-09-25 05:05:19.773,0
96,80.0,2013-09-25 06:24:51.817,0
98,82.0,2013-09-25 07:04:36.490,0
101,83.0,2013-09-25 07:24:43.410,0
104,82.0,2013-09-25 07:55:54.067,0
107,,2013-09-25 08:08:51.417,0
114,95.0,2013-09-25 10:57:55.510,0
115,69.0,2013-09-25 11:02:30.763,0
122,99.0,2013-09-25 12:44:04.737,0
125,96.0,2013-09-25 13:49:59.317,0
130,96.0,2013-09-25 14:48:33.620,0
131,96.0,2013-09-25 14:55:33.303,0
133,19.0,2013-09-25 15:08:24.590,0
134,96.0,2013-09-25 15:09:58.843,0
138,96.0,2013-09-25 15:46:34.720,0
145,104.0,2013-09-25 17:22:09.057,0
148,105.0,2013-09-25 17:50:54.560,0
150,106.0,2013-09-25 18:22:54.840,0
156,69.0,2013-09-25 21:15:21.110,1
158,69.0,2013-09-25 21:18:32.467,1
164,,2013-09-26 00:53:58.033,1
166,114.0,2013-09-26 02:04:09.627,1
168,114.0,2013-09-26 02:09:04.033,1
170,114.0,2013-09-26 02:16:10.907,1
172,,2013-09-26 02:18:01.870,1
173,114.0,2013-09-26 02:19:07.780,1
182,19.0,2013-09-26 04:47:51.060,1
212,,2013-09-26 07:33:33.467,1
213,96.0,2013-09-26 07:46:36.753,1
214,115.0,2013-09-26 07:46:45.707,1
219,96.0,2013-09-26 09:01:50.140,1
220,96.0,2013-09-26 09:04:21.743,1
222,96.0,2013-09-26 10:08:58.087,1
225,69.0,2013-09-26 10:51:51.540,1
