QId,PostUserId,RespondUserId,Time,days
1,6.0,7.0,2013-10-15 14:33:22.527,20
1,6.0,281.0,2013-11-05 23:46:37.250,42
2,,6.0,2013-09-24 20:44:49.320,0
3,7.0,63.0,2013-09-24 23:13:54.810,0
3,7.0,761.0,2014-01-14 15:45:53.260,111
4,19.0,19.0,2013-09-24 18:57:01.680,0
4,19.0,121.0,2013-09-27 23:04:33.573,3
7,19.0,19.0,2013-09-24 19:14:05.603,0
7,19.0,302.0,2013-10-29 16:56:03.000,34
7,19.0,158.0,2013-10-29 17:29:44.253,34
9,28.0,7.0,2013-09-24 20:02:18.120,0
9,28.0,45.0,2013-09-24 20:16:20.030,0
9,28.0,50.0,2013-09-24 20:56:16.930,0
14,36.0,28.0,2013-09-24 19:36:35.913,0
15,36.0,43.0,2013-09-24 19:52:20.450,0
15,36.0,53.0,2013-09-24 20:21:31.950,0
15,36.0,910.0,2014-01-30 13:54:11.887,127
16,41.0,13.0,2013-09-24 19:42:15.507,0
16,41.0,28.0,2013-09-24 19:44:17.080,0
16,41.0,19.0,2013-09-24 19:48:54.653,0
16,41.0,158.0,2013-10-07 20:14:44.190,13
24,19.0,31.0,2013-09-24 19:52:21.910,0
24,19.0,,2013-09-24 20:13:56.917,0
24,19.0,96.0,2013-09-25 16:21:36.963,0
24,19.0,28.0,2013-09-26 10:48:28.680,1
24,19.0,302.0,2013-10-24 11:56:48.147,29
26,,43.0,2013-09-24 22:22:59.173,0
27,44.0,28.0,2013-09-24 19:59:45.683,0
33,39.0,31.0,2013-09-24 20:02:37.830,0
33,39.0,43.0,2013-09-24 20:03:10.657,0
34,42.0,63.0,2013-09-24 23:20:11.593,0
38,,69.0,2013-09-24 23:47:16.007,0
39,42.0,67.0,2013-09-25 00:20:25.563,0
39,42.0,45.0,2013-09-26 13:11:23.363,1
42,39.0,45.0,2013-09-24 20:25:36.830,0
47,42.0,6.0,2013-09-24 21:59:32.217,0
52,,,2013-09-24 21:56:20.273,0
58,62.0,63.0,2013-09-24 22:55:19.680,0
63,69.0,19.0,2013-09-24 23:50:42.790,0
63,69.0,749.0,2014-01-08 01:10:26.133,105
66,69.0,67.0,2013-09-25 12:23:41.723,0
70,69.0,19.0,2013-09-25 00:09:14.533,0
70,69.0,28.0,2013-09-25 04:49:01.333,0
75,73.0,,2013-09-25 00:34:45.893,0
75,73.0,67.0,2013-09-25 00:37:20.033,0
75,73.0,19.0,2013-09-25 00:37:25.163,0
75,73.0,45.0,2013-09-26 14:18:49.667,1
79,,2.0,2013-09-25 04:26:03.407,0
79,,302.0,2013-10-29 08:49:08.163,34
80,,96.0,2013-09-25 13:13:33.133,0
81,19.0,,2013-09-25 02:19:55.517,0
87,39.0,,2013-09-25 03:16:58.277,0
89,19.0,19.0,2013-09-25 04:15:11.797,0
89,19.0,,2013-09-27 01:21:42.783,2
92,12.0,73.0,2013-09-25 08:58:13.880,0
