QId,PostUserId,Vote,Time,days
1.0,6.0,2,2013-09-24,0
1.0,6.0,2,2013-09-24,0
1.0,6.0,2,2013-09-24,0
3.0,7.0,2,2013-09-24,0
3.0,7.0,2,2013-09-24,0
4.0,19.0,2,2013-09-24,0
4.0,19.0,2,2013-09-24,0
3.0,7.0,2,2013-09-24,0
1.0,6.0,2,2013-09-24,0
4.0,19.0,2,2013-09-24,0
3.0,7.0,2,2013-09-24,0
4.0,19.0,2,2013-09-24,0
3.0,7.0,2,2013-09-24,0
7.0,19.0,2,2013-09-24,0
1.0,6.0,2,2013-09-24,0
1.0,6.0,2,2013-09-24,0
3.0,7.0,2,2013-09-24,0
9.0,28.0,2,2013-09-24,0
7.0,19.0,2,2013-09-24,0
9.0,28.0,2,2013-09-24,0
3.0,7.0,2,2013-09-24,0
7.0,19.0,2,2013-09-24,0
1.0,6.0,2,2013-09-24,0
14.0,36.0,3,2013-09-24,0
15.0,36.0,2,2013-09-24,0
1.0,6.0,2,2013-09-24,0
16.0,41.0,2,2013-09-24,0
15.0,36.0,3,2013-09-24,0
16.0,41.0,2,2013-09-24,0
16.0,41.0,2,2013-09-24,0
4.0,19.0,2,2013-09-24,0
16.0,41.0,2,2013-09-24,0
16.0,41.0,2,2013-09-24,0
24.0,19.0,2,2013-09-24,0
1.0,6.0,2,2013-09-24,0
24.0,19.0,2,2013-09-24,0
16.0,41.0,2,2013-09-24,0
14.0,36.0,2,2013-09-24,0
15.0,36.0,2,2013-09-24,0
9.0,28.0,2,2013-09-24,0
7.0,19.0,2,2013-09-24,0
4.0,19.0,2,2013-09-24,0
3.0,7.0,2,2013-09-24,0
7.0,19.0,2,2013-09-24,0
7.0,19.0,2,2013-09-24,0
9.0,28.0,2,2013-09-24,0
33.0,39.0,2,2013-09-24,0
27.0,44.0,2,2013-09-24,0
27.0,44.0,2,2013-09-24,0
15.0,36.0,2,2013-09-24,0
34.0,42.0,2,2013-09-24,0
34.0,42.0,2,2013-09-24,0
39.0,42.0,2,2013-09-24,0
27.0,44.0,2,2013-09-24,0
33.0,39.0,2,2013-09-24,0
39.0,42.0,2,2013-09-24,0
34.0,42.0,2,2013-09-24,0
33.0,39.0,2,2013-09-24,0
27.0,44.0,2,2013-09-24,0
24.0,19.0,2,2013-09-24,0
42.0,39.0,2,2013-09-24,0
9.0,28.0,2,2013-09-24,0
42.0,39.0,2,2013-09-24,0
42.0,39.0,2,2013-09-24,0
42.0,39.0,2,2013-09-24,0
42.0,39.0,2,2013-09-24,0
4.0,19.0,2,2013-09-24,0
24.0,19.0,2,2013-09-24,0
9.0,28.0,2,2013-09-24,0
27.0,44.0,2,2013-09-24,0
27.0,44.0,3,2013-09-24,0
1.0,6.0,2,2013-09-24,0
1.0,6.0,2,2013-09-24,0
33.0,39.0,2,2013-09-24,0
42.0,39.0,2,2013-09-24,0
16.0,41.0,2,2013-09-24,0
47.0,42.0,2,2013-09-24,0
39.0,42.0,2,2013-09-24,0
34.0,42.0,2,2013-09-24,0
24.0,19.0,2,2013-09-24,0
15.0,36.0,2,2013-09-24,0
14.0,36.0,3,2013-09-24,0
7.0,19.0,2,2013-09-24,0
7.0,19.0,2,2013-09-24,0
47.0,42.0,2,2013-09-24,0
16.0,41.0,2,2013-09-24,0
47.0,42.0,2,2013-09-24,0
39.0,42.0,3,2013-09-24,0
9.0,28.0,2,2013-09-24,0
33.0,39.0,2,2013-09-24,0
47.0,42.0,2,2013-09-24,0
27.0,44.0,2,2013-09-24,0
42.0,39.0,2,2013-09-24,0
16.0,41.0,2,2013-09-24,0
24.0,19.0,2,2013-09-24,0
58.0,62.0,2,2013-09-24,0
58.0,62.0,2,2013-09-24,0
42.0,39.0,2,2013-09-24,0
58.0,62.0,2,2013-09-24,0
14.0,36.0,2,2013-09-24,0
58.0,62.0,2,2013-09-24,0
63.0,69.0,2,2013-09-24,0
66.0,69.0,2,2013-09-25,1
63.0,69.0,2,2013-09-25,1
63.0,69.0,2,2013-09-25,1
63.0,69.0,2,2013-09-25,1
75.0,73.0,2,2013-09-25,1
71.0,69.0,2,2013-09-25,1
70.0,69.0,2,2013-09-25,1
66.0,69.0,2,2013-09-25,1
81.0,19.0,2,2013-09-25,1
87.0,39.0,2,2013-09-25,1
15.0,36.0,2,2013-09-25,1
89.0,19.0,2,2013-09-25,1
89.0,19.0,2,2013-09-25,1
81.0,19.0,2,2013-09-25,1
75.0,73.0,2,2013-09-25,1
92.0,12.0,2,2013-09-25,1
96.0,80.0,2,2013-09-25,1
96.0,80.0,2,2013-09-25,1
87.0,39.0,2,2013-09-25,1
71.0,69.0,2,2013-09-25,1
70.0,69.0,2,2013-09-25,1
42.0,39.0,2,2013-09-25,1
92.0,12.0,2,2013-09-25,1
81.0,19.0,2,2013-09-25,1
89.0,19.0,2,2013-09-25,1
58.0,62.0,2,2013-09-25,1
87.0,39.0,2,2013-09-25,1
75.0,73.0,2,2013-09-25,1
39.0,42.0,2,2013-09-25,1
71.0,69.0,2,2013-09-25,1
98.0,82.0,2,2013-09-25,1
63.0,69.0,2,2013-09-25,1
66.0,69.0,2,2013-09-25,1
34.0,42.0,2,2013-09-25,1
3.0,7.0,2,2013-09-25,1
47.0,42.0,2,2013-09-25,1
75.0,73.0,2,2013-09-25,1
98.0,82.0,2,2013-09-25,1
101.0,83.0,2,2013-09-25,1
104.0,82.0,2,2013-09-25,1
104.0,82.0,2,2013-09-25,1
27.0,44.0,2,2013-09-25,1
104.0,82.0,2,2013-09-25,1
101.0,83.0,2,2013-09-25,1
98.0,82.0,2,2013-09-25,1
96.0,80.0,2,2013-09-25,1
92.0,12.0,2,2013-09-25,1
89.0,19.0,2,2013-09-25,1
87.0,39.0,2,2013-09-25,1
81.0,19.0,2,2013-09-25,1
75.0,73.0,2,2013-09-25,1
71.0,69.0,2,2013-09-25,1
70.0,69.0,2,2013-09-25,1
104.0,82.0,2,2013-09-25,1
92.0,12.0,2,2013-09-25,1
101.0,83.0,2,2013-09-25,1
96.0,80.0,2,2013-09-25,1
98.0,82.0,2,2013-09-25,1
70.0,69.0,2,2013-09-25,1
81.0,19.0,2,2013-09-25,1
89.0,19.0,2,2013-09-25,1
75.0,73.0,2,2013-09-25,1
63.0,69.0,2,2013-09-25,1
71.0,69.0,2,2013-09-25,1
66.0,69.0,2,2013-09-25,1
92.0,12.0,2,2013-09-25,1
7.0,19.0,2,2013-09-25,1
114.0,95.0,2,2013-09-25,1
92.0,12.0,2,2013-09-25,1
115.0,69.0,2,2013-09-25,1
66.0,69.0,2,2013-09-25,1
125.0,96.0,2,2013-09-25,1
16.0,41.0,2,2013-09-25,1
115.0,69.0,2,2013-09-25,1
130.0,96.0,2,2013-09-25,1
131.0,96.0,2,2013-09-25,1
133.0,19.0,2,2013-09-25,1
134.0,96.0,2,2013-09-25,1
131.0,96.0,2,2013-09-25,1
134.0,96.0,2,2013-09-25,1
131.0,96.0,2,2013-09-25,1
130.0,96.0,2,2013-09-25,1
133.0,19.0,2,2013-09-25,1
71.0,69.0,2,2013-09-25,1
138.0,96.0,2,2013-09-25,1
96.0,80.0,3,2013-09-25,1
101.0,83.0,2,2013-09-25,1
134.0,96.0,2,2013-09-25,1
92.0,12.0,2,2013-09-25,1
138.0,96.0,2,2013-09-25,1
130.0,96.0,2,2013-09-25,1
104.0,82.0,2,2013-09-25,1
138.0,96.0,2,2013-09-25,1
24.0,19.0,2,2013-09-25,1
131.0,96.0,2,2013-09-25,1
138.0,96.0,2,2013-09-25,1
115.0,69.0,2,2013-09-25,1
104.0,82.0,2,2013-09-25,1
98.0,82.0,2,2013-09-25,1
92.0,12.0,2,2013-09-25,1
81.0,19.0,2,2013-09-25,1
133.0,19.0,2,2013-09-25,1
63.0,69.0,2,2013-09-25,1
42.0,39.0,2,2013-09-25,1
16.0,41.0,2,2013-09-25,1
9.0,28.0,2,2013-09-25,1
1.0,6.0,2,2013-09-25,1
3.0,7.0,2,2013-09-25,1
4.0,19.0,2,2013-09-25,1
125.0,96.0,2,2013-09-25,1
145.0,104.0,2,2013-09-25,1
138.0,96.0,2,2013-09-25,1
145.0,104.0,2,2013-09-25,1
122.0,99.0,3,2013-09-25,1
134.0,96.0,2,2013-09-25,1
148.0,105.0,3,2013-09-25,1
138.0,96.0,2,2013-09-25,1
145.0,104.0,2,2013-09-25,1
1.0,6.0,2,2013-09-25,1
145.0,104.0,2,2013-09-25,1
122.0,99.0,3,2013-09-25,1
148.0,105.0,2,2013-09-25,1
150.0,106.0,2,2013-09-25,1
158.0,69.0,2,2013-09-25,1
138.0,96.0,2,2013-09-25,1
150.0,106.0,2,2013-09-26,2
138.0,96.0,2,2013-09-26,2
145.0,104.0,2,2013-09-26,2
158.0,69.0,3,2013-09-26,2
145.0,104.0,2,2013-09-26,2
125.0,96.0,2,2013-09-26,2
148.0,105.0,2,2013-09-26,2
150.0,106.0,2,2013-09-26,2
148.0,105.0,2,2013-09-26,2
145.0,104.0,2,2013-09-26,2
138.0,96.0,2,2013-09-26,2
134.0,96.0,2,2013-09-26,2
133.0,19.0,2,2013-09-26,2
131.0,96.0,2,2013-09-26,2
130.0,96.0,2,2013-09-26,2
156.0,69.0,3,2013-09-26,2
115.0,69.0,2,2013-09-26,2
114.0,95.0,2,2013-09-26,2
125.0,96.0,2,2013-09-26,2
156.0,69.0,2,2013-09-26,2
24.0,19.0,2,2013-09-26,2
104.0,82.0,2,2013-09-26,2
168.0,114.0,2,2013-09-26,2
166.0,114.0,2,2013-09-26,2
173.0,114.0,2,2013-09-26,2
114.0,95.0,2,2013-09-26,2
173.0,114.0,2,2013-09-26,2
170.0,114.0,2,2013-09-26,2
168.0,114.0,2,2013-09-26,2
166.0,114.0,2,2013-09-26,2
168.0,114.0,2,2013-09-26,2
170.0,114.0,2,2013-09-26,2
182.0,19.0,2,2013-09-26,2
145.0,104.0,2,2013-09-26,2
182.0,19.0,2,2013-09-26,2
114.0,95.0,2,2013-09-26,2
173.0,114.0,2,2013-09-26,2
170.0,114.0,2,2013-09-26,2
168.0,114.0,2,2013-09-26,2
166.0,114.0,2,2013-09-26,2
130.0,96.0,2,2013-09-26,2
125.0,96.0,2,2013-09-26,2
150.0,106.0,2,2013-09-26,2
158.0,69.0,2,2013-09-26,2
156.0,69.0,2,2013-09-26,2
115.0,69.0,2,2013-09-26,2
133.0,19.0,2,2013-09-26,2
138.0,96.0,2,2013-09-26,2
173.0,114.0,2,2013-09-26,2
182.0,19.0,2,2013-09-26,2
170.0,114.0,2,2013-09-26,2
173.0,114.0,2,2013-09-26,2
182.0,19.0,2,2013-09-26,2
16.0,41.0,2,2013-09-26,2
4.0,19.0,2,2013-09-26,2
27.0,44.0,2,2013-09-26,2
3.0,7.0,2,2013-09-26,2
63.0,69.0,2,2013-09-26,2
33.0,39.0,2,2013-09-26,2
1.0,6.0,2,2013-09-26,2
9.0,28.0,2,2013-09-26,2
75.0,73.0,2,2013-09-26,2
150.0,106.0,2,2013-09-26,2
34.0,42.0,2,2013-09-26,2
213.0,96.0,2,2013-09-26,2
213.0,96.0,2,2013-09-26,2
220.0,96.0,2,2013-09-26,2
219.0,96.0,2,2013-09-26,2
213.0,96.0,2,2013-09-26,2
156.0,69.0,2,2013-09-26,2
170.0,114.0,2,2013-09-26,2
156.0,69.0,2,2013-09-26,2
24.0,19.0,2,2013-09-26,2
222.0,96.0,2,2013-09-26,2
222.0,96.0,2,2013-09-26,2
222.0,96.0,2,2013-09-26,2
226.0,69.0,2,2013-09-26,2
226.0,69.0,2,2013-09-26,2
220.0,96.0,2,2013-09-26,2
231.0,15.0,2,2013-09-26,2
231.0,15.0,2,2013-09-26,2
225.0,69.0,2,2013-09-26,2
219.0,96.0,2,2013-09-26,2
231.0,15.0,2,2013-09-26,2
226.0,69.0,2,2013-09-26,2
225.0,69.0,2,2013-09-26,2
173.0,114.0,2,2013-09-26,2
166.0,114.0,2,2013-09-26,2
220.0,96.0,2,2013-09-26,2
145.0,104.0,2,2013-09-26,2
138.0,96.0,2,2013-09-26,2
231.0,15.0,2,2013-09-26,2
115.0,69.0,2,2013-09-26,2
138.0,96.0,2,2013-09-26,2
81.0,19.0,2,2013-09-26,2
33.0,39.0,2,2013-09-26,2
24.0,19.0,2,2013-09-26,2
182.0,19.0,2,2013-09-26,2
15.0,36.0,2,2013-09-26,2
75.0,73.0,2,2013-09-26,2
225.0,69.0,3,2013-09-26,2
47.0,42.0,2,2013-09-26,2
225.0,69.0,2,2013-09-26,2
222.0,96.0,2,2013-09-26,2
237.0,83.0,2,2013-09-26,2
237.0,83.0,2,2013-09-26,2
158.0,69.0,2,2013-09-26,2
240.0,83.0,2,2013-09-26,2
241.0,83.0,2,2013-09-26,2
237.0,83.0,2,2013-09-26,2
241.0,83.0,2,2013-09-26,2
173.0,114.0,2,2013-09-26,2
150.0,106.0,2,2013-09-26,2
247.0,117.0,2,2013-09-26,2
213.0,96.0,2,2013-09-26,2
66.0,69.0,2,2013-09-26,2
138.0,96.0,2,2013-09-26,2
24.0,19.0,2,2013-09-26,2
42.0,39.0,2,2013-09-26,2
138.0,96.0,2,2013-09-26,2
246.0,2.0,2,2013-09-26,2
138.0,96.0,2,2013-09-26,2
225.0,69.0,2,2013-09-26,2
252.0,13.0,2,2013-09-26,2
252.0,13.0,2,2013-09-26,2
226.0,69.0,2,2013-09-26,2
222.0,96.0,2,2013-09-26,2
252.0,13.0,2,2013-09-26,2
252.0,13.0,2,2013-09-26,2
219.0,96.0,2,2013-09-26,2
251.0,118.0,2,2013-09-26,2
226.0,69.0,2,2013-09-26,2
251.0,118.0,2,2013-09-26,2
182.0,19.0,2,2013-09-26,2
231.0,15.0,2,2013-09-26,2
247.0,117.0,2,2013-09-26,2
96.0,80.0,2,2013-09-26,2
241.0,83.0,3,2013-09-26,2
249.0,62.0,2,2013-09-26,2
249.0,62.0,2,2013-09-26,2
247.0,117.0,2,2013-09-26,2
246.0,2.0,2,2013-09-26,2
252.0,13.0,2,2013-09-26,2
225.0,69.0,2,2013-09-26,2
226.0,69.0,2,2013-09-26,2
254.0,6.0,2,2013-09-26,2
253.0,62.0,2,2013-09-26,2
249.0,62.0,2,2013-09-26,2
247.0,117.0,2,2013-09-26,2
24.0,19.0,2,2013-09-26,2
42.0,39.0,2,2013-09-26,2
253.0,62.0,2,2013-09-26,2
253.0,62.0,2,2013-09-26,2
241.0,83.0,2,2013-09-26,2
226.0,69.0,2,2013-09-26,2
254.0,6.0,2,2013-09-26,2
254.0,6.0,2,2013-09-26,2
256.0,43.0,2,2013-09-26,2
261.0,69.0,2,2013-09-26,2
214.0,115.0,2,2013-09-26,2
256.0,43.0,2,2013-09-26,2
219.0,96.0,2,2013-09-26,2
251.0,118.0,2,2013-09-26,2
253.0,62.0,2,2013-09-26,2
246.0,2.0,2,2013-09-26,2
266.0,69.0,2,2013-09-26,2
256.0,43.0,2,2013-09-26,2
266.0,69.0,2,2013-09-26,2
270.0,96.0,2,2013-09-27,3
266.0,69.0,2,2013-09-27,3
256.0,43.0,2,2013-09-27,3
254.0,6.0,2,2013-09-27,3
253.0,62.0,2,2013-09-27,3
270.0,96.0,2,2013-09-27,3
252.0,13.0,2,2013-09-27,3
270.0,96.0,2,2013-09-27,3
246.0,2.0,2,2013-09-27,3
271.0,96.0,2,2013-09-27,3
271.0,96.0,2,2013-09-27,3
271.0,96.0,2,2013-09-27,3
251.0,118.0,2,2013-09-27,3
270.0,96.0,2,2013-09-27,3
256.0,43.0,2,2013-09-27,3
254.0,6.0,2,2013-09-27,3
253.0,62.0,2,2013-09-27,3
247.0,117.0,2,2013-09-27,3
246.0,2.0,2,2013-09-27,3
241.0,83.0,2,2013-09-27,3
240.0,83.0,2,2013-09-27,3
237.0,83.0,2,2013-09-27,3
231.0,15.0,2,2013-09-27,3
222.0,96.0,2,2013-09-27,3
220.0,96.0,2,2013-09-27,3
219.0,96.0,2,2013-09-27,3
273.0,96.0,2,2013-09-27,3
261.0,69.0,3,2013-09-27,3
251.0,118.0,2,2013-09-27,3
240.0,83.0,2,2013-09-27,3
213.0,96.0,2,2013-09-27,3
249.0,62.0,2,2013-09-27,3
273.0,96.0,2,2013-09-27,3
273.0,96.0,2,2013-09-27,3
249.0,62.0,2,2013-09-27,3
213.0,96.0,2,2013-09-27,3
273.0,96.0,2,2013-09-27,3
271.0,96.0,2,2013-09-27,3
270.0,96.0,2,2013-09-27,3
273.0,96.0,2,2013-09-27,3
253.0,62.0,2,2013-09-27,3
273.0,96.0,2,2013-09-27,3
273.0,96.0,2,2013-09-27,3
249.0,62.0,2,2013-09-27,3
271.0,96.0,2,2013-09-27,3
296.0,96.0,2,2013-09-27,3
296.0,96.0,2,2013-09-27,3
