QId,RespondUserId,PostUserId,Time,days
9,14.0,108.0,2014-11-20 16:12:57.943,1
17,28.0,72.0,2014-11-19 00:02:33.080,0
18,40.0,9.0,2014-11-18 23:28:59.287,0
19,31.0,68.0,2014-11-19 00:26:01.380,0
23,43.0,59.0,2014-11-18 23:48:00.303,0
35,84.0,61.0,2014-11-19 04:28:54.327,0
46,70.0,119.0,2014-11-19 11:45:25.840,0
50,31.0,108.0,2014-11-19 09:44:29.440,0
68,108.0,69.0,2014-11-19 14:55:32.170,0
80,123.0,84.0,2014-11-19 14:24:44.980,0
89,43.0,405.0,2014-12-11 06:17:17.553,22
97,43.0,405.0,2014-12-14 20:09:57.893,25
101,43.0,15.0,2014-11-20 15:01:19.553,1
106,141.0,20.0,2014-11-19 17:31:59.693,0
107,59.0,54.0,2014-11-20 04:51:23.343,1
124,38.0,54.0,2014-11-20 01:39:32.127,1
132,127.0,61.0,2014-11-20 05:15:13.160,1
140,27.0,54.0,2014-11-20 19:00:12.800,1
142,95.0,4578.0,2015-05-15 13:12:36.610,177
145,14.0,61.0,2014-11-21 14:29:51.770,2
150,,108.0,2014-11-20 10:28:13.527,1
166,31.0,108.0,2014-11-20 17:01:19.680,1
169,72.0,180.0,2014-11-20 23:34:39.543,2
170,20.0,84.0,2014-11-20 23:54:18.410,2
180,59.0,54.0,2014-11-21 00:09:47.640,2
184,58.0,61.0,2014-11-21 04:45:24.403,2
188,61.0,1432.0,2014-12-18 23:46:54.307,30
193,108.0,150.0,2014-11-21 11:11:28.017,2
194,119.0,405.0,2014-12-14 20:47:38.493,25
197,119.0,61.0,2014-11-21 12:03:45.770,2
200,120.0,120.0,2015-03-27 08:47:16.567,128
207,86.0,405.0,2014-12-11 04:35:36.540,22
208,86.0,43.0,2014-11-22 01:07:40.887,3
210,86.0,127.0,2014-11-22 04:57:07.297,3
219,86.0,108.0,2014-11-22 09:43:03.817,3
225,41.0,108.0,2014-11-22 17:56:54.167,3
232,41.0,14.0,2014-11-22 22:00:40.767,4
240,59.0,54.0,2014-11-23 00:45:51.920,4
251,86.0,108.0,2014-11-23 10:21:08.410,4
258,,17.0,2014-11-24 15:50:21.170,5
266,43.0,132.0,2014-11-24 01:30:02.307,5
276,40.0,108.0,2014-11-24 07:20:50.847,5
292,107.0,119.0,2014-11-24 23:08:28.563,6
301,43.0,61.0,2014-11-24 19:36:36.107,5
305,109.0,61.0,2014-11-25 09:55:57.307,6
308,59.0,47.0,2014-11-25 05:06:59.927,6
313,182.0,20.0,2014-11-25 14:06:15.717,6
318,27.0,68.0,2014-11-25 23:35:49.943,7
333,103.0,38.0,2014-11-26 14:50:22.680,7
336,20.0,68.0,2014-11-26 20:22:22.297,7
339,20.0,61.0,2014-11-27 01:01:52.690,8
342,41.0,108.0,2014-11-27 11:37:25.427,8
348,27.0,29.0,2014-11-27 20:47:22.343,8
358,27.0,84.0,2014-12-02 00:53:06.893,13
361,227.0,61.0,2014-12-01 22:32:19.527,13
363,41.0,108.0,2014-11-29 12:38:43.350,10
370,108.0,61.0,2014-11-30 17:20:20.197,11
383,41.0,123.0,2014-12-01 12:59:40.983,12
404,289.0,93.0,2014-12-02 15:34:24.547,13
407,27.0,61.0,2014-12-03 13:03:35.157,14
416,305.0,84.0,2014-12-08 01:49:24.657,19
419,309.0,61.0,2014-12-03 15:50:13.097,14
420,127.0,61.0,2014-12-07 17:42:04.023,18
428,59.0,69.0,2014-12-11 18:48:37.003,22
436,40.0,31.0,2014-12-05 15:52:25.497,16
437,40.0,31.0,2014-12-04 19:11:46.773,15
446,108.0,61.0,2014-12-04 15:32:25.833,15
454,43.0,31.0,2014-12-04 19:30:26.957,15
455,332.0,4185.0,2015-04-06 21:50:52.667,139
457,332.0,31.0,2014-12-05 03:32:28.247,16
458,332.0,38.0,2014-12-23 08:38:15.423,34
459,42.0,38.0,2015-01-28 06:03:08.073,70
460,332.0,61.0,2014-12-04 21:29:09.347,16
466,42.0,61.0,2014-12-04 23:15:50.670,16
467,56.0,61.0,2014-12-05 01:14:59.747,16
474,42.0,61.0,2014-12-05 14:22:28.503,16
485,59.0,54.0,2014-12-10 02:53:16.263,21
486,42.0,38.0,2014-12-05 20:33:31.233,16
490,43.0,405.0,2014-12-11 05:37:10.593,22
495,358.0,159.0,2014-12-05 22:43:48.837,17
505,79.0,43.0,2014-12-06 16:03:29.003,17
511,72.0,59.0,2014-12-06 16:43:56.870,17
536,385.0,348.0,2014-12-10 08:33:28.797,21
538,385.0,61.0,2014-12-08 22:24:33.910,20
545,38.0,238.0,2014-12-09 17:19:52.810,20
551,95.0,395.0,2014-12-09 22:59:28.703,21
553,223.0,126.0,2015-03-26 06:56:38.040,127
555,396.0,391.0,2014-12-10 00:32:04.727,21
569,393.0,250.0,2014-12-11 02:28:41.483,22
1580,1407.0,1415.0,2014-12-12 15:04:54.970,23
1593,1424.0,61.0,2014-12-13 15:10:25.253,24
1595,1425.0,61.0,2014-12-14 18:12:09.103,25
1601,1429.0,61.0,2014-12-14 11:42:01.677,25
1603,1425.0,40.0,2015-04-13 23:12:05.943,146
1607,43.0,405.0,2014-12-14 19:33:15.573,25
1614,18.0,405.0,2014-12-17 02:32:46.293,28
1616,47.0,405.0,2014-12-17 08:24:03.293,28
1618,1442.0,2787.0,2015-01-24 02:02:09.790,66
1621,27.0,108.0,2014-12-15 11:24:35.563,26
1625,1445.0,43.0,2014-12-15 15:12:17.000,26
1632,1448.0,44.0,2014-12-16 07:52:44.383,27
1638,38.0,17.0,2014-12-18 12:42:52.793,29
1639,1455.0,108.0,2014-12-16 18:56:17.907,27
1642,1456.0,108.0,2014-12-16 19:28:05.360,27
1659,69.0,17.0,2014-12-17 22:26:03.117,29
1690,95.0,61.0,2014-12-19 21:05:39.197,31
1714,27.0,405.0,2014-12-21 07:35:39.060,32
1715,27.0,27.0,2014-12-29 02:43:32.410,40
1726,1501.0,61.0,2014-12-21 21:21:12.427,33
1732,1417.0,61.0,2014-12-22 16:20:54.927,33
1750,1529.0,12612.0,2014-12-24 12:16:16.913,35
1758,1516.0,61.0,2014-12-26 17:24:46.263,37
1759,1533.0,108.0,2014-12-27 23:37:43.773,39
1765,1535.0,167.0,2014-12-29 06:46:23.100,40
1787,27.0,240.0,2014-12-27 22:31:27.913,39
1792,27.0,43.0,2014-12-28 14:05:26.807,39
1795,31.0,405.0,2014-12-28 19:25:43.607,39
1798,27.0,405.0,2014-12-29 01:12:36.557,40
1802,127.0,61.0,2014-12-29 14:23:31.350,40
1808,1564.0,108.0,2014-12-29 20:51:01.180,40
1812,59.0,38.0,2015-01-06 02:57:16.557,48
1813,1569.0,61.0,2014-12-30 03:52:24.583,41
1815,27.0,1585.0,2014-12-30 15:31:41.217,41
1817,1576.0,1580.0,2014-12-30 12:40:14.180,41
1818,59.0,1435.0,2014-12-30 14:59:08.133,41
1834,348.0,1601.0,2014-12-31 14:08:31.973,42
1837,59.0,59.0,2015-01-05 19:29:52.803,47
1841,385.0,1621.0,2015-01-02 18:32:05.260,44
1845,1602.0,405.0,2015-01-01 00:48:12.667,43
1846,1605.0,108.0,2015-01-02 17:02:01.270,44
1848,59.0,1435.0,2015-01-01 00:18:32.650,43
1850,1602.0,405.0,2015-01-01 02:08:54.917,43
1859,31.0,44.0,2015-01-02 07:06:52.827,44
1861,1616.0,119.0,2015-01-02 12:08:51.030,44
1864,348.0,1601.0,2015-01-16 14:24:00.380,58
1868,1620.0,405.0,2015-01-03 16:57:11.057,45
1872,1622.0,61.0,2015-01-04 20:30:18.737,46
1877,374.0,61.0,2015-01-03 21:37:17.663,46
