PostUserId,RespondUserId,QId,Time,days
13.0,28.0,7,2014-11-18 22:33:18.400,0
13.0,13.0,7,2014-11-23 07:30:50.697,4
31.0,25.0,4,2014-11-18 23:31:16.673,0
31.0,31.0,4,2014-11-19 02:52:11.747,0
9.0,38.0,18,2014-11-18 23:43:11.710,0
9.0,9.0,18,2014-11-19 00:00:33.293,0
9.0,40.0,18,2014-11-19 02:11:12.073,0
9.0,38.0,18,2014-11-19 05:22:08.083,0
9.0,9.0,18,2014-11-19 10:36:02.820,0
9.0,108.0,18,2014-12-11 22:35:21.847,23
18.0,14.0,9,2014-11-18 23:56:42.090,0
59.0,29.0,23,2014-11-19 00:37:37.850,0
61.0,39.0,11,2014-11-19 03:40:55.090,0
61.0,39.0,11,2014-11-19 03:42:00.113,0
61.0,61.0,11,2014-11-19 03:51:53.263,0
68.0,31.0,19,2014-11-19 05:11:07.587,0
31.0,70.0,46,2014-11-19 05:39:08.460,0
31.0,31.0,46,2014-11-19 05:40:57.573,0
31.0,70.0,46,2014-11-19 05:42:44.517,0
31.0,31.0,46,2014-11-19 05:44:44.233,0
31.0,70.0,46,2014-11-19 05:46:11.163,0
31.0,119.0,46,2014-11-21 10:19:49.253,2
14.0,,35,2014-11-19 07:19:55.923,0
14.0,14.0,35,2014-11-19 11:51:33.927,0
29.0,85.0,61,2014-11-19 10:39:21.107,0
85.0,29.0,61,2014-11-19 11:24:18.463,0
119.0,70.0,46,2014-11-19 11:52:49.227,0
119.0,119.0,46,2014-11-19 12:04:38.873,0
119.0,29.0,46,2014-11-19 14:23:05.537,0
119.0,119.0,46,2014-11-21 15:39:26.300,2
93.0,125.0,46,2014-11-19 13:37:56.773,0
93.0,29.0,46,2014-11-19 14:30:51.867,0
84.0,123.0,80,2014-11-19 14:30:30.187,0
84.0,84.0,80,2014-11-19 14:46:20.003,0
13.0,133.0,1,2014-11-19 15:49:09.150,0
13.0,40.0,1,2014-11-21 03:18:54.390,2
43.0,61.0,45,2014-11-19 17:38:30.330,0
59.0,31.0,56,2014-11-19 18:00:49.947,0
59.0,59.0,56,2014-11-19 21:36:14.363,1
59.0,31.0,56,2014-11-19 21:39:07.830,1
59.0,59.0,56,2014-11-19 21:44:49.343,1
59.0,59.0,56,2014-11-19 21:45:54.737,1
59.0,31.0,56,2014-11-19 21:48:51.113,1
59.0,59.0,56,2014-11-19 21:53:06.477,1
108.0,17.0,110,2014-11-19 18:37:41.343,0
108.0,118.0,110,2014-12-05 17:03:35.697,16
17.0,108.0,110,2014-11-19 18:59:11.677,0
17.0,40.0,110,2014-11-19 21:52:21.687,1
40.0,81.0,110,2014-11-19 22:47:58.703,1
17.0,40.0,110,2014-11-19 23:54:08.143,1
17.0,40.0,110,2014-11-20 03:13:16.680,1
40.0,17.0,110,2014-11-20 16:10:21.980,1
17.0,47.0,110,2014-11-20 21:27:05.790,2
69.0,54.0,31,2014-11-19 19:43:33.747,0
69.0,69.0,31,2014-11-19 19:52:12.860,0
69.0,54.0,31,2014-11-19 20:06:14.150,0
69.0,54.0,31,2014-11-19 20:12:14.130,0
69.0,69.0,31,2014-11-19 20:15:54.087,0
69.0,54.0,31,2014-11-19 20:17:00.423,0
69.0,54.0,31,2014-11-19 20:20:56.593,0
61.0,43.0,97,2014-11-19 19:56:10.833,0
14.0,59.0,95,2014-11-19 21:55:53.567,1
59.0,14.0,95,2014-11-19 21:59:41.723,1
