QId,PostUserId,Time,days
1,8.0,2014-11-18 20:59:30.327,0
4,20.0,2014-11-18 21:24:09.537,0
6,24.0,2014-11-18 21:26:51.393,0
7,31.0,2014-11-18 21:35:22.903,0
8,31.0,2014-11-18 21:39:04.550,0
9,14.0,2014-11-18 21:48:22.947,0
11,39.0,2014-11-18 22:02:40.043,0
17,28.0,2014-11-18 22:27:59.577,0
18,40.0,2014-11-18 22:35:02.863,0
19,31.0,2014-11-18 22:46:25.890,0
20,31.0,2014-11-18 23:04:06.693,0
23,43.0,2014-11-18 23:24:41.923,0
31,69.0,2014-11-19 00:26:53.337,0
35,84.0,2014-11-19 01:40:21.570,0
42,70.0,2014-11-19 03:55:45.893,0
45,96.0,2014-11-19 04:15:24.077,0
46,70.0,2014-11-19 04:21:03.697,0
47,59.0,2014-11-19 04:27:47.397,0
48,89.0,2014-11-19 04:28:15.603,0
50,31.0,2014-11-19 04:41:34.263,0
53,31.0,2014-11-19 04:56:01.427,0
56,31.0,2014-11-19 05:27:35.487,0
60,9.0,2014-11-19 08:29:43.570,0
61,85.0,2014-11-19 08:32:44.620,0
62,70.0,2014-11-19 09:32:36.660,0
65,,2014-11-19 09:55:44.813,0
68,108.0,2014-11-19 10:35:04.843,0
73,41.0,2014-11-19 12:24:47.200,0
74,41.0,2014-11-19 12:30:13.157,0
75,41.0,2014-11-19 12:34:35.120,0
80,123.0,2014-11-19 13:38:13.590,0
88,27.0,2014-11-19 14:47:09.420,0
89,43.0,2014-11-19 14:53:57.180,0
93,38.0,2014-11-19 15:14:27.340,0
95,38.0,2014-11-19 15:24:26.890,0
97,43.0,2014-11-19 15:34:50.023,0
101,43.0,2014-11-19 16:58:46.877,0
106,141.0,2014-11-19 17:17:46.797,0
107,59.0,2014-11-19 17:31:28.257,0
109,31.0,2014-11-19 18:15:29.923,0
110,81.0,2014-11-19 18:22:14.193,0
119,59.0,2014-11-19 21:24:34.243,1
124,38.0,2014-11-19 22:00:46.377,1
125,41.0,2014-11-19 22:08:50.073,1
126,44.0,2014-11-19 22:11:35.587,1
128,44.0,2014-11-19 22:22:39.377,1
131,29.0,2014-11-19 22:55:47.790,1
132,127.0,2014-11-19 22:55:57.337,1
134,59.0,2014-11-19 23:07:17.180,1
137,153.0,2014-11-20 00:08:56.710,1
140,27.0,2014-11-20 02:57:59.283,1
142,95.0,2014-11-20 03:33:54.687,1
145,14.0,2014-11-20 04:52:30.680,1
150,,2014-11-20 07:25:36.610,1
157,158.0,2014-11-20 14:10:07.873,1
166,31.0,2014-11-20 16:23:29.537,1
169,72.0,2014-11-20 17:29:17.560,1
