QId,PostUserId,RespondUserId,Time,days
1,8.0,18.0,2014-11-18 21:23:18.733,0
1,8.0,13.0,2014-11-18 21:26:03.670,0
1,8.0,28.0,2014-11-18 22:07:41.873,0
1,8.0,17.0,2014-11-18 22:27:54.437,0
1,8.0,27.0,2014-11-18 23:41:16.593,0
4,20.0,31.0,2014-11-18 22:04:49.697,0
4,20.0,25.0,2014-11-18 23:22:36.143,0
6,24.0,59.0,2014-11-19 01:06:42.327,0
7,31.0,13.0,2014-11-18 22:11:11.580,0
7,31.0,43.0,2014-11-18 22:17:05.187,0
7,31.0,37.0,2014-11-19 12:43:01.853,0
8,31.0,59.0,2014-11-19 21:33:51.850,1
9,14.0,18.0,2014-11-18 23:40:32.330,0
9,14.0,108.0,2014-11-20 16:12:57.943,1
11,39.0,61.0,2014-11-19 03:05:14.307,0
17,28.0,59.0,2014-11-18 23:33:51.587,0
17,28.0,72.0,2014-11-19 00:02:33.080,0
17,28.0,54.0,2014-11-19 00:46:23.923,0
17,28.0,61.0,2014-11-19 11:58:37.687,0
17,28.0,125.0,2014-11-19 14:29:55.507,0
18,40.0,59.0,2014-11-18 23:17:22.200,0
18,40.0,9.0,2014-11-18 23:28:59.287,0
18,40.0,273.0,2014-12-01 22:28:56.137,13
19,31.0,68.0,2014-11-19 00:26:01.380,0
20,31.0,59.0,2014-11-20 03:37:43.823,1
23,43.0,59.0,2014-11-18 23:48:00.303,0
23,43.0,61.0,2014-11-19 03:30:39.447,0
31,69.0,54.0,2014-11-19 01:35:44.597,0
31,69.0,69.0,2014-11-19 17:07:03.000,0
35,84.0,86.0,2014-11-19 02:06:56.440,0
35,84.0,14.0,2014-11-19 02:14:55.490,0
35,84.0,59.0,2014-11-19 02:55:33.330,0
35,84.0,61.0,2014-11-19 04:28:54.327,0
35,84.0,38.0,2014-11-19 05:18:00.853,0
35,84.0,54.0,2014-11-19 05:22:36.393,0
35,84.0,108.0,2014-11-19 10:58:02.683,0
35,84.0,125.0,2014-11-19 14:40:38.533,0
35,84.0,15.0,2014-11-22 19:01:50.807,3
35,84.0,47.0,2014-11-22 21:55:29.013,4
35,84.0,2938.0,2015-04-24 12:54:17.997,156
42,70.0,59.0,2014-11-19 04:07:14.663,0
42,70.0,14.0,2014-11-19 04:09:31.643,0
45,96.0,61.0,2014-11-19 12:45:17.227,0
45,96.0,15.0,2014-11-19 15:16:53.870,0
45,96.0,4185.0,2015-03-20 05:27:55.487,121
45,96.0,84.0,2015-03-20 15:36:37.213,121
45,96.0,4229.0,2015-03-24 17:43:33.060,125
46,70.0,31.0,2014-11-19 05:36:15.590,0
46,70.0,108.0,2014-11-19 08:08:59.100,0
46,70.0,93.0,2014-11-19 09:53:13.443,0
46,70.0,119.0,2014-11-19 11:45:25.840,0
46,70.0,15.0,2014-11-19 15:13:51.937,0
47,59.0,14.0,2014-11-19 04:53:04.517,0
47,59.0,61.0,2014-11-19 04:53:23.330,0
47,59.0,54.0,2014-11-19 05:56:41.617,0
47,59.0,68.0,2014-11-19 22:14:52.000,1
48,89.0,59.0,2014-11-19 17:11:06.363,0
48,89.0,43.0,2014-11-19 17:15:27.093,0
48,89.0,126.0,2014-11-28 07:42:14.960,9
50,31.0,108.0,2014-11-19 09:44:29.440,0
50,31.0,93.0,2014-11-19 10:18:59.923,0
56,31.0,59.0,2014-11-19 17:16:24.577,0
61,85.0,29.0,2014-11-19 10:15:09.013,0
62,70.0,31.0,2014-11-19 18:41:04.897,0
62,70.0,69.0,2014-11-19 19:58:29.750,0
62,70.0,43.0,2014-11-19 21:26:48.307,1
62,70.0,15.0,2014-11-20 15:18:51.477,1
65,,29.0,2014-11-19 11:12:03.240,0
65,,44.0,2014-12-16 01:31:42.397,27
65,,61.0,2014-12-16 18:34:33.193,27
68,108.0,54.0,2014-11-19 12:52:14.790,0
68,108.0,37.0,2014-11-19 13:03:47.917,0
68,108.0,69.0,2014-11-19 14:55:32.170,0
73,41.0,40.0,2014-11-20 00:53:43.773,1
73,41.0,38.0,2014-12-01 16:38:03.357,12
74,41.0,108.0,2014-11-19 14:21:43.723,0
75,41.0,120.0,2014-11-19 13:48:00.320,0
75,41.0,61.0,2014-11-20 13:35:34.713,1
80,123.0,84.0,2014-11-19 14:24:44.980,0
88,27.0,31.0,2014-11-19 20:04:46.173,0
88,27.0,15.0,2014-11-20 15:05:23.963,1
89,43.0,132.0,2014-11-19 15:24:43.607,0
89,43.0,405.0,2014-12-11 06:17:17.553,22
93,38.0,108.0,2014-11-19 15:40:48.833,0
95,38.0,14.0,2014-11-19 20:34:16.157,0
95,38.0,127.0,2014-11-19 23:00:59.097,1
95,38.0,38.0,2014-11-20 05:47:07.900,1
95,38.0,4445.0,2015-04-15 06:09:50.327,147
97,43.0,61.0,2014-11-19 19:25:38.357,0
97,43.0,59.0,2014-11-19 21:50:13.933,1
97,43.0,405.0,2014-12-14 20:09:57.893,25
101,43.0,15.0,2014-11-20 15:01:19.553,1
106,141.0,20.0,2014-11-19 17:31:59.693,0
106,141.0,84.0,2014-11-21 00:50:28.683,2
107,59.0,54.0,2014-11-20 04:51:23.343,1
110,81.0,108.0,2014-11-19 18:35:59.037,0
110,81.0,17.0,2014-11-19 18:55:41.487,0
110,81.0,61.0,2014-11-19 20:02:43.983,0
110,81.0,29.0,2014-11-20 05:12:54.780,1
119,59.0,59.0,2014-11-19 21:24:34.243,1
124,38.0,54.0,2014-11-20 01:39:32.127,1
124,38.0,59.0,2015-01-19 22:50:26.040,62
124,38.0,59.0,2015-04-14 22:11:48.440,147
125,41.0,44.0,2014-11-19 22:33:32.063,1
125,41.0,61.0,2014-11-20 03:08:33.893,1
125,41.0,69.0,2015-03-25 12:44:20.253,126
126,44.0,61.0,2014-11-21 21:26:46.493,3
128,44.0,108.0,2014-11-21 15:03:28.453,2
131,29.0,59.0,2014-11-19 23:44:21.410,1
131,29.0,61.0,2014-11-20 13:00:43.417,1
131,29.0,108.0,2014-11-22 10:03:55.807,3
131,29.0,4193.0,2015-04-17 18:45:59.533,149
132,127.0,61.0,2014-11-20 05:15:13.160,1
132,127.0,405.0,2014-12-14 19:49:16.203,25
134,59.0,38.0,2014-11-20 05:42:05.690,1
134,59.0,61.0,2014-11-22 21:01:03.033,4
137,153.0,119.0,2014-11-20 10:55:01.710,1
140,27.0,61.0,2014-11-20 14:12:01.663,1
140,27.0,15.0,2014-11-20 14:42:34.793,1
140,27.0,54.0,2014-11-20 19:00:12.800,1
140,27.0,,2014-11-24 10:25:33.143,5
142,95.0,4578.0,2015-05-15 13:12:36.610,177
145,14.0,61.0,2014-11-21 14:29:51.770,2
150,,108.0,2014-11-20 10:28:13.527,1
157,158.0,120.0,2014-11-20 15:47:08.067,1
166,31.0,43.0,2014-11-20 16:34:20.310,1
166,31.0,108.0,2014-11-20 17:01:19.680,1
166,31.0,119.0,2014-11-20 18:18:42.623,1
166,31.0,15.0,2014-11-21 21:50:41.370,3
169,72.0,59.0,2014-11-20 19:28:40.600,1
169,72.0,180.0,2014-11-20 23:34:39.543,2
170,20.0,59.0,2014-11-20 19:10:14.373,1
170,20.0,84.0,2014-11-20 23:54:18.410,2
170,20.0,81.0,2014-11-21 00:50:45.677,2
173,38.0,38.0,2014-11-20 18:43:25.327,1
179,59.0,207.0,2014-11-22 17:57:51.217,3
180,59.0,54.0,2014-11-21 00:09:47.640,2
181,31.0,69.0,2014-11-20 22:58:16.283,2
182,69.0,61.0,2014-11-21 18:55:50.797,2
184,58.0,72.0,2014-11-21 04:36:07.340,2
184,58.0,61.0,2014-11-21 04:45:24.403,2
188,61.0,86.0,2014-11-21 14:37:39.410,2
188,61.0,1432.0,2014-12-18 23:46:54.307,30
188,61.0,61.0,2014-12-19 02:10:03.503,30
193,108.0,172.0,2014-11-21 11:02:42.173,2
193,108.0,150.0,2014-11-21 11:11:28.017,2
193,108.0,43.0,2014-11-22 19:24:04.450,3
194,119.0,84.0,2014-11-21 12:32:18.427,2
194,119.0,405.0,2014-12-14 20:47:38.493,25
197,119.0,61.0,2014-11-21 12:03:45.770,2
200,120.0,120.0,2015-03-27 08:47:16.567,128
201,72.0,14.0,2014-11-21 15:06:01.637,2
201,72.0,72.0,2014-11-24 03:12:11.070,5
201,72.0,2701.0,2015-01-14 19:58:59.543,56
207,86.0,405.0,2014-12-11 04:35:36.540,22
208,86.0,61.0,2014-11-22 00:51:41.973,3
208,86.0,43.0,2014-11-22 01:07:40.887,3
209,86.0,405.0,2014-12-11 07:24:09.590,22
209,86.0,61.0,2014-12-11 12:54:36.637,22
210,86.0,127.0,2014-11-22 04:57:07.297,3
210,86.0,61.0,2014-11-22 20:21:49.070,3
210,86.0,86.0,2014-11-23 02:50:52.457,4
212,27.0,38.0,2014-12-21 02:51:09.837,32
212,27.0,405.0,2014-12-21 06:41:56.620,32
218,86.0,119.0,2014-11-24 13:12:29.553,5
219,86.0,14.0,2014-11-22 05:25:00.107,3
219,86.0,108.0,2014-11-22 09:43:03.817,3
219,86.0,38.0,2014-11-25 16:07:23.937,6
219,86.0,42.0,2014-11-27 23:11:04.317,9
224,41.0,38.0,2014-11-24 04:59:43.670,5
225,41.0,108.0,2014-11-22 17:56:54.167,3
225,41.0,108.0,2014-11-23 21:43:38.640,5
225,41.0,38.0,2014-11-24 05:15:48.397,5
226,204.0,13.0,2014-12-01 20:22:45.647,12
232,41.0,127.0,2014-11-22 21:07:59.583,4
232,41.0,43.0,2014-11-22 22:00:23.790,4
232,41.0,14.0,2014-11-22 22:00:40.767,4
232,41.0,73.0,2015-02-12 18:45:07.243,85
236,29.0,15.0,2014-11-23 02:30:01.507,4
236,29.0,93.0,2014-11-23 03:33:51.620,4
236,29.0,86.0,2014-11-23 03:59:58.333,4
240,59.0,54.0,2014-11-23 00:45:51.920,4
241,59.0,15.0,2014-11-22 23:11:16.267,4
241,59.0,43.0,2014-11-22 23:20:09.460,4
241,59.0,108.0,2014-11-23 09:56:24.633,4
245,14.0,213.0,2014-11-23 05:11:21.250,4
245,14.0,108.0,2014-11-23 10:42:26.463,4
245,14.0,15.0,2014-11-23 18:43:41.497,4
245,14.0,68.0,2014-11-23 19:11:49.083,4
251,86.0,108.0,2014-11-23 10:21:08.410,4
253,214.0,211.0,2014-11-23 13:58:25.327,4
258,,17.0,2014-11-24 15:50:21.170,5
258,,126.0,2014-12-02 22:14:23.360,14
258,,86.0,2014-12-08 14:17:30.367,19
258,,385.0,2014-12-08 15:48:48.533,19
262,31.0,43.0,2014-11-23 21:06:20.447,5
