QId,PostUserId,Vote,Time,days
1.0,8.0,2,2014-11-18,0
6.0,24.0,2,2014-11-18,0
6.0,24.0,2,2014-11-18,0
6.0,24.0,2,2014-11-18,0
9.0,14.0,2,2014-11-18,0
4.0,20.0,2,2014-11-18,0
11.0,39.0,2,2014-11-18,0
1.0,8.0,2,2014-11-18,0
7.0,31.0,3,2014-11-18,0
7.0,31.0,2,2014-11-18,0
7.0,31.0,3,2014-11-18,0
11.0,39.0,2,2014-11-18,0
6.0,24.0,3,2014-11-18,0
1.0,8.0,3,2014-11-18,0
4.0,20.0,2,2014-11-18,0
1.0,8.0,2,2014-11-18,0
7.0,31.0,2,2014-11-18,0
11.0,39.0,2,2014-11-18,0
8.0,31.0,2,2014-11-18,0
7.0,31.0,2,2014-11-18,0
4.0,20.0,2,2014-11-18,0
1.0,8.0,2,2014-11-18,0
11.0,39.0,2,2014-11-18,0
8.0,31.0,2,2014-11-18,0
9.0,14.0,2,2014-11-18,0
18.0,40.0,2,2014-11-18,0
7.0,31.0,2,2014-11-18,0
8.0,31.0,2,2014-11-18,0
6.0,24.0,2,2014-11-18,0
8.0,31.0,2,2014-11-18,0
9.0,14.0,2,2014-11-18,0
18.0,40.0,2,2014-11-18,0
19.0,31.0,2,2014-11-18,0
4.0,20.0,2,2014-11-18,0
23.0,43.0,2,2014-11-18,0
19.0,31.0,2,2014-11-18,0
20.0,31.0,2,2014-11-18,0
17.0,28.0,2,2014-11-18,0
23.0,43.0,2,2014-11-18,0
1.0,8.0,3,2014-11-18,0
6.0,24.0,2,2014-11-19,1
1.0,8.0,3,2014-11-19,1
20.0,31.0,2,2014-11-19,1
11.0,39.0,2,2014-11-19,1
31.0,69.0,2,2014-11-19,1
35.0,84.0,2,2014-11-19,1
8.0,31.0,2,2014-11-19,1
6.0,24.0,2,2014-11-19,1
17.0,28.0,2,2014-11-19,1
1.0,8.0,2,2014-11-19,1
19.0,31.0,2,2014-11-19,1
4.0,20.0,2,2014-11-19,1
23.0,43.0,2,2014-11-19,1
9.0,14.0,2,2014-11-19,1
9.0,14.0,2,2014-11-19,1
4.0,20.0,2,2014-11-19,1
1.0,8.0,2,2014-11-19,1
7.0,31.0,2,2014-11-19,1
8.0,31.0,2,2014-11-19,1
35.0,84.0,2,2014-11-19,1
35.0,84.0,2,2014-11-19,1
35.0,84.0,2,2014-11-19,1
23.0,43.0,2,2014-11-19,1
35.0,84.0,2,2014-11-19,1
8.0,31.0,2,2014-11-19,1
31.0,69.0,2,2014-11-19,1
8.0,31.0,2,2014-11-19,1
42.0,70.0,2,2014-11-19,1
8.0,31.0,2,2014-11-19,1
18.0,40.0,2,2014-11-19,1
35.0,84.0,2,2014-11-19,1
46.0,70.0,2,2014-11-19,1
47.0,59.0,2,2014-11-19,1
50.0,31.0,2,2014-11-19,1
46.0,70.0,2,2014-11-19,1
9.0,14.0,2,2014-11-19,1
7.0,31.0,2,2014-11-19,1
53.0,31.0,2,2014-11-19,1
48.0,89.0,2,2014-11-19,1
46.0,70.0,2,2014-11-19,1
56.0,31.0,2,2014-11-19,1
4.0,20.0,2,2014-11-19,1
17.0,28.0,2,2014-11-19,1
47.0,59.0,2,2014-11-19,1
46.0,70.0,3,2014-11-19,1
50.0,31.0,3,2014-11-19,1
35.0,84.0,3,2014-11-19,1
20.0,31.0,2,2014-11-19,1
53.0,31.0,2,2014-11-19,1
47.0,59.0,2,2014-11-19,1
46.0,70.0,2,2014-11-19,1
56.0,31.0,2,2014-11-19,1
4.0,20.0,2,2014-11-19,1
18.0,40.0,2,2014-11-19,1
48.0,89.0,2,2014-11-19,1
4.0,20.0,3,2014-11-19,1
61.0,85.0,3,2014-11-19,1
60.0,9.0,2,2014-11-19,1
56.0,31.0,2,2014-11-19,1
48.0,89.0,2,2014-11-19,1
56.0,31.0,2,2014-11-19,1
50.0,31.0,2,2014-11-19,1
1.0,8.0,3,2014-11-19,1
46.0,70.0,2,2014-11-19,1
53.0,31.0,2,2014-11-19,1
47.0,59.0,2,2014-11-19,1
46.0,70.0,2,2014-11-19,1
18.0,40.0,2,2014-11-19,1
61.0,85.0,3,2014-11-19,1
62.0,70.0,3,2014-11-19,1
50.0,31.0,2,2014-11-19,1
50.0,31.0,2,2014-11-19,1
62.0,70.0,2,2014-11-19,1
46.0,70.0,2,2014-11-19,1
50.0,31.0,2,2014-11-19,1
23.0,43.0,2,2014-11-19,1
11.0,39.0,2,2014-11-19,1
31.0,69.0,2,2014-11-19,1
68.0,108.0,2,2014-11-19,1
8.0,31.0,2,2014-11-19,1
19.0,31.0,2,2014-11-19,1
62.0,70.0,2,2014-11-19,1
42.0,70.0,2,2014-11-19,1
50.0,31.0,2,2014-11-19,1
73.0,41.0,2,2014-11-19,1
56.0,31.0,2,2014-11-19,1
35.0,84.0,2,2014-11-19,1
46.0,70.0,2,2014-11-19,1
68.0,108.0,2,2014-11-19,1
46.0,70.0,2,2014-11-19,1
11.0,39.0,2,2014-11-19,1
35.0,84.0,2,2014-11-19,1
8.0,31.0,2,2014-11-19,1
7.0,31.0,2,2014-11-19,1
8.0,31.0,2,2014-11-19,1
61.0,85.0,3,2014-11-19,1
4.0,20.0,2,2014-11-19,1
62.0,70.0,3,2014-11-19,1
74.0,41.0,2,2014-11-19,1
35.0,84.0,2,2014-11-19,1
11.0,39.0,2,2014-11-19,1
80.0,123.0,2,2014-11-19,1
88.0,27.0,2,2014-11-19,1
89.0,43.0,2,2014-11-19,1
17.0,28.0,3,2014-11-19,1
88.0,27.0,2,2014-11-19,1
48.0,89.0,2,2014-11-19,1
6.0,24.0,3,2014-11-19,1
75.0,41.0,2,2014-11-19,1
88.0,27.0,2,2014-11-19,1
17.0,28.0,2,2014-11-19,1
95.0,38.0,2,2014-11-19,1
61.0,85.0,3,2014-11-19,1
95.0,38.0,2,2014-11-19,1
75.0,41.0,2,2014-11-19,1
75.0,41.0,2,2014-11-19,1
93.0,38.0,2,2014-11-19,1
61.0,85.0,3,2014-11-19,1
97.0,43.0,2,2014-11-19,1
97.0,43.0,2,2014-11-19,1
97.0,43.0,2,2014-11-19,1
95.0,38.0,2,2014-11-19,1
106.0,141.0,2,2014-11-19,1
106.0,141.0,2,2014-11-19,1
89.0,43.0,2,2014-11-19,1
101.0,43.0,2,2014-11-19,1
107.0,59.0,2,2014-11-19,1
107.0,59.0,2,2014-11-19,1
45.0,96.0,2,2014-11-19,1
95.0,38.0,2,2014-11-19,1
110.0,81.0,2,2014-11-19,1
88.0,27.0,2,2014-11-19,1
73.0,41.0,2,2014-11-19,1
110.0,81.0,2,2014-11-19,1
62.0,70.0,2,2014-11-19,1
110.0,81.0,2,2014-11-19,1
45.0,96.0,2,2014-11-19,1
47.0,59.0,2,2014-11-19,1
106.0,141.0,3,2014-11-19,1
125.0,41.0,2,2014-11-19,1
47.0,59.0,2,2014-11-19,1
124.0,38.0,2,2014-11-19,1
131.0,29.0,2,2014-11-19,1
95.0,38.0,2,2014-11-19,1
134.0,59.0,2,2014-11-19,1
42.0,70.0,2,2014-11-19,1
132.0,127.0,2,2014-11-19,1
134.0,59.0,2,2014-11-19,1
109.0,31.0,2,2014-11-19,1
88.0,27.0,2,2014-11-19,1
20.0,31.0,2,2014-11-20,2
42.0,70.0,2,2014-11-20,2
45.0,96.0,3,2014-11-20,2
137.0,153.0,2,2014-11-20,2
125.0,41.0,2,2014-11-20,2
131.0,29.0,2,2014-11-20,2
137.0,153.0,2,2014-11-20,2
137.0,153.0,2,2014-11-20,2
