PostUserId,RespondUserId,QId,Time,days
85.0,37.0,15,2017-01-18 18:25:59.013,0
85.0,65.0,15,2017-01-18 23:43:57.873,0
80.0,96.0,2,2017-01-18 19:06:32.813,0
80.0,17.0,2,2017-01-18 19:30:00.777,0
80.0,29.0,2,2017-01-18 19:40:42.877,0
80.0,80.0,2,2017-01-18 20:03:26.137,0
39.0,100.0,13,2017-01-18 19:08:33.307,0
72.0,20.0,28,2017-01-18 19:40:04.427,0
72.0,168.0,28,2017-01-19 02:03:35.290,0
62.0,16.0,50,2017-01-18 19:43:59.667,0
62.0,29.0,50,2017-01-19 00:57:24.113,0
9.0,,58,2017-01-18 19:46:23.387,0
9.0,9.0,58,2017-01-18 19:48:54.080,0
85.0,9.0,72,2017-01-18 20:05:45.030,0
9.0,85.0,72,2017-01-18 20:06:33.487,0
85.0,9.0,72,2017-01-18 20:08:47.957,0
37.0,85.0,99,2017-01-18 20:26:12.877,0
85.0,57.0,14,2017-01-18 20:36:05.537,0
,57.0,58,2017-01-18 20:38:19.837,0
57.0,,58,2017-01-18 20:51:02.773,0
,1355.0,58,2017-04-24 22:22:00.733,96
1355.0,,58,2017-04-25 11:09:24.907,96
85.0,37.0,110,2017-01-18 20:39:04.057,0
9.0,37.0,110,2017-01-18 20:44:25.773,0
37.0,9.0,110,2017-01-18 20:48:09.967,0
72.0,132.0,91,2017-01-18 20:44:41.857,0
17.0,92.0,9,2017-01-18 20:46:48.523,0
17.0,17.0,9,2017-01-18 20:51:22.673,0
17.0,80.0,9,2017-01-19 12:45:06.550,0
17.0,17.0,9,2017-01-19 12:47:11.183,0
80.0,31.0,93,2017-01-18 21:05:46.173,0
31.0,80.0,93,2017-01-18 21:07:16.597,0
80.0,80.0,93,2017-01-21 13:06:16.943,2
80.0,31.0,93,2017-01-21 14:22:16.220,2
31.0,80.0,93,2017-02-01 08:28:04.187,13
80.0,31.0,93,2017-02-01 13:10:44.497,13
80.0,220.0,93,2017-02-01 18:47:59.273,14
80.0,80.0,93,2017-02-01 19:00:58.280,14
80.0,870.0,93,2017-03-05 04:48:36.637,45
870.0,80.0,93,2017-03-05 08:21:34.513,45
58.0,16.0,117,2017-01-18 21:05:52.793,0
16.0,56.0,117,2017-01-19 17:00:33.680,0
58.0,114.0,128,2017-01-18 21:30:09.910,0
114.0,58.0,128,2017-01-18 21:30:41.057,0
58.0,16.0,128,2017-01-18 22:51:57.550,0
16.0,31.0,128,2017-02-02 12:18:10.267,14
9.0,72.0,135,2017-01-18 21:59:43.423,0
9.0,9.0,135,2017-01-18 22:00:38.963,0
9.0,72.0,135,2017-01-18 22:01:23.537,0
123.0,58.0,12,2017-01-18 22:33:06.593,0
58.0,123.0,12,2017-01-18 22:34:24.950,0
123.0,143.0,12,2017-01-18 22:35:27.480,0
143.0,123.0,12,2017-01-18 22:36:01.893,0
67.0,72.0,47,2017-01-18 23:07:34.553,0
85.0,85.0,179,2017-01-19 00:24:30.753,0
168.0,85.0,15,2017-01-19 01:10:27.680,0
72.0,132.0,185,2017-01-19 01:22:24.330,0
132.0,72.0,185,2017-01-19 01:22:33.957,0
72.0,17.0,185,2017-01-20 00:24:42.967,1
17.0,72.0,185,2017-01-20 00:25:07.863,1
72.0,17.0,185,2017-01-20 00:27:28.640,1
17.0,168.0,64,2017-01-19 03:37:43.040,0
168.0,17.0,64,2017-01-19 03:39:24.390,0
17.0,168.0,64,2017-01-19 03:41:46.557,0
168.0,115.0,64,2017-01-21 17:35:03.723,3
115.0,17.0,64,2017-01-21 17:57:13.137,3
17.0,139.0,64,2017-07-12 13:50:15.543,174
80.0,,232,2017-01-19 04:18:46.640,0
80.0,,232,2017-01-19 04:20:39.860,0
71.0,17.0,21,2017-01-19 04:23:09.477,0
72.0,58.0,18,2017-01-19 05:56:21.323,0
58.0,72.0,18,2017-01-19 14:30:45.230,0
72.0,17.0,18,2017-07-04 17:14:55.020,166
80.0,29.0,253,2017-01-19 11:29:32.273,0
80.0,,253,2017-01-19 14:24:48.667,0
80.0,80.0,239,2017-01-19 11:42:17.733,0
80.0,16.0,239,2017-01-19 16:08:34.033,0
17.0,31.0,251,2017-01-19 12:05:01.960,0
17.0,31.0,251,2017-01-19 12:05:57.573,0
17.0,31.0,251,2017-01-19 12:10:11.123,0
31.0,17.0,251,2017-01-19 12:38:59.333,0
17.0,31.0,251,2017-01-19 14:56:12.040,0
17.0,31.0,251,2017-01-19 14:57:06.597,0
85.0,31.0,190,2017-01-19 15:47:25.330,0
85.0,11.0,190,2017-03-22 18:52:05.817,63
31.0,31.0,163,2017-01-19 16:02:10.283,0
31.0,11.0,163,2017-01-22 11:00:19.600,3
31.0,1485.0,163,2017-05-15 22:13:15.623,117
58.0,53.0,255,2017-01-19 16:18:16.197,0
58.0,11.0,255,2017-01-21 21:02:54.530,3
58.0,220.0,255,2017-01-23 02:51:16.460,4
123.0,72.0,221,2017-01-19 17:20:47.693,1
132.0,80.0,308,2017-01-19 22:46:01.297,1
132.0,132.0,308,2017-01-20 00:02:57.997,1
17.0,157.0,71,2017-01-19 23:05:44.707,1
157.0,17.0,71,2017-01-20 03:02:50.813,1
123.0,94.0,288,2017-01-19 23:14:29.887,1
123.0,17.0,288,2017-01-19 23:22:47.360,1
17.0,123.0,288,2017-01-19 23:26:00.307,1
72.0,189.0,240,2017-01-19 23:38:11.127,1
189.0,72.0,240,2017-01-19 23:40:35.013,1
71.0,17.0,340,2017-01-20 02:24:40.040,1
71.0,17.0,340,2017-01-20 02:26:46.303,1
17.0,71.0,340,2017-01-20 02:30:15.973,1
17.0,71.0,340,2017-01-20 02:30:52.350,1
17.0,168.0,340,2017-01-20 02:34:48.920,1
71.0,71.0,340,2017-02-04 14:35:49.763,16
71.0,220.0,340,2017-02-04 15:03:33.453,16
71.0,71.0,340,2017-02-04 15:13:35.480,16
71.0,71.0,340,2017-02-04 19:07:31.730,17
17.0,168.0,341,2017-01-20 02:25:23.617,1
168.0,17.0,341,2017-01-20 02:28:27.727,1
17.0,29.0,341,2017-01-20 11:08:05.720,1
123.0,17.0,340,2017-01-20 02:33:28.010,1
17.0,21.0,286,2017-01-20 03:47:14.530,1
21.0,17.0,286,2017-01-20 03:50:01.587,1
17.0,21.0,286,2017-01-20 04:23:05.470,1
17.0,21.0,286,2017-01-22 03:42:57.090,3
72.0,76.0,348,2017-01-20 03:58:59.457,1
76.0,72.0,348,2017-01-20 03:59:53.080,1
72.0,76.0,348,2017-01-20 04:01:58.560,1
76.0,72.0,348,2017-01-20 04:02:41.213,1
72.0,72.0,348,2017-01-23 05:01:19.870,4
99.0,168.0,361,2017-01-20 10:00:35.333,1
168.0,99.0,361,2017-01-20 10:03:49.380,1
99.0,17.0,361,2017-01-20 16:19:08.827,1
99.0,68.0,361,2017-01-20 21:31:49.590,2
80.0,205.0,371,2017-01-20 10:31:30.680,1
80.0,50.0,371,2017-01-20 13:26:41.153,1
17.0,62.0,389,2017-01-20 15:52:28.310,1
62.0,17.0,389,2017-01-20 15:53:52.877,1
21.0,17.0,174,2017-01-20 16:29:20.940,1
85.0,168.0,407,2017-01-20 20:01:06.403,2
168.0,85.0,407,2017-01-20 20:02:58.540,2
85.0,168.0,407,2017-01-20 20:05:18.957,2
168.0,85.0,407,2017-01-20 20:15:10.297,2
85.0,168.0,407,2017-01-20 20:23:50.823,2
181.0,,330,2017-01-20 21:29:22.400,2
181.0,181.0,330,2017-01-21 04:22:30.567,2
181.0,1412.0,330,2017-05-01 18:12:19.477,103
20.0,50.0,275,2017-01-20 23:59:47.770,2
80.0,67.0,426,2017-01-21 00:12:03.833,2
123.0,17.0,331,2017-01-21 03:09:58.290,2
123.0,17.0,331,2017-01-21 03:15:43.847,2
17.0,123.0,331,2017-01-21 03:39:05.527,2
123.0,123.0,331,2017-01-21 03:40:25.833,2
123.0,17.0,331,2017-01-21 03:48:25.000,2
67.0,17.0,418,2017-01-21 13:08:23.800,2
17.0,141.0,470,2017-01-21 19:44:21.313,3
141.0,17.0,470,2017-01-21 19:47:18.913,3
17.0,141.0,470,2017-01-21 20:02:30.633,3
137.0,124.0,341,2017-01-21 20:53:57.013,3
58.0,17.0,491,2017-01-21 21:16:11.863,3
17.0,58.0,491,2017-01-21 21:26:40.320,3
97.0,58.0,491,2017-01-22 11:38:23.297,3
58.0,869.0,491,2017-03-01 17:51:49.333,42
,71.0,477,2017-01-21 21:31:26.710,3
141.0,80.0,493,2017-01-21 22:13:14.647,3
141.0,,493,2017-01-21 22:14:40.797,3
141.0,141.0,493,2017-01-21 22:17:19.383,3
141.0,124.0,493,2017-01-21 22:35:08.373,3
141.0,124.0,493,2017-01-21 22:36:27.503,3
124.0,80.0,493,2017-01-21 22:36:29.720,3
17.0,,493,2017-01-21 22:19:21.040,3
17.0,,493,2017-01-21 22:25:24.120,3
17.0,17.0,493,2017-01-21 22:35:26.907,3
17.0,391.0,493,2017-03-09 15:32:42.323,49
17.0,17.0,493,2017-03-09 21:18:22.967,50
17.0,255.0,493,2017-03-11 16:13:25.870,51
255.0,17.0,493,2017-03-11 16:17:00.743,51
17.0,255.0,493,2017-03-11 16:25:50.990,51
255.0,17.0,493,2017-03-11 17:26:19.653,52
17.0,,493,2017-03-11 20:35:27.663,52
17.0,255.0,493,2017-03-11 22:36:48.663,52
255.0,17.0,493,2017-03-12 01:18:55.040,52
71.0,58.0,510,2017-01-22 00:22:57.733,3
71.0,58.0,510,2017-01-22 00:24:28.210,3
71.0,17.0,510,2017-01-22 00:35:57.773,3
17.0,71.0,510,2017-01-22 00:40:48.867,3
71.0,17.0,510,2017-01-22 00:58:55.157,3
17.0,71.0,510,2017-01-22 01:01:04.197,3
71.0,17.0,510,2017-01-22 01:03:17.513,3
17.0,58.0,510,2017-01-22 00:25:37.990,3
123.0,17.0,509,2017-01-22 02:50:41.667,3
17.0,143.0,509,2017-01-22 10:55:35.607,3
58.0,151.0,623,2017-01-22 09:20:57.403,3
151.0,58.0,623,2017-01-22 09:32:34.883,3
151.0,793.0,623,2017-02-24 05:16:35.950,36
58.0,481.0,623,2017-03-01 03:40:48.410,41
97.0,9.0,674,2017-01-22 13:40:05.033,3
225.0,9.0,674,2017-01-22 16:22:57.687,3
262.0,,436,2017-01-22 14:41:16.043,3
262.0,262.0,436,2017-01-22 14:42:49.510,3
262.0,37.0,436,2017-02-17 20:47:37.077,30
262.0,1383.0,436,2017-05-01 06:51:44.547,102
262.0,72.0,516,2017-01-22 15:38:58.560,3
262.0,262.0,516,2017-01-22 16:02:59.247,3
262.0,72.0,516,2017-01-22 16:04:04.790,3
72.0,262.0,516,2017-01-25 20:07:42.483,7
262.0,72.0,516,2017-01-25 20:19:32.303,7
17.0,72.0,692,2017-01-22 15:50:13.780,3
72.0,17.0,692,2017-01-22 15:51:16.130,3
29.0,17.0,192,2017-01-22 16:22:16.593,3
29.0,436.0,192,2017-02-08 06:34:12.027,20
85.0,,421,2017-01-22 17:12:33.653,3
85.0,85.0,421,2017-01-22 17:17:27.073,3
85.0,17.0,421,2017-03-05 18:04:16.647,46
17.0,,421,2017-03-05 18:06:38.203,46
85.0,17.0,421,2017-03-05 18:08:06.047,46
262.0,17.0,702,2017-01-22 17:25:48.483,4
262.0,17.0,702,2017-01-22 17:33:05.470,4
,72.0,348,2017-01-22 19:30:12.513,4
21.0,,348,2017-01-22 19:30:29.020,4
72.0,,348,2017-01-22 19:32:13.533,4
,72.0,348,2017-01-22 19:33:51.210,4
72.0,,348,2017-01-22 19:53:50.303,4
,405.0,348,2017-02-09 15:01:01.140,21
71.0,17.0,730,2017-01-23 00:30:00.003,4
17.0,71.0,730,2017-01-23 00:31:14.330,4
71.0,17.0,730,2017-01-23 00:32:38.037,4
17.0,71.0,730,2017-01-23 00:33:56.177,4
,31.0,312,2017-01-23 01:26:11.597,4
31.0,,312,2017-01-23 02:07:35.703,4
,31.0,312,2017-01-23 02:33:33.083,4
31.0,,312,2017-01-23 02:48:44.570,4
,31.0,312,2017-01-23 02:50:03.023,4
31.0,,312,2017-01-23 02:54:57.983,4
,31.0,312,2017-01-23 02:59:10.070,4
31.0,,312,2017-01-23 03:02:39.667,4
,232.0,312,2017-01-23 17:55:41.920,5
,,312,2017-01-23 18:29:19.800,5
220.0,,278,2017-01-23 04:19:40.697,4
72.0,181.0,362,2017-01-23 04:37:03.083,4
181.0,72.0,362,2017-01-23 04:49:09.050,4
241.0,80.0,447,2017-01-23 07:58:48.487,4
241.0,241.0,447,2017-01-23 08:58:22.503,4
241.0,80.0,447,2017-01-23 09:10:53.043,4
241.0,31.0,447,2017-01-23 12:20:24.923,4
241.0,241.0,447,2017-01-23 15:47:15.393,4
241.0,241.0,447,2017-01-23 15:48:33.590,4
9.0,11.0,722,2017-01-23 08:51:35.487,4
11.0,9.0,722,2017-01-23 09:58:46.203,4
9.0,143.0,722,2017-01-23 10:56:44.673,4
9.0,76.0,722,2017-07-12 01:02:58.043,174
129.0,35.0,736,2017-01-23 13:18:19.823,4
129.0,35.0,736,2017-01-23 13:22:30.613,4
129.0,53.0,736,2017-01-23 17:46:52.987,5
129.0,129.0,736,2017-01-27 16:32:56.943,8
35.0,129.0,736,2017-01-31 13:07:31.457,12
53.0,35.0,736,2017-01-31 13:15:21.723,12
129.0,35.0,736,2017-01-31 13:17:46.067,12
198.0,35.0,737,2017-01-23 13:29:21.443,4
198.0,35.0,737,2017-01-23 13:31:02.673,4
198.0,198.0,737,2017-01-23 13:37:23.897,4
198.0,198.0,737,2017-01-23 13:41:05.267,4
80.0,16.0,309,2017-01-23 14:05:35.377,4
80.0,481.0,309,2017-02-10 19:31:11.943,23
85.0,,769,2017-01-23 14:22:51.270,4
85.0,85.0,769,2017-01-23 14:42:11.157,4
85.0,2.0,769,2017-01-23 14:43:06.923,4
2.0,85.0,769,2017-01-23 15:39:58.787,4
203.0,262.0,621,2017-01-23 15:54:50.013,4
143.0,17.0,488,2017-01-23 16:49:11.787,4
181.0,181.0,737,2017-01-23 18:18:18.530,5
181.0,220.0,737,2017-01-23 18:31:33.723,5
20.0,50.0,444,2017-01-23 22:50:02.513,5
20.0,20.0,444,2017-01-23 23:00:41.190,5
20.0,20.0,444,2017-01-23 23:02:34.560,5
20.0,289.0,444,2017-02-06 06:36:41.897,18
85.0,85.0,808,2017-01-23 23:42:17.033,5
85.0,17.0,808,2017-03-05 18:06:41.573,46
132.0,68.0,126,2017-01-23 23:47:12.853,5
132.0,132.0,126,2017-01-24 03:19:21.027,5
58.0,151.0,791,2017-01-24 05:23:57.017,5
58.0,377.0,791,2017-02-01 15:30:46.403,13
58.0,406.0,791,2017-02-07 05:28:53.793,19
58.0,17.0,791,2017-02-28 15:13:12.230,40
17.0,58.0,791,2017-02-28 15:29:09.683,40
80.0,58.0,832,2017-01-24 10:08:03.973,5
80.0,80.0,832,2017-01-24 10:08:33.170,5
143.0,17.0,328,2017-01-24 13:38:44.597,5
143.0,58.0,328,2017-02-07 14:36:49.780,19
58.0,143.0,328,2017-02-07 20:22:52.110,20
17.0,16.0,360,2017-01-24 14:48:05.523,5
280.0,24.0,883,2017-01-24 16:44:10.623,5
280.0,94.0,883,2017-01-24 18:52:38.940,6
101.0,80.0,892,2017-01-24 21:28:55.670,6
280.0,50.0,892,2017-01-24 22:10:14.263,6
280.0,280.0,892,2017-01-24 22:12:02.193,6
123.0,143.0,931,2017-01-25 01:20:25.953,6
123.0,85.0,931,2017-01-25 01:28:55.637,6
85.0,123.0,931,2017-01-25 01:30:56.870,6
123.0,85.0,931,2017-01-25 01:32:20.350,6
85.0,123.0,931,2017-01-25 01:49:21.983,6
289.0,289.0,935,2017-01-25 04:21:23.683,6
289.0,17.0,935,2017-01-25 13:44:37.757,6
289.0,289.0,935,2017-01-26 20:20:35.337,8
76.0,17.0,927,2017-01-25 13:40:42.537,6
17.0,76.0,927,2017-01-25 14:30:31.867,6
123.0,,922,2017-01-25 15:24:13.453,6
41.0,17.0,957,2017-01-25 15:47:29.733,6
72.0,289.0,363,2017-01-25 19:17:08.483,7
289.0,72.0,363,2017-01-25 19:17:38.353,7
72.0,289.0,363,2017-01-25 19:36:36.680,7
27.0,225.0,891,2017-01-25 19:24:05.587,7
17.0,92.0,956,2017-01-25 19:36:23.263,7
17.0,68.0,956,2017-04-21 02:47:29.657,92
56.0,20.0,24,2017-01-25 20:12:22.157,7
84.0,50.0,988,2017-01-25 22:27:06.117,7
84.0,84.0,988,2017-01-26 07:32:55.673,7
124.0,292.0,827,2017-01-25 23:23:23.323,7
292.0,124.0,827,2017-01-26 00:51:50.073,7
292.0,124.0,827,2017-01-26 00:55:54.250,7
124.0,292.0,827,2017-01-26 01:08:34.377,7
124.0,292.0,827,2017-01-26 01:10:41.480,7
292.0,124.0,827,2017-01-26 01:17:00.277,7
124.0,124.0,827,2017-01-26 01:19:45.893,7
124.0,292.0,827,2017-01-26 01:22:55.657,7
124.0,292.0,827,2017-01-26 01:26:40.220,7
292.0,124.0,827,2017-01-26 01:29:04.970,7
292.0,124.0,827,2017-01-26 01:32:19.913,7
124.0,124.0,827,2017-01-26 01:34:48.153,7
124.0,292.0,827,2017-01-26 01:35:37.680,7
262.0,123.0,999,2017-01-25 23:35:36.723,7
262.0,292.0,999,2017-01-25 23:57:24.883,7
292.0,262.0,999,2017-01-26 00:10:04.340,7
