PostUserId,RespondUserId,QId,Time,days
32.0,53.0,6,2017-01-18 17:42:09.480,0
44.0,,14,2017-01-18 17:57:35.007,0
44.0,57.0,14,2017-01-18 20:33:11.497,0
65.0,53.0,15,2017-01-18 18:00:55.867,0
53.0,40.0,15,2017-01-18 18:08:58.340,0
40.0,53.0,15,2017-01-18 18:16:10.110,0
53.0,40.0,15,2017-01-18 18:17:14.927,0
31.0,31.0,17,2017-01-18 18:05:06.560,0
31.0,255.0,17,2017-04-09 10:26:02.950,80
31.0,255.0,17,2017-04-09 10:48:03.830,80
255.0,31.0,17,2017-04-09 13:55:24.157,80
72.0,72.0,23,2017-01-18 18:11:52.760,0
72.0,67.0,23,2017-01-18 20:22:28.510,0
10.0,11.0,4,2017-01-18 18:31:04.427,0
80.0,90.0,25,2017-01-18 18:44:31.237,0
80.0,17.0,25,2017-02-14 15:20:06.307,26
80.0,255.0,25,2017-03-19 15:58:24.620,59
80.0,62.0,43,2017-01-18 18:59:50.333,0
62.0,80.0,43,2017-01-18 19:02:19.740,0
80.0,62.0,43,2017-01-18 19:22:54.153,0
80.0,17.0,43,2017-01-18 19:42:20.890,0
80.0,304.0,43,2017-01-25 22:09:20.100,7
80.0,922.0,43,2017-03-14 18:55:04.007,55
31.0,50.0,49,2017-01-18 19:27:28.607,0
56.0,62.0,50,2017-01-18 19:28:28.623,0
56.0,72.0,50,2017-01-18 19:28:30.753,0
56.0,31.0,50,2017-01-18 19:31:31.267,0
56.0,29.0,50,2017-01-18 19:33:31.737,0
29.0,56.0,50,2017-01-18 19:35:36.183,0
56.0,16.0,50,2017-01-18 19:36:52.610,0
56.0,16.0,50,2017-01-18 19:39:25.497,0
16.0,56.0,50,2017-01-18 19:42:36.310,0
56.0,20.0,50,2017-02-15 15:59:15.037,27
39.0,17.0,28,2017-01-18 19:33:52.950,0
,67.0,58,2017-01-18 19:38:30.697,0
,71.0,58,2017-01-18 19:43:21.777,0
71.0,,58,2017-01-18 19:45:18.120,0
,71.0,58,2017-01-18 19:45:56.893,0
29.0,31.0,9,2017-01-18 19:43:12.780,0
31.0,29.0,9,2017-01-18 19:44:19.607,0
29.0,31.0,9,2017-01-18 19:45:50.360,0
29.0,17.0,9,2017-01-20 01:08:57.590,1
17.0,29.0,9,2017-01-20 02:46:00.660,1
29.0,481.0,9,2017-04-10 16:23:55.757,81
97.0,72.0,75,2017-01-18 20:03:57.837,0
97.0,72.0,75,2017-01-18 20:06:13.120,0
97.0,72.0,75,2017-01-18 20:07:00.270,0
97.0,220.0,75,2017-02-01 19:01:49.767,14
127.0,50.0,102,2017-01-18 20:24:02.780,0
86.0,29.0,101,2017-01-18 20:25:37.057,0
86.0,217.0,101,2017-01-19 14:43:20.987,0
86.0,62.0,101,2017-01-19 15:52:48.473,0
86.0,76.0,101,2017-01-19 16:11:24.410,0
120.0,112.0,93,2017-01-18 20:26:04.757,0
56.0,133.0,13,2017-01-18 20:46:31.253,0
31.0,,60,2017-01-18 20:46:37.760,0
31.0,31.0,60,2017-01-19 04:18:57.107,0
123.0,132.0,71,2017-01-18 20:48:27.840,0
112.0,132.0,73,2017-01-18 20:54:13.597,0
112.0,181.0,73,2017-01-24 05:57:49.107,5
112.0,11.0,73,2017-02-21 17:38:46.380,34
16.0,56.0,117,2017-01-18 20:55:44.557,0
16.0,58.0,117,2017-01-18 21:12:13.483,0
16.0,16.0,117,2017-01-18 21:41:20.350,0
,,113,2017-01-18 20:55:47.317,0
,225.0,113,2017-02-10 12:47:52.997,22
225.0,,113,2017-02-10 13:03:30.080,22
123.0,132.0,119,2017-01-18 20:56:30.330,0
90.0,,40,2017-01-18 21:25:58.270,0
90.0,90.0,40,2017-01-18 21:27:56.063,0
90.0,220.0,40,2017-02-15 01:15:42.353,27
143.0,29.0,131,2017-01-18 21:35:11.327,0
29.0,143.0,131,2017-01-18 21:39:33.137,0
92.0,92.0,134,2017-01-18 21:54:12.020,0
92.0,633.0,134,2017-02-27 16:12:08.400,39
