QId,PostUserId,RespondUserId,Time,days
1,3.0,31.0,2017-02-06 02:34:51.677,18
2,17.0,80.0,2017-01-18 18:44:11.057,0
3,16.0,85.0,2017-01-18 19:30:30.890,0
4,10.0,71.0,2017-01-18 18:38:21.383,0
4,10.0,11.0,2017-01-18 18:51:22.910,0
5,17.0,71.0,2017-01-19 19:55:50.723,1
6,32.0,9.0,2017-01-18 17:59:48.827,0
6,32.0,40.0,2017-01-18 18:06:06.617,0
9,29.0,17.0,2017-01-18 20:33:35.563,0
12,58.0,123.0,2017-01-18 22:32:10.827,0
13,56.0,39.0,2017-01-18 18:07:52.647,0
14,44.0,37.0,2017-01-18 18:29:23.097,0
14,44.0,17.0,2017-01-21 18:52:42.163,3
15,65.0,85.0,2017-01-18 18:25:22.553,0
15,65.0,168.0,2017-01-19 01:02:01.190,0
18,58.0,72.0,2017-01-19 02:21:49.690,0
21,76.0,71.0,2017-01-18 18:17:25.177,0
21,76.0,17.0,2017-01-18 18:18:55.687,0
23,72.0,72.0,2017-01-18 18:43:00.913,0
24,58.0,56.0,2017-01-18 18:19:15.807,0
25,80.0,255.0,2017-03-19 19:49:33.547,60
28,39.0,72.0,2017-01-18 18:55:15.090,0
28,39.0,65.0,2017-01-18 22:03:45.387,0
40,90.0,156.0,2017-01-19 02:43:53.373,0
40,90.0,132.0,2017-02-14 23:12:33.873,27
43,80.0,922.0,2017-03-10 23:35:35.250,51
44,92.0,72.0,2017-01-18 19:08:16.993,0
46,97.0,9.0,2017-01-18 19:25:16.970,0
47,85.0,72.0,2017-01-18 19:27:18.073,0
47,85.0,67.0,2017-01-18 19:36:31.503,0
49,31.0,481.0,2017-02-12 02:13:33.753,24
50,56.0,62.0,2017-01-18 19:32:07.293,0
50,56.0,72.0,2017-01-18 19:32:37.500,0
50,56.0,29.0,2017-01-18 19:35:29.340,0
50,56.0,139.0,2017-01-19 13:23:06.993,0
50,56.0,168.0,2017-01-19 13:56:06.913,0
50,56.0,610.0,2017-02-15 10:34:42.557,27
50,56.0,25.0,2017-07-11 22:48:50.080,174
53,97.0,37.0,2017-01-18 19:34:28.453,0
58,,,2017-01-18 19:40:03.947,0
58,,9.0,2017-01-18 19:41:07.923,0
60,31.0,,2017-01-19 19:32:51.987,1
61,58.0,72.0,2017-01-18 19:44:05.487,0
64,31.0,92.0,2017-01-18 20:03:47.787,0
64,31.0,17.0,2017-01-19 03:28:12.060,0
65,58.0,481.0,2017-02-13 19:26:53.767,26
67,37.0,72.0,2017-01-18 19:53:48.450,0
67,37.0,85.0,2017-01-18 19:56:24.840,0
67,37.0,922.0,2017-03-04 18:35:10.710,45
68,31.0,71.0,2017-01-18 20:01:27.697,0
71,123.0,17.0,2017-01-19 02:42:20.117,0
72,9.0,56.0,2017-01-18 19:59:25.277,0
72,9.0,67.0,2017-01-18 20:01:23.593,0
72,9.0,85.0,2017-01-18 20:05:17.097,0
73,112.0,104.0,2017-02-21 17:15:24.913,33
76,16.0,120.0,2017-03-24 21:33:56.180,65
77,31.0,84.0,2017-04-24 10:04:26.837,95
78,58.0,72.0,2017-01-19 00:44:43.117,0
81,123.0,85.0,2017-01-18 20:11:02.600,0
87,97.0,72.0,2017-01-18 20:13:17.997,0
87,97.0,67.0,2017-01-18 20:14:40.963,0
87,97.0,94.0,2017-01-18 20:15:57.047,0
87,97.0,9.0,2017-01-18 20:16:18.630,0
87,97.0,85.0,2017-01-18 20:16:38.837,0
87,97.0,92.0,2017-01-18 20:17:07.920,0
91,,72.0,2017-01-18 20:18:51.770,0
93,120.0,80.0,2017-01-18 20:27:01.940,0
99,123.0,85.0,2017-01-18 20:23:26.640,0
99,123.0,37.0,2017-01-18 20:24:26.267,0
