QId,PostUserId,Vote,Time,days
1.0,3.0,2,2017-01-18,0
1.0,3.0,2,2017-01-18,0
1.0,3.0,2,2017-01-18,0
1.0,3.0,2,2017-01-18,0
1.0,3.0,2,2017-01-18,0
2.0,17.0,2,2017-01-18,0
2.0,17.0,2,2017-01-18,0
2.0,17.0,2,2017-01-18,0
2.0,17.0,2,2017-01-18,0
3.0,16.0,2,2017-01-18,0
1.0,3.0,2,2017-01-18,0
2.0,17.0,2,2017-01-18,0
2.0,17.0,2,2017-01-18,0
5.0,17.0,2,2017-01-18,0
3.0,16.0,3,2017-01-18,0
2.0,17.0,3,2017-01-18,0
1.0,3.0,3,2017-01-18,0
4.0,10.0,3,2017-01-18,0
5.0,17.0,3,2017-01-18,0
2.0,17.0,2,2017-01-18,0
3.0,16.0,2,2017-01-18,0
5.0,17.0,2,2017-01-18,0
1.0,3.0,2,2017-01-18,0
4.0,10.0,2,2017-01-18,0
5.0,17.0,2,2017-01-18,0
3.0,16.0,2,2017-01-18,0
1.0,3.0,2,2017-01-18,0
2.0,17.0,2,2017-01-18,0
5.0,17.0,2,2017-01-18,0
4.0,10.0,2,2017-01-18,0
4.0,10.0,2,2017-01-18,0
3.0,16.0,2,2017-01-18,0
1.0,3.0,2,2017-01-18,0
2.0,17.0,2,2017-01-18,0
2.0,17.0,2,2017-01-18,0
6.0,32.0,2,2017-01-18,0
2.0,17.0,2,2017-01-18,0
1.0,3.0,2,2017-01-18,0
4.0,10.0,2,2017-01-18,0
5.0,17.0,2,2017-01-18,0
3.0,16.0,2,2017-01-18,0
6.0,32.0,2,2017-01-18,0
1.0,3.0,2,2017-01-18,0
1.0,3.0,2,2017-01-18,0
2.0,17.0,2,2017-01-18,0
4.0,10.0,2,2017-01-18,0
4.0,10.0,2,2017-01-18,0
5.0,17.0,2,2017-01-18,0
6.0,32.0,3,2017-01-18,0
6.0,32.0,3,2017-01-18,0
6.0,32.0,2,2017-01-18,0
5.0,17.0,2,2017-01-18,0
9.0,29.0,2,2017-01-18,0
