QId,RespondUserId,PostUserId,Time,days
1,10.0,8.0,2010-07-20 19:22:20.193,0
5,38.0,45.0,2010-07-20 19:21:52.240,0
6,41.0,97.0,2010-07-21 07:32:58.407,0
8,40.0,38.0,2010-07-20 19:23:54.230,0
11,41.0,8.0,2010-07-20 19:38:21.590,0
18,17.0,66.0,2010-07-20 20:16:01.453,0
20,54.0,38.0,2010-07-20 19:32:21.590,0
22,51.0,16.0,2010-07-20 19:40:39.277,0
29,54.0,775.0,2010-08-04 22:05:50.883,15
51,59.0,72.0,2010-07-20 20:48:24.463,0
57,44.0,106.0,2010-07-20 21:34:01.537,0
58,5.0,35.0,2010-07-20 19:51:24.680,0
59,24.0,63.0,2010-07-20 19:47:26.950,0
67,48.0,16.0,2010-07-20 19:52:31.587,0
71,34.0,35.0,2010-07-20 19:57:51.043,0
74,33.0,205.0,2010-07-30 22:04:55.433,10
75,37.0,16.0,2010-07-20 19:58:48.127,0
77,24.0,51.0,2010-07-20 20:05:31.633,0
83,24.0,50.0,2010-07-20 20:10:38.563,0
97,92.0,498.0,2010-07-30 11:08:58.043,9
98,76.0,50.0,2010-07-20 20:38:30.527,0
101,44.0,11.0,2010-07-20 20:38:04.910,0
107,73.0,439.0,2010-07-29 15:21:26.037,8
112,82.0,51.0,2010-07-20 21:02:32.183,0
113,66.0,30.0,2010-07-20 21:25:30.033,0
118,104.0,51.0,2010-07-20 21:19:03.680,0
120,106.0,51.0,2010-07-20 21:11:24.393,0
128,536.0,448.0,2010-07-29 16:10:13.567,8
135,106.0,113.0,2010-07-20 21:38:34.720,0
136,51.0,73.0,2010-07-20 23:27:10.833,0
139,73.0,120.0,2010-07-20 23:09:57.103,0
150,51.0,31.0,2010-07-20 22:07:02.073,0
154,113.0,122.0,2010-07-20 22:42:01.277,0
155,31.0,76.0,2010-07-20 22:34:58.367,0
162,51.0,96.0,2010-07-20 22:47:54.220,0
164,73.0,76.0,2010-07-20 23:15:55.393,0
185,124.0,16.0,2010-07-20 23:48:51.560,0
187,76.0,467.0,2010-08-04 04:59:26.443,14
194,129.0,114.0,2010-07-20 23:55:54.543,0
196,104.0,59.0,2010-07-21 01:34:37.700,0
201,51.0,,2010-07-21 00:24:29.570,0
206,85.0,8.0,2010-07-21 04:19:29.520,0
213,99.0,16.0,2010-07-22 14:45:31.017,1
234,123.0,172.0,2010-07-22 18:33:41.163,1
237,106.0,123.0,2010-07-21 02:43:53.087,0
240,145.0,413.0,2010-08-06 01:54:45.447,16
255,106.0,145.0,2010-07-21 05:13:12.447,0
