PostUserId,RespondUserId,QId,Time,days
54.0,35.0,20,2010-07-20 19:29:17.900,0
54.0,54.0,20,2010-07-20 19:40:13.363,0
54.0,536.0,20,2010-07-20 23:17:43.797,0
54.0,89.0,20,2010-07-29 19:45:01.703,9
17.0,56.0,18,2010-07-20 19:37:22.450,0
17.0,17.0,18,2010-07-20 19:47:42.350,0
17.0,76.0,18,2010-07-20 20:16:31.763,0
17.0,66.0,18,2010-07-20 20:21:39.647,0
17.0,17.0,18,2010-07-20 20:23:47.723,0
17.0,82.0,18,2010-07-20 20:24:07.550,0
17.0,17.0,18,2010-07-20 20:26:26.950,0
24.0,38.0,59,2010-07-20 19:44:58.843,0
24.0,35.0,59,2010-07-20 19:50:02.110,0
24.0,24.0,59,2010-07-20 19:57:45.990,0
59.0,49.0,51,2010-07-20 19:48:09.820,0
49.0,59.0,51,2010-07-20 19:51:10.110,0
29.0,28.0,3,2010-07-20 19:48:34.017,0
29.0,69.0,3,2010-07-20 20:35:15.760,0
29.0,108.0,3,2010-07-20 21:15:08.763,0
33.0,56.0,74,2010-07-20 19:57:49.080,0
33.0,96.0,74,2010-07-20 21:21:17.863,0
33.0,33.0,74,2010-07-21 05:27:12.003,0
33.0,123.0,74,2010-07-22 13:37:35.783,1
33.0,123.0,74,2010-07-22 21:41:23.200,2
123.0,33.0,74,2010-11-05 17:08:57.377,107
79.0,92.0,81,2010-07-20 20:21:50.440,0
79.0,79.0,81,2010-07-20 20:51:47.547,0
92.0,122.0,81,2010-07-21 08:07:55.233,0
79.0,56.0,81,2010-07-22 14:43:03.863,1
92.0,66.0,97,2010-07-20 20:26:30.850,0
92.0,92.0,97,2010-07-20 20:49:34.353,0
92.0,832.0,97,2010-08-28 01:25:04.530,38
92.0,498.0,97,2010-08-29 23:07:34.960,40
44.0,28.0,101,2010-07-20 20:33:28.633,0
44.0,38.0,101,2010-07-20 20:33:59.883,0
44.0,44.0,101,2010-07-20 20:37:03.587,0
44.0,92.0,101,2010-07-20 21:05:45.203,0
44.0,168.0,101,2010-07-22 05:06:17.013,1
73.0,51.0,107,2010-07-20 20:53:53.033,0
73.0,99.0,107,2010-07-23 21:52:15.263,3
73.0,73.0,107,2010-07-23 22:29:01.617,3
73.0,205.0,107,2010-07-29 15:54:15.650,8
73.0,89.0,107,2010-07-29 16:38:33.807,8
82.0,92.0,112,2010-07-20 20:56:12.340,0
66.0,49.0,113,2010-07-20 20:59:30.320,0
66.0,66.0,113,2010-07-20 21:00:21.830,0
66.0,50.0,113,2010-07-20 21:04:44.067,0
66.0,76.0,113,2010-07-20 21:18:47.503,0
66.0,66.0,113,2010-07-20 21:25:46.383,0
66.0,35.0,113,2010-07-20 22:18:36.230,0
106.0,30.0,135,2010-07-20 21:38:41.490,0
106.0,71.0,135,2010-07-20 21:40:59.853,0
71.0,11.0,135,2010-07-20 21:48:14.737,0
106.0,113.0,135,2010-07-21 14:14:59.460,0
106.0,167.0,135,2010-07-21 14:40:10.350,0
106.0,92.0,135,2010-07-23 11:44:54.263,2
106.0,205.0,135,2010-07-30 20:40:12.833,10
73.0,536.0,139,2010-07-20 21:40:43.317,0
51.0,31.0,136,2010-07-20 21:42:05.720,0
51.0,8.0,136,2010-07-20 21:42:45.487,0
536.0,82.0,128,2010-07-20 21:47:26.327,0
536.0,76.0,128,2010-07-20 22:17:26.980,0
536.0,536.0,128,2010-07-20 23:16:17.967,0
536.0,76.0,128,2010-07-21 00:08:11.023,0
536.0,25.0,128,2010-07-21 01:14:18.887,0
536.0,536.0,128,2010-07-21 01:34:13.317,0
536.0,76.0,128,2010-07-22 06:14:37.250,1
31.0,8.0,155,2010-07-20 22:25:41.387,0
31.0,35.0,155,2010-07-20 22:33:20.397,0
31.0,76.0,155,2010-07-20 22:37:31.797,0
31.0,9.0,155,2010-07-20 23:02:21.623,0
73.0,35.0,164,2010-07-20 23:12:16.787,0
73.0,104.0,164,2010-07-20 23:44:02.507,0
114.0,35.0,177,2010-07-20 23:18:46.730,0
35.0,108.0,177,2010-07-21 17:42:56.347,0
114.0,35.0,177,2010-07-21 22:00:34.497,1
124.0,51.0,185,2010-07-20 23:47:17.900,0
124.0,16.0,185,2010-07-21 05:52:44.877,0
51.0,51.0,201,2010-07-21 00:12:55.507,0
51.0,,201,2010-07-21 00:18:53.343,0
51.0,59.0,201,2010-07-21 00:40:00.507,0
51.0,,201,2010-07-21 00:44:27.300,0
51.0,130.0,201,2010-07-21 14:11:05.427,0
51.0,89.0,201,2010-07-21 20:13:39.373,1
51.0,51.0,201,2010-07-22 02:03:27.793,1
51.0,496.0,201,2010-09-25 05:00:19.093,66
85.0,,206,2010-07-21 00:16:33.080,0
85.0,85.0,206,2010-07-21 00:25:18.570,0
85.0,85.0,206,2010-07-21 00:37:27.783,0
85.0,73.0,206,2010-07-21 00:39:21.287,0
85.0,85.0,206,2010-07-21 00:44:10.857,0
85.0,123.0,206,2010-07-21 00:49:13.110,0
123.0,59.0,206,2010-07-21 00:54:22.787,0
85.0,73.0,206,2010-07-21 01:14:08.217,0
85.0,,206,2010-07-21 02:46:43.830,0
85.0,89.0,206,2010-07-21 08:56:58.623,0
89.0,85.0,206,2010-07-21 19:59:48.800,1
85.0,100.0,206,2010-07-22 09:45:42.230,1
1778.0,85.0,206,2010-07-22 10:38:35.297,1
129.0,536.0,194,2010-07-21 00:23:24.567,0
129.0,56.0,194,2010-07-21 07:38:22.603,0
62.0,,220,2010-07-21 01:10:31.300,0
62.0,145.0,220,2010-07-21 08:02:07.213,0
62.0,62.0,220,2010-07-21 21:55:47.180,1
62.0,73.0,220,2010-07-24 18:47:21.420,3
62.0,99.0,220,2010-07-25 01:15:52.977,4
62.0,232.0,220,2010-07-29 18:09:58.943,8
62.0,62.0,220,2010-08-01 07:23:20.157,11
135.0,73.0,228,2010-07-21 01:31:49.640,0
135.0,,228,2010-07-21 01:33:15.130,0
135.0,31.0,228,2010-07-21 16:50:34.463,0
135.0,135.0,228,2010-07-28 00:53:24.700,7
135.0,135.0,228,2010-07-21 01:55:04.623,0
106.0,96.0,237,2010-07-21 02:37:23.803,0
106.0,106.0,237,2010-07-21 04:49:59.240,0
123.0,19.0,234,2010-07-21 03:07:26.430,0
123.0,19.0,234,2010-07-21 03:23:05.867,0
19.0,123.0,234,2010-07-21 03:24:19.847,0
123.0,73.0,234,2010-07-21 03:49:42.443,0
123.0,136.0,234,2010-07-21 04:05:50.763,0
123.0,123.0,234,2010-07-22 21:23:08.763,2
51.0,121.0,150,2010-07-21 03:50:41.070,0
117.0,8.0,198,2010-07-21 05:21:10.157,0
4379.0,100.0,198,2010-07-21 08:25:58.840,0
76.0,123.0,187,2010-07-21 06:15:38.653,0
76.0,232.0,187,2010-07-28 07:45:30.540,7
76.0,76.0,187,2010-08-05 23:08:45.837,16
122.0,76.0,275,2010-07-21 07:17:57.037,0
122.0,396.0,275,2010-07-28 22:03:24.907,8
97.0,122.0,287,2010-07-21 08:16:32.763,0
26.0,,303,2010-07-21 10:12:48.323,0
26.0,26.0,303,2010-07-21 10:49:00.287,0
106.0,92.0,283,2010-07-21 12:06:02.620,0
106.0,121.0,283,2010-07-23 17:05:09.863,2
106.0,51.0,283,2010-07-23 20:49:48.610,3
106.0,106.0,283,2010-07-24 02:37:41.760,3
56.0,536.0,311,2010-07-21 12:36:10.063,0
56.0,56.0,311,2010-07-21 12:38:57.763,0
56.0,56.0,311,2010-07-21 12:40:09.647,0
56.0,536.0,311,2010-07-21 13:34:58.930,0
84.0,121.0,326,2010-07-21 13:20:04.443,0
84.0,64.0,326,2010-07-21 14:15:09.443,0
84.0,35.0,326,2010-07-21 16:37:44.760,0
84.0,73.0,326,2010-07-21 16:51:41.780,0
149.0,100.0,329,2010-07-21 13:59:20.120,0
149.0,73.0,329,2010-07-21 14:36:31.437,0
122.0,45.0,356,2010-07-21 16:47:48.943,0
122.0,96.0,356,2010-07-21 16:54:18.407,0
122.0,122.0,356,2010-07-21 16:56:33.490,0
122.0,122.0,356,2010-07-21 16:57:49.570,0
122.0,76.0,356,2010-07-21 17:02:57.800,0
122.0,536.0,356,2010-07-21 17:04:02.197,0
