PostUserId,RespondUserId,QId,Time,days
8.0,16.0,1,2010-07-20 19:26:09.357,0
38.0,40.0,8,2010-07-20 19:27:07.983,0
38.0,55.0,8,2010-07-20 19:28:16.077,0
38.0,40.0,8,2010-07-20 19:32:12.010,0
38.0,55.0,8,2010-07-20 19:41:44.767,0
56.0,35.0,22,2010-07-20 19:36:22.330,0
56.0,51.0,22,2010-07-20 19:54:58.820,0
56.0,56.0,22,2010-07-20 19:56:42.483,0
56.0,51.0,22,2010-07-20 20:51:27.623,0
56.0,113.0,22,2010-07-20 21:43:38.903,0
56.0,51.0,22,2010-07-20 21:46:46.657,0
56.0,56.0,22,2010-07-21 08:10:31.373,0
49.0,49.0,1,2010-07-20 19:37:46.820,0
49.0,120.0,1,2010-07-20 23:03:05.240,0
38.0,56.0,20,2010-07-20 19:38:37.830,0
38.0,38.0,20,2010-07-20 19:40:56.577,0
38.0,72.0,20,2010-07-20 19:42:52.813,0
38.0,56.0,20,2010-07-20 19:49:49.287,0
38.0,16.0,20,2010-07-20 20:06:06.343,0
38.0,,20,2010-07-21 23:20:11.080,1
38.0,38.0,20,2010-07-22 01:03:29.507,1
38.0,,20,2010-07-22 01:12:10.190,1
38.0,85.0,20,2010-07-22 01:13:42.140,1
38.0,,20,2010-07-22 01:30:01.663,1
38.0,72.0,20,2010-07-22 04:18:54.073,1
38.0,54.0,20,2010-07-22 09:01:40.337,1
38.0,73.0,20,2010-07-24 15:37:14.237,3
38.0,54.0,20,2010-07-26 12:30:58.220,5
38.0,73.0,20,2010-07-26 15:32:04.613,5
37.0,77.0,58,2010-07-20 19:49:03.297,0
8.0,44.0,57,2010-07-20 19:55:10.427,0
56.0,28.0,11,2010-07-20 20:03:12.640,0
1216.0,56.0,11,2010-07-20 20:12:45.330,0
1216.0,56.0,11,2010-07-20 20:17:07.193,0
56.0,31.0,11,2010-07-20 21:15:00.573,0
56.0,56.0,11,2010-07-20 21:18:19.657,0
1216.0,105.0,11,2010-07-21 04:58:59.180,0
105.0,56.0,11,2010-07-21 07:21:39.370,0
56.0,16.0,51,2010-07-20 20:03:36.740,0
16.0,77.0,75,2010-07-20 20:04:09.313,0
