QId,PostUserId,Time,days
1,10.0,2010-07-20 19:09:27.200,0
3,29.0,2010-07-20 19:12:14.353,0
5,38.0,2010-07-20 19:18:01.250,0
6,41.0,2010-07-20 19:20:00.543,0
8,40.0,2010-07-20 19:22:12.190,0
11,41.0,2010-07-20 19:23:09.117,0
18,17.0,2010-07-20 19:24:34.823,0
20,54.0,2010-07-20 19:25:09.563,0
22,51.0,2010-07-20 19:25:58.483,0
29,54.0,2010-07-20 19:27:09.700,0
51,59.0,2010-07-20 19:39:11.557,0
56,63.0,2010-07-20 19:41:55.687,0
57,44.0,2010-07-20 19:42:33.500,0
58,5.0,2010-07-20 19:43:20.457,0
59,24.0,2010-07-20 19:43:30.097,0
67,48.0,2010-07-20 19:49:29.490,0
71,34.0,2010-07-20 19:52:14.927,0
74,33.0,2010-07-20 19:54:33.893,0
75,37.0,2010-07-20 19:55:05.293,0
77,24.0,2010-07-20 19:57:06.617,0
81,79.0,2010-07-20 20:01:55.013,0
83,24.0,2010-07-20 20:04:20.733,0
90,34.0,2010-07-20 20:11:37.703,0
97,92.0,2010-07-20 20:20:22.223,0
98,76.0,2010-07-20 20:21:33.407,0
101,44.0,2010-07-20 20:30:39.280,0
107,73.0,2010-07-20 20:38:57.700,0
112,82.0,2010-07-20 20:51:07.517,0
113,66.0,2010-07-20 20:56:33.853,0
118,104.0,2010-07-20 21:06:33.610,0
120,106.0,2010-07-20 21:08:29.207,0
123,108.0,2010-07-20 21:14:07.827,0
128,536.0,2010-07-20 21:20:16.380,0
135,106.0,2010-07-20 21:34:29.273,0
136,51.0,2010-07-20 21:36:40.990,0
139,73.0,2010-07-20 21:38:38.840,0
150,51.0,2010-07-20 22:04:21.640,0
154,113.0,2010-07-20 22:17:36.010,0
155,31.0,2010-07-20 22:17:38.477,0
162,51.0,2010-07-20 22:34:36.637,0
164,73.0,2010-07-20 22:36:56.010,0
177,114.0,2010-07-20 23:10:36.897,0
185,124.0,2010-07-20 23:34:22.990,0
187,76.0,2010-07-20 23:38:48.037,0
194,129.0,2010-07-20 23:49:17.660,0
196,104.0,2010-07-20 23:50:41.403,0
198,117.0,2010-07-20 23:54:20.210,0
201,51.0,2010-07-21 00:01:59.303,0
206,85.0,2010-07-21 00:12:32.950,0
213,99.0,2010-07-21 00:34:22.937,0
220,62.0,2010-07-21 00:56:14.780,0
228,135.0,2010-07-21 01:27:27.687,0
234,123.0,2010-07-21 02:11:36.817,0
237,106.0,2010-07-21 02:31:40.650,0
240,145.0,2010-07-21 03:19:46.880,0
250,145.0,2010-07-21 04:24:20.250,0
255,106.0,2010-07-21 05:00:09.020,0
262,102.0,2010-07-21 05:42:01.433,0
271,31.0,2010-07-21 06:29:43.507,0
275,122.0,2010-07-21 07:12:50.247,0
283,106.0,2010-07-21 07:42:33.560,0
287,97.0,2010-07-21 07:53:17.747,0
297,59.0,2010-07-21 08:41:58.600,0
301,100.0,2010-07-21 08:59:10.337,0
303,26.0,2010-07-21 09:33:20.273,0
307,26.0,2010-07-21 11:23:38.983,0
309,172.0,2010-07-21 12:16:11.880,0
311,56.0,2010-07-21 12:30:36.140,0
316,73.0,2010-07-21 12:47:23.143,0
324,123.0,2010-07-21 13:09:57.197,0
326,84.0,2010-07-21 13:17:16.040,0
329,149.0,2010-07-21 13:28:20.443,0
336,59.0,2010-07-21 13:58:48.657,0
350,180.0,2010-07-21 15:58:51.407,0
356,122.0,2010-07-21 16:42:55.237,0
362,76.0,2010-07-21 17:12:50.780,0
365,45.0,2010-07-21 18:11:33.560,0
368,38.0,2010-07-21 19:18:25.310,1
370,179.0,2010-07-21 19:27:09.313,1
375,174.0,2010-07-21 19:43:27.840,1
