QId,PostUserId,RespondUserId,Time,days
1,10.0,8.0,2010-07-20 19:22:20.193,0
1,10.0,35.0,2010-07-20 19:23:17.570,0
1,10.0,33.0,2010-07-20 19:23:20.317,0
1,10.0,49.0,2010-07-20 19:29:54.777,0
1,10.0,25.0,2010-07-20 19:40:38.467,0
1,10.0,39.0,2010-07-20 19:49:51.500,0
1,10.0,99.0,2010-07-22 20:45:36.930,2
1,10.0,,2010-08-14 10:40:09.497,24
3,29.0,31.0,2010-07-20 19:14:10.603,0
3,29.0,96.0,2010-07-20 21:31:44.030,0
3,29.0,247.0,2010-07-28 17:30:41.997,7
3,29.0,247.0,2010-07-28 17:38:48.037,7
5,38.0,45.0,2010-07-20 19:21:52.240,0
5,38.0,48.0,2010-07-20 19:23:50.563,0
5,38.0,226.0,2010-08-10 17:49:48.213,20
5,38.0,1102.0,2011-01-06 04:06:46.167,169
5,38.0,242.0,2011-01-06 06:56:00.943,169
5,38.0,,2011-01-06 17:56:29.533,169
6,41.0,16.0,2010-07-20 19:23:21.220,0
6,41.0,97.0,2010-07-21 07:32:58.407,0
8,40.0,38.0,2010-07-20 19:23:54.230,0
8,40.0,53.0,2010-07-20 19:26:16.643,0
8,40.0,55.0,2010-07-20 19:26:38.187,0
8,40.0,173.0,2010-07-21 12:59:08.067,0
8,40.0,334.0,2010-07-28 09:21:32.260,7
8,40.0,160.0,2010-07-28 09:52:46.637,7
11,41.0,38.0,2010-07-20 19:27:38.963,0
11,41.0,56.0,2010-07-20 19:27:39.433,0
11,41.0,19.0,2010-07-20 19:32:44.553,0
11,41.0,35.0,2010-07-20 19:34:26.857,0
11,41.0,52.0,2010-07-20 19:35:09.227,0
11,41.0,8.0,2010-07-20 19:38:21.590,0
11,41.0,3.0,2010-07-20 19:45:14.633,0
11,41.0,84.0,2010-07-20 20:10:04.057,0
11,41.0,92.0,2010-07-20 20:48:39.627,0
11,41.0,72.0,2010-07-20 21:02:52.433,0
11,41.0,2263.0,2010-07-20 23:44:38.403,0
11,41.0,99.0,2010-07-23 00:33:32.400,2
