QId,PostUserId,Vote,Time,days
154.0,113.0,2,2010-07-21,1
154.0,113.0,2,2010-07-21,1
5.0,38.0,2,2010-07-21,1
206.0,85.0,2,2010-07-21,1
198.0,117.0,2,2010-07-21,1
29.0,54.0,2,2010-07-21,1
139.0,73.0,2,2010-07-21,1
201.0,51.0,2,2010-07-21,1
201.0,51.0,2,2010-07-21,1
206.0,85.0,2,2010-07-21,1
201.0,51.0,2,2010-07-21,1
155.0,31.0,2,2010-07-21,1
155.0,31.0,2,2010-07-21,1
162.0,51.0,2,2010-07-21,1
1.0,10.0,2,2010-07-21,1
206.0,85.0,2,2010-07-21,1
206.0,85.0,2,2010-07-21,1
29.0,54.0,2,2010-07-21,1
206.0,85.0,2,2010-07-21,1
213.0,99.0,2,2010-07-21,1
164.0,73.0,2,2010-07-21,1
213.0,99.0,2,2010-07-21,1
194.0,129.0,2,2010-07-21,1
164.0,73.0,2,2010-07-21,1
213.0,99.0,2,2010-07-21,1
196.0,104.0,2,2010-07-21,1
228.0,135.0,2,2010-07-21,1
196.0,104.0,2,2010-07-21,1
51.0,59.0,2,2010-07-21,1
196.0,104.0,2,2010-07-21,1
107.0,73.0,2,2010-07-21,1
187.0,76.0,2,2010-07-21,1
234.0,123.0,2,2010-07-21,1
237.0,106.0,2,2010-07-21,1
237.0,106.0,2,2010-07-21,1
150.0,51.0,2,2010-07-21,1
237.0,106.0,2,2010-07-21,1
120.0,106.0,2,2010-07-21,1
150.0,51.0,2,2010-07-21,1
107.0,73.0,2,2010-07-21,1
250.0,145.0,2,2010-07-21,1
250.0,145.0,2,2010-07-21,1
250.0,145.0,2,2010-07-21,1
150.0,51.0,2,2010-07-21,1
240.0,145.0,2,2010-07-21,1
194.0,129.0,2,2010-07-21,1
250.0,145.0,2,2010-07-21,1
234.0,123.0,2,2010-07-21,1
196.0,104.0,3,2010-07-21,1
255.0,106.0,2,2010-07-21,1
198.0,117.0,3,2010-07-21,1
250.0,145.0,2,2010-07-21,1
255.0,106.0,2,2010-07-21,1
255.0,106.0,2,2010-07-21,1
255.0,106.0,2,2010-07-21,1
255.0,106.0,2,2010-07-21,1
250.0,145.0,2,2010-07-21,1
262.0,102.0,2,2010-07-21,1
262.0,102.0,2,2010-07-21,1
255.0,106.0,2,2010-07-21,1
262.0,102.0,2,2010-07-21,1
198.0,117.0,3,2010-07-21,1
262.0,102.0,2,2010-07-21,1
187.0,76.0,2,2010-07-21,1
113.0,66.0,2,2010-07-21,1
83.0,24.0,2,2010-07-21,1
262.0,102.0,2,2010-07-21,1
154.0,113.0,2,2010-07-21,1
271.0,31.0,2,2010-07-21,1
255.0,106.0,2,2010-07-21,1
120.0,106.0,2,2010-07-21,1
120.0,106.0,2,2010-07-21,1
213.0,99.0,2,2010-07-21,1
29.0,54.0,2,2010-07-21,1
118.0,104.0,2,2010-07-21,1
1.0,10.0,2,2010-07-21,1
