QId,RespondUserId,PostUserId,Time,days
1,5.0,29.0,2012-01-17 21:29:59.333,0
2,8.0,81.0,2012-01-17 22:46:10.240,0
3,5.0,13.0,2012-02-22 22:44:05.377,36
5,39.0,18.0,2012-01-18 14:54:55.980,0
6,37.0,47.0,2012-01-17 21:40:35.057,0
8,9.0,51.0,2012-01-17 21:52:38.563,0
16,44.0,51.0,2012-01-17 22:04:26.250,0
18,50.0,66.0,2012-01-19 08:05:35.713,1
22,37.0,8.0,2012-01-17 22:03:50.683,0
33,63.0,12.0,2012-01-17 22:54:41.613,0
36,12.0,81.0,2012-01-18 20:36:58.593,0
38,61.0,91.0,2012-01-17 22:56:11.750,0
40,50.0,12.0,2012-01-18 00:56:34.180,0
41,82.0,98.0,2012-01-18 13:09:50.507,0
43,89.0,13.0,2012-01-18 00:26:03.010,0
44,70.0,81.0,2012-01-17 23:02:39.057,0
52,95.0,46.0,2012-01-17 23:38:03.243,0
53,50.0,81.0,2012-01-17 23:52:33.220,0
61,7.0,99.0,2012-01-18 00:20:26.497,0
69,28.0,95.0,2012-01-18 00:46:00.043,0
71,103.0,12.0,2012-01-18 00:33:09.037,0
78,95.0,12.0,2012-01-18 00:40:40.087,0
87,103.0,95.0,2012-01-18 01:13:21.153,0
89,79.0,81.0,2012-01-18 01:47:14.500,0
96,52.0,103.0,2012-01-18 03:31:49.353,0
98,5.0,36.0,2012-01-18 03:44:37.870,0
104,7.0,13.0,2012-01-18 05:19:03.840,0
113,126.0,89.0,2012-01-18 12:54:35.600,0
116,103.0,31.0,2012-01-18 22:35:04.987,1
117,110.0,121.0,2012-02-01 19:09:07.127,14
119,103.0,81.0,2012-01-18 08:38:04.987,0
120,110.0,34.0,2012-01-18 07:56:27.930,0
121,129.0,81.0,2012-01-18 08:13:44.400,0
128,133.0,12.0,2012-01-18 09:30:04.237,0
130,70.0,81.0,2012-01-18 10:11:26.150,0
131,101.0,18.0,2012-01-18 10:31:46.363,0
134,101.0,34.0,2012-01-18 11:00:54.593,0
145,133.0,34.0,2012-01-18 12:01:11.920,0
