PostUserId,RespondUserId,QId,Time,days
39.0,91.0,5,2012-01-17 22:38:15.790,0
39.0,39.0,5,2012-01-17 22:52:47.247,0
82.0,50.0,41,2012-01-17 22:49:56.833,0
82.0,52.0,41,2012-01-17 22:53:01.773,0
82.0,82.0,41,2012-01-17 23:08:54.670,0
82.0,51.0,41,2012-01-17 23:09:52.027,0
82.0,82.0,41,2012-01-17 23:29:08.987,0
82.0,129.0,41,2012-03-07 08:13:50.937,49
12.0,34.0,36,2012-01-17 22:57:15.557,0
12.0,77.0,36,2012-01-17 23:11:21.853,0
12.0,12.0,36,2012-01-17 23:12:58.573,0
12.0,77.0,36,2012-01-17 23:20:55.643,0
12.0,95.0,36,2012-01-17 23:31:05.547,0
77.0,12.0,36,2012-01-18 00:14:15.940,0
12.0,16.0,36,2012-01-18 01:18:32.610,0
12.0,77.0,36,2012-01-18 01:22:27.537,0
70.0,82.0,44,2012-01-17 22:58:50.157,0
70.0,17.0,44,2012-01-17 23:00:11.293,0
70.0,17.0,44,2012-01-17 23:19:31.183,0
50.0,34.0,40,2012-01-17 23:06:39.650,0
50.0,50.0,40,2012-01-21 06:03:38.963,3
50.0,34.0,40,2012-01-24 01:37:34.253,6
44.0,95.0,16,2012-01-17 23:15:28.227,0
44.0,44.0,16,2012-01-18 11:43:16.017,0
9.0,95.0,8,2012-01-17 23:26:16.727,0
9.0,9.0,8,2012-01-17 23:27:54.757,0
9.0,95.0,8,2012-01-17 23:31:40.773,0
103.0,50.0,71,2012-01-18 00:32:13.123,0
28.0,103.0,69,2012-01-18 00:41:16.933,0
28.0,28.0,69,2012-01-18 11:46:41.627,0
103.0,50.0,87,2012-01-18 01:12:54.057,0
103.0,95.0,87,2012-01-18 02:05:10.163,0
103.0,17.0,87,2012-01-18 23:27:25.493,1
17.0,103.0,87,2012-01-18 23:33:06.530,1
79.0,95.0,89,2012-01-18 01:25:00.603,0
104.0,104.0,75,2012-01-18 01:28:52.863,0
5.0,95.0,98,2012-01-18 02:52:03.677,0
5.0,81.0,98,2012-01-18 04:01:45.433,0
5.0,,98,2012-01-18 08:10:13.800,0
5.0,5.0,98,2012-01-18 10:00:53.167,0
8.0,13.0,92,2012-01-18 03:58:23.973,0
8.0,77.0,92,2012-01-18 06:43:51.877,0
77.0,8.0,92,2012-01-18 06:51:31.823,0
8.0,57.0,92,2012-01-18 11:12:20.200,0
8.0,77.0,92,2012-01-18 12:05:49.590,0
8.0,57.0,92,2012-01-18 12:13:30.273,0
8.0,61.0,92,2012-01-18 15:40:48.923,0
61.0,8.0,92,2012-01-18 20:06:25.043,0
8.0,61.0,92,2012-01-18 20:29:52.647,0
57.0,8.0,92,2012-01-20 23:03:10.663,3
8.0,121.0,92,2012-01-22 19:02:05.170,4
121.0,8.0,92,2012-01-22 21:54:18.483,5
52.0,34.0,96,2012-01-18 04:39:21.407,0
52.0,66.0,96,2012-01-18 09:57:45.423,0
34.0,12.0,96,2012-01-18 16:20:44.813,0
34.0,12.0,96,2012-01-18 16:21:26.233,0
34.0,50.0,96,2012-01-21 02:10:05.630,3
95.0,103.0,97,2012-01-18 05:31:35.057,0
95.0,95.0,97,2012-01-18 05:32:42.960,0
95.0,95.0,97,2012-01-18 05:40:07.300,0
95.0,103.0,97,2012-01-18 06:02:42.277,0
95.0,95.0,97,2012-01-18 06:05:29.507,0
95.0,103.0,97,2012-01-18 06:07:31.970,0
95.0,103.0,97,2012-01-18 06:13:22.773,0
95.0,245.0,97,2012-02-20 00:35:54.770,33
126.0,95.0,113,2012-01-18 05:50:07.520,0
126.0,126.0,113,2012-01-18 05:55:34.540,0
126.0,95.0,113,2012-01-18 05:56:04.630,0
126.0,126.0,113,2012-01-18 06:04:32.283,0
126.0,95.0,113,2012-01-18 06:06:38.970,0
126.0,89.0,113,2012-01-18 12:16:38.627,0
103.0,50.0,116,2012-01-18 07:02:07.623,0
103.0,13.0,116,2012-01-18 07:12:58.620,0
110.0,34.0,120,2012-01-18 07:49:33.103,0
110.0,110.0,120,2012-01-18 07:54:24.393,0
110.0,34.0,120,2012-01-18 07:57:39.323,0
133.0,50.0,128,2012-01-18 09:09:11.613,0
133.0,50.0,128,2012-01-18 09:10:17.587,0
133.0,50.0,128,2012-01-18 09:13:06.927,0
133.0,34.0,128,2012-01-18 09:29:54.093,0
133.0,133.0,128,2012-01-18 09:32:20.873,0
34.0,133.0,128,2012-01-18 09:35:59.403,0
101.0,57.0,134,2012-01-18 10:30:41.203,0
101.0,50.0,134,2012-01-18 10:36:00.117,0
101.0,34.0,134,2012-01-18 12:34:52.767,0
101.0,34.0,134,2012-01-19 22:42:11.257,2
58.0,79.0,140,2012-01-18 11:19:52.933,0
58.0,58.0,140,2012-01-18 12:08:08.423,0
58.0,79.0,140,2012-01-18 12:17:07.053,0
58.0,12.0,140,2012-01-18 12:23:01.193,0
58.0,12.0,140,2012-01-18 17:39:36.230,0
133.0,50.0,145,2012-01-18 11:30:30.650,0
133.0,133.0,145,2012-01-18 11:34:27.290,0
133.0,50.0,145,2012-01-18 11:34:32.453,0
133.0,50.0,145,2012-01-18 11:36:05.760,0
133.0,34.0,145,2012-01-18 11:43:47.183,0
133.0,133.0,145,2012-01-18 11:54:49.130,0
133.0,50.0,145,2012-01-18 12:00:28.683,0
5.0,50.0,1,2012-01-18 11:56:36.410,0
44.0,12.0,148,2012-01-18 12:12:39.307,0
44.0,51.0,148,2012-01-18 16:36:56.040,0
133.0,50.0,156,2012-01-18 13:30:23.233,0
133.0,38.0,156,2012-01-18 13:41:35.133,0
133.0,133.0,156,2012-01-18 13:46:11.070,0
133.0,16.0,156,2012-01-18 13:51:13.077,0
133.0,129.0,156,2012-01-18 17:07:28.623,0
133.0,133.0,156,2012-01-18 18:38:02.317,0
57.0,5.0,161,2012-01-18 14:53:56.027,0
57.0,57.0,161,2012-01-18 14:59:05.370,0
57.0,5.0,161,2012-01-18 15:02:13.533,0
57.0,12.0,161,2012-01-18 15:28:59.750,0
57.0,148.0,161,2012-01-18 16:01:58.203,0
57.0,148.0,161,2012-01-18 16:12:12.727,0
148.0,57.0,161,2012-01-18 16:21:51.490,0
148.0,61.0,161,2012-01-18 19:34:13.927,0
57.0,61.0,161,2012-01-18 19:43:41.257,0
57.0,46.0,161,2012-01-19 00:42:03.287,1
57.0,57.0,161,2012-01-19 14:03:29.897,1
129.0,16.0,164,2012-01-18 14:59:53.837,0
129.0,50.0,164,2012-01-18 15:00:41.590,0
16.0,129.0,164,2012-01-18 15:08:27.537,0
129.0,129.0,164,2012-01-18 15:11:51.853,0
129.0,12.0,164,2012-01-18 15:18:02.857,0
129.0,16.0,164,2012-01-18 15:19:26.040,0
129.0,129.0,164,2012-01-18 15:35:16.637,0
129.0,16.0,164,2012-01-18 16:06:11.067,0
12.0,57.0,167,2012-01-18 15:54:27.120,0
12.0,12.0,167,2012-01-18 16:02:04.533,0
12.0,12.0,167,2012-01-18 18:02:33.040,0
12.0,121.0,167,2012-01-22 07:01:37.907,4
121.0,12.0,167,2012-01-22 08:47:06.253,4
101.0,69.0,131,2012-01-18 16:29:09.467,0
69.0,101.0,131,2012-01-18 17:26:19.297,0
101.0,101.0,131,2012-01-18 17:33:58.010,0
101.0,95.0,131,2012-01-19 02:19:36.730,1
110.0,57.0,117,2012-01-18 16:40:06.920,0
110.0,137.0,117,2012-01-18 17:15:57.987,0
