QId,PostUserId,Time,days
1,5.0,2012-01-17 21:03:59.200,0
2,8.0,2012-01-17 21:10:34.680,0
3,5.0,2012-01-17 21:15:54.660,0
5,39.0,2012-01-17 21:23:32.817,0
6,37.0,2012-01-17 21:25:31.667,0
8,9.0,2012-01-17 21:28:21.207,0
16,44.0,2012-01-17 21:42:06.070,0
18,50.0,2012-01-17 21:51:01.890,0
22,37.0,2012-01-17 21:59:43.950,0
33,63.0,2012-01-17 22:29:28.037,0
36,12.0,2012-01-17 22:36:02.517,0
38,61.0,2012-01-17 22:40:54.180,0
40,50.0,2012-01-17 22:45:22.877,0
41,82.0,2012-01-17 22:46:02.857,0
43,89.0,2012-01-17 22:49:01.917,0
44,70.0,2012-01-17 22:50:28.983,0
52,95.0,2012-01-17 23:13:21.520,0
53,50.0,2012-01-17 23:27:20.203,0
61,7.0,2012-01-17 23:57:10.250,0
69,28.0,2012-01-18 00:22:53.240,0
71,103.0,2012-01-18 00:25:10.267,0
75,104.0,2012-01-18 00:29:23.280,0
78,95.0,2012-01-18 00:36:14.630,0
87,103.0,2012-01-18 01:09:29.680,0
89,79.0,2012-01-18 01:17:02.210,0
92,8.0,2012-01-18 02:13:47.467,0
96,52.0,2012-01-18 02:40:48.673,0
97,95.0,2012-01-18 02:40:50.700,0
98,5.0,2012-01-18 02:42:54.657,0
104,7.0,2012-01-18 04:39:46.967,0
113,126.0,2012-01-18 05:46:58.873,0
116,103.0,2012-01-18 06:38:51.763,0
117,110.0,2012-01-18 06:47:00.750,0
119,103.0,2012-01-18 06:52:43.287,0
120,110.0,2012-01-18 07:07:55.560,0
121,129.0,2012-01-18 07:14:47.187,0
128,133.0,2012-01-18 09:01:18.990,0
130,70.0,2012-01-18 09:55:41.347,0
131,101.0,2012-01-18 10:05:28.620,0
134,101.0,2012-01-18 10:13:25.147,0
140,58.0,2012-01-18 10:57:50.113,0
145,133.0,2012-01-18 11:23:52.877,0
148,44.0,2012-01-18 11:56:17.447,0
156,133.0,2012-01-18 13:16:46.313,0
157,89.0,2012-01-18 13:50:41.217,0
159,70.0,2012-01-18 14:10:20.650,0
161,57.0,2012-01-18 14:44:37.810,0
164,129.0,2012-01-18 14:54:27.297,0
167,12.0,2012-01-18 15:13:00.150,0
174,52.0,2012-01-18 17:17:21.337,0
180,140.0,2012-01-18 18:01:09.583,0
181,97.0,2012-01-18 18:03:46.740,0
186,57.0,2012-01-18 18:20:38.680,0
189,43.0,2012-01-18 18:37:24.330,0
192,63.0,2012-01-18 18:45:09.217,0
197,69.0,2012-01-18 19:02:50.963,0
198,89.0,2012-01-18 19:06:28.953,0
207,61.0,2012-01-18 20:18:26.443,0
210,12.0,2012-01-18 20:39:08.873,0
215,17.0,2012-01-18 21:09:05.940,1
216,12.0,2012-01-18 21:10:43.893,1
219,130.0,2012-01-18 21:48:28.743,1
226,126.0,2012-01-18 22:21:28.147,1
237,8.0,2012-01-19 02:29:44.670,1
