QId,PostUserId,Vote,Time,days
61.0,7.0,2,2012-01-18,1
2.0,8.0,2,2012-01-18,1
6.0,37.0,2,2012-01-18,1
41.0,82.0,2,2012-01-18,1
52.0,95.0,2,2012-01-18,1
61.0,7.0,2,2012-01-18,1
53.0,50.0,2,2012-01-18,1
22.0,37.0,2,2012-01-18,1
41.0,82.0,2,2012-01-18,1
41.0,82.0,2,2012-01-18,1
61.0,7.0,2,2012-01-18,1
71.0,103.0,2,2012-01-18,1
43.0,89.0,2,2012-01-18,1
43.0,89.0,2,2012-01-18,1
69.0,28.0,2,2012-01-18,1
75.0,104.0,2,2012-01-18,1
71.0,103.0,2,2012-01-18,1
75.0,104.0,2,2012-01-18,1
71.0,103.0,2,2012-01-18,1
71.0,103.0,2,2012-01-18,1
71.0,103.0,2,2012-01-18,1
75.0,104.0,2,2012-01-18,1
6.0,37.0,2,2012-01-18,1
53.0,50.0,2,2012-01-18,1
78.0,95.0,2,2012-01-18,1
78.0,95.0,2,2012-01-18,1
75.0,104.0,2,2012-01-18,1
78.0,95.0,2,2012-01-18,1
61.0,7.0,2,2012-01-18,1
61.0,7.0,2,2012-01-18,1
44.0,70.0,2,2012-01-18,1
69.0,28.0,2,2012-01-18,1
61.0,7.0,2,2012-01-18,1
78.0,95.0,2,2012-01-18,1
40.0,50.0,2,2012-01-18,1
78.0,95.0,2,2012-01-18,1
71.0,103.0,2,2012-01-18,1
69.0,28.0,2,2012-01-18,1
53.0,50.0,2,2012-01-18,1
75.0,104.0,2,2012-01-18,1
36.0,12.0,2,2012-01-18,1
87.0,103.0,2,2012-01-18,1
43.0,89.0,2,2012-01-18,1
87.0,103.0,2,2012-01-18,1
87.0,103.0,2,2012-01-18,1
6.0,37.0,2,2012-01-18,1
75.0,104.0,2,2012-01-18,1
87.0,103.0,2,2012-01-18,1
2.0,8.0,2,2012-01-18,1
5.0,39.0,2,2012-01-18,1
36.0,12.0,2,2012-01-18,1
89.0,79.0,2,2012-01-18,1
89.0,79.0,2,2012-01-18,1
89.0,79.0,2,2012-01-18,1
69.0,28.0,2,2012-01-18,1
75.0,104.0,2,2012-01-18,1
89.0,79.0,2,2012-01-18,1
43.0,89.0,2,2012-01-18,1
92.0,8.0,2,2012-01-18,1
92.0,8.0,2,2012-01-18,1
18.0,50.0,2,2012-01-18,1
89.0,79.0,2,2012-01-18,1
40.0,50.0,2,2012-01-18,1
71.0,103.0,2,2012-01-18,1
52.0,95.0,2,2012-01-18,1
96.0,52.0,2,2012-01-18,1
98.0,5.0,2,2012-01-18,1
96.0,52.0,2,2012-01-18,1
98.0,5.0,2,2012-01-18,1
40.0,50.0,2,2012-01-18,1
36.0,12.0,2,2012-01-18,1
98.0,5.0,2,2012-01-18,1
53.0,50.0,2,2012-01-18,1
98.0,5.0,2,2012-01-18,1
97.0,95.0,2,2012-01-18,1
97.0,95.0,2,2012-01-18,1
96.0,52.0,2,2012-01-18,1
96.0,52.0,2,2012-01-18,1
53.0,50.0,2,2012-01-18,1
69.0,28.0,2,2012-01-18,1
78.0,95.0,2,2012-01-18,1
16.0,44.0,2,2012-01-18,1
36.0,12.0,2,2012-01-18,1
1.0,5.0,2,2012-01-18,1
96.0,52.0,2,2012-01-18,1
96.0,52.0,2,2012-01-18,1
98.0,5.0,2,2012-01-18,1
98.0,5.0,2,2012-01-18,1
16.0,44.0,2,2012-01-18,1
96.0,52.0,2,2012-01-18,1
44.0,70.0,2,2012-01-18,1
98.0,5.0,2,2012-01-18,1
44.0,70.0,2,2012-01-18,1
92.0,8.0,2,2012-01-18,1
44.0,70.0,2,2012-01-18,1
71.0,103.0,2,2012-01-18,1
3.0,5.0,2,2012-01-18,1
5.0,39.0,2,2012-01-18,1
16.0,44.0,2,2012-01-18,1
1.0,5.0,2,2012-01-18,1
43.0,89.0,2,2012-01-18,1
2.0,8.0,2,2012-01-18,1
18.0,50.0,2,2012-01-18,1
78.0,95.0,2,2012-01-18,1
40.0,50.0,2,2012-01-18,1
22.0,37.0,2,2012-01-18,1
2.0,8.0,2,2012-01-18,1
104.0,7.0,2,2012-01-18,1
104.0,7.0,2,2012-01-18,1
96.0,52.0,2,2012-01-18,1
98.0,5.0,2,2012-01-18,1
16.0,44.0,2,2012-01-18,1
40.0,50.0,2,2012-01-18,1
104.0,7.0,2,2012-01-18,1
36.0,12.0,2,2012-01-18,1
104.0,7.0,2,2012-01-18,1
96.0,52.0,2,2012-01-18,1
40.0,50.0,2,2012-01-18,1
104.0,7.0,2,2012-01-18,1
104.0,7.0,2,2012-01-18,1
104.0,7.0,2,2012-01-18,1
61.0,7.0,2,2012-01-18,1
78.0,95.0,2,2012-01-18,1
61.0,7.0,2,2012-01-18,1
96.0,52.0,2,2012-01-18,1
78.0,95.0,2,2012-01-18,1
96.0,52.0,2,2012-01-18,1
40.0,50.0,2,2012-01-18,1
104.0,7.0,2,2012-01-18,1
71.0,103.0,2,2012-01-18,1
104.0,7.0,2,2012-01-18,1
96.0,52.0,2,2012-01-18,1
41.0,82.0,2,2012-01-18,1
71.0,103.0,2,2012-01-18,1
52.0,95.0,2,2012-01-18,1
41.0,82.0,2,2012-01-18,1
78.0,95.0,2,2012-01-18,1
116.0,103.0,2,2012-01-18,1
116.0,103.0,2,2012-01-18,1
119.0,103.0,2,2012-01-18,1
117.0,110.0,2,2012-01-18,1
61.0,7.0,2,2012-01-18,1
75.0,104.0,2,2012-01-18,1
119.0,103.0,2,2012-01-18,1
119.0,103.0,2,2012-01-18,1
121.0,129.0,2,2012-01-18,1
121.0,129.0,2,2012-01-18,1
43.0,89.0,2,2012-01-18,1
69.0,28.0,2,2012-01-18,1
1.0,5.0,2,2012-01-18,1
121.0,129.0,2,2012-01-18,1
96.0,52.0,2,2012-01-18,1
120.0,110.0,2,2012-01-18,1
116.0,103.0,2,2012-01-18,1
104.0,7.0,2,2012-01-18,1
16.0,44.0,2,2012-01-18,1
121.0,129.0,2,2012-01-18,1
119.0,103.0,2,2012-01-18,1
121.0,129.0,2,2012-01-18,1
75.0,104.0,2,2012-01-18,1
128.0,133.0,2,2012-01-18,1
119.0,103.0,2,2012-01-18,1
121.0,129.0,2,2012-01-18,1
96.0,52.0,2,2012-01-18,1
116.0,103.0,2,2012-01-18,1
128.0,133.0,2,2012-01-18,1
104.0,7.0,2,2012-01-18,1
116.0,103.0,2,2012-01-18,1
96.0,52.0,2,2012-01-18,1
104.0,7.0,2,2012-01-18,1
43.0,89.0,2,2012-01-18,1
128.0,133.0,2,2012-01-18,1
120.0,110.0,2,2012-01-18,1
130.0,70.0,2,2012-01-18,1
130.0,70.0,2,2012-01-18,1
3.0,5.0,2,2012-01-18,1
134.0,101.0,2,2012-01-18,1
18.0,50.0,2,2012-01-18,1
131.0,101.0,2,2012-01-18,1
131.0,101.0,2,2012-01-18,1
119.0,103.0,2,2012-01-18,1
119.0,103.0,2,2012-01-18,1
92.0,8.0,2,2012-01-18,1
18.0,50.0,2,2012-01-18,1
134.0,101.0,2,2012-01-18,1
78.0,95.0,2,2012-01-18,1
5.0,39.0,2,2012-01-18,1
16.0,44.0,2,2012-01-18,1
128.0,133.0,2,2012-01-18,1
131.0,101.0,2,2012-01-18,1
140.0,58.0,2,2012-01-18,1
130.0,70.0,2,2012-01-18,1
140.0,58.0,2,2012-01-18,1
140.0,58.0,2,2012-01-18,1
36.0,12.0,2,2012-01-18,1
131.0,101.0,2,2012-01-18,1
131.0,101.0,2,2012-01-18,1
130.0,70.0,2,2012-01-18,1
119.0,103.0,2,2012-01-18,1
145.0,133.0,2,2012-01-18,1
40.0,50.0,2,2012-01-18,1
1.0,5.0,2,2012-01-18,1
145.0,133.0,2,2012-01-18,1
148.0,44.0,2,2012-01-18,1
121.0,129.0,2,2012-01-18,1
148.0,44.0,2,2012-01-18,1
148.0,44.0,2,2012-01-18,1
148.0,44.0,2,2012-01-18,1
145.0,133.0,2,2012-01-18,1
148.0,44.0,2,2012-01-18,1
140.0,58.0,2,2012-01-18,1
145.0,133.0,2,2012-01-18,1
131.0,101.0,2,2012-01-18,1
148.0,44.0,2,2012-01-18,1
113.0,126.0,2,2012-01-18,1
36.0,12.0,2,2012-01-18,1
3.0,5.0,2,2012-01-18,1
116.0,103.0,2,2012-01-18,1
130.0,70.0,2,2012-01-18,1
156.0,133.0,2,2012-01-18,1
130.0,70.0,2,2012-01-18,1
33.0,63.0,2,2012-01-18,1
104.0,7.0,2,2012-01-18,1
148.0,44.0,2,2012-01-18,1
33.0,63.0,2,2012-01-18,1
157.0,89.0,2,2012-01-18,1
113.0,126.0,2,2012-01-18,1
131.0,101.0,2,2012-01-18,1
116.0,103.0,2,2012-01-18,1
128.0,133.0,2,2012-01-18,1
43.0,89.0,2,2012-01-18,1
161.0,57.0,2,2012-01-18,1
159.0,70.0,2,2012-01-18,1
117.0,110.0,2,2012-01-18,1
134.0,101.0,2,2012-01-18,1
156.0,133.0,2,2012-01-18,1
157.0,89.0,2,2012-01-18,1
97.0,95.0,2,2012-01-18,1
113.0,126.0,2,2012-01-18,1
161.0,57.0,2,2012-01-18,1
120.0,110.0,2,2012-01-18,1
87.0,103.0,2,2012-01-18,1
92.0,8.0,2,2012-01-18,1
140.0,58.0,2,2012-01-18,1
145.0,133.0,2,2012-01-18,1
8.0,9.0,2,2012-01-18,1
38.0,61.0,2,2012-01-18,1
89.0,79.0,2,2012-01-18,1
5.0,39.0,2,2012-01-18,1
33.0,63.0,2,2012-01-18,1
41.0,82.0,2,2012-01-18,1
44.0,70.0,2,2012-01-18,1
52.0,95.0,2,2012-01-18,1
156.0,133.0,2,2012-01-18,1
161.0,57.0,2,2012-01-18,1
130.0,70.0,2,2012-01-18,1
69.0,28.0,2,2012-01-18,1
116.0,103.0,2,2012-01-18,1
121.0,129.0,2,2012-01-18,1
3.0,5.0,2,2012-01-18,1
75.0,104.0,2,2012-01-18,1
119.0,103.0,2,2012-01-18,1
22.0,37.0,2,2012-01-18,1
78.0,95.0,2,2012-01-18,1
6.0,37.0,2,2012-01-18,1
40.0,50.0,2,2012-01-18,1
53.0,50.0,2,2012-01-18,1
16.0,44.0,2,2012-01-18,1
104.0,7.0,2,2012-01-18,1
96.0,52.0,2,2012-01-18,1
161.0,57.0,2,2012-01-18,1
131.0,101.0,2,2012-01-18,1
164.0,129.0,2,2012-01-18,1
161.0,57.0,2,2012-01-18,1
159.0,70.0,2,2012-01-18,1
164.0,129.0,2,2012-01-18,1
161.0,57.0,2,2012-01-18,1
145.0,133.0,2,2012-01-18,1
140.0,58.0,2,2012-01-18,1
131.0,101.0,2,2012-01-18,1
121.0,129.0,2,2012-01-18,1
96.0,52.0,2,2012-01-18,1
131.0,101.0,2,2012-01-18,1
145.0,133.0,2,2012-01-18,1
134.0,101.0,2,2012-01-18,1
164.0,129.0,2,2012-01-18,1
164.0,129.0,2,2012-01-18,1
161.0,57.0,2,2012-01-18,1
167.0,12.0,2,2012-01-18,1
161.0,57.0,2,2012-01-18,1
164.0,129.0,2,2012-01-18,1
140.0,58.0,2,2012-01-18,1
140.0,58.0,2,2012-01-18,1
104.0,7.0,2,2012-01-18,1
96.0,52.0,2,2012-01-18,1
134.0,101.0,2,2012-01-18,1
156.0,133.0,2,2012-01-18,1
131.0,101.0,3,2012-01-18,1
161.0,57.0,2,2012-01-18,1
134.0,101.0,2,2012-01-18,1
53.0,50.0,2,2012-01-18,1
53.0,50.0,2,2012-01-18,1
117.0,110.0,2,2012-01-18,1
174.0,52.0,2,2012-01-18,1
33.0,63.0,2,2012-01-18,1
117.0,110.0,2,2012-01-18,1
180.0,140.0,2,2012-01-18,1
119.0,103.0,2,2012-01-18,1
186.0,57.0,2,2012-01-18,1
117.0,110.0,2,2012-01-18,1
181.0,97.0,2,2012-01-18,1
181.0,97.0,2,2012-01-18,1
186.0,57.0,2,2012-01-18,1
180.0,140.0,2,2012-01-18,1
186.0,57.0,2,2012-01-18,1
157.0,89.0,2,2012-01-18,1
189.0,43.0,2,2012-01-18,1
167.0,12.0,2,2012-01-18,1
192.0,63.0,2,2012-01-18,1
92.0,8.0,2,2012-01-18,1
197.0,69.0,2,2012-01-18,1
197.0,69.0,2,2012-01-18,1
198.0,89.0,2,2012-01-18,1
98.0,5.0,2,2012-01-18,1
197.0,69.0,2,2012-01-18,1
189.0,43.0,2,2012-01-18,1
5.0,39.0,2,2012-01-18,1
53.0,50.0,2,2012-01-18,1
131.0,101.0,2,2012-01-18,1
197.0,69.0,2,2012-01-18,1
186.0,57.0,2,2012-01-18,1
180.0,140.0,2,2012-01-18,1
192.0,63.0,2,2012-01-18,1
131.0,101.0,2,2012-01-18,1
197.0,69.0,2,2012-01-18,1
145.0,133.0,2,2012-01-18,1
207.0,61.0,2,2012-01-18,1
167.0,12.0,2,2012-01-18,1
36.0,12.0,2,2012-01-18,1
18.0,50.0,2,2012-01-18,1
216.0,12.0,2,2012-01-18,1
210.0,12.0,2,2012-01-18,1
