QId,RespondUserId,PostUserId,Time,days
1,7.0,13.0,2010-11-02 19:15:20.813,0
2,23.0,71.0,2011-02-23 08:34:24.153,112
3,40.0,59.0,2010-11-03 21:11:52.053,1
7,23.0,78.0,2010-11-02 20:54:20.337,0
15,57.0,1236.0,2011-01-17 18:25:42.720,75
17,,42.0,2010-11-02 20:09:04.537,0
19,57.0,82.0,2010-11-02 20:53:01.300,0
21,,142.0,2010-11-13 01:38:40.830,10
24,70.0,272.0,2010-11-10 21:13:47.193,8
27,72.0,42.0,2010-11-02 20:21:45.097,0
29,77.0,56.0,2010-11-02 20:25:31.397,0
31,77.0,79.0,2010-11-02 20:51:29.503,0
35,75.0,,2010-11-02 20:39:35.933,0
37,76.0,353.0,2010-11-16 05:01:32.953,13
41,40.0,838.0,2010-12-21 02:17:49.827,48
49,,78.0,2010-11-10 16:59:58.837,7
52,4.0,,2010-11-02 21:32:29.757,0
62,82.0,82.0,2010-11-02 22:23:43.287,0
68,104.0,97.0,2010-11-02 22:50:57.147,0
71,29.0,59.0,2010-11-05 21:46:59.323,3
72,82.0,82.0,2010-11-02 22:46:27.527,0
75,104.0,,2011-01-14 05:34:11.240,72
78,4.0,29.0,2010-11-02 22:50:07.817,0
79,47.0,166.0,2010-11-13 03:06:09.493,10
83,29.0,166.0,2010-11-05 17:18:30.797,2
85,104.0,82.0,2010-11-02 23:08:28.433,0
89,71.0,20.0,2010-11-03 01:14:56.533,0
90,4.0,134.0,2010-11-03 10:50:46.967,0
93,71.0,124.0,2010-11-03 05:35:51.833,0
94,107.0,15.0,2010-11-04 20:18:46.267,2
98,112.0,82.0,2010-11-03 00:03:28.897,0
100,82.0,112.0,2010-11-03 00:35:39.267,0
101,82.0,15.0,2010-11-04 16:23:27.707,1
102,4.0,66.0,2010-11-03 07:18:32.080,0
111,82.0,29.0,2010-11-03 01:56:44.590,0
115,82.0,225.0,2010-11-12 02:15:34.303,9
122,71.0,124.0,2010-11-03 07:09:33.360,0
123,8.0,9624.0,2011-01-15 18:12:46.067,73
129,23.0,124.0,2010-11-03 07:36:18.657,0
134,56.0,82.0,2010-11-03 10:57:46.963,0
139,,520.0,2010-11-18 21:45:53.330,16
142,82.0,42.0,2010-11-03 15:01:02.880,0
145,66.0,82.0,2010-11-03 14:50:14.863,0
147,139.0,82.0,2010-11-03 14:11:11.810,0
156,7.0,,2010-11-03 16:52:11.147,0
159,4.0,82.0,2010-11-03 17:20:02.617,0
160,36.0,29.0,2010-11-04 22:21:28.517,2
167,74.0,78.0,2010-11-08 02:22:36.327,5
168,74.0,59.0,2010-11-03 21:29:10.653,1
173,48.0,13.0,2010-11-03 20:57:39.023,1
185,82.0,124.0,2010-11-04 05:16:32.427,1
186,41.0,124.0,2010-11-04 01:36:56.683,1
197,71.0,97.0,2010-11-04 06:49:45.187,1
202,71.0,74.0,2010-11-04 07:34:39.140,1
208,126.0,74.0,2010-11-04 10:37:01.557,1
214,,15.0,2010-11-04 14:29:24.650,1
217,,13.0,2010-11-04 13:24:01.467,1
236,7.0,124.0,2010-11-04 22:30:19.533,2
237,71.0,121.0,2010-11-04 23:31:22.353,2
239,71.0,15.0,2010-11-04 22:59:21.527,2
252,13.0,163.0,2010-11-05 05:05:42.753,2
257,82.0,59.0,2010-11-05 18:42:54.483,2
258,71.0,82.0,2010-11-05 00:41:03.683,2
268,139.0,,2010-11-05 11:51:58.950,2
