PostUserId,RespondUserId,QId,Time,days
20.0,13.0,1,2010-11-02 19:32:15.410,0
42.0,40.0,3,2010-11-02 19:36:55.263,0
42.0,42.0,3,2010-11-02 20:17:22.623,0
42.0,42.0,3,2010-11-03 14:55:21.480,0
42.0,42.0,3,2010-11-03 14:57:47.470,0
42.0,40.0,3,2010-11-03 20:17:51.867,1
42.0,42.0,3,2010-11-04 09:55:37.620,1
49.0,13.0,2,2010-11-02 19:40:24.413,0
49.0,42.0,2,2010-11-02 20:30:55.867,0
42.0,69.0,2,2010-11-03 00:39:20.480,0
49.0,124.0,2,2010-11-03 22:55:54.663,1
49.0,23.0,2,2010-11-04 16:34:53.037,1
62.0,57.0,19,2010-11-02 20:21:32.337,0
62.0,57.0,19,2010-11-02 20:25:52.753,0
62.0,82.0,19,2010-11-02 20:53:57.257,0
57.0,56.0,19,2010-11-02 20:57:07.113,0
62.0,124.0,19,2010-11-03 22:38:22.510,1
62.0,18.0,19,2010-11-03 23:57:00.063,1
79.0,82.0,31,2010-11-02 20:55:55.833,0
79.0,74.0,31,2010-11-04 05:18:44.093,1
79.0,127.0,31,2010-11-10 16:59:07.880,7
,82.0,35,2010-11-02 21:11:41.883,0
,,35,2010-11-02 21:21:08.737,0
,82.0,35,2010-11-02 21:24:17.733,0
,,35,2010-11-02 21:28:11.163,0
47.0,82.0,35,2010-11-02 21:15:19.960,0
,4.0,52,2010-11-02 21:40:41.123,0
,69.0,52,2010-11-02 21:53:54.107,0
69.0,4.0,52,2010-11-02 21:58:45.757,0
,50.0,52,2010-11-02 22:08:32.470,0
,,52,2010-11-02 22:09:04.843,0
,4.0,52,2010-11-02 22:10:30.520,0
,,52,2010-11-02 22:17:48.580,0
,4.0,52,2010-11-02 22:35:23.353,0
48.0,82.0,13,2010-11-02 21:58:11.060,0
13.0,82.0,62,2010-11-02 22:09:52.580,0
13.0,29.0,62,2010-11-02 22:11:37.200,0
13.0,13.0,62,2010-11-02 22:19:25.203,0
13.0,13.0,62,2010-11-02 22:20:49.337,0
13.0,82.0,62,2010-11-02 22:25:07.593,0
13.0,82.0,62,2010-11-02 22:28:44.207,0
13.0,13.0,62,2010-11-02 23:23:52.580,0
13.0,13.0,62,2010-11-08 02:35:09.233,5
47.0,,7,2010-11-02 22:15:00.453,0
47.0,66.0,7,2010-11-03 11:37:29.643,0
47.0,520.0,7,2010-12-02 02:22:30.537,29
97.0,70.0,24,2010-11-02 22:15:02.613,0
70.0,97.0,24,2010-11-02 22:19:16.440,0
97.0,70.0,24,2010-11-02 22:23:10.510,0
70.0,97.0,24,2010-11-02 22:31:37.380,0
97.0,373.0,24,2010-11-16 10:29:24.937,13
100.0,29.0,62,2010-11-02 22:19:18.643,0
82.0,82.0,62,2010-11-02 22:25:26.190,0
82.0,46.0,15,2010-11-02 22:40:35.910,0
82.0,82.0,15,2010-11-02 22:48:29.847,0
82.0,124.0,15,2010-11-03 05:50:10.743,0
82.0,353.0,15,2010-11-16 03:28:37.737,13
82.0,13.0,15,2010-11-20 20:32:59.260,18
82.0,1370.0,15,2011-01-20 19:53:42.777,79
82.0,1601.0,15,2011-01-26 13:34:51.077,84
29.0,82.0,62,2010-11-02 22:40:49.763,0
29.0,124.0,62,2010-11-03 05:42:00.250,0
29.0,520.0,62,2010-11-17 18:49:55.723,14
29.0,786.0,62,2011-01-12 15:13:09.667,70
29.0,520.0,62,2011-03-06 00:56:37.460,123
97.0,4.0,78,2010-11-02 23:04:11.067,0
97.0,82.0,78,2010-11-02 23:17:50.013,0
97.0,97.0,78,2010-11-03 06:06:39.280,0
97.0,97.0,78,2010-11-03 06:07:36.830,0
82.0,104.0,85,2010-11-02 23:09:48.230,0
82.0,82.0,85,2010-11-02 23:12:23.717,0
82.0,46.0,85,2010-11-02 23:15:32.670,0
82.0,,85,2010-11-02 23:20:44.950,0
82.0,373.0,85,2010-11-23 11:38:47.837,20
82.0,82.0,85,2010-11-23 13:42:34.853,20
82.0,50.0,79,2010-11-02 23:21:01.380,0
82.0,82.0,79,2010-11-02 23:23:31.847,0
29.0,4.0,102,2010-11-03 00:24:04.317,0
29.0,82.0,102,2010-11-03 00:27:07.620,0
29.0,124.0,102,2010-11-03 05:26:08.050,0
29.0,127.0,102,2010-11-03 06:32:54.527,0
82.0,112.0,98,2010-11-03 00:41:59.230,0
112.0,82.0,98,2010-11-03 00:48:42.583,0
112.0,82.0,100,2010-11-03 00:42:06.943,0
112.0,112.0,100,2010-11-03 00:55:18.050,0
112.0,82.0,100,2010-11-03 01:00:52.583,0
118.0,70.0,24,2010-11-03 01:34:47.250,0
29.0,78.0,78,2010-11-03 03:50:17.120,0
20.0,74.0,111,2010-11-03 04:05:42.190,0
20.0,40.0,41,2010-11-03 04:37:44.253,0
78.0,95.0,111,2010-11-03 04:56:13.757,0
20.0,71.0,89,2010-11-03 06:04:09.460,0
20.0,66.0,89,2010-11-03 09:45:59.003,0
20.0,,89,2010-11-03 14:48:06.017,0
20.0,166.0,89,2010-11-13 13:16:07.130,10
124.0,66.0,122,2010-11-03 07:30:10.240,0
124.0,124.0,122,2010-11-03 07:40:23.270,0
124.0,66.0,122,2010-11-03 11:24:42.360,0
124.0,124.0,122,2010-11-03 20:24:20.743,1
124.0,1495.0,122,2011-01-31 07:30:09.403,89
50.0,47.0,79,2010-11-03 08:38:54.207,0
28.0,13.0,127,2010-11-03 10:48:59.050,0
