PostUserId,RespondUserId,QId,Time,days
7.0,42.0,1,2010-11-02 19:11:07.043,0
7.0,128.0,1,2010-11-09 10:31:18.283,6
7.0,36.0,1,2010-11-02 19:18:47.330,0
40.0,42.0,3,2010-11-02 19:13:34.870,0
40.0,40.0,3,2010-11-02 19:16:09.873,0
40.0,37.0,3,2010-11-03 19:22:58.313,1
40.0,40.0,3,2010-11-03 21:23:40.517,1
40.0,40.0,3,2010-11-03 21:36:26.900,1
23.0,13.0,2,2010-11-02 19:36:53.290,0
23.0,42.0,2,2010-11-02 20:28:10.190,0
23.0,69.0,2,2010-11-02 21:20:10.313,0
23.0,18.0,7,2010-11-02 19:56:21.687,0
23.0,42.0,7,2010-11-02 20:23:23.223,0
23.0,23.0,7,2010-11-02 21:18:41.807,0
23.0,66.0,7,2010-11-07 15:01:47.780,4
23.0,,7,2010-11-08 14:46:38.440,5
54.0,13.0,13,2010-11-02 19:56:34.667,0
54.0,62.0,13,2010-11-02 20:05:00.813,0
,7.0,21,2010-11-02 20:08:57.247,0
,,21,2010-11-02 20:12:43.960,0
,47.0,21,2010-11-02 20:20:45.987,0
,82.0,21,2010-11-02 20:38:20.723,0
,,21,2010-11-02 20:42:15.463,0
73.0,56.0,26,2010-11-02 20:14:07.180,0
73.0,73.0,26,2010-11-02 20:18:42.943,0
73.0,56.0,26,2010-11-02 20:21:39.340,0
73.0,73.0,26,2010-11-02 20:26:08.857,0
73.0,47.0,26,2010-11-02 21:28:52.777,0
73.0,163.0,26,2010-11-08 07:43:20.540,5
77.0,42.0,31,2010-11-02 20:24:13.237,0
77.0,82.0,31,2010-11-02 20:55:12.373,0
57.0,42.0,15,2010-11-02 20:25:39.413,0
,42.0,32,2010-11-02 20:32:40.420,0
,121.0,32,2010-11-22 18:07:30.980,19
,,32,2010-11-22 20:35:09.627,20
,121.0,32,2010-11-22 23:06:14.257,20
48.0,82.0,9,2010-11-02 20:40:00.160,0
40.0,42.0,41,2010-11-02 20:50:24.500,0
