QId,PostUserId,Time,days
1,7.0,2010-11-02 18:59:01.140,0
2,23.0,2010-11-02 19:09:48.680,0
3,40.0,2010-11-02 19:11:05.857,0
7,23.0,2010-11-02 19:26:38.137,0
9,48.0,2010-11-02 19:28:09.013,0
13,54.0,2010-11-02 19:46:46.477,0
15,57.0,2010-11-02 19:51:03.887,0
17,,2010-11-02 20:00:49.790,0
19,57.0,2010-11-02 20:03:34.887,0
21,,2010-11-02 20:06:21.360,0
24,70.0,2010-11-02 20:11:14.907,0
26,73.0,2010-11-02 20:12:32.630,0
27,72.0,2010-11-02 20:17:48.947,0
29,77.0,2010-11-02 20:19:42.540,0
31,77.0,2010-11-02 20:22:33.677,0
32,,2010-11-02 20:25:08.490,0
35,75.0,2010-11-02 20:26:45.977,0
37,76.0,2010-11-02 20:32:03.353,0
41,40.0,2010-11-02 20:42:22.140,0
49,,2010-11-02 21:09:23.880,0
52,4.0,2010-11-02 21:18:10.360,0
62,82.0,2010-11-02 21:55:55.790,0
68,104.0,2010-11-02 22:21:41.930,0
71,29.0,2010-11-02 22:25:49.123,0
72,82.0,2010-11-02 22:32:13.517,0
73,46.0,2010-11-02 22:37:38.660,0
75,104.0,2010-11-02 22:41:44.347,0
78,4.0,2010-11-02 22:46:52.640,0
79,47.0,2010-11-02 22:49:04.177,0
83,29.0,2010-11-02 22:53:40.340,0
85,104.0,2010-11-02 23:06:09.733,0
89,71.0,2010-11-02 23:17:01.137,0
90,4.0,2010-11-02 23:18:19.560,0
93,71.0,2010-11-02 23:31:02.713,0
94,107.0,2010-11-02 23:32:47.993,0
95,110.0,2010-11-02 23:33:24.377,0
98,112.0,2010-11-02 23:52:07.323,0
100,82.0,2010-11-03 00:05:24.680,0
101,82.0,2010-11-03 00:08:59.077,0
102,4.0,2010-11-03 00:15:24.310,0
111,82.0,2010-11-03 01:13:57.047,0
115,82.0,2010-11-03 01:34:55.803,0
122,71.0,2010-11-03 06:23:17.300,0
123,8.0,2010-11-03 07:00:58.390,0
127,46.0,2010-11-03 07:15:24.197,0
129,23.0,2010-11-03 07:23:53.470,0
134,56.0,2010-11-03 09:36:15.970,0
139,,2010-11-03 11:25:08.777,0
141,136.0,2010-11-03 12:18:08.250,0
142,82.0,2010-11-03 12:39:37.883,0
145,66.0,2010-11-03 13:44:38.893,0
147,139.0,2010-11-03 13:59:20.010,0
156,7.0,2010-11-03 16:28:45.677,0
159,4.0,2010-11-03 17:13:48.773,0
160,36.0,2010-11-03 17:16:50.347,0
166,86.0,2010-11-03 17:49:55.693,0
167,74.0,2010-11-03 17:57:06.623,0
168,74.0,2010-11-03 18:06:46.643,0
173,48.0,2010-11-03 20:37:43.370,1
185,82.0,2010-11-04 00:10:22.777,1
186,41.0,2010-11-04 00:53:26.137,1
191,157.0,2010-11-04 03:18:57.803,1
193,6.0,2010-11-04 04:57:45.843,1
196,71.0,2010-11-04 05:57:42.347,1
197,71.0,2010-11-04 06:04:58.330,1
198,71.0,2010-11-04 06:14:56.820,1
202,71.0,2010-11-04 07:25:26.233,1
208,126.0,2010-11-04 09:18:02.863,1
214,,2010-11-04 12:00:50.860,1
217,,2010-11-04 12:10:22.390,1
218,,2010-11-04 12:20:38.137,1
222,150.0,2010-11-04 13:51:29.063,1
228,70.0,2010-11-04 15:33:35.040,1
234,121.0,2010-11-04 20:47:05.523,2
236,7.0,2010-11-04 22:14:19.137,2
237,71.0,2010-11-04 22:18:25.970,2
239,71.0,2010-11-04 22:21:57.830,2
252,13.0,2010-11-04 23:17:38.907,2
257,82.0,2010-11-04 23:42:30.020,2
258,71.0,2010-11-05 00:28:45.073,2
268,139.0,2010-11-05 08:54:35.513,2
270,119.0,2010-11-05 11:02:47.797,2
271,119.0,2010-11-05 11:04:16.160,2
272,119.0,2010-11-05 11:12:58.393,2
286,119.0,2010-11-05 23:17:22.260,3
290,124.0,2010-11-06 03:23:18.563,3
296,119.0,2010-11-06 10:22:06.087,3
300,136.0,2010-11-06 14:27:17.670,3
303,169.0,2010-11-06 17:31:09.677,3
304,66.0,2010-11-06 20:01:21.020,4
305,140.0,2010-11-06 20:59:24.377,4
312,126.0,2010-11-07 09:45:12.620,4
317,66.0,2010-11-07 15:29:27.027,4
321,4.0,2010-11-07 17:10:19.520,4
326,41.0,2010-11-07 21:28:23.650,5
328,41.0,2010-11-07 22:20:17.770,5
331,41.0,2010-11-07 22:42:04.093,5
335,4.0,2010-11-08 00:26:04.460,5
339,124.0,2010-11-08 03:07:41.340,5
340,,2010-11-08 03:23:42.877,5
