QId,PostUserId,RespondUserId,Time,days
1,7.0,20.0,2010-11-02 19:12:26.543,0
1,7.0,13.0,2010-11-02 19:15:20.813,0
2,23.0,49.0,2010-11-02 19:36:09.670,0
2,23.0,71.0,2011-02-23 08:34:24.153,112
3,40.0,42.0,2010-11-02 19:27:34.463,0
3,40.0,59.0,2010-11-03 21:11:52.053,1
7,23.0,47.0,2010-11-02 20:03:01.050,0
7,23.0,78.0,2010-11-02 20:54:20.337,0
7,23.0,82.0,2010-11-02 21:27:59.867,0
7,23.0,97.0,2010-11-02 21:58:50.950,0
7,23.0,126.0,2010-11-07 10:56:02.237,4
9,48.0,18.0,2010-11-02 19:50:19.220,0
9,48.0,74.0,2010-11-02 20:46:17.863,0
9,48.0,20.0,2010-11-03 01:06:46.777,0
9,48.0,78.0,2010-11-03 03:32:09.443,0
9,48.0,1390.0,2011-01-18 20:35:58.100,77
13,54.0,48.0,2010-11-02 19:55:07.630,0
13,54.0,42.0,2010-11-02 20:04:33.713,0
13,54.0,47.0,2010-11-02 20:10:50.757,0
15,57.0,82.0,2010-11-02 21:08:57.003,0
15,57.0,95.0,2010-11-02 21:46:26.483,0
15,57.0,574.0,2010-11-20 19:56:58.993,18
15,57.0,1417.0,2011-01-17 17:15:29.080,75
15,57.0,1350.0,2011-01-17 18:24:24.963,75
15,57.0,1236.0,2011-01-17 18:25:42.720,75
15,57.0,1403.0,2011-01-17 19:05:24.987,76
15,57.0,1341.0,2011-01-17 20:47:29.050,76
15,57.0,1458.0,2011-01-21 09:34:13.513,79
17,,42.0,2010-11-02 20:09:04.537,0
17,,843.0,2010-12-15 04:49:33.667,42
19,57.0,62.0,2010-11-02 20:18:01.623,0
19,57.0,82.0,2010-11-02 20:53:01.300,0
19,57.0,103.0,2010-11-08 23:58:45.327,6
21,,42.0,2010-11-02 20:11:28.417,0
21,,47.0,2010-11-02 20:34:51.497,0
21,,82.0,2010-11-02 21:46:38.563,0
21,,142.0,2010-11-13 01:38:40.830,10
24,70.0,97.0,2010-11-02 21:55:50.267,0
24,70.0,118.0,2010-11-03 01:17:40.223,0
24,70.0,268.0,2010-11-10 20:18:51.137,8
24,70.0,272.0,2010-11-10 21:13:47.193,8
24,70.0,28.0,2010-11-11 12:33:45.243,8
24,70.0,392.0,2010-11-13 16:09:32.263,10
26,73.0,97.0,2010-11-02 21:51:45.043,0
26,73.0,82.0,2010-11-02 21:52:00.430,0
27,72.0,42.0,2010-11-02 20:21:45.097,0
27,72.0,47.0,2010-11-02 22:22:52.903,0
27,72.0,141.0,2010-11-03 13:29:36.837,0
27,72.0,78.0,2010-11-04 01:49:23.687,1
27,72.0,,2010-11-12 17:25:09.767,9
27,72.0,345.0,2010-11-15 03:39:47.950,12
27,72.0,1186.0,2011-02-20 13:27:56.247,109
29,77.0,56.0,2010-11-02 20:25:31.397,0
29,77.0,74.0,2010-11-02 20:26:36.210,0
29,77.0,48.0,2010-11-02 20:27:39.997,0
29,77.0,28.0,2010-11-03 08:25:11.803,0
31,77.0,79.0,2010-11-02 20:51:29.503,0
31,77.0,69.0,2010-11-02 21:08:52.787,0
31,77.0,74.0,2010-11-04 05:11:23.820,1
31,77.0,1345.0,2011-01-17 00:45:37.377,75
32,,36.0,2010-11-02 20:49:09.577,0
35,75.0,82.0,2010-11-02 20:36:14.597,0
35,75.0,,2010-11-02 20:39:35.933,0
35,75.0,47.0,2010-11-02 21:11:34.347,0
35,75.0,1272.0,2011-01-17 04:37:47.697,75
37,76.0,86.0,2010-11-02 21:13:59.320,0
37,76.0,353.0,2010-11-16 05:01:32.953,13
41,40.0,20.0,2010-11-02 22:13:04.010,0
