QId,PostUserId,Vote,Time,days
1.0,7.0,2,2010-11-02,0
1.0,7.0,2,2010-11-02,0
1.0,7.0,2,2010-11-02,0
2.0,23.0,2,2010-11-02,0
3.0,40.0,2,2010-11-02,0
1.0,7.0,2,2010-11-02,0
2.0,23.0,2,2010-11-02,0
1.0,7.0,2,2010-11-02,0
1.0,7.0,2,2010-11-02,0
9.0,48.0,2,2010-11-02,0
9.0,48.0,2,2010-11-02,0
3.0,40.0,2,2010-11-02,0
9.0,48.0,2,2010-11-02,0
13.0,54.0,2,2010-11-02,0
1.0,7.0,2,2010-11-02,0
24.0,70.0,2,2010-11-02,0
27.0,72.0,2,2010-11-02,0
9.0,48.0,2,2010-11-02,0
31.0,77.0,2,2010-11-02,0
35.0,75.0,2,2010-11-02,0
29.0,77.0,2,2010-11-02,0
1.0,7.0,2,2010-11-02,0
3.0,40.0,2,2010-11-02,0
9.0,48.0,2,2010-11-02,0
2.0,23.0,2,2010-11-02,0
19.0,57.0,2,2010-11-02,0
31.0,77.0,2,2010-11-02,0
15.0,57.0,2,2010-11-02,0
35.0,75.0,2,2010-11-02,0
35.0,75.0,2,2010-11-02,0
52.0,4.0,2,2010-11-02,0
26.0,73.0,2,2010-11-02,0
15.0,57.0,2,2010-11-02,0
24.0,70.0,2,2010-11-02,0
29.0,77.0,2,2010-11-02,0
62.0,82.0,2,2010-11-02,0
37.0,76.0,2,2010-11-02,0
27.0,72.0,2,2010-11-02,0
41.0,40.0,2,2010-11-02,0
7.0,23.0,2,2010-11-02,0
62.0,82.0,2,2010-11-02,0
24.0,70.0,2,2010-11-02,0
62.0,82.0,2,2010-11-02,0
27.0,72.0,2,2010-11-02,0
68.0,104.0,2,2010-11-02,0
71.0,29.0,2,2010-11-02,0
71.0,29.0,2,2010-11-02,0
41.0,40.0,2,2010-11-02,0
72.0,82.0,2,2010-11-02,0
1.0,7.0,2,2010-11-02,0
73.0,46.0,2,2010-11-02,0
71.0,29.0,2,2010-11-02,0
68.0,104.0,2,2010-11-02,0
79.0,47.0,2,2010-11-02,0
83.0,29.0,2,2010-11-02,0
78.0,4.0,2,2010-11-02,0
1.0,7.0,2,2010-11-02,0
31.0,77.0,2,2010-11-02,0
93.0,71.0,2,2010-11-02,0
93.0,71.0,2,2010-11-02,0
90.0,4.0,2,2010-11-02,0
83.0,29.0,2,2010-11-02,0
71.0,29.0,2,2010-11-02,0
93.0,71.0,2,2010-11-02,0
93.0,71.0,2,2010-11-02,0
93.0,71.0,2,2010-11-02,0
68.0,104.0,2,2010-11-02,0
85.0,104.0,2,2010-11-03,1
98.0,112.0,2,2010-11-03,1
93.0,71.0,2,2010-11-03,1
102.0,4.0,2,2010-11-03,1
95.0,110.0,2,2010-11-03,1
94.0,107.0,2,2010-11-03,1
7.0,23.0,2,2010-11-03,1
94.0,107.0,2,2010-11-03,1
93.0,71.0,2,2010-11-03,1
9.0,48.0,2,2010-11-03,1
89.0,71.0,2,2010-11-03,1
111.0,82.0,2,2010-11-03,1
93.0,71.0,2,2010-11-03,1
102.0,4.0,2,2010-11-03,1
89.0,71.0,2,2010-11-03,1
24.0,70.0,2,2010-11-03,1
102.0,4.0,2,2010-11-03,1
89.0,71.0,2,2010-11-03,1
62.0,82.0,2,2010-11-03,1
78.0,4.0,2,2010-11-03,1
73.0,46.0,2,2010-11-03,1
