QId,RespondUserId,PostUserId,Time,days
1,9.0,43.0,2014-08-11T01:27:09.710,11
2,7.0,4.0,2014-07-30T22:12:47.257,0
7,17.0,59.0,2014-07-30T21:58:14.920,0
13,36.0,131.0,2014-08-01T13:03:36.160,1
14,36.0,61.0,2014-07-30T22:51:38.753,0
17,36.0,68.0,2014-07-30T22:41:40.550,0
19,36.0,54.0,2014-07-30T21:34:09.630,0
24,55.0,54.0,2014-07-30T21:40:03.480,0
45,75.0,59.0,2014-07-31T00:14:35.710,0
52,80.0,59.0,2014-07-31T01:13:32.033,0
58,82.0,602.0,2014-08-29T22:19:26.310,30
64,92.0,59.0,2014-07-31T06:09:08.973,0
66,99.0,82.0,2014-07-31T06:07:04.653,0
70,104.0,43.0,2014-07-31T16:01:31.140,0
78,113.0,116.0,2014-07-31T09:39:50.117,0
80,115.0,59.0,2014-07-31T09:22:00.443,0
82,117.0,1288.0,2014-11-04T04:32:11.703,96
86,115.0,131.0,2014-08-05T17:44:26.337,5
87,99.0,43.0,2014-07-31T17:03:29.463,0
89,120.0,9.0,2014-07-31T11:04:17.923,0
91,121.0,44.0,2014-08-01T16:03:31.280,1
104,116.0,131.0,2014-07-31T15:59:40.693,0
118,24.0,7.0,2014-07-31T15:04:23.550,0
121,36.0,70.0,2014-07-31T17:36:49.507,0
134,139.0,131.0,2014-07-31T22:13:20.930,1
140,7.0,59.0,2014-08-01T00:18:29.177,1
141,43.0,131.0,2014-08-01T10:29:36.953,1
145,132.0,9.0,2014-08-01T02:20:47.557,1
157,116.0,146.0,2014-08-01T10:47:12.943,1
164,160.0,43.0,2014-08-01T21:18:19.473,2
165,160.0,162.0,2014-08-01T17:03:53.930,1
169,161.0,44.0,2014-08-01T19:08:07.820,1
184,43.0,59.0,2014-08-02T03:22:49.913,2
189,172.0,9.0,2014-08-02T16:17:06.523,2
191,9.0,43.0,2014-08-03T17:52:38.527,3
195,186.0,59.0,2014-08-03T09:39:07.387,3
200,88.0,146.0,2014-08-03T18:44:31.810,3
209,60.0,131.0,2014-08-04T14:40:24.393,4
210,60.0,44.0,2014-08-03T23:53:24.383,4
216,200.0,43.0,2014-08-04T09:16:41.600,4
227,44.0,1000.0,2014-10-06T01:24:28.500,67
236,217.0,88.0,2014-08-04T22:25:43.637,5
237,217.0,43.0,2014-08-04T22:22:04.860,5
241,160.0,9.0,2014-08-05T23:57:04.373,6
246,60.0,146.0,2014-08-05T16:38:45.257,5
253,224.0,68.0,2014-08-19T04:57:21.920,19
257,44.0,248.0,2014-08-07T23:19:49.010,8
260,144.0,233.0,2014-08-07T09:06:38.703,7
266,115.0,131.0,2014-08-07T20:59:28.607,8
267,242.0,115.0,2014-08-07T12:25:21.887,7
283,23.0,43.0,2014-08-09T07:23:21.970,9
286,91.0,43.0,2014-08-10T04:22:10.443,10
291,59.0,43.0,2014-08-10T22:03:47.750,11
292,59.0,131.0,2014-08-10T11:28:17.810,10
301,200.0,131.0,2014-08-11T09:31:16.307,11
310,286.0,233.0,2014-08-18T06:48:46.207,18
311,9.0,462.0,2014-08-22T18:22:20.420,22
338,9.0,59.0,2014-08-13T17:26:26.140,13
342,75.0,59.0,2014-08-13T19:12:56.917,13
344,144.0,59.0,2014-08-14T06:51:06.587,14
352,285.0,43.0,2014-08-15T15:59:43.967,15
354,43.0,160.0,2014-08-15T16:38:49.010,15
358,119.0,423.0,2014-08-20T14:47:51.463,20
378,91.0,354.0,2014-08-19T03:07:01.650,19
379,91.0,302.0,2014-08-19T12:05:29.507,19
383,68.0,43.0,2014-08-19T06:58:14.570,19
395,46.0,353.0,2014-08-19T15:19:56.017,19
406,91.0,210.0,2014-08-20T16:57:00.903,20
410,68.0,43.0,2014-08-20T05:54:02.067,20
437,416.0,479.0,2014-08-23T10:13:46.507,23
439,119.0,344.0,2014-08-21T19:39:27.477,21
448,453.0,425.0,2014-08-22T04:47:30.243,22
454,456.0,423.0,2014-08-22T11:05:48.070,22
457,140.0,43.0,2014-08-22T16:41:34.730,22
464,462.0,321.0,2014-08-22T18:38:59.300,22
469,469.0,353.0,2014-08-23T13:21:17.970,23
473,442.0,43.0,2014-08-26T07:29:22.523,26
481,497.0,43.0,2014-08-24T22:41:45.260,25
484,91.0,43.0,2014-08-25T07:29:01.077,25
507,532.0,437.0,2014-08-27T08:37:30.987,27
511,227.0,44.0,2014-08-27T15:42:47.577,27
520,44.0,571.0,2014-08-28T19:07:55.810,28
523,564.0,354.0,2014-09-05T23:33:01.023,37
527,91.0,425.0,2014-08-29T11:58:28.217,29
533,227.0,43.0,2014-08-29T03:52:30.423,29
534,580.0,9.0,2014-08-29T03:41:59.080,29
538,580.0,437.0,2014-08-29T05:24:47.193,29
565,354.0,131.0,2014-09-01T22:56:36.337,33
573,624.0,344.0,2014-09-01T13:01:45.387,32
579,635.0,131.0,2014-09-01T19:25:24.160,32
584,43.0,302.0,2014-09-02T08:45:03.717,33
585,9.0,43.0,2014-09-02T02:28:11.503,33
595,659.0,416.0,2014-09-02T18:24:08.127,33
599,664.0,44.0,2014-09-03T08:20:04.890,34
604,669.0,416.0,2014-09-04T13:45:27.267,35
608,551.0,425.0,2014-10-11T14:18:34.587,72
609,551.0,677.0,2014-09-03T23:12:05.817,35
620,689.0,131.0,2014-09-05T01:23:38.987,36
625,551.0,1482.0,2014-12-09T08:44:09.957,131
626,551.0,715.0,2014-09-07T08:11:48.850,38
633,551.0,425.0,2014-10-14T13:19:01.530,75
638,615.0,68.0,2014-09-07T23:18:55.220,39
641,704.0,728.0,2014-09-08T23:48:13.103,40
648,551.0,1114.0,2014-10-16T20:08:36.563,78
649,554.0,344.0,2014-09-10T00:59:51.307,41
654,91.0,131.0,2014-09-09T10:15:22.853,40
663,43.0,131.0,2014-09-12T10:48:17.303,43
664,551.0,921.0,2014-09-30T15:23:48.530,61
666,23.0,551.0,2014-09-18T16:34:40.853,49
667,23.0,44.0,2014-09-10T17:41:21.693,41
668,26.0,131.0,2014-09-10T20:23:04.967,42
671,26.0,233.0,2014-09-11T05:50:33.077,42
675,551.0,758.0,2014-09-12T03:09:08.737,43
676,26.0,131.0,2014-09-10T23:58:40.937,42
699,766.0,437.0,2014-09-12T16:38:14.263,43
702,767.0,59.0,2014-09-12T22:08:10.450,44
711,770.0,131.0,2014-09-13T12:04:12.057,44
729,551.0,131.0,2014-09-16T10:23:55.783,47
734,545.0,1000.0,2014-10-06T02:00:04.600,67
743,808.0,425.0,2014-10-16T07:54:35.063,77
745,810.0,48.0,2014-09-18T16:44:35.923,49
755,820.0,131.0,2014-09-19T13:37:12.983,50
763,831.0,131.0,2014-09-21T10:10:38.837,52
767,783.0,302.0,2014-09-21T17:32:31.230,52
780,844.0,59.0,2014-09-23T03:06:50.780,54
782,551.0,302.0,2014-09-24T12:05:26.507,55
784,852.0,844.0,2014-09-23T16:06:33.410,54
791,91.0,9.0,2014-09-25T01:29:58.490,56
796,59.0,91.0,2014-09-25T12:42:09.193,56
798,91.0,551.0,2014-09-25T16:48:52.773,56
804,879.0,59.0,2014-09-25T22:38:17.487,57
805,59.0,844.0,2014-09-26T03:54:52.393,57
806,880.0,59.0,2014-09-25T22:28:58.573,57
811,9.0,844.0,2014-09-26T05:47:46.720,57
812,879.0,59.0,2014-09-26T02:52:08.957,57
813,44.0,844.0,2014-09-26T04:35:30.607,57
822,551.0,551.0,2014-09-27T02:28:14.463,58
