PostUserId,RespondUserId,QId,Time,days
27.0,9.0,1,2014-08-10T19:17:23.603,10
27.0,27.0,1,2014-08-11T01:50:34.233,11
52.0,20.0,16,2014-07-30T21:38:30.857,0
52.0,52.0,16,2014-07-30T22:29:24.643,0
54.0,54.0,19,2014-07-30T21:34:55.920,0
54.0,61.0,24,2014-07-30T21:50:02.547,0
54.0,27.0,24,2014-07-30T21:52:56.730,0
54.0,54.0,24,2014-07-31T13:09:27.530,0
59.0,118.0,17,2014-07-31T09:45:23.620,0
37.0,36.0,17,2014-07-30T22:09:45.317,0
36.0,61.0,17,2014-07-30T23:02:29.117,0
36.0,84.0,16,2014-07-31T02:24:10.090,0
36.0,233.0,16,2014-08-18T06:27:13.847,18
4.0,100.0,2,2014-07-31T05:55:28.257,0
100.0,43.0,2,2014-07-31T08:26:37.130,0
100.0,4.0,2,2014-07-31T17:57:44.503,0
4.0,100.0,2,2014-07-31T17:58:59.133,0
59.0,4.0,27,2014-07-31T02:40:38.800,0
61.0,40.0,15,2014-07-31T00:37:07.270,0
61.0,61.0,15,2014-07-31T00:46:48.803,0
91.0,118.0,17,2014-07-31T09:48:55.140,0
82.0,119.0,52,2014-08-21T12:45:04.153,21
82.0,82.0,52,2014-08-23T06:20:33.017,23
92.0,82.0,58,2014-07-31T05:05:10.617,0
82.0,92.0,58,2014-07-31T05:11:51.197,0
92.0,82.0,58,2014-07-31T05:55:46.053,0
82.0,92.0,61,2014-07-31T05:15:15.690,0
82.0,82.0,61,2014-07-31T06:00:22.287,0
59.0,92.0,64,2014-07-31T10:07:44.627,0
59.0,59.0,64,2014-07-31T10:09:26.347,0
59.0,115.0,80,2014-07-31T09:41:04.427,0
115.0,59.0,80,2014-07-31T09:42:24.227,0
116.0,118.0,78,2014-07-31T09:43:19.327,0
47.0,115.0,86,2014-07-31T10:32:16.457,0
47.0,47.0,86,2014-07-31T10:33:37.573,0
47.0,115.0,86,2014-07-31T10:34:47.880,0
47.0,47.0,86,2014-07-31T10:43:33.617,0
47.0,44.0,86,2014-08-02T07:47:15.050,2
84.0,1111.0,82,2014-11-04T19:01:24.683,96
84.0,84.0,82,2014-11-04T19:37:18.473,96
84.0,1111.0,82,2014-11-04T19:58:47.990,97
84.0,84.0,82,2014-11-04T20:20:46.647,97
47.0,104.0,91,2014-07-31T11:15:53.683,0
100.0,100.0,95,2014-07-31T16:01:02.323,0
43.0,82.0,70,2014-07-31T16:38:25.640,0
43.0,43.0,70,2014-07-31T16:46:34.583,0
43.0,43.0,70,2014-07-31T16:48:19.927,0
70.0,12.0,121,2014-07-31T17:51:14.143,0
61.0,100.0,121,2014-08-01T01:59:19.513,1
100.0,61.0,121,2014-08-01T16:15:05.083,1
61.0,44.0,121,2014-08-04T08:26:26.353,4
9.0,217.0,136,2014-08-04T21:39:53.820,5
84.0,100.0,140,2014-08-01T02:07:27.250,1
100.0,84.0,140,2014-08-01T03:13:21.837,1
9.0,131.0,145,2014-08-01T10:51:39.110,1
131.0,1775.0,145,2014-12-13T18:56:08.227,135
59.0,59.0,152,2014-09-12T23:05:28.407,44
31.0,131.0,152,2014-08-01T11:19:34.103,1
131.0,31.0,152,2014-08-01T11:34:15.433,1
31.0,131.0,152,2014-08-01T11:47:22.990,1
148.0,116.0,157,2014-08-01T08:50:54.303,1
148.0,148.0,157,2014-08-01T08:57:45.010,1
43.0,9.0,164,2014-08-01T21:43:49.377,2
43.0,43.0,164,2014-08-01T21:45:04.163,2
43.0,9.0,164,2014-08-01T21:47:27.390,2
43.0,9.0,164,2014-08-01T21:48:11.427,2
43.0,43.0,164,2014-08-01T21:57:16.180,2
43.0,43.0,164,2014-08-01T21:57:55.303,2
43.0,9.0,164,2014-08-01T21:59:59.513,2
43.0,43.0,164,2014-08-01T22:04:43.650,2
43.0,302.0,191,2014-08-13T17:06:06.230,13
44.0,198.0,205,2014-08-04T10:43:01.720,4
44.0,31.0,209,2014-08-04T11:20:55.340,4
31.0,44.0,209,2014-08-08T19:02:09.853,8
59.0,131.0,213,2014-08-04T13:54:08.343,4
131.0,43.0,205,2014-08-05T07:21:36.053,5
43.0,131.0,205,2014-08-05T09:17:54.117,5
131.0,43.0,205,2014-08-05T14:59:47.207,5
131.0,198.0,205,2014-08-06T16:13:01.067,6
131.0,60.0,209,2014-08-04T14:44:41.273,4
60.0,131.0,209,2014-08-04T14:45:48.020,4
60.0,252.0,209,2014-08-08T13:59:34.273,8
131.0,60.0,209,2014-08-08T14:02:40.113,8
60.0,252.0,209,2014-08-08T14:03:47.683,8
131.0,131.0,209,2014-08-09T06:42:54.893,9
210.0,44.0,215,2014-08-05T04:33:36.947,5
43.0,217.0,233,2014-08-04T22:03:53.643,5
43.0,131.0,233,2014-08-04T22:06:06.210,5
43.0,43.0,233,2014-08-04T22:08:55.803,5
88.0,217.0,236,2014-08-04T22:27:43.800,5
88.0,88.0,236,2014-08-04T22:28:53.617,5
88.0,217.0,236,2014-08-04T22:44:00.340,5
88.0,116.0,236,2014-08-05T09:33:00.947,5
88.0,88.0,236,2014-08-05T12:07:54.753,5
146.0,60.0,246,2014-08-05T16:53:26.930,5
146.0,146.0,246,2014-08-05T17:04:50.403,5
146.0,60.0,246,2014-08-05T17:47:22.733,5
146.0,146.0,246,2014-08-06T11:30:57.747,6
146.0,60.0,246,2014-08-06T12:44:05.437,6
146.0,146.0,246,2014-08-06T12:52:44.563,6
132.0,43.0,253,2014-08-06T20:29:10.450,7
132.0,224.0,253,2014-08-06T22:26:36.007,7
132.0,132.0,253,2014-08-06T23:45:15.263,7
43.0,43.0,260,2014-08-07T00:50:47.180,7
239.0,44.0,260,2014-08-07T15:02:58.480,7
239.0,239.0,260,2014-08-13T11:08:11.827,13
233.0,233.0,260,2014-08-07T10:20:01.303,7
233.0,285.0,260,2014-08-19T05:14:35.610,19
233.0,132.0,260,2014-11-02T04:00:14.037,94
115.0,425.0,267,2014-08-20T17:03:02.963,20
44.0,551.0,266,2014-09-26T16:14:59.357,57
131.0,551.0,266,2014-09-26T16:14:29.993,57
92.0,43.0,260,2014-08-08T07:11:27.143,8
43.0,92.0,260,2014-08-08T07:15:23.930,8
43.0,92.0,260,2014-08-08T07:17:47.457,8
92.0,43.0,260,2014-08-08T07:19:34.930,8
43.0,92.0,260,2014-08-08T07:21:49.860,8
92.0,132.0,260,2014-08-12T21:12:04.453,13
132.0,239.0,260,2014-08-13T11:12:49.880,13
252.0,242.0,260,2014-08-08T14:32:36.523,8
242.0,252.0,260,2014-08-08T14:34:38.457,8
252.0,242.0,260,2014-08-08T14:49:06.293,8
242.0,252.0,260,2014-08-08T14:52:11.807,8
252.0,148.0,260,2014-08-09T12:02:11.027,9
252.0,252.0,260,2014-08-09T12:04:45.210,9
252.0,92.0,260,2014-08-12T05:38:57.980,12
252.0,252.0,260,2014-08-12T07:06:57.960,12
233.0,91.0,286,2014-08-16T15:16:14.717,16
59.0,92.0,260,2014-08-19T15:59:50.047,19
131.0,131.0,290,2014-08-10T13:26:22.730,10
267.0,144.0,260,2014-08-11T19:03:00.850,11
59.0,239.0,301,2014-08-13T12:04:56.617,13
131.0,131.0,301,2014-08-11T10:19:43.943,11
43.0,82.0,307,2014-08-12T18:47:12.133,12
82.0,43.0,307,2014-08-12T19:51:32.847,13
43.0,91.0,307,2014-08-16T14:55:47.947,16
91.0,43.0,307,2014-08-16T17:05:17.933,16
296.0,200.0,301,2014-08-13T11:04:57.517,13
296.0,239.0,301,2014-08-13T12:09:41.663,13
296.0,200.0,301,2014-08-13T13:01:07.687,13
302.0,91.0,45,2014-08-16T18:16:12.400,16
321.0,119.0,350,2014-08-18T10:53:00.227,18
321.0,321.0,350,2014-08-18T11:04:33.747,18
321.0,119.0,350,2014-08-18T11:07:06.193,18
59.0,43.0,354,2014-08-15T19:23:51.383,15
43.0,59.0,354,2014-08-15T19:46:47.850,16
43.0,59.0,354,2014-08-15T19:48:41.923,16
59.0,233.0,354,2014-08-18T06:09:58.500,18
119.0,285.0,329,2014-08-19T05:05:50.977,19
354.0,119.0,358,2014-08-19T14:04:47.077,19
354.0,354.0,358,2014-08-19T16:00:06.807,19
353.0,319.0,350,2014-08-20T09:26:54.087,20
353.0,353.0,350,2014-08-20T14:53:22.393,20
353.0,144.0,344,2014-08-20T18:29:48.640,20
353.0,353.0,344,2014-08-20T22:45:40.763,21
68.0,344.0,370,2014-08-19T13:23:42.363,19
43.0,91.0,383,2014-08-19T21:46:11.767,20
43.0,43.0,383,2014-08-20T00:23:14.757,20
388.0,210.0,379,2014-08-19T21:36:10.683,20
