QId,PostUserId,Time,days
1,9.0,2014-07-30T19:41:29.087,0
2,7.0,2014-07-30T19:47:53.110,0
6,16.0,2014-07-30T20:14:08.337,0
7,17.0,2014-07-30T20:20:20.203,0
13,36.0,2014-07-30T20:56:33.783,0
14,36.0,2014-07-30T21:02:29.277,0
15,40.0,2014-07-30T21:04:12.330,0
16,20.0,2014-07-30T21:06:19.823,0
17,36.0,2014-07-30T21:11:54.590,0
19,36.0,2014-07-30T21:16:42.650,0
24,55.0,2014-07-30T21:35:05.820,0
27,37.0,2014-07-30T21:47:03.600,0
43,71.0,2014-07-30T23:28:39.940,0
45,75.0,2014-07-30T23:51:40.440,0
52,80.0,2014-07-31T01:03:47.713,0
58,82.0,2014-07-31T04:25:10.603,0
61,92.0,2014-07-31T04:51:30.223,0
64,92.0,2014-07-31T05:34:23.803,0
66,99.0,2014-07-31T05:49:51.637,0
69,43.0,2014-07-31T06:36:15.750,0
70,104.0,2014-07-31T06:56:52.843,0
72,47.0,2014-07-31T07:38:37.490,0
78,113.0,2014-07-31T08:40:40.497,0
80,115.0,2014-07-31T09:10:20.870,0
82,117.0,2014-07-31T09:24:53.723,0
86,115.0,2014-07-31T10:10:01.770,0
87,99.0,2014-07-31T10:19:52.043,0
89,120.0,2014-07-31T10:35:33.167,0
91,121.0,2014-07-31T10:47:50.517,0
95,92.0,2014-07-31T11:48:55.787,0
96,92.0,2014-07-31T11:53:54.427,0
99,52.0,2014-07-31T12:57:27.820,0
103,116.0,2014-07-31T13:31:51.393,0
104,116.0,2014-07-31T13:48:05.800,0
114,25.0,2014-07-31T14:26:44.310,0
115,121.0,2014-07-31T14:29:38.567,0
118,24.0,2014-07-31T14:38:04.513,0
121,36.0,2014-07-31T15:24:19.880,0
124,36.0,2014-07-31T15:30:55.663,0
126,132.0,2014-07-31T15:37:53.060,0
134,139.0,2014-07-31T18:51:36.513,0
136,144.0,2014-07-31T20:43:36.150,1
140,7.0,2014-07-31T23:41:35.897,1
141,43.0,2014-07-31T23:50:30.107,1
145,132.0,2014-08-01T02:01:52.373,1
152,92.0,2014-08-01T06:12:18.837,1
157,116.0,2014-08-01T07:39:48.917,1
164,160.0,2014-08-01T16:12:41.517,1
165,160.0,2014-08-01T16:22:10.807,1
166,160.0,2014-08-01T16:25:30.360,1
169,161.0,2014-08-01T18:54:55.077,1
180,52.0,2014-08-01T22:06:46.653,2
182,52.0,2014-08-01T22:14:55.880,2
184,43.0,2014-08-02T00:32:44.947,2
189,172.0,2014-08-02T14:17:30.033,2
191,9.0,2014-08-02T20:40:01.593,3
195,186.0,2014-08-03T07:55:32.087,3
200,88.0,2014-08-03T18:20:47.863,3
204,198.0,2014-08-03T19:56:49.960,4
205,198.0,2014-08-03T20:00:17.737,4
206,198.0,2014-08-03T20:04:37.117,4
209,60.0,2014-08-03T23:15:29.307,4
210,60.0,2014-08-03T23:39:07.740,4
213,80.0,2014-08-04T00:23:16.980,4
215,44.0,2014-08-04T06:43:28.420,4
216,200.0,2014-08-04T07:39:16.143,4
222,202.0,2014-08-04T09:58:15.820,4
227,44.0,2014-08-04T14:44:53.707,4
233,217.0,2014-08-04T21:41:40.733,5
236,217.0,2014-08-04T22:07:14.513,5
237,217.0,2014-08-04T22:09:45.267,5
241,160.0,2014-08-04T22:34:35.467,5
242,80.0,2014-08-05T02:24:38.413,5
244,116.0,2014-08-05T09:46:20.203,5
246,60.0,2014-08-05T11:36:36.373,5
253,224.0,2014-08-05T21:14:22.143,6
257,44.0,2014-08-06T07:17:26.740,6
259,224.0,2014-08-07T00:17:37.823,7
260,144.0,2014-08-07T00:19:23.033,7
266,115.0,2014-08-07T10:13:31.903,7
267,242.0,2014-08-07T11:38:39.037,7
283,23.0,2014-08-09T03:21:50.957,9
285,200.0,2014-08-09T08:06:13.927,9
286,91.0,2014-08-10T04:07:52.580,10
290,266.0,2014-08-10T08:51:05.503,10
291,59.0,2014-08-10T09:36:49.663,10
292,59.0,2014-08-10T09:52:28.333,10
301,200.0,2014-08-11T09:08:32.783,11
306,233.0,2014-08-11T10:19:58.723,11
307,285.0,2014-08-11T21:30:52.583,12
310,286.0,2014-08-12T07:45:39.827,12
311,9.0,2014-08-12T14:06:34.307,12
314,43.0,2014-08-13T00:01:49.363,13
329,285.0,2014-08-13T01:42:42.490,13
338,9.0,2014-08-13T16:30:10.990,13
342,75.0,2014-08-13T18:09:59.107,13
344,144.0,2014-08-14T05:42:32.677,14
350,319.0,2014-08-15T10:30:37.733,15
352,285.0,2014-08-15T15:53:27.520,15
354,43.0,2014-08-15T16:21:15.417,15
358,119.0,2014-08-17T09:31:06.123,17
363,333.0,2014-08-18T05:43:23.303,18
370,344.0,2014-08-18T21:07:44.477,19
378,91.0,2014-08-19T02:12:18.100,19
379,91.0,2014-08-19T02:16:42.213,19
383,68.0,2014-08-19T05:10:08.353,19
386,382.0,2014-08-19T08:55:02.010,19
392,46.0,2014-08-19T13:12:21.093,19
394,119.0,2014-08-19T13:42:56.807,19
395,46.0,2014-08-19T14:48:03.590,19
406,91.0,2014-08-19T21:33:28.213,20
409,412.0,2014-08-20T00:26:41.543,20
410,68.0,2014-08-20T04:59:40.523,20
411,68.0,2014-08-20T05:03:29.443,20
413,415.0,2014-08-20T06:11:23.460,20
428,344.0,2014-08-20T16:58:17.397,20
437,416.0,2014-08-21T10:58:05.770,21
438,442.0,2014-08-21T10:58:26.227,21
439,119.0,2014-08-21T12:36:27.927,21
448,453.0,2014-08-21T18:49:01.143,21
454,456.0,2014-08-22T09:35:00.723,22
457,140.0,2014-08-22T12:14:44.120,22
464,462.0,2014-08-22T17:43:33.990,22
469,469.0,2014-08-22T21:02:38.453,23
473,442.0,2014-08-23T13:31:43.103,23
476,260.0,2014-08-24T05:48:06.073,24
481,497.0,2014-08-24T22:06:21.887,25
484,91.0,2014-08-25T04:29:07.987,25
490,525.0,2014-08-25T23:47:56.770,26
494,529.0,2014-08-26T08:19:10.400,26
495,528.0,2014-08-26T08:37:36.203,26
502,542.0,2014-08-27T00:52:30.040,27
504,543.0,2014-08-27T03:59:01.843,27
505,544.0,2014-08-27T05:55:27.503,27
507,532.0,2014-08-27T07:23:59.490,27
511,227.0,2014-08-27T13:55:02.890,27
517,71.0,2014-08-28T06:56:08.480,28
520,44.0,2014-08-28T13:46:58.103,28
523,564.0,2014-08-28T15:26:05.387,28
527,91.0,2014-08-28T18:12:41.337,28
533,227.0,2014-08-29T02:40:55.283,29
534,580.0,2014-08-29T02:43:36.723,29
538,580.0,2014-08-29T04:08:57.430,29
548,461.0,2014-08-29T12:38:54.807,29
550,580.0,2014-08-29T16:15:38.100,29
558,607.0,2014-08-30T00:37:16.437,30
565,354.0,2014-08-30T21:03:55.847,31
573,624.0,2014-08-31T21:43:54.420,32
578,634.0,2014-09-01T16:02:43.617,32
579,635.0,2014-09-01T16:48:20.680,32
584,43.0,2014-09-02T01:37:35.960,33
585,9.0,2014-09-02T01:45:27.560,33
595,659.0,2014-09-02T17:15:29.510,33
599,664.0,2014-09-03T05:49:14.970,34
604,669.0,2014-09-03T13:45:48.683,34
605,668.0,2014-09-03T13:53:26.407,34
608,551.0,2014-09-03T20:37:25.840,35
609,551.0,2014-09-03T22:05:12.920,35
618,684.0,2014-09-04T13:43:40.433,35
620,689.0,2014-09-04T18:24:06.097,35
625,551.0,2014-09-05T16:59:31.407,36
626,551.0,2014-09-05T17:32:56.853,36
633,551.0,2014-09-06T23:58:26.527,38
