QId,PostUserId,RespondUserId,Time,days
1,9.0,27.0,2014-07-30T20:31:00.977,0
1,9.0,43.0,2014-08-11T01:27:09.710,11
2,7.0,20.0,2014-07-30T20:11:48.287,0
2,7.0,9.0,2014-07-30T20:27:42.783,0
2,7.0,12.0,2014-07-30T20:34:31.837,0
2,7.0,28.0,2014-07-30T20:37:16.690,0
2,7.0,4.0,2014-07-30T22:12:47.257,0
2,7.0,71.0,2014-07-30T23:00:24.367,0
6,16.0,28.0,2014-07-30T20:41:21.583,0
7,17.0,52.0,2014-07-30T21:24:57.663,0
7,17.0,59.0,2014-07-30T21:58:14.920,0
13,36.0,131.0,2014-08-01T13:03:36.160,1
14,36.0,45.0,2014-07-30T21:13:51.980,0
14,36.0,61.0,2014-07-30T22:51:38.753,0
14,36.0,71.0,2014-07-30T23:02:09.610,0
15,40.0,59.0,2014-07-30T23:19:50.013,0
15,40.0,61.0,2014-07-30T23:25:35.403,0
16,20.0,52.0,2014-07-30T21:32:30.203,0
16,20.0,36.0,2014-07-30T22:07:08.733,0
16,20.0,68.0,2014-07-31T03:43:33.153,0
17,36.0,59.0,2014-07-30T21:45:23.160,0
17,36.0,37.0,2014-07-30T21:54:57.207,0
17,36.0,68.0,2014-07-30T22:41:40.550,0
17,36.0,71.0,2014-07-30T22:53:43.690,0
17,36.0,91.0,2014-07-31T04:37:03.683,0
17,36.0,628.0,2014-09-06T02:24:23.633,37
19,36.0,55.0,2014-07-30T21:32:43.860,0
19,36.0,54.0,2014-07-30T21:34:09.630,0
24,55.0,54.0,2014-07-30T21:40:03.480,0
24,55.0,71.0,2014-07-30T23:05:49.693,0
24,55.0,84.0,2014-07-31T02:18:42.643,0
27,37.0,27.0,2014-07-30T21:54:23.367,0
27,37.0,59.0,2014-07-30T22:19:36.343,0
27,37.0,211.0,2014-08-04T17:46:58.377,4
43,71.0,74.0,2014-07-30T23:48:04.650,0
43,71.0,31.0,2014-07-31T13:19:13.907,0
45,75.0,59.0,2014-07-31T00:14:35.710,0
45,75.0,9.0,2014-07-31T00:54:24.300,0
45,75.0,71.0,2014-07-31T01:18:07.273,0
45,75.0,84.0,2014-07-31T02:07:29.460,0
45,75.0,233.0,2014-08-08T10:34:03.247,8
45,75.0,239.0,2014-08-13T12:54:10.893,13
45,75.0,302.0,2014-08-13T16:31:12.093,13
45,75.0,305.0,2014-08-13T17:58:57.800,13
52,80.0,59.0,2014-07-31T01:13:32.033,0
52,80.0,82.0,2014-07-31T04:38:27.900,0
58,82.0,92.0,2014-07-31T05:02:42.897,0
58,82.0,602.0,2014-08-29T22:19:26.310,30
61,92.0,82.0,2014-07-31T05:13:17.453,0
61,92.0,108.0,2014-07-31T09:50:45.610,0
61,92.0,88.0,2014-08-03T18:29:54.790,3
64,92.0,100.0,2014-07-31T05:40:45.697,0
64,92.0,59.0,2014-07-31T06:09:08.973,0
64,92.0,43.0,2014-07-31T08:41:36.777,0
64,92.0,25.0,2014-07-31T14:37:35.423,0
66,99.0,82.0,2014-07-31T06:07:04.653,0
70,104.0,59.0,2014-07-31T07:05:05.070,0
70,104.0,117.0,2014-07-31T09:45:06.927,0
70,104.0,43.0,2014-07-31T16:01:31.140,0
72,47.0,44.0,2014-08-04T08:35:48.243,4
72,47.0,119.0,2014-08-18T14:04:06.397,18
72,47.0,302.0,2014-08-19T22:43:06.597,20
78,113.0,116.0,2014-07-31T09:39:50.117,0
80,115.0,59.0,2014-07-31T09:22:00.443,0
82,117.0,84.0,2014-07-31T10:51:30.123,0
82,117.0,1288.0,2014-11-04T04:32:11.703,96
86,115.0,47.0,2014-07-31T10:28:34.677,0
86,115.0,131.0,2014-08-05T17:44:26.337,5
87,99.0,84.0,2014-07-31T10:42:35.103,0
87,99.0,31.0,2014-07-31T13:00:52.300,0
87,99.0,43.0,2014-07-31T17:03:29.463,0
89,120.0,9.0,2014-07-31T11:04:17.923,0
89,120.0,211.0,2014-08-04T18:20:32.413,4
91,121.0,47.0,2014-07-31T11:06:46.590,0
