,Beta,RMSE
0,0.94,15.645233565956545
1,0.941,14.866741404894348
2,0.942,14.104136509076572
3,0.943,13.36837063120758
4,0.944,12.626427312057306
5,0.945,11.82257727119317
6,0.946,11.082418508610834
7,0.947,10.378824596263298
8,0.948,9.715966241192895
9,0.949,8.919641248391104
10,0.95,8.42140130857092
11,0.951,7.988742078700501
12,0.952,7.58990557692694
13,0.953,7.358894844562826
14,0.954,7.522410961032817
15,0.955,7.676804890925217
16,0.956,8.210156311950866
17,0.957,8.82874094458925
18,0.958,9.543933500746256
19,0.959,10.496666137398103
20,0.96,11.62956003753653
21,0.961,12.818996320565299
22,0.962,14.135770230164326
23,0.963,15.547990223819927
24,0.964,17.06907535085991
25,0.965,18.685466723276317
26,0.966,20.439993476841753
27,0.967,22.255486215013743
28,0.968,24.171194978044976
29,0.967,22.255486215013743
30,0.968,24.171194978044976
31,0.969,26.226831045070366
32,0.97,28.284742648054387
