,Beta,RMSE
0,0.94,17.711578134090704
1,0.941,17.000196077300597
2,0.942,16.236994795835834
3,0.943,15.555277775297574
4,0.944,14.759177935553637
5,0.945,13.920249039917833
6,0.946,13.215395062829815
7,0.947,12.529964086141668
8,0.948,11.82455073142316
9,0.949,11.15168148756052
10,0.95,10.519505691808908
11,0.951,10.13311403271472
12,0.952,9.676087363530089
13,0.953,9.398226783104707
14,0.954,9.348083582567428
15,0.955,9.276134252298565
16,0.956,9.525404628325944
17,0.957,10.066114775158619
18,0.958,10.636415436289301
19,0.959,11.469088891450793
20,0.96,12.407793249943092
21,0.961,13.690385921027453
22,0.962,15.017545294310475
23,0.963,16.507574019219177
24,0.964,18.047714536749524
25,0.965,19.890533761901246
26,0.966,21.63777560964466
27,0.967,23.670938581588466
28,0.968,25.692541070642793
29,0.967,23.670938581588466
30,0.968,25.692541070642793
31,0.969,27.866228066723824
32,0.97,30.102048656749815
