,Beta,RMSE
0,0.94,15.152117563781859
1,0.941,14.307340773183533
2,0.942,13.47219358530748
3,0.943,12.696456198483101
4,0.944,11.85439440320199
5,0.945,11.013930572991036
6,0.946,10.335053620244713
7,0.947,9.723511025687515
8,0.948,9.069362344362107
9,0.949,8.468372531563153
10,0.95,8.224354077980836
11,0.951,8.150255619713205
12,0.952,8.321057625085889
13,0.953,8.750619025722314
14,0.954,9.390065672471803
15,0.955,10.492537030353208
16,0.956,11.602585918664856
17,0.957,12.868307321995902
18,0.958,14.317122615944866
19,0.959,15.858120947955971
20,0.96,17.610981422585926
21,0.961,19.34459442152596
22,0.962,21.25825329920907
23,0.963,23.44226951470356
24,0.964,25.52959067435277
25,0.965,27.81738065790283
26,0.966,30.195805448218575
27,0.967,32.68842812576544
28,0.968,35.36193810676483
29,0.967,32.68842812576544
30,0.968,35.36193810676483
31,0.969,38.01447092884498
32,0.97,40.911612043526226
