,Beta,RMSE
0,0.94,12.634608554812187
1,0.941,11.943757086165698
2,0.942,11.250185183661053
3,0.943,10.57544325312183
4,0.944,9.746794344808963
5,0.945,8.995183896582288
6,0.946,8.278888814327681
7,0.947,7.631076813486635
8,0.948,6.897825744392214
9,0.949,6.218788735222747
10,0.95,5.815496539419485
11,0.951,5.392587505085105
12,0.952,5.280151512977634
13,0.953,5.362835071116769
14,0.954,5.66333235236405
15,0.955,6.186544539024458
16,0.956,7.002380547594749
17,0.957,7.94187215543875
18,0.958,9.082217056791071
19,0.959,10.25768004960186
20,0.96,11.584472366059664
21,0.961,13.104706533659321
22,0.962,14.56594201096059
23,0.963,16.215013619071268
24,0.964,17.87549533113232
25,0.965,19.692468949660256
26,0.966,21.541278204105407
27,0.967,23.36650023716289
28,0.968,25.495097567963924
29,0.967,23.36650023716289
30,0.968,25.495097567963924
31,0.969,27.455175589798486
32,0.97,29.67951032839547
