,Beta,RMSE
0,0.94,14.874810923168065
1,0.941,13.860976396584284
2,0.942,13.025871691880484
3,0.943,12.104819976631898
4,0.944,11.046568094510922
5,0.945,10.22024135396681
6,0.946,9.280445391610613
7,0.947,8.59263250310016
8,0.948,7.828154316312371
9,0.949,7.318469785412795
10,0.95,7.051241025521677
11,0.951,7.13769337157787
12,0.952,7.416198487095663
13,0.953,7.998749902328488
14,0.954,8.875434261676062
15,0.955,10.010660983837848
16,0.956,11.360751148875089
17,0.957,12.805988182617277
18,0.958,14.402083182651042
19,0.959,16.008122938058666
20,0.96,17.87157892670184
21,0.961,19.808752274352532
22,0.962,21.880432658732627
23,0.963,24.16360900196823
24,0.964,26.427132521961845
25,0.965,28.851689725213667
26,0.966,31.314320472695343
27,0.967,33.8779180784967
28,0.968,36.55780810351372
29,0.967,33.8779180784967
30,0.968,36.55780810351372
31,0.969,39.341919966705575
32,0.97,42.19905212205601
