,Beta,RMSE
0,0.94,31.51020998554807
1,0.941,30.015329416816336
2,0.942,28.430851786981925
3,0.943,26.89027085521205
4,0.944,25.190606714937747
5,0.945,23.325522502186313
6,0.946,21.780266297729234
7,0.947,20.090130246798633
8,0.948,18.329029797928023
9,0.949,16.367243710126232
10,0.95,14.853955702101713
11,0.951,13.20126256588109
12,0.952,11.628126819627198
13,0.953,10.426568626990058
14,0.954,9.767633626762763
15,0.955,9.649525031489029
16,0.956,10.225458424931373
17,0.957,11.34195750300626
18,0.958,12.966623821694425
19,0.959,15.123932469213598
20,0.96,17.37488609075371
21,0.961,20.281354326901674
22,0.962,23.165059896317988
23,0.963,26.512135586054423
24,0.964,29.763288348791928
25,0.965,33.4715799846178
26,0.966,37.127527972292114
27,0.967,41.068317066403715
28,0.968,45.33041657283404
29,0.967,41.068317066403715
30,0.968,45.33041657283404
31,0.969,49.582927169204794
32,0.97,54.107177589176345
