,Beta,RMSE
0,0.94,29.43014327748564
1,0.941,28.1672386529694
2,0.942,26.913317645111437
3,0.943,25.592967784139454
4,0.944,23.903835117682128
5,0.945,22.547135812189833
6,0.946,21.138747991938093
7,0.947,19.70532922840925
8,0.948,17.975538934897056
9,0.949,16.398170629676958
10,0.95,14.994665718181249
11,0.951,13.47070896426762
12,0.952,11.779926428745924
13,0.953,10.399679482240467
14,0.954,9.250945897582582
15,0.955,8.150255619713205
16,0.956,7.7036787748884406
17,0.957,7.843893590983158
18,0.958,8.686387818497016
19,0.959,10.06313403799565
20,0.96,11.781907032960891
21,0.961,13.763962607718268
22,0.962,15.992081373813312
23,0.963,18.582070211182966
24,0.964,21.315565517558603
25,0.965,24.1805707128678
26,0.966,27.359702727429866
27,0.967,30.472610652846928
28,0.968,34.065427244250635
29,0.967,30.472610652846928
30,0.968,34.065427244250635
31,0.969,37.62614339347931
32,0.97,41.21771463824747
