,Beta,RMSE
0,0.94,29.391381956848054
1,0.941,26.78830590637141
2,0.942,24.452675381915437
3,0.943,21.956775719581415
4,0.944,19.597278722652625
5,0.945,17.70329536178693
6,0.946,16.410362579784763
7,0.947,15.710930377712625
8,0.948,15.952847185795184
9,0.949,17.134954527709336
10,0.95,18.821264569629747
11,0.951,21.407475329893526
12,0.952,24.336529470462025
13,0.953,27.673693886673917
14,0.954,31.26435670216165
15,0.955,35.21779853047793
16,0.956,39.38062129186554
17,0.957,43.68859500296769
18,0.958,48.49969072066336
19,0.959,53.22111109951263
20,0.96,58.38681357978015
21,0.961,63.482070959707464
22,0.962,68.89876631696681
23,0.963,74.57001184569214
24,0.964,80.23112446758635
25,0.965,86.3744561005548
26,0.966,92.38946548894702
27,0.967,98.66218458288195
28,0.968,105.3286918808609
29,0.967,98.66218458288195
30,0.968,105.3286918808609
31,0.969,111.94099636266718
32,0.97,118.99610637887835
